	Rhodotorula_mucilaginosa_TFCN_25-331D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00001639	TFCN25331D1_004756-T1	DBVPG3775_004850-T1
GF00001640	TFCN25331D1_000977-T1	DBVPG3775_004852-T1
GF00001641	TFCN25331D1_004759-T1	DBVPG3775_004853-T1
GF00001642	TFCN25331D1_004761-T1	DBVPG3775_004855-T1
GF00001643	TFCN25331D1_004763-T1	DBVPG3775_004857-T1
GF00001644	TFCN25331D1_004764-T1	DBVPG3775_004858-T1
GF00001645	TFCN25331D1_004765-T1	DBVPG3775_004859-T1
GF00001646	TFCN25331D1_000988-T1	DBVPG3775_004864-T1
GF00001647	TFCN25331D1_004771-T1	DBVPG3775_004866-T1
GF00001648	TFCN25331D1_004772-T1	DBVPG3775_004867-T1
GF00001649	TFCN25331D1_000993-T1	DBVPG3775_004869-T1
GF00001650	TFCN25331D1_004775-T1	DBVPG3775_004870-T1
GF00001651	TFCN25331D1_004777-T1	DBVPG3775_004871-T1
GF00001652	TFCN25331D1_004781-T1	DBVPG3775_004874-T1
GF00001653	TFCN25331D1_000999-T1	DBVPG3775_004875-T1
GF00001654	TFCN25331D1_001001-T1	DBVPG3775_004877-T1
GF00001655	TFCN25331D1_004786-T1	DBVPG3775_004879-T1
GF00001656	TFCN25331D1_004788-T1	DBVPG3775_004881-T1
GF00001657	TFCN25331D1_001007-T1	DBVPG3775_004883-T1
GF00001658	TFCN25331D1_001009-T1	DBVPG3775_004885-T1
GF00001659	TFCN25331D1_013074-T1	DBVPG3775_000512-T1
GF00001660	TFCN25331D1_004803-T1	DBVPG3775_004897-T1
GF00001661	TFCN25331D1_004804-T1	DBVPG3775_004898-T1
GF00001662	TFCN25331D1_001020-T1	DBVPG3775_004899-T1
GF00001663	TFCN25331D1_001021-T1	DBVPG3775_004900-T1
GF00001664	TFCN25331D1_004807-T1	DBVPG3775_004901-T1
GF00001665	TFCN25331D1_001025-T1	DBVPG3775_004905-T1
GF00001666	TFCN25331D1_004811-T1	DBVPG3775_004906-T1
GF00001667	TFCN25331D1_001027-T1	DBVPG3775_004907-T1
GF00001668	TFCN25331D1_001028-T1	DBVPG3775_004908-T1
GF00001669	TFCN25331D1_001029-T1	DBVPG3775_004909-T1
GF00001670	TFCN25331D1_001030-T1	DBVPG3775_004910-T1
GF00001671	TFCN25331D1_001031-T1	DBVPG3775_004911-T1
GF00001672	TFCN25331D1_001032-T1	DBVPG3775_004912-T1
GF00001673	TFCN25331D1_004819-T1	DBVPG3775_004914-T1
GF00001674	TFCN25331D1_001035-T1	DBVPG3775_004915-T1
GF00001675	TFCN25331D1_001039-T1	DBVPG3775_004919-T1
GF00001676	TFCN25331D1_001040-T1	DBVPG3775_004920-T1
GF00001677	TFCN25331D1_001041-T1	DBVPG3775_004921-T1
GF00001678	TFCN25331D1_004828-T1	DBVPG3775_004923-T1
GF00001679	TFCN25331D1_001044-T1	DBVPG3775_004924-T1
GF00001680	TFCN25331D1_001045-T1	DBVPG3775_004925-T1
GF00001681	TFCN25331D1_004831-T1	DBVPG3775_004926-T1
GF00001682	TFCN25331D1_004832-T1	DBVPG3775_004927-T1
GF00001683	TFCN25331D1_004833-T1	DBVPG3775_004928-T1
GF00001684	TFCN25331D1_001049-T1	DBVPG3775_004929-T1
GF00001685	TFCN25331D1_001050-T1	DBVPG3775_004930-T1
GF00001686	TFCN25331D1_001053-T1	DBVPG3775_004933-T1
GF00001687	TFCN25331D1_004841-T1	DBVPG3775_004936-T1
GF00001688	TFCN25331D1_001056-T1	DBVPG3775_004937-T1
GF00001689	TFCN25331D1_004843-T1	DBVPG3775_004938-T1
GF00001690	TFCN25331D1_004844-T1	DBVPG3775_004939-T1
GF00001691	TFCN25331D1_001060-T1	DBVPG3775_004941-T1
GF00001692	TFCN25331D1_004847-T1	DBVPG3775_004942-T1
GF00001693	TFCN25331D1_004848-T1	DBVPG3775_004943-T1
GF00001694	TFCN25331D1_004849-T1	DBVPG3775_004944-T1
GF00001695	TFCN25331D1_001066-T1	DBVPG3775_007396-T1
GF00001696	TFCN25331D1_001067-T1	DBVPG3775_007397-T1
GF00001697	TFCN25331D1_004867-T1	DBVPG3775_007399-T1
GF00001698	TFCN25331D1_004865-T1	DBVPG3775_007401-T1
GF00001699	TFCN25331D1_004862-T1	DBVPG3775_007404-T1
GF00001700	TFCN25331D1_001074-T1	DBVPG3775_007405-T1
GF00001701	TFCN25331D1_004860-T1	DBVPG3775_007406-T1
GF00001702	TFCN25331D1_004859-T1	DBVPG3775_007407-T1
GF00001703	TFCN25331D1_001077-T1	DBVPG3775_007408-T1
GF00001704	TFCN25331D1_012100-T1	DBVPG3775_004350-T1
GF00001705	TFCN25331D1_001078-T1	DBVPG3775_007409-T1
GF00001706	TFCN25331D1_004855-T1	DBVPG3775_007411-T1
GF00001707	TFCN25331D1_004854-T1	DBVPG3775_007412-T1
GF00001708	TFCN25331D1_001082-T1	DBVPG3775_007413-T1
GF00001709	TFCN25331D1_004852-T1	DBVPG3775_007414-T1
GF00001710	TFCN25331D1_004850-T1	DBVPG3775_007416-T1
GF00001711	TFCN25331D1_011998-T1	DBVPG3775_001015-T1
GF00001712	TFCN25331D1_001087-T1	DBVPG3775_001014-T1
GF00001713	TFCN25331D1_012000-T1	DBVPG3775_001013-T1
GF00001714	TFCN25331D1_001089-T1	DBVPG3775_001012-T1
GF00001715	TFCN25331D1_012002-T1	DBVPG3775_001011-T1
GF00001716	TFCN25331D1_001091-T1	DBVPG3775_001010-T1
GF00001717	TFCN25331D1_012004-T1	DBVPG3775_001009-T1
GF00001718	TFCN25331D1_001093-T1	DBVPG3775_001008-T1
GF00001719	TFCN25331D1_001096-T1	DBVPG3775_001005-T1
GF00001720	TFCN25331D1_001097-T1	DBVPG3775_001004-T1
GF00001721	TFCN25331D1_001098-T1	DBVPG3775_001003-T1
GF00001722	TFCN25331D1_001099-T1	DBVPG3775_001002-T1
GF00001723	TFCN25331D1_001100-T1	DBVPG3775_001001-T1
GF00001724	TFCN25331D1_001105-T1	DBVPG3775_000989-T1
GF00001725	TFCN25331D1_009463-T1	DBVPG3775_006100-T1
GF00001726	TFCN25331D1_001538-T1	DBVPG3775_000987-T1
GF00001727	TFCN25331D1_001541-T1	DBVPG3775_000986-T1
GF00001728	TFCN25331D1_001542-T1	DBVPG3775_000985-T1
GF00001729	TFCN25331D1_001543-T1	DBVPG3775_000984-T1
GF00001730	TFCN25331D1_001121-T1	DBVPG3775_000974-T1
GF00001731	TFCN25331D1_001122-T1	DBVPG3775_000973-T1
GF00001732	TFCN25331D1_001123-T1	DBVPG3775_000972-T1
GF00001733	TFCN25331D1_001127-T1	DBVPG3775_000967-T1
GF00001734	TFCN25331D1_006122-T1	DBVPG3775_004795-T1
GF00001735	TFCN25331D1_006628-T1	DBVPG3775_005008-T1
GF00001736	TFCN25331D1_001131-T1	DBVPG3775_000963-T1
GF00001737	TFCN25331D1_001132-T1	DBVPG3775_000962-T1
GF00001738	TFCN25331D1_001133-T1	DBVPG3775_000961-T1
GF00001739	TFCN25331D1_001136-T1	DBVPG3775_000958-T1
GF00001740	TFCN25331D1_004526-T1	DBVPG3775_005017-T1
GF00001741	TFCN25331D1_007787-T1	DBVPG3775_007519-T1
GF00001742	TFCN25331D1_001139-T1	DBVPG3775_000955-T1
GF00001743	TFCN25331D1_001142-T1	DBVPG3775_000952-T1
GF00001744	TFCN25331D1_001143-T1	DBVPG3775_000951-T1
GF00001745	TFCN25331D1_001144-T1	DBVPG3775_000950-T1
GF00001746	TFCN25331D1_001146-T1	DBVPG3775_000948-T1
GF00001747	TFCN25331D1_001147-T1	DBVPG3775_000947-T1
GF00001748	TFCN25331D1_001496-T1	DBVPG3775_000945-T1
GF00001749	TFCN25331D1_001150-T1	DBVPG3775_000944-T1
GF00001750	TFCN25331D1_001151-T1	DBVPG3775_000943-T1
GF00001751	TFCN25331D1_001152-T1	DBVPG3775_000942-T1
GF00001752	TFCN25331D1_001153-T1	DBVPG3775_000941-T1
GF00001753	TFCN25331D1_001154-T1	DBVPG3775_000940-T1
GF00001754	TFCN25331D1_001490-T1	DBVPG3775_000939-T1
GF00001755	TFCN25331D1_001489-T1	DBVPG3775_000938-T1
GF00001756	TFCN25331D1_001157-T1	DBVPG3775_000937-T1
GF00001757	TFCN25331D1_001158-T1	DBVPG3775_000936-T1
GF00001758	TFCN25331D1_001159-T1	DBVPG3775_000935-T1
GF00001759	TFCN25331D1_009497-T1	DBVPG3775_007372-T1
GF00001760	TFCN25331D1_001461-T1	DBVPG3775_000931-T1
GF00001761	TFCN25331D1_001462-T1	DBVPG3775_000930-T1
GF00001762	TFCN25331D1_001166-T1	DBVPG3775_000929-T1
GF00001763	TFCN25331D1_001167-T1	DBVPG3775_000928-T1
GF00001764	TFCN25331D1_001168-T1	DBVPG3775_000927-T1
GF00001765	TFCN25331D1_001170-T1	DBVPG3775_000925-T1
GF00001766	TFCN25331D1_001172-T1	DBVPG3775_000923-T1
GF00001767	TFCN25331D1_001174-T1	DBVPG3775_000921-T1
GF00001768	TFCN25331D1_001472-T1	DBVPG3775_000920-T1
GF00001769	TFCN25331D1_001176-T1	DBVPG3775_000919-T1
GF00001770	TFCN25331D1_001177-T1	DBVPG3775_000918-T1
GF00001771	TFCN25331D1_001475-T1	DBVPG3775_000917-T1
GF00001772	TFCN25331D1_001476-T1	DBVPG3775_000916-T1
GF00001773	TFCN25331D1_001182-T1	DBVPG3775_000914-T1
GF00001774	TFCN25331D1_001185-T1	DBVPG3775_000911-T1
GF00001775	TFCN25331D1_001483-T1	DBVPG3775_000910-T1
GF00001776	TFCN25331D1_001191-T1	DBVPG3775_000906-T1
GF00001777	TFCN25331D1_001193-T1	DBVPG3775_000904-T1
GF00001778	TFCN25331D1_001194-T1	DBVPG3775_000903-T1
GF00001779	TFCN25331D1_001196-T1	DBVPG3775_000901-T1
GF00001780	TFCN25331D1_001200-T1	DBVPG3775_000897-T1
GF00001781	TFCN25331D1_001451-T1	DBVPG3775_000896-T1
GF00001782	TFCN25331D1_001450-T1	DBVPG3775_000895-T1
GF00001783	TFCN25331D1_001449-T1	DBVPG3775_000894-T1
GF00001784	TFCN25331D1_001448-T1	DBVPG3775_000893-T1
GF00001785	TFCN25331D1_001447-T1	DBVPG3775_000892-T1
GF00001786	TFCN25331D1_001207-T1	DBVPG3775_000890-T1
GF00001787	TFCN25331D1_001444-T1	DBVPG3775_000889-T1
GF00001788	TFCN25331D1_001443-T1	DBVPG3775_000888-T1
GF00001789	TFCN25331D1_001210-T1	DBVPG3775_000887-T1
GF00001790	TFCN25331D1_001214-T1	DBVPG3775_000883-T1
GF00001791	TFCN25331D1_001215-T1	DBVPG3775_000882-T1
GF00001792	TFCN25331D1_001217-T1	DBVPG3775_000880-T1
GF00001793	TFCN25331D1_001437-T1	DBVPG3775_000879-T1
GF00001794	TFCN25331D1_001220-T1	DBVPG3775_000877-T1
GF00001795	TFCN25331D1_001222-T1	DBVPG3775_000875-T1
GF00001796	TFCN25331D1_001432-T1	DBVPG3775_000874-T1
GF00001797	TFCN25331D1_001224-T1	DBVPG3775_000873-T1
GF00001798	TFCN25331D1_001427-T1	DBVPG3775_000869-T1
GF00001799	TFCN25331D1_001229-T1	DBVPG3775_000868-T1
GF00001800	TFCN25331D1_001231-T1	DBVPG3775_000866-T1
GF00001801	TFCN25331D1_001232-T1	DBVPG3775_000865-T1
GF00001802	TFCN25331D1_001233-T1	DBVPG3775_000864-T1
GF00001803	TFCN25331D1_001421-T1	DBVPG3775_000863-T1
GF00001804	TFCN25331D1_001235-T1	DBVPG3775_000862-T1
GF00001805	TFCN25331D1_001236-T1	DBVPG3775_000861-T1
GF00001806	TFCN25331D1_001237-T1	DBVPG3775_000860-T1
GF00001807	TFCN25331D1_001238-T1	DBVPG3775_000859-T1
GF00001808	TFCN25331D1_010829-T1	DBVPG3775_007223-T1
GF00001809	TFCN25331D1_001413-T1	DBVPG3775_000856-T1
GF00001810	TFCN25331D1_001245-T1	DBVPG3775_000853-T1
GF00001811	TFCN25331D1_001246-T1	DBVPG3775_000852-T1
GF00001812	TFCN25331D1_001247-T1	DBVPG3775_000851-T1
GF00001813	TFCN25331D1_001248-T1	DBVPG3775_000850-T1
GF00001814	TFCN25331D1_006204-T1	DBVPG3775_003120-T1
GF00001815	TFCN25331D1_001250-T1	DBVPG3775_000848-T1
GF00001816	TFCN25331D1_001251-T1	DBVPG3775_000847-T1
GF00001817	TFCN25331D1_001255-T1	DBVPG3775_000844-T1
GF00001818	TFCN25331D1_001256-T1	DBVPG3775_000843-T1
GF00001819	TFCN25331D1_001258-T1	DBVPG3775_000841-T1
GF00001820	TFCN25331D1_001259-T1	DBVPG3775_000840-T1
GF00001821	TFCN25331D1_001260-T1	DBVPG3775_000839-T1
GF00001822	TFCN25331D1_001262-T1	DBVPG3775_000837-T1
GF00001823	TFCN25331D1_001265-T1	DBVPG3775_000834-T1
GF00001824	TFCN25331D1_001388-T1	DBVPG3775_000833-T1
GF00001825	TFCN25331D1_006433-T1	DBVPG3775_007511-T1
GF00001826	TFCN25331D1_001385-T1	DBVPG3775_000830-T1
GF00001827	TFCN25331D1_001270-T1	DBVPG3775_000829-T1
GF00001828	TFCN25331D1_001271-T1	DBVPG3775_000828-T1
GF00001829	TFCN25331D1_001272-T1	DBVPG3775_000827-T1
GF00001830	TFCN25331D1_001275-T1	DBVPG3775_000825-T1
GF00001831	TFCN25331D1_001276-T1	DBVPG3775_000824-T1
GF00001832	TFCN25331D1_001378-T1	DBVPG3775_000823-T1
GF00001833	TFCN25331D1_001279-T1	DBVPG3775_000821-T1
GF00001834	TFCN25331D1_001283-T1	DBVPG3775_000817-T1
GF00001835	TFCN25331D1_001371-T1	DBVPG3775_000815-T1
GF00001836	TFCN25331D1_001287-T1	DBVPG3775_000813-T1
GF00001837	TFCN25331D1_001368-T1	DBVPG3775_000812-T1
GF00001838	TFCN25331D1_001290-T1	DBVPG3775_000810-T1
GF00001839	TFCN25331D1_001294-T1	DBVPG3775_000806-T1
GF00001840	TFCN25331D1_001296-T1	DBVPG3775_000804-T1
GF00001841	TFCN25331D1_001298-T1	DBVPG3775_000802-T1
GF00001842	TFCN25331D1_001300-T1	DBVPG3775_000800-T1
GF00001843	TFCN25331D1_001301-T1	DBVPG3775_000799-T1
GF00001844	TFCN25331D1_001302-T1	DBVPG3775_000798-T1
GF00001845	TFCN25331D1_001351-T1	DBVPG3775_000797-T1
GF00001846	TFCN25331D1_001350-T1	DBVPG3775_000796-T1
GF00001847	TFCN25331D1_001349-T1	DBVPG3775_000795-T1
GF00001848	TFCN25331D1_001306-T1	DBVPG3775_000794-T1
GF00001849	TFCN25331D1_001310-T1	DBVPG3775_000791-T1
GF00001850	TFCN25331D1_001313-T1	DBVPG3775_000788-T1
GF00001851	TFCN25331D1_001314-T1	DBVPG3775_000787-T1
GF00001852	TFCN25331D1_001316-T1	DBVPG3775_000785-T1
GF00001853	TFCN25331D1_001318-T1	DBVPG3775_000783-T1
GF00001854	TFCN25331D1_001320-T1	DBVPG3775_000781-T1
GF00001855	TFCN25331D1_001330-T1	DBVPG3775_000779-T1
GF00001856	TFCN25331D1_006224-T1	DBVPG3775_003141-T1
GF00001857	TFCN25331D1_001547-T1	DBVPG3775_003140-T1
GF00001858	TFCN25331D1_001548-T1	DBVPG3775_003139-T1
GF00001859	TFCN25331D1_006219-T1	DBVPG3775_003135-T1
GF00001860	TFCN25331D1_006615-T1	DBVPG3775_005021-T1
GF00001861	TFCN25331D1_006215-T1	DBVPG3775_003131-T1
GF00001862	TFCN25331D1_006214-T1	DBVPG3775_003130-T1
GF00001863	TFCN25331D1_001557-T1	DBVPG3775_003129-T1
GF00001864	TFCN25331D1_001558-T1	DBVPG3775_003128-T1
GF00001865	TFCN25331D1_001559-T1	DBVPG3775_003127-T1
GF00001866	TFCN25331D1_006210-T1	DBVPG3775_003126-T1
GF00001867	TFCN25331D1_006209-T1	DBVPG3775_003125-T1
GF00001868	TFCN25331D1_006208-T1	DBVPG3775_003124-T1
GF00001869	TFCN25331D1_001563-T1	DBVPG3775_003123-T1
GF00001870	TFCN25331D1_001564-T1	DBVPG3775_003122-T1
GF00001871	TFCN25331D1_006205-T1	DBVPG3775_003121-T1
GF00001872	TFCN25331D1_006203-T1	DBVPG3775_003118-T1
GF00001873	TFCN25331D1_006201-T1	DBVPG3775_003116-T1
GF00001874	TFCN25331D1_001573-T1	DBVPG3775_003111-T1
GF00001875	TFCN25331D1_001574-T1	DBVPG3775_003110-T1
GF00001876	TFCN25331D1_001575-T1	DBVPG3775_003109-T1
GF00001877	TFCN25331D1_012696-T1	DBVPG3775_002553-T1
GF00001878	TFCN25331D1_006192-T1	DBVPG3775_003106-T1
GF00001879	TFCN25331D1_001580-T1	DBVPG3775_003103-T1
GF00001880	TFCN25331D1_001581-T1	DBVPG3775_003102-T1
GF00001881	TFCN25331D1_001582-T1	DBVPG3775_003101-T1
GF00001882	TFCN25331D1_006185-T1	DBVPG3775_003099-T1
GF00001883	TFCN25331D1_006183-T1	DBVPG3775_003097-T1
GF00001884	TFCN25331D1_001589-T1	DBVPG3775_003094-T1
GF00001885	TFCN25331D1_006179-T1	DBVPG3775_003093-T1
GF00001886	TFCN25331D1_006178-T1	DBVPG3775_003092-T1
GF00001887	TFCN25331D1_006177-T1	DBVPG3775_003091-T1
GF00001888	TFCN25331D1_006175-T1	DBVPG3775_003089-T1
GF00001889	TFCN25331D1_001595-T1	DBVPG3775_003088-T1
GF00001890	TFCN25331D1_006172-T1	DBVPG3775_003086-T1
GF00001891	TFCN25331D1_006171-T1	DBVPG3775_003085-T1
GF00001892	TFCN25331D1_006169-T1	DBVPG3775_003083-T1
GF00001893	TFCN25331D1_001601-T1	DBVPG3775_003082-T1
GF00001894	TFCN25331D1_012685-T1	DBVPG3775_002542-T1
GF00001895	TFCN25331D1_006164-T1	DBVPG3775_003079-T1
GF00001896	TFCN25331D1_001606-T1	DBVPG3775_003078-T1
GF00001897	TFCN25331D1_006162-T1	DBVPG3775_003077-T1
GF00001898	TFCN25331D1_006159-T1	DBVPG3775_003074-T1
GF00001899	TFCN25331D1_001613-T1	DBVPG3775_003073-T1
GF00001900	TFCN25331D1_012872-T1	DBVPG3775_003072-T1
GF00001901	TFCN25331D1_012874-T1	DBVPG3775_003070-T1
GF00001902	TFCN25331D1_012875-T1	DBVPG3775_003069-T1
GF00001903	TFCN25331D1_012876-T1	DBVPG3775_003068-T1
GF00001904	TFCN25331D1_012877-T1	DBVPG3775_003067-T1
GF00001905	TFCN25331D1_001623-T1	DBVPG3775_003063-T1
GF00001906	TFCN25331D1_001624-T1	DBVPG3775_003061-T1
GF00001907	TFCN25331D1_001625-T1	DBVPG3775_003060-T1
GF00001908	TFCN25331D1_001626-T1	DBVPG3775_003059-T1
GF00001909	TFCN25331D1_001627-T1	DBVPG3775_003058-T1
GF00001910	TFCN25331D1_012887-T1	DBVPG3775_003057-T1
GF00001911	TFCN25331D1_012888-T1	DBVPG3775_003056-T1
GF00001912	TFCN25331D1_012889-T1	DBVPG3775_003055-T1
GF00001913	TFCN25331D1_001631-T1	DBVPG3775_003054-T1
GF00001914	TFCN25331D1_012891-T1	DBVPG3775_003053-T1
GF00001915	TFCN25331D1_005014-T1	DBVPG3775_003050-T1
GF00001916	TFCN25331D1_001640-T1	DBVPG3775_003049-T1
GF00001917	TFCN25331D1_001643-T1	DBVPG3775_005045-T1
GF00001918	TFCN25331D1_005008-T1	DBVPG3775_005046-T1
GF00001919	TFCN25331D1_005007-T1	DBVPG3775_005047-T1
GF00001920	TFCN25331D1_005006-T1	DBVPG3775_005048-T1
GF00001921	TFCN25331D1_005005-T1	DBVPG3775_005049-T1
GF00001922	TFCN25331D1_011978-T1	DBVPG3775_002155-T1
GF00001923	TFCN25331D1_001650-T1	DBVPG3775_005052-T1
GF00001924	TFCN25331D1_001651-T1	DBVPG3775_005053-T1
GF00001925	TFCN25331D1_012654-T1	DBVPG3775_006235-T1
GF00001926	TFCN25331D1_009379-T1	DBVPG3775_004686-T1
GF00001927	TFCN25331D1_004998-T1	DBVPG3775_005056-T1
GF00001928	TFCN25331D1_004997-T1	DBVPG3775_005057-T1
GF00001929	TFCN25331D1_001656-T1	DBVPG3775_005058-T1
GF00001930	TFCN25331D1_001657-T1	DBVPG3775_005059-T1
GF00001931	TFCN25331D1_001658-T1	DBVPG3775_005060-T1
GF00001932	TFCN25331D1_001659-T1	DBVPG3775_005061-T1
GF00001933	TFCN25331D1_004991-T1	DBVPG3775_005063-T1
GF00001934	TFCN25331D1_004990-T1	DBVPG3775_005064-T1
GF00001935	TFCN25331D1_001664-T1	DBVPG3775_005066-T1
GF00001936	TFCN25331D1_001665-T1	DBVPG3775_005067-T1
GF00001937	TFCN25331D1_001666-T1	DBVPG3775_005068-T1
GF00001938	TFCN25331D1_004985-T1	DBVPG3775_005069-T1
GF00001939	TFCN25331D1_001670-T1	DBVPG3775_005072-T1
GF00001940	TFCN25331D1_004981-T1	DBVPG3775_005073-T1
GF00001941	TFCN25331D1_004980-T1	DBVPG3775_005074-T1
GF00001942	TFCN25331D1_001673-T1	DBVPG3775_005075-T1
GF00001943	TFCN25331D1_001674-T1	DBVPG3775_005076-T1
GF00001944	TFCN25331D1_004977-T1	DBVPG3775_005077-T1
GF00001945	TFCN25331D1_004973-T1	DBVPG3775_005081-T1
GF00001946	TFCN25331D1_001682-T1	DBVPG3775_005086-T1
GF00001947	TFCN25331D1_004967-T1	DBVPG3775_005087-T1
GF00001948	TFCN25331D1_001684-T1	DBVPG3775_005088-T1
GF00001949	TFCN25331D1_001685-T1	DBVPG3775_005089-T1
GF00001950	TFCN25331D1_004963-T1	DBVPG3775_005091-T1
GF00001951	TFCN25331D1_004962-T1	DBVPG3775_005092-T1
GF00001952	TFCN25331D1_001688-T1	DBVPG3775_005093-T1
GF00001953	TFCN25331D1_004960-T1	DBVPG3775_005094-T1
GF00001954	TFCN25331D1_001690-T1	DBVPG3775_005095-T1
GF00001955	TFCN25331D1_004958-T1	DBVPG3775_005096-T1
GF00001956	TFCN25331D1_004956-T1	DBVPG3775_005098-T1
GF00001957	TFCN25331D1_004955-T1	DBVPG3775_005099-T1
GF00001958	TFCN25331D1_004954-T1	DBVPG3775_005100-T1
GF00001959	TFCN25331D1_004952-T1	DBVPG3775_005102-T1
GF00001960	TFCN25331D1_004951-T1	DBVPG3775_005103-T1
GF00001961	TFCN25331D1_004950-T1	DBVPG3775_005104-T1
GF00001962	TFCN25331D1_001700-T1	DBVPG3775_005105-T1
GF00001963	TFCN25331D1_001701-T1	DBVPG3775_005106-T1
GF00001964	TFCN25331D1_004947-T1	DBVPG3775_005107-T1
GF00001965	TFCN25331D1_004946-T1	DBVPG3775_005108-T1
GF00001966	TFCN25331D1_004944-T1	DBVPG3775_005110-T1
GF00001967	TFCN25331D1_001706-T1	DBVPG3775_005111-T1
GF00001968	TFCN25331D1_010485-T1	DBVPG3775_000252-T1
GF00001969	TFCN25331D1_004941-T1	DBVPG3775_005113-T1
GF00001970	TFCN25331D1_001709-T1	DBVPG3775_005114-T1
GF00001971	TFCN25331D1_004937-T1	DBVPG3775_005117-T1
GF00001972	TFCN25331D1_004936-T1	DBVPG3775_005118-T1
GF00001973	TFCN25331D1_004935-T1	DBVPG3775_005119-T1
GF00001974	TFCN25331D1_001716-T1	DBVPG3775_005121-T1
GF00001975	TFCN25331D1_001719-T1	DBVPG3775_005124-T1
GF00001976	TFCN25331D1_004929-T1	DBVPG3775_005125-T1
GF00001977	TFCN25331D1_004928-T1	DBVPG3775_005126-T1
GF00001978	TFCN25331D1_001722-T1	DBVPG3775_005127-T1
GF00001979	TFCN25331D1_001723-T1	DBVPG3775_005128-T1
GF00001980	TFCN25331D1_004924-T1	DBVPG3775_005130-T1
GF00001981	TFCN25331D1_004923-T1	DBVPG3775_005131-T1
GF00001982	TFCN25331D1_001727-T1	DBVPG3775_005132-T1
GF00001983	TFCN25331D1_004921-T1	DBVPG3775_005133-T1
GF00001984	TFCN25331D1_004920-T1	DBVPG3775_005134-T1
GF00001985	TFCN25331D1_001731-T1	DBVPG3775_005136-T1
GF00001986	TFCN25331D1_001732-T1	DBVPG3775_005137-T1
GF00001987	TFCN25331D1_001733-T1	DBVPG3775_005138-T1
GF00001988	TFCN25331D1_001734-T1	DBVPG3775_005139-T1
GF00001989	TFCN25331D1_004914-T1	DBVPG3775_005140-T1
GF00001990	TFCN25331D1_004913-T1	DBVPG3775_005141-T1
GF00001991	TFCN25331D1_001737-T1	DBVPG3775_005142-T1
GF00001992	TFCN25331D1_004910-T1	DBVPG3775_003973-T1
GF00001993	TFCN25331D1_004909-T1	DBVPG3775_003974-T1
GF00001994	TFCN25331D1_001747-T1	DBVPG3775_003975-T1
GF00001995	TFCN25331D1_004907-T1	DBVPG3775_003976-T1
GF00001996	TFCN25331D1_004906-T1	DBVPG3775_003977-T1
GF00001997	TFCN25331D1_001750-T1	DBVPG3775_003978-T1
GF00001998	TFCN25331D1_001751-T1	DBVPG3775_003979-T1
GF00001999	TFCN25331D1_004901-T1	DBVPG3775_003983-T1
GF00002000	TFCN25331D1_001756-T1	DBVPG3775_003985-T1
GF00002001	TFCN25331D1_004897-T1	DBVPG3775_003986-T1
GF00002002	TFCN25331D1_001759-T1	DBVPG3775_003988-T1
GF00002003	TFCN25331D1_004893-T1	DBVPG3775_003989-T1
GF00002004	TFCN25331D1_001761-T1	DBVPG3775_003990-T1
GF00002005	TFCN25331D1_004891-T1	DBVPG3775_003991-T1
GF00002006	TFCN25331D1_004888-T1	DBVPG3775_003996-T1
GF00002007	TFCN25331D1_001766-T1	DBVPG3775_003998-T1
GF00002008	TFCN25331D1_004885-T1	DBVPG3775_003999-T1
GF00002009	TFCN25331D1_001768-T1	DBVPG3775_004000-T1
GF00002010	TFCN25331D1_004883-T1	DBVPG3775_004001-T1
GF00002011	TFCN25331D1_004881-T1	DBVPG3775_004003-T1
GF00002012	TFCN25331D1_001772-T1	DBVPG3775_004004-T1
GF00002013	TFCN25331D1_004878-T1	DBVPG3775_004006-T1
GF00002014	TFCN25331D1_001775-T1	DBVPG3775_004007-T1
GF00002015	TFCN25331D1_001776-T1	DBVPG3775_002539-T1
GF00002016	TFCN25331D1_001777-T1	DBVPG3775_002538-T1
GF00002017	TFCN25331D1_001778-T1	DBVPG3775_002537-T1
GF00002018	TFCN25331D1_001779-T1	DBVPG3775_002536-T1
GF00002019	TFCN25331D1_001780-T1	DBVPG3775_002535-T1
GF00002020	TFCN25331D1_001781-T1	DBVPG3775_002534-T1
GF00002021	TFCN25331D1_001784-T1	DBVPG3775_002531-T1
GF00002022	TFCN25331D1_001786-T1	DBVPG3775_002529-T1
GF00002023	TFCN25331D1_001787-T1	DBVPG3775_002528-T1
GF00002024	TFCN25331D1_001790-T1	DBVPG3775_002525-T1
GF00002025	TFCN25331D1_001792-T1	DBVPG3775_002523-T1
GF00002026	TFCN25331D1_001795-T1	DBVPG3775_002520-T1
GF00002027	TFCN25331D1_001796-T1	DBVPG3775_002519-T1
GF00002028	TFCN25331D1_002015-T1	DBVPG3775_002518-T1
GF00002029	TFCN25331D1_001800-T1	DBVPG3775_002515-T1
GF00002030	TFCN25331D1_001801-T1	DBVPG3775_002514-T1
GF00002031	TFCN25331D1_001802-T1	DBVPG3775_002513-T1
GF00002032	TFCN25331D1_002021-T1	DBVPG3775_002512-T1
GF00002033	TFCN25331D1_002022-T1	DBVPG3775_002511-T1
GF00002034	TFCN25331D1_001805-T1	DBVPG3775_002510-T1
GF00002035	TFCN25331D1_001807-T1	DBVPG3775_002508-T1
GF00002036	TFCN25331D1_001809-T1	DBVPG3775_002506-T1
