	Rhodotorula_mucilaginosa_TFCN_17-337P-5.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000577	TFCN17337P5_007307-T1, TFCN17337P5_007341-T1, TFCN17337P5_008318-T1, TFCN17337P5_014110-T1	DBVPG3775_000957-T1, DBVPG3775_003407-T1
GF00000578	TFCN17337P5_007394-T1, TFCN17337P5_014512-T1, TFCN17337P5_012240-T1, TFCN17337P5_011521-T1	DBVPG3775_000900-T1, DBVPG3775_007269-T1
GF00000579	TFCN17337P5_007509-T1, TFCN17337P5_014338-T1, TFCN17337P5_007985-T1, TFCN17337P5_012376-T1	DBVPG3775_000994-T1, DBVPG3775_004672-T1
GF00000580	TFCN17337P5_007624-T1, TFCN17337P5_011600-T1, TFCN17337P5_011609-T1, TFCN17337P5_007633-T1	DBVPG3775_006252-T1, DBVPG3775_006262-T1
GF00000581	TFCN17337P5_007640-T1, TFCN17337P5_011616-T1, TFCN17337P5_007647-T1, TFCN17337P5_011623-T1	DBVPG3775_006269-T1, DBVPG3775_006276-T1
GF00000582	TFCN17337P5_007666-T1, TFCN17337P5_008424-T1, TFCN17337P5_009490-T1, TFCN17337P5_010200-T1	DBVPG3775_000288-T1, DBVPG3775_006564-T1
GF00000583	TFCN17337P5_007770-T1, TFCN17337P5_012057-T1, TFCN17337P5_007778-T1, TFCN17337P5_012065-T1	DBVPG3775_003375-T1, DBVPG3775_003383-T1
GF00000584	TFCN17337P5_007800-T1, TFCN17337P5_008361-T1, TFCN17337P5_012726-T1, TFCN17337P5_011206-T1	DBVPG3775_002720-T1, DBVPG3775_003537-T1
GF00000585	TFCN17337P5_008073-T1, TFCN17337P5_011973-T1, TFCN17337P5_008086-T1, TFCN17337P5_011961-T1	DBVPG3775_005807-T1, DBVPG3775_007378-T1
GF00000586	TFCN17337P5_008168-T1, TFCN17337P5_009009-T1, TFCN17337P5_008768-T1, TFCN17337P5_009051-T1	DBVPG3775_001548-T1, DBVPG3775_006493-T1
GF00000587	TFCN17337P5_008307-T1, TFCN17337P5_013894-T1, TFCN17337P5_008905-T1, TFCN17337P5_010606-T1	DBVPG3775_003321-T1, DBVPG3775_003396-T1
GF00000588	TFCN17337P5_008320-T1, TFCN17337P5_014108-T1, TFCN17337P5_014120-T1, TFCN17337P5_012850-T1	DBVPG3775_003409-T1, DBVPG3775_006947-T1
GF00000589	TFCN17337P5_008411-T1, TFCN17337P5_012903-T1, TFCN17337P5_012129-T1, TFCN17337P5_013249-T1	DBVPG3775_003487-T1, DBVPG3775_007427-T1
GF00000590	TFCN17337P5_008497-T1, TFCN17337P5_010665-T1, TFCN17337P5_014054-T1, TFCN17337P5_013305-T1	DBVPG3775_000599-T1, DBVPG3775_002573-T1
GF00000591	TFCN17337P5_008521-T1, TFCN17337P5_013472-T1, TFCN17337P5_008751-T1, TFCN17337P5_014433-T1	DBVPG3775_002550-T1, DBVPG3775_006453-T1
GF00000592	TFCN17337P5_008549-T1, TFCN17337P5_009800-T1, TFCN17337P5_013823-T1, TFCN17337P5_013865-T1	DBVPG3775_006988-T1, DBVPG3775_007470-T1
GF00000593	TFCN17337P5_008559-T1, TFCN17337P5_009790-T1, TFCN17337P5_013951-T1, TFCN17337P5_011748-T1	DBVPG3775_000701-T1, DBVPG3775_006998-T1
GF00000594	TFCN17337P5_008584-T1, TFCN17337P5_013914-T1, TFCN17337P5_008817-T1, TFCN17337P5_012630-T1	DBVPG3775_004756-T1, DBVPG3775_007546-T1
GF00000595	TFCN17337P5_008591-T1, TFCN17337P5_011567-T1, TFCN17337P5_012730-T1, TFCN17337P5_011210-T1	DBVPG3775_002716-T1, DBVPG3775_007224-T1
GF00000596	TFCN17337P5_008758-T1, TFCN17337P5_009042-T1, TFCN17337P5_009045-T1, TFCN17337P5_008761-T1	DBVPG3775_006499-T1, DBVPG3775_006503-T1
GF00000597	TFCN17337P5_008810-T1, TFCN17337P5_012620-T1, TFCN17337P5_010753-T1, TFCN17337P5_014330-T1	DBVPG3775_004746-T1, DBVPG3775_006116-T1
GF00000598	TFCN17337P5_008836-T1, TFCN17337P5_012070-T1, TFCN17337P5_012071-T1	DBVPG3775_004779-T1, DBVPG3775_004780-T1, DBVPG3775_004781-T1
GF00000599	TFCN17337P5_008838-T1, TFCN17337P5_012074-T1, TFCN17337P5_014700-T1, TFCN17337P5_010068-T1	DBVPG3775_002316-T1, DBVPG3775_004784-T1
GF00000600	TFCN17337P5_008888-T1, TFCN17337P5_010590-T1, TFCN17337P5_010046-T1, TFCN17337P5_010112-T1	DBVPG3775_003257-T1, DBVPG3775_003305-T1
GF00000601	TFCN17337P5_009036-T1, TFCN17337P5_011460-T1, TFCN17337P5_010872-T1, TFCN17337P5_009876-T1	DBVPG3775_005358-T1, DBVPG3775_005411-T1
GF00000602	TFCN17337P5_009135-T1, TFCN17337P5_014175-T1, TFCN17337P5_009136-T1	DBVPG3775_001319-T1, DBVPG3775_001320-T1, DBVPG3775_001321-T1
GF00000603	TFCN17337P5_009433-T1, TFCN17337P5_011188-T1, TFCN17337P5_010221-T1, TFCN17337P5_010705-T1	DBVPG3775_002190-T1, DBVPG3775_006283-T1
GF00000604	TFCN17337P5_009462-T1, TFCN17337P5_009465-T1, TFCN17337P5_011163-T1, TFCN17337P5_011160-T1	DBVPG3775_002157-T1, DBVPG3775_002160-T1
GF00000605	TFCN17337P5_009576-T1, TFCN17337P5_011498-T1, TFCN17337P5_009586-T1, TFCN17337P5_013371-T1	DBVPG3775_006810-T1, DBVPG3775_007444-T1
GF00000606	TFCN17337P5_009577-T1, TFCN17337P5_011497-T1, TFCN17337P5_009578-T1, TFCN17337P5_011496-T1	DBVPG3775_006811-T1, DBVPG3775_006812-T1
GF00000607	TFCN17337P5_009959-T1, TFCN17337P5_011731-T1, TFCN17337P5_009961-T1, TFCN17337P5_011733-T1	DBVPG3775_006528-T1, DBVPG3775_006530-T1
GF00000608	TFCN17337P5_009964-T1, TFCN17337P5_011735-T1, TFCN17337P5_009965-T1, TFCN17337P5_011736-T1	DBVPG3775_006524-T1, DBVPG3775_006525-T1
GF00000609	TFCN17337P5_009969-T1, TFCN17337P5_011740-T1, TFCN17337P5_011741-T1, TFCN17337P5_009970-T1	DBVPG3775_006519-T1, DBVPG3775_006520-T1
GF00000610	TFCN17337P5_009979-T1, TFCN17337P5_014550-T1, TFCN17337P5_013443-T1, TFCN17337P5_012290-T1	DBVPG3775_002140-T1, DBVPG3775_006509-T1
GF00000611	TFCN17337P5_010031-T1, TFCN17337P5_010033-T1, TFCN17337P5_010121-T1, TFCN17337P5_010038-T1	DBVPG3775_003268-T1, DBVPG3775_003269-T1
GF00000612	TFCN17337P5_010041-T1, TFCN17337P5_010115-T1, TFCN17337P5_010042-T1, TFCN17337P5_010043-T1	DBVPG3775_003260-T1, DBVPG3775_003261-T1
GF00000613	TFCN17337P5_010503-T1, TFCN17337P5_011480-T1, TFCN17337P5_010743-T1, TFCN17337P5_012982-T1	DBVPG3775_001602-T1, DBVPG3775_006103-T1
GF00000614	TFCN17337P5_012385-T1, TFCN17337P5_014370-T1, TFCN17337P5_012386-T1, TFCN17337P5_014369-T1	DBVPG3775_007293-T1, DBVPG3775_007294-T1
GF00000615	TFCN17337P5_012563-T1, TFCN17337P5_014766-T1, TFCN17337P5_013692-T1, TFCN17337P5_014761-T1	DBVPG3775_004735-T1, DBVPG3775_007597-T1
GF00000616	TFCN17337P5_000040-T1, TFCN17337P5_001351-T1, TFCN17337P5_000041-T1	DBVPG3775_007064-T1, DBVPG3775_007065-T1
GF00000617	TFCN17337P5_007079-T1, TFCN17337P5_003498-T1, TFCN17337P5_003499-T1, TFCN17337P5_007080-T1	DBVPG3775_000792-T1
GF00000618	TFCN17337P5_000110-T1, TFCN17337P5_001279-T1, TFCN17337P5_001277-T1, TFCN17337P5_000111-T1	DBVPG3775_004170-T1
GF00000619	TFCN17337P5_000120-T1, TFCN17337P5_001268-T1, TFCN17337P5_001267-T1	DBVPG3775_004179-T1, DBVPG3775_004180-T1
GF00000620	TFCN17337P5_000188-T1, TFCN17337P5_002691-T1, TFCN17337P5_011581-T1	DBVPG3775_001045-T1, DBVPG3775_004590-T1
GF00000621	TFCN17337P5_000248-T1, TFCN17337P5_013132-T1, TFCN17337P5_013133-T1	DBVPG3775_001106-T1, DBVPG3775_001107-T1
GF00000622	TFCN17337P5_000267-T1, TFCN17337P5_001532-T1, TFCN17337P5_001531-T1	DBVPG3775_001126-T1, DBVPG3775_001127-T1
GF00000623	TFCN17337P5_000396-T1, TFCN17337P5_001398-T1, TFCN17337P5_001399-T1	DBVPG3775_001260-T1, DBVPG3775_001261-T1
GF00000624	TFCN17337P5_000397-T1, TFCN17337P5_001396-T1, TFCN17337P5_001397-T1	DBVPG3775_001262-T1, DBVPG3775_001263-T1
GF00000625	TFCN17337P5_005892-T1, TFCN17337P5_006525-T1, TFCN17337P5_000799-T1, TFCN17337P5_008220-T1	DBVPG3775_005476-T1
GF00000626	TFCN17337P5_000540-T1, TFCN17337P5_011294-T1, TFCN17337P5_000541-T1	DBVPG3775_000167-T1, DBVPG3775_000168-T1
GF00000627	TFCN17337P5_000558-T1, TFCN17337P5_011278-T1, TFCN17337P5_000559-T1	DBVPG3775_000149-T1, DBVPG3775_000150-T1
GF00000628	TFCN17337P5_000692-T1, TFCN17337P5_013547-T1, TFCN17337P5_013548-T1	DBVPG3775_005328-T1, DBVPG3775_005329-T1
GF00000629	TFCN17337P5_008275-T1, TFCN17337P5_000866-T1, TFCN17337P5_000867-T1	DBVPG3775_005544-T1, DBVPG3775_005545-T1
GF00000630	TFCN17337P5_000747-T1, TFCN17337P5_008946-T1, TFCN17337P5_000748-T1	DBVPG3775_005273-T1, DBVPG3775_005274-T1
GF00000631	TFCN17337P5_008944-T1, TFCN17337P5_005368-T1, TFCN17337P5_009818-T1, TFCN17337P5_009819-T1	DBVPG3775_004533-T1
GF00000632	TFCN17337P5_000780-T1, TFCN17337P5_010197-T1, TFCN17337P5_009493-T1	DBVPG3775_006567-T1, DBVPG3775_006568-T1
GF00000633	TFCN17337P5_000796-T1, TFCN17337P5_008224-T1, TFCN17337P5_008225-T1	DBVPG3775_005472-T1, DBVPG3775_005473-T1
GF00000634	TFCN17337P5_000836-T1, TFCN17337P5_008182-T1, TFCN17337P5_000837-T1	DBVPG3775_005512-T1, DBVPG3775_005513-T1
GF00000635	TFCN17337P5_000863-T1, TFCN17337P5_008277-T1, TFCN17337P5_011576-T1	DBVPG3775_003540-T1, DBVPG3775_005541-T1
GF00000636	TFCN17337P5_001012-T1, TFCN17337P5_003000-T1, TFCN17337P5_001013-T1, TFCN17337P5_002999-T1	DBVPG3775_002377-T1
GF00000637	TFCN17337P5_004382-T1, TFCN17337P5_005464-T1, TFCN17337P5_004384-T1, TFCN17337P5_005465-T1	DBVPG3775_003782-T1
GF00000638	TFCN17337P5_001084-T1, TFCN17337P5_009754-T1, TFCN17337P5_009753-T1, TFCN17337P5_001085-T1	DBVPG3775_006922-T1
GF00000639	TFCN17337P5_011657-T1, TFCN17337P5_003239-T1, TFCN17337P5_003240-T1, TFCN17337P5_011656-T1	DBVPG3775_003965-T1
GF00000640	TFCN17337P5_001206-T1, TFCN17337P5_011318-T1, TFCN17337P5_011320-T1	DBVPG3775_006347-T1, DBVPG3775_006349-T1
GF00000641	TFCN17337P5_001640-T1, TFCN17337P5_003767-T1, TFCN17337P5_003768-T1, TFCN17337P5_001641-T1	DBVPG3775_004430-T1
GF00000642	TFCN17337P5_001893-T1, TFCN17337P5_003134-T1, TFCN17337P5_003133-T1	DBVPG3775_004072-T1, DBVPG3775_004074-T1
GF00000643	TFCN17337P5_002006-T1, TFCN17337P5_007214-T1, TFCN17337P5_002007-T1, TFCN17337P5_007213-T1	DBVPG3775_004276-T1
GF00000644	TFCN17337P5_002043-T1, TFCN17337P5_009361-T1, TFCN17337P5_011594-T1	DBVPG3775_003019-T1, DBVPG3775_004575-T1
GF00000645	TFCN17337P5_002056-T1, TFCN17337P5_014738-T1, TFCN17337P5_014798-T1, TFCN17337P5_014762-T1	DBVPG3775_003005-T1
GF00000646	TFCN17337P5_002059-T1, TFCN17337P5_014605-T1, TFCN17337P5_014604-T1	DBVPG3775_003002-T1, DBVPG3775_003003-T1
GF00000647	TFCN17337P5_002063-T1, TFCN17337P5_014768-T1, TFCN17337P5_014754-T1	DBVPG3775_002998-T1, DBVPG3775_002999-T1
GF00000648	TFCN17337P5_002066-T1, TFCN17337P5_003360-T1, TFCN17337P5_006598-T1	DBVPG3775_002995-T1, DBVPG3775_003559-T1
GF00000649	TFCN17337P5_002120-T1, TFCN17337P5_003412-T1, TFCN17337P5_003413-T1	DBVPG3775_002942-T1, DBVPG3775_002943-T1
GF00000650	TFCN17337P5_011446-T1, TFCN17337P5_009021-T1, TFCN17337P5_009022-T1, TFCN17337P5_014574-T1	DBVPG3775_005372-T1
GF00000651	TFCN17337P5_002157-T1, TFCN17337P5_004311-T1, TFCN17337P5_002158-T1, TFCN17337P5_002159-T1	DBVPG3775_003703-T1
GF00000652	TFCN17337P5_002173-T1, TFCN17337P5_004826-T1, TFCN17337P5_014470-T1	DBVPG3775_003685-T1, DBVPG3775_005043-T1
GF00000653	TFCN17337P5_002254-T1, TFCN17337P5_004736-T1, TFCN17337P5_004737-T1	DBVPG3775_004958-T1, DBVPG3775_004959-T1
GF00000654	TFCN17337P5_002295-T1, TFCN17337P5_006458-T1, TFCN17337P5_006608-T1	DBVPG3775_001367-T1, DBVPG3775_003568-T1
GF00000655	TFCN17337P5_002323-T1, TFCN17337P5_006435-T1, TFCN17337P5_002324-T1	DBVPG3775_001394-T1, DBVPG3775_001395-T1
GF00000656	TFCN17337P5_002362-T1, TFCN17337P5_010267-T1, TFCN17337P5_010266-T1	DBVPG3775_001433-T1, DBVPG3775_001434-T1
GF00000657	TFCN17337P5_002428-T1, TFCN17337P5_013234-T1, TFCN17337P5_002429-T1	DBVPG3775_005060-T1, DBVPG3775_005061-T1
GF00000658	TFCN17337P5_002514-T1, TFCN17337P5_007534-T1, TFCN17337P5_007296-T1	DBVPG3775_000968-T1, DBVPG3775_000969-T1
GF00000659	TFCN17337P5_002748-T1, TFCN17337P5_004257-T1, TFCN17337P5_009517-T1	DBVPG3775_004922-T1, DBVPG3775_006594-T1
GF00000660	TFCN17337P5_002752-T1, TFCN17337P5_004253-T1, TFCN17337P5_012604-T1, TFCN17337P5_012605-T1	DBVPG3775_004918-T1
GF00000661	TFCN17337P5_002774-T1, TFCN17337P5_004232-T1, TFCN17337P5_002775-T1	DBVPG3775_004895-T1, DBVPG3775_004896-T1
GF00000662	TFCN17337P5_002791-T1, TFCN17337P5_004216-T1, TFCN17337P5_006518-T1	DBVPG3775_002209-T1, DBVPG3775_004878-T1
GF00000663	TFCN17337P5_002818-T1, TFCN17337P5_011822-T1, TFCN17337P5_002819-T1	DBVPG3775_004851-T1, DBVPG3775_004852-T1
GF00000664	TFCN17337P5_002856-T1, TFCN17337P5_011134-T1, TFCN17337P5_002867-T1	DBVPG3775_002028-T1, DBVPG3775_002038-T1
GF00000665	TFCN17337P5_014703-T1, TFCN17337P5_014681-T1, TFCN17337P5_014682-T1, TFCN17337P5_014702-T1	DBVPG3775_007566-T1
GF00000666	TFCN17337P5_003357-T1, TFCN17337P5_010373-T1, TFCN17337P5_010374-T1, TFCN17337P5_014231-T1	DBVPG3775_003848-T1
GF00000667	TFCN17337P5_003459-T1, TFCN17337P5_009257-T1, TFCN17337P5_003460-T1	DBVPG3775_002895-T1, DBVPG3775_002896-T1
GF00000668	TFCN17337P5_003562-T1, TFCN17337P5_009643-T1, TFCN17337P5_003563-T1, TFCN17337P5_009642-T1	DBVPG3775_000854-T1
GF00000669	TFCN17337P5_003564-T1, TFCN17337P5_009641-T1, TFCN17337P5_003565-T1, TFCN17337P5_009640-T1	DBVPG3775_000855-T1
GF00000670	TFCN17337P5_003570-T1, TFCN17337P5_009636-T1, TFCN17337P5_003571-T1	DBVPG3775_000859-T1, DBVPG3775_000860-T1
GF00000671	TFCN17337P5_003581-T1, TFCN17337P5_009625-T1, TFCN17337P5_009626-T1	DBVPG3775_000870-T1, DBVPG3775_000871-T1
GF00000672	TFCN17337P5_005768-T1, TFCN17337P5_005767-T1, TFCN17337P5_006743-T1	DBVPG3775_005771-T1, DBVPG3775_005772-T1
GF00000673	TFCN17337P5_003648-T1, TFCN17337P5_013401-T1, TFCN17337P5_003649-T1	DBVPG3775_001838-T1, DBVPG3775_001839-T1
GF00000674	TFCN17337P5_008502-T1, TFCN17337P5_010662-T1, TFCN17337P5_013820-T1	DBVPG3775_002569-T1, DBVPG3775_007473-T1
GF00000675	TFCN17337P5_003711-T1, TFCN17337P5_014537-T1, TFCN17337P5_003712-T1	DBVPG3775_001772-T1, DBVPG3775_001773-T1
GF00000676	TFCN17337P5_003873-T1, TFCN17337P5_005095-T1, TFCN17337P5_005094-T1	DBVPG3775_003077-T1, DBVPG3775_003078-T1
GF00000677	TFCN17337P5_003900-T1, TFCN17337P5_003901-T1, TFCN17337P5_005067-T1	DBVPG3775_003104-T1, DBVPG3775_003105-T1
GF00000678	TFCN17337P5_003942-T1, TFCN17337P5_003944-T1, TFCN17337P5_013514-T1	DBVPG3775_003147-T1, DBVPG3775_003149-T1
GF00000679	TFCN17337P5_004001-T1, TFCN17337P5_004156-T1, TFCN17337P5_011218-T1	DBVPG3775_000071-T1, DBVPG3775_001675-T1
GF00000680	TFCN17337P5_004028-T1, TFCN17337P5_004132-T1, TFCN17337P5_004029-T1, TFCN17337P5_004030-T1	DBVPG3775_001702-T1
GF00000681	TFCN17337P5_004035-T1, TFCN17337P5_004128-T1, TFCN17337P5_004036-T1, TFCN17337P5_004127-T1	DBVPG3775_001706-T1
GF00000682	TFCN17337P5_004367-T1, TFCN17337P5_005448-T1, TFCN17337P5_011203-T1	DBVPG3775_002723-T1, DBVPG3775_003766-T1
GF00000683	TFCN17337P5_004403-T1, TFCN17337P5_005485-T1, TFCN17337P5_005484-T1	DBVPG3775_003801-T1, DBVPG3775_003802-T1
GF00000684	TFCN17337P5_004407-T1, TFCN17337P5_013567-T1, TFCN17337P5_013566-T1, TFCN17337P5_013565-T1	DBVPG3775_002602-T1
GF00000685	TFCN17337P5_004410-T1, TFCN17337P5_013562-T1, TFCN17337P5_004411-T1	DBVPG3775_002605-T1, DBVPG3775_002606-T1
GF00000686	TFCN17337P5_004413-T1, TFCN17337P5_013560-T1, TFCN17337P5_004414-T1	DBVPG3775_002608-T1, DBVPG3775_002609-T1
GF00000687	TFCN17337P5_006351-T1, TFCN17337P5_006350-T1, TFCN17337P5_010251-T1, TFCN17337P5_010252-T1	DBVPG3775_007099-T1
GF00000688	TFCN17337P5_004555-T1, TFCN17337P5_004844-T1, TFCN17337P5_004556-T1, TFCN17337P5_004845-T1	DBVPG3775_005162-T1
GF00000689	TFCN17337P5_004592-T1, TFCN17337P5_004882-T1, TFCN17337P5_004593-T1, TFCN17337P5_004883-T1	DBVPG3775_005202-T1
GF00000690	TFCN17337P5_004938-T1, TFCN17337P5_012181-T1, TFCN17337P5_012016-T1	DBVPG3775_004829-T1, DBVPG3775_005256-T1
GF00000691	TFCN17337P5_005291-T1, TFCN17337P5_011261-T1, TFCN17337P5_011262-T1, TFCN17337P5_005292-T1	DBVPG3775_005656-T1
GF00000692	TFCN17337P5_005315-T1, TFCN17337P5_009688-T1, TFCN17337P5_005316-T1	DBVPG3775_004483-T1, DBVPG3775_004484-T1
GF00000693	TFCN17337P5_005320-T1, TFCN17337P5_009684-T1, TFCN17337P5_005324-T1	DBVPG3775_004488-T1, DBVPG3775_004492-T1
GF00000694	TFCN17337P5_005718-T1, TFCN17337P5_012473-T1, TFCN17337P5_012472-T1	DBVPG3775_006831-T1, DBVPG3775_006832-T1
GF00000695	TFCN17337P5_005794-T1, TFCN17337P5_012574-T1, TFCN17337P5_013681-T1	DBVPG3775_004725-T1, DBVPG3775_005741-T1
GF00000696	TFCN17337P5_005882-T1, TFCN17337P5_006535-T1, TFCN17337P5_005883-T1	DBVPG3775_002224-T1, DBVPG3775_002225-T1
GF00000697	TFCN17337P5_005907-T1, TFCN17337P5_012741-T1, TFCN17337P5_005908-T1	DBVPG3775_000666-T1, DBVPG3775_000667-T1
GF00000698	TFCN17337P5_005939-T1, TFCN17337P5_010928-T1, TFCN17337P5_005940-T1	DBVPG3775_000634-T1, DBVPG3775_000635-T1
GF00000699	TFCN17337P5_005943-T1, TFCN17337P5_010925-T1, TFCN17337P5_005944-T1, TFCN17337P5_010924-T1	DBVPG3775_000631-T1
GF00000700	TFCN17337P5_005949-T1, TFCN17337P5_010919-T1, TFCN17337P5_005950-T1	DBVPG3775_000625-T1, DBVPG3775_000626-T1
GF00000701	TFCN17337P5_005959-T1, TFCN17337P5_010911-T1, TFCN17337P5_006609-T1	DBVPG3775_000616-T1, DBVPG3775_003569-T1
GF00000702	TFCN17337P5_005966-T1, TFCN17337P5_005967-T1, TFCN17337P5_010904-T1	DBVPG3775_000608-T1, DBVPG3775_000609-T1
GF00000703	TFCN17337P5_005973-T1, TFCN17337P5_005974-T1, TFCN17337P5_012774-T1	DBVPG3775_003671-T1, DBVPG3775_003672-T1
GF00000704	TFCN17337P5_006327-T1, TFCN17337P5_010228-T1, TFCN17337P5_006328-T1	DBVPG3775_007122-T1, DBVPG3775_007123-T1
GF00000705	TFCN17337P5_006775-T1, TFCN17337P5_010708-T1, TFCN17337P5_010218-T1	DBVPG3775_006286-T1, DBVPG3775_006289-T1
GF00000706	TFCN17337P5_006848-T1, TFCN17337P5_010692-T1, TFCN17337P5_006849-T1	DBVPG3775_003810-T1, DBVPG3775_003811-T1
GF00000707	TFCN17337P5_006981-T1, TFCN17337P5_010453-T1, TFCN17337P5_006982-T1	DBVPG3775_007343-T1, DBVPG3775_007344-T1
GF00000708	TFCN17337P5_007019-T1, TFCN17337P5_008109-T1, TFCN17337P5_008125-T1, TFCN17337P5_008124-T1	DBVPG3775_005830-T1
GF00000709	TFCN17337P5_007022-T1, TFCN17337P5_007023-T1, TFCN17337P5_010484-T1	DBVPG3775_005833-T1, DBVPG3775_005834-T1
GF00000710	TFCN17337P5_007065-T1, TFCN17337P5_007798-T1, TFCN17337P5_008359-T1	DBVPG3775_003539-T1, DBVPG3775_005874-T1
GF00000711	TFCN17337P5_007139-T1, TFCN17337P5_014730-T1, TFCN17337P5_012858-T1, TFCN17337P5_014128-T1	DBVPG3775_006955-T1
GF00000712	TFCN17337P5_008702-T1, TFCN17337P5_007173-T1, TFCN17337P5_008701-T1	DBVPG3775_006405-T1, DBVPG3775_006406-T1
GF00000713	TFCN17337P5_007159-T1, TFCN17337P5_013034-T1, TFCN17337P5_008699-T1	DBVPG3775_006403-T1, DBVPG3775_006974-T1
GF00000714	TFCN17337P5_007332-T1, TFCN17337P5_007364-T1, TFCN17337P5_013526-T1	DBVPG3775_000907-T1, DBVPG3775_000934-T1
GF00000715	TFCN17337P5_007333-T1, TFCN17337P5_013527-T1, TFCN17337P5_007365-T1	DBVPG3775_000908-T1, DBVPG3775_000933-T1
GF00000716	TFCN17337P5_007463-T1, TFCN17337P5_009903-T1, TFCN17337P5_007464-T1	DBVPG3775_006161-T1, DBVPG3775_006162-T1
GF00000717	TFCN17337P5_007479-T1, TFCN17337P5_014392-T1, TFCN17337P5_014308-T1, TFCN17337P5_014410-T1	DBVPG3775_001024-T1
GF00000718	TFCN17337P5_007742-T1, TFCN17337P5_010953-T1, TFCN17337P5_010955-T1	DBVPG3775_003343-T1, DBVPG3775_003345-T1
GF00000719	TFCN17337P5_007836-T1, TFCN17337P5_012222-T1, TFCN17337P5_007838-T1, TFCN17337P5_007837-T1	DBVPG3775_003470-T1
GF00000720	TFCN17337P5_008064-T1, TFCN17337P5_011983-T1, TFCN17337P5_011984-T1	DBVPG3775_007388-T1, DBVPG3775_007389-T1
GF00000721	TFCN17337P5_008084-T1, TFCN17337P5_011962-T1, TFCN17337P5_008085-T1	DBVPG3775_005805-T1, DBVPG3775_005806-T1
GF00000722	TFCN17337P5_008139-T1, TFCN17337P5_008978-T1, TFCN17337P5_008977-T1	DBVPG3775_001506-T1, DBVPG3775_001507-T1
GF00000723	TFCN17337P5_008160-T1, TFCN17337P5_009001-T1, TFCN17337P5_009002-T1, TFCN17337P5_008161-T1	DBVPG3775_001541-T1
GF00000724	TFCN17337P5_008533-T1, TFCN17337P5_009811-T1, TFCN17337P5_008754-T1	DBVPG3775_006456-T1, DBVPG3775_006975-T1
GF00000725	TFCN17337P5_008537-T1, TFCN17337P5_008539-T1, TFCN17337P5_008540-T1	DBVPG3775_006979-T1, DBVPG3775_006980-T1
GF00000726	TFCN17337P5_008587-T1, TFCN17337P5_013916-T1, TFCN17337P5_013665-T1	DBVPG3775_006644-T1, DBVPG3775_007548-T1
GF00000727	TFCN17337P5_008670-T1, TFCN17337P5_010825-T1, TFCN17337P5_010826-T1	DBVPG3775_006710-T1, DBVPG3775_006711-T1
GF00000728	TFCN17337P5_008693-T1, TFCN17337P5_010849-T1	DBVPG3775_006735-T1, DBVPG3775_006736-T1, DBVPG3775_006737-T1
GF00000729	TFCN17337P5_008832-T1, TFCN17337P5_013942-T1, TFCN17337P5_014628-T1	DBVPG3775_004774-T1, DBVPG3775_004777-T1
GF00000730	TFCN17337P5_008837-T1, TFCN17337P5_012073-T1, TFCN17337P5_012072-T1	DBVPG3775_004782-T1, DBVPG3775_004783-T1
GF00000731	TFCN17337P5_008849-T1, TFCN17337P5_012086-T1, TFCN17337P5_012085-T1	DBVPG3775_004796-T1, DBVPG3775_004797-T1
GF00000732	TFCN17337P5_011476-T1, TFCN17337P5_010500-T1, TFCN17337P5_013856-T1	DBVPG3775_001576-T1, DBVPG3775_001606-T1
GF00000733	TFCN17337P5_009029-T1, TFCN17337P5_011452-T1, TFCN17337P5_011453-T1	DBVPG3775_005365-T1, DBVPG3775_005366-T1
GF00000734	TFCN17337P5_009076-T1, TFCN17337P5_014430-T1, TFCN17337P5_014486-T1	DBVPG3775_002074-T1, DBVPG3775_002598-T1
GF00000735	TFCN17337P5_009590-T1, TFCN17337P5_013375-T1, TFCN17337P5_013376-T1	DBVPG3775_007439-T1, DBVPG3775_007440-T1
GF00000736	TFCN17337P5_009731-T1, TFCN17337P5_010562-T1, TFCN17337P5_010563-T1	DBVPG3775_001629-T1, DBVPG3775_001630-T1
GF00000737	TFCN17337P5_009920-T1, TFCN17337P5_011691-T1, TFCN17337P5_011692-T1	DBVPG3775_007194-T1, DBVPG3775_007195-T1
GF00000738	TFCN17337P5_010048-T1, TFCN17337P5_013200-T1	DBVPG3775_003255-T1, DBVPG3775_003451-T1, DBVPG3775_006879-T1
GF00000739	TFCN17337P5_010159-T1, TFCN17337P5_010161-T1	DBVPG3775_004624-T1, DBVPG3775_004626-T1, DBVPG3775_004627-T1
GF00000740	TFCN17337P5_010216-T1, TFCN17337P5_012577-T1, TFCN17337P5_014425-T1	DBVPG3775_004722-T1, DBVPG3775_006288-T1
GF00000741	TFCN17337P5_010526-T1, TFCN17337P5_013854-T1, TFCN17337P5_010527-T1	DBVPG3775_001578-T1, DBVPG3775_001579-T1
GF00000742	TFCN17337P5_010530-T1, TFCN17337P5_013619-T1, TFCN17337P5_013620-T1	DBVPG3775_001573-T1, DBVPG3775_001574-T1
GF00000743	TFCN17337P5_010746-T1, TFCN17337P5_012978-T1, TFCN17337P5_012979-T1	DBVPG3775_006107-T1, DBVPG3775_006108-T1
GF00000744	TFCN17337P5_011416-T1, TFCN17337P5_013615-T1, TFCN17337P5_013614-T1	DBVPG3775_002700-T1, DBVPG3775_002701-T1
