	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa
GF00000387	CHIFNET13H1268_010810-T1, CHIFNET13H1268_002528-T1, CHIFNET13H1268_002489-T1, CHIFNET13H1268_011715-T1
GF00000388	CHIFNET13H1268_002107-T1, CHIFNET13H1268_009722-T1, CHIFNET13H1268_004377-T1, CHIFNET13H1268_014513-T1
GF00000389	CHIFNET13H1268_000684-T1, CHIFNET13H1268_006907-T1, CHIFNET13H1268_005209-T1, CHIFNET13H1268_005208-T1
GF00000390	CHIFNET13H1268_004378-T1, CHIFNET13H1268_014514-T1, CHIFNET13H1268_000988-T1, CHIFNET13H1268_003751-T1
GF00000391	CHIFNET13H1268_010473-T1, CHIFNET13H1268_005541-T1, CHIFNET13H1268_005539-T1, CHIFNET13H1268_010472-T1
GF00000392	CHIFNET13H1268_000572-T1, CHIFNET13H1268_008335-T1, CHIFNET13H1268_000995-T1, CHIFNET13H1268_003759-T1
GF00000393	CHIFNET13H1268_011474-T1, CHIFNET13H1268_014525-T1, CHIFNET13H1268_009507-T1, CHIFNET13H1268_002880-T1
GF00000394	CHIFNET13H1268_005020-T1, CHIFNET13H1268_008829-T1, CHIFNET13H1268_008828-T1, CHIFNET13H1268_005021-T1
GF00000395	CHIFNET13H1268_013046-T1, CHIFNET13H1268_005433-T1, CHIFNET13H1268_001747-T1, CHIFNET13H1268_001301-T1
GF00000396	CHIFNET13H1268_014499-T1, CHIFNET13H1268_014419-T1, CHIFNET13H1268_011141-T1, CHIFNET13H1268_002628-T1
GF00000397	CHIFNET13H1268_007522-T1, CHIFNET13H1268_008730-T1, CHIFNET13H1268_007520-T1, CHIFNET13H1268_008732-T1
GF00000398	CHIFNET13H1268_014151-T1, CHIFNET13H1268_001850-T1, CHIFNET13H1268_008319-T1, CHIFNET13H1268_000556-T1
GF00000399	CHIFNET13H1268_005962-T1, CHIFNET13H1268_014063-T1, CHIFNET13H1268_001262-T1, CHIFNET13H1268_013988-T1
GF00000400	CHIFNET13H1268_008896-T1, CHIFNET13H1268_004273-T1, CHIFNET13H1268_004126-T1, CHIFNET13H1268_007888-T1
GF00000401	CHIFNET13H1268_001166-T1, CHIFNET13H1268_011500-T1, CHIFNET13H1268_011912-T1, CHIFNET13H1268_012060-T1
GF00000402	CHIFNET13H1268_009779-T1, CHIFNET13H1268_009470-T1, CHIFNET13H1268_006977-T1, CHIFNET13H1268_000607-T1
GF00000403	CHIFNET13H1268_008643-T1, CHIFNET13H1268_014580-T1, CHIFNET13H1268_014175-T1, CHIFNET13H1268_008495-T1
GF00000404	CHIFNET13H1268_002383-T1, CHIFNET13H1268_003333-T1, CHIFNET13H1268_002384-T1, CHIFNET13H1268_003332-T1
GF00000405	CHIFNET13H1268_002455-T1, CHIFNET13H1268_012952-T1, CHIFNET13H1268_007032-T1, CHIFNET13H1268_014035-T1
GF00000406	CHIFNET13H1268_005750-T1, CHIFNET13H1268_005081-T1, CHIFNET13H1268_011469-T1, CHIFNET13H1268_014520-T1
GF00000407	CHIFNET13H1268_011968-T1, CHIFNET13H1268_004576-T1, CHIFNET13H1268_006728-T1, CHIFNET13H1268_006729-T1
GF00000408	CHIFNET13H1268_012536-T1, CHIFNET13H1268_003932-T1, CHIFNET13H1268_014826-T1, CHIFNET13H1268_008491-T1
GF00000409	CHIFNET13H1268_000444-T1, CHIFNET13H1268_001880-T1, CHIFNET13H1268_000446-T1, CHIFNET13H1268_001878-T1
GF00000410	CHIFNET13H1268_004490-T1, CHIFNET13H1268_006332-T1, CHIFNET13H1268_006333-T1, CHIFNET13H1268_004489-T1
GF00000411	CHIFNET13H1268_002663-T1, CHIFNET13H1268_009617-T1, CHIFNET13H1268_011598-T1, CHIFNET13H1268_012713-T1
GF00000412	CHIFNET13H1268_009144-T1, CHIFNET13H1268_006704-T1, CHIFNET13H1268_009145-T1, CHIFNET13H1268_006705-T1
GF00000413	CHIFNET13H1268_009311-T1, CHIFNET13H1268_012134-T1, CHIFNET13H1268_009312-T1, CHIFNET13H1268_009314-T1
GF00000414	CHIFNET13H1268_014531-T1, CHIFNET13H1268_001368-T1, CHIFNET13H1268_001814-T1, CHIFNET13H1268_001254-T1
GF00000415	CHIFNET13H1268_013005-T1, CHIFNET13H1268_013924-T1, CHIFNET13H1268_008350-T1, CHIFNET13H1268_000586-T1
GF00000416	CHIFNET13H1268_008188-T1, CHIFNET13H1268_009656-T1, CHIFNET13H1268_001205-T1, CHIFNET13H1268_010555-T1
GF00000417	CHIFNET13H1268_013346-T1, CHIFNET13H1268_004651-T1, CHIFNET13H1268_005427-T1, CHIFNET13H1268_013052-T1
GF00000418	CHIFNET13H1268_000656-T1, CHIFNET13H1268_007022-T1, CHIFNET13H1268_013559-T1, CHIFNET13H1268_013655-T1
GF00000419	CHIFNET13H1268_009373-T1, CHIFNET13H1268_009362-T1, CHIFNET13H1268_003002-T1, CHIFNET13H1268_002991-T1
GF00000420	CHIFNET13H1268_010336-T1, CHIFNET13H1268_000372-T1, CHIFNET13H1268_001955-T1, CHIFNET13H1268_007511-T1
GF00000421	CHIFNET13H1268_000006-T1, CHIFNET13H1268_004410-T1, CHIFNET13H1268_000007-T1, CHIFNET13H1268_004409-T1
GF00000422	CHIFNET13H1268_001055-T1, CHIFNET13H1268_013615-T1, CHIFNET13H1268_003164-T1, CHIFNET13H1268_015053-T1
GF00000423	CHIFNET13H1268_010896-T1, CHIFNET13H1268_007958-T1, CHIFNET13H1268_007959-T1, CHIFNET13H1268_010897-T1
GF00000424	CHIFNET13H1268_009176-T1, CHIFNET13H1268_008583-T1, CHIFNET13H1268_014620-T1, CHIFNET13H1268_002923-T1
GF00000425	CHIFNET13H1268_002323-T1, CHIFNET13H1268_002320-T1, CHIFNET13H1268_003398-T1, CHIFNET13H1268_003395-T1
GF00000426	CHIFNET13H1268_014964-T1, CHIFNET13H1268_014963-T1, CHIFNET13H1268_014985-T1, CHIFNET13H1268_012694-T1
GF00000427	CHIFNET13H1268_009068-T1, CHIFNET13H1268_008110-T1, CHIFNET13H1268_006956-T1, CHIFNET13H1268_005831-T1
GF00000428	CHIFNET13H1268_002799-T1, CHIFNET13H1268_009039-T1, CHIFNET13H1268_009956-T1, CHIFNET13H1268_013458-T1
GF00000429	CHIFNET13H1268_007609-T1, CHIFNET13H1268_007410-T1, CHIFNET13H1268_007608-T1, CHIFNET13H1268_007409-T1
GF00000430	CHIFNET13H1268_008774-T1, CHIFNET13H1268_008976-T1, CHIFNET13H1268_014016-T1, CHIFNET13H1268_013886-T1
GF00000431	CHIFNET13H1268_007418-T1, CHIFNET13H1268_007616-T1, CHIFNET13H1268_001753-T1, CHIFNET13H1268_001307-T1
GF00000432	CHIFNET13H1268_009700-T1, CHIFNET13H1268_008234-T1, CHIFNET13H1268_006809-T1, CHIFNET13H1268_014883-T1
GF00000433	CHIFNET13H1268_014008-T1, CHIFNET13H1268_012218-T1, CHIFNET13H1268_001557-T1, CHIFNET13H1268_003577-T1
GF00000434	CHIFNET13H1268_012268-T1, CHIFNET13H1268_010408-T1, CHIFNET13H1268_006560-T1, CHIFNET13H1268_007797-T1
GF00000435	CHIFNET13H1268_006440-T1, CHIFNET13H1268_007669-T1, CHIFNET13H1268_011944-T1, CHIFNET13H1268_006525-T1
GF00000436	CHIFNET13H1268_009838-T1, CHIFNET13H1268_009926-T1, CHIFNET13H1268_007473-T1, CHIFNET13H1268_012678-T1
GF00000437	CHIFNET13H1268_005711-T1, CHIFNET13H1268_013917-T1, CHIFNET13H1268_011320-T1, CHIFNET13H1268_011319-T1
GF00000438	CHIFNET13H1268_011948-T1, CHIFNET13H1268_006521-T1, CHIFNET13H1268_006557-T1, CHIFNET13H1268_012271-T1
GF00000439	CHIFNET13H1268_011955-T1, CHIFNET13H1268_006514-T1, CHIFNET13H1268_014163-T1, CHIFNET13H1268_006511-T1
GF00000440	CHIFNET13H1268_001999-T1, CHIFNET13H1268_014597-T1, CHIFNET13H1268_002006-T1, CHIFNET13H1268_014356-T1
GF00000441	CHIFNET13H1268_013245-T1, CHIFNET13H1268_014454-T1, CHIFNET13H1268_004580-T1, CHIFNET13H1268_013112-T1
GF00000442	CHIFNET13H1268_012761-T1, CHIFNET13H1268_014120-T1, CHIFNET13H1268_012760-T1, CHIFNET13H1268_014121-T1
GF00000443	CHIFNET13H1268_010078-T1, CHIFNET13H1268_007224-T1, CHIFNET13H1268_005438-T1, CHIFNET13H1268_005488-T1
GF00000444	CHIFNET13H1268_012279-T1, CHIFNET13H1268_002475-T1, CHIFNET13H1268_002468-T1, CHIFNET13H1268_011701-T1
GF00000445	CHIFNET13H1268_007372-T1, CHIFNET13H1268_001652-T1, CHIFNET13H1268_009237-T1, CHIFNET13H1268_013087-T1
GF00000446	CHIFNET13H1268_002490-T1, CHIFNET13H1268_002527-T1, CHIFNET13H1268_011716-T1, CHIFNET13H1268_010811-T1
GF00000447	CHIFNET13H1268_002209-T1, CHIFNET13H1268_014646-T1, CHIFNET13H1268_006239-T1
GF00000448	CHIFNET13H1268_014066-T1, CHIFNET13H1268_005960-T1, CHIFNET13H1268_014065-T1
GF00000449	CHIFNET13H1268_000983-T1, CHIFNET13H1268_003746-T1, CHIFNET13H1268_008044-T1
GF00000450	CHIFNET13H1268_012099-T1, CHIFNET13H1268_004380-T1, CHIFNET13H1268_014516-T1
GF00000451	CHIFNET13H1268_003710-T1, CHIFNET13H1268_008082-T1, CHIFNET13H1268_000947-T1
GF00000452	CHIFNET13H1268_004889-T1, CHIFNET13H1268_011684-T1, CHIFNET13H1268_011683-T1
GF00000453	CHIFNET13H1268_004956-T1, CHIFNET13H1268_014302-T1, CHIFNET13H1268_014303-T1
GF00000454	CHIFNET13H1268_007768-T1, CHIFNET13H1268_014925-T1, CHIFNET13H1268_012098-T1
GF00000455	CHIFNET13H1268_008237-T1, CHIFNET13H1268_014876-T1, CHIFNET13H1268_014194-T1
GF00000456	CHIFNET13H1268_007159-T1, CHIFNET13H1268_005998-T1, CHIFNET13H1268_014853-T1
GF00000457	CHIFNET13H1268_013546-T1, CHIFNET13H1268_006494-T1, CHIFNET13H1268_013545-T1
GF00000458	CHIFNET13H1268_004373-T1, CHIFNET13H1268_014946-T1, CHIFNET13H1268_014952-T1
GF00000459	CHIFNET13H1268_003633-T1, CHIFNET13H1268_000314-T1, CHIFNET13H1268_012743-T1
GF00000460	CHIFNET13H1268_010739-T1, CHIFNET13H1268_010583-T1, CHIFNET13H1268_010584-T1
GF00000461	CHIFNET13H1268_009078-T1, CHIFNET13H1268_008121-T1, CHIFNET13H1268_008120-T1
GF00000462	CHIFNET13H1268_011830-T1, CHIFNET13H1268_008942-T1, CHIFNET13H1268_008941-T1
GF00000463	CHIFNET13H1268_004595-T1, CHIFNET13H1268_012155-T1, CHIFNET13H1268_012157-T1
GF00000464	CHIFNET13H1268_004281-T1, CHIFNET13H1268_008888-T1, CHIFNET13H1268_012255-T1
GF00000465	CHIFNET13H1268_000344-T1, CHIFNET13H1268_001982-T1, CHIFNET13H1268_000343-T1
GF00000466	CHIFNET13H1268_006899-T1, CHIFNET13H1268_013807-T1, CHIFNET13H1268_013808-T1
GF00000467	CHIFNET13H1268_001467-T1, CHIFNET13H1268_006838-T1, CHIFNET13H1268_009738-T1
GF00000468	CHIFNET13H1268_011483-T1, CHIFNET13H1268_001147-T1, CHIFNET13H1268_001146-T1
GF00000469	CHIFNET13H1268_013277-T1, CHIFNET13H1268_008516-T1, CHIFNET13H1268_008517-T1
GF00000470	CHIFNET13H1268_007425-T1, CHIFNET13H1268_007623-T1, CHIFNET13H1268_007624-T1
GF00000471	CHIFNET13H1268_005025-T1, CHIFNET13H1268_008824-T1, CHIFNET13H1268_005026-T1
GF00000472	CHIFNET13H1268_000963-T1, CHIFNET13H1268_003726-T1, CHIFNET13H1268_008064-T1
GF00000473	CHIFNET13H1268_008092-T1, CHIFNET13H1268_000938-T1, CHIFNET13H1268_003701-T1
GF00000474	CHIFNET13H1268_006351-T1, CHIFNET13H1268_007169-T1, CHIFNET13H1268_007170-T1
GF00000475	CHIFNET13H1268_000315-T1, CHIFNET13H1268_003634-T1, CHIFNET13H1268_012744-T1
GF00000476	CHIFNET13H1268_012920-T1, CHIFNET13H1268_005605-T1, CHIFNET13H1268_005597-T1
GF00000477	CHIFNET13H1268_001675-T1, CHIFNET13H1268_009257-T1, CHIFNET13H1268_001673-T1
GF00000478	CHIFNET13H1268_009795-T1, CHIFNET13H1268_009886-T1, CHIFNET13H1268_006968-T1
GF00000479	CHIFNET13H1268_008068-T1, CHIFNET13H1268_000959-T1, CHIFNET13H1268_003722-T1
GF00000480	CHIFNET13H1268_002567-T1, CHIFNET13H1268_011163-T1, CHIFNET13H1268_011164-T1
GF00000481	CHIFNET13H1268_000958-T1, CHIFNET13H1268_003721-T1, CHIFNET13H1268_008069-T1
GF00000482	CHIFNET13H1268_012427-T1, CHIFNET13H1268_007143-T1, CHIFNET13H1268_007144-T1
GF00000483	CHIFNET13H1268_008522-T1, CHIFNET13H1268_014918-T1, CHIFNET13H1268_014434-T1
GF00000484	CHIFNET13H1268_001024-T1, CHIFNET13H1268_010650-T1, CHIFNET13H1268_010649-T1
GF00000485	CHIFNET13H1268_008221-T1, CHIFNET13H1268_009688-T1, CHIFNET13H1268_008222-T1
GF00000486	CHIFNET13H1268_009669-T1, CHIFNET13H1268_008201-T1, CHIFNET13H1268_009668-T1
GF00000487	CHIFNET13H1268_009441-T1, CHIFNET13H1268_014926-T1, CHIFNET13H1268_013231-T1
GF00000488	CHIFNET13H1268_012460-T1, CHIFNET13H1268_004333-T1, CHIFNET13H1268_015035-T1
GF00000489	CHIFNET13H1268_005118-T1, CHIFNET13H1268_012192-T1, CHIFNET13H1268_013978-T1
GF00000490	CHIFNET13H1268_008160-T1, CHIFNET13H1268_009114-T1, CHIFNET13H1268_014479-T1
GF00000491	CHIFNET13H1268_003685-T1, CHIFNET13H1268_000922-T1, CHIFNET13H1268_008108-T1
GF00000492	CHIFNET13H1268_013534-T1, CHIFNET13H1268_011539-T1, CHIFNET13H1268_011314-T1
GF00000493	CHIFNET13H1268_013273-T1, CHIFNET13H1268_008521-T1, CHIFNET13H1268_014917-T1
GF00000494	CHIFNET13H1268_007486-T1, CHIFNET13H1268_010311-T1, CHIFNET13H1268_010310-T1
GF00000495	CHIFNET13H1268_002102-T1, CHIFNET13H1268_009704-T1, CHIFNET13H1268_009716-T1
GF00000496	CHIFNET13H1268_001524-T1, CHIFNET13H1268_013766-T1, CHIFNET13H1268_001523-T1
GF00000497	CHIFNET13H1268_011081-T1, CHIFNET13H1268_012618-T1, CHIFNET13H1268_014628-T1
GF00000498	CHIFNET13H1268_002961-T1, CHIFNET13H1268_008548-T1, CHIFNET13H1268_008547-T1
GF00000499	CHIFNET13H1268_002859-T1, CHIFNET13H1268_009525-T1, CHIFNET13H1268_002860-T1
GF00000500	CHIFNET13H1268_014159-T1, CHIFNET13H1268_006508-T1, CHIFNET13H1268_014160-T1
GF00000501	CHIFNET13H1268_009604-T1, CHIFNET13H1268_002676-T1, CHIFNET13H1268_009603-T1
GF00000502	CHIFNET13H1268_007428-T1, CHIFNET13H1268_007626-T1, CHIFNET13H1268_007427-T1
GF00000503	CHIFNET13H1268_011517-T1, CHIFNET13H1268_011339-T1, CHIFNET13H1268_011516-T1
GF00000504	CHIFNET13H1268_014767-T1, CHIFNET13H1268_014966-T1, CHIFNET13H1268_010384-T1
GF00000505	CHIFNET13H1268_008540-T1, CHIFNET13H1268_002968-T1, CHIFNET13H1268_008539-T1
GF00000506	CHIFNET13H1268_003340-T1, CHIFNET13H1268_002377-T1, CHIFNET13H1268_000662-T1
GF00000507	CHIFNET13H1268_000932-T1, CHIFNET13H1268_008098-T1, CHIFNET13H1268_003695-T1
GF00000508	CHIFNET13H1268_007740-T1, CHIFNET13H1268_012071-T1, CHIFNET13H1268_015074-T1
GF00000509	CHIFNET13H1268_013548-T1, CHIFNET13H1268_006491-T1, CHIFNET13H1268_006492-T1
GF00000510	CHIFNET13H1268_014306-T1, CHIFNET13H1268_004952-T1, CHIFNET13H1268_004953-T1
GF00000511	CHIFNET13H1268_000110-T1, CHIFNET13H1268_006603-T1, CHIFNET13H1268_006604-T1
GF00000512	CHIFNET13H1268_011682-T1, CHIFNET13H1268_004891-T1, CHIFNET13H1268_004890-T1
GF00000513	CHIFNET13H1268_008091-T1, CHIFNET13H1268_003702-T1, CHIFNET13H1268_000939-T1
GF00000514	CHIFNET13H1268_007431-T1, CHIFNET13H1268_007629-T1, CHIFNET13H1268_007432-T1
GF00000515	CHIFNET13H1268_007463-T1, CHIFNET13H1268_012689-T1, CHIFNET13H1268_012690-T1
GF00000516	CHIFNET13H1268_008833-T1, CHIFNET13H1268_005017-T1, CHIFNET13H1268_008830-T1
GF00000517	CHIFNET13H1268_006062-T1, CHIFNET13H1268_004924-T1, CHIFNET13H1268_012796-T1
GF00000518	CHIFNET13H1268_000971-T1, CHIFNET13H1268_008056-T1, CHIFNET13H1268_003734-T1
GF00000519	CHIFNET13H1268_006191-T1, CHIFNET13H1268_002162-T1, CHIFNET13H1268_002161-T1
GF00000520	CHIFNET13H1268_000952-T1, CHIFNET13H1268_008075-T1, CHIFNET13H1268_003715-T1
GF00000521	CHIFNET13H1268_014803-T1, CHIFNET13H1268_013040-T1, CHIFNET13H1268_013041-T1
GF00000522	CHIFNET13H1268_004578-T1, CHIFNET13H1268_014456-T1, CHIFNET13H1268_006726-T1
GF00000523	CHIFNET13H1268_011616-T1, CHIFNET13H1268_004612-T1, CHIFNET13H1268_004611-T1
GF00000524	CHIFNET13H1268_003080-T1, CHIFNET13H1268_010137-T1, CHIFNET13H1268_013195-T1
GF00000525	CHIFNET13H1268_002254-T1, CHIFNET13H1268_003507-T1, CHIFNET13H1268_003506-T1
GF00000526	CHIFNET13H1268_009530-T1, CHIFNET13H1268_002853-T1, CHIFNET13H1268_002854-T1
GF00000527	CHIFNET13H1268_013441-T1, CHIFNET13H1268_002779-T1, CHIFNET13H1268_002778-T1
GF00000528	CHIFNET13H1268_000286-T1, CHIFNET13H1268_003604-T1, CHIFNET13H1268_013612-T1
GF00000529	CHIFNET13H1268_014409-T1, CHIFNET13H1268_011969-T1, CHIFNET13H1268_013498-T1
GF00000530	CHIFNET13H1268_009513-T1, CHIFNET13H1268_002872-T1, CHIFNET13H1268_003350-T1
GF00000531	CHIFNET13H1268_008073-T1, CHIFNET13H1268_000954-T1, CHIFNET13H1268_003717-T1
GF00000532	CHIFNET13H1268_003615-T1, CHIFNET13H1268_000296-T1, CHIFNET13H1268_012721-T1
GF00000533	CHIFNET13H1268_014694-T1, CHIFNET13H1268_009423-T1, CHIFNET13H1268_013212-T1
GF00000534	CHIFNET13H1268_002905-T1, CHIFNET13H1268_014223-T1, CHIFNET13H1268_002909-T1
GF00000535	CHIFNET13H1268_009393-T1, CHIFNET13H1268_014558-T1, CHIFNET13H1268_014557-T1
GF00000536	CHIFNET13H1268_006403-T1, CHIFNET13H1268_004426-T1, CHIFNET13H1268_004432-T1
GF00000537	CHIFNET13H1268_009016-T1, CHIFNET13H1268_009934-T1, CHIFNET13H1268_009933-T1
GF00000538	CHIFNET13H1268_014332-T1, CHIFNET13H1268_001003-T1, CHIFNET13H1268_010669-T1
GF00000539	CHIFNET13H1268_000974-T1, CHIFNET13H1268_008053-T1, CHIFNET13H1268_003737-T1
GF00000540	CHIFNET13H1268_002624-T1, CHIFNET13H1268_011145-T1, CHIFNET13H1268_002623-T1
GF00000541	CHIFNET13H1268_010764-T1, CHIFNET13H1268_014541-T1, CHIFNET13H1268_014540-T1
GF00000542	CHIFNET13H1268_010076-T1, CHIFNET13H1268_005489-T1, CHIFNET13H1268_010077-T1
GF00000543	CHIFNET13H1268_003970-T1, CHIFNET13H1268_008684-T1, CHIFNET13H1268_003969-T1
GF00000544	CHIFNET13H1268_014798-T1, CHIFNET13H1268_014811-T1, CHIFNET13H1268_013827-T1
GF00000545	CHIFNET13H1268_008610-T1, CHIFNET13H1268_004854-T1, CHIFNET13H1268_008611-T1
GF00000546	CHIFNET13H1268_000757-T1, CHIFNET13H1268_003864-T1, CHIFNET13H1268_003863-T1
GF00000547	CHIFNET13H1268_010513-T1, CHIFNET13H1268_009210-T1, CHIFNET13H1268_009209-T1
GF00000548	CHIFNET13H1268_001973-T1, CHIFNET13H1268_000354-T1, CHIFNET13H1268_000353-T1
GF00000549	CHIFNET13H1268_011769-T1, CHIFNET13H1268_005944-T1, CHIFNET13H1268_009543-T1
GF00000550	CHIFNET13H1268_011101-T1, CHIFNET13H1268_012597-T1, CHIFNET13H1268_012596-T1
GF00000551	CHIFNET13H1268_005218-T1, CHIFNET13H1268_000675-T1, CHIFNET13H1268_014969-T1
GF00000552	CHIFNET13H1268_003704-T1, CHIFNET13H1268_000941-T1, CHIFNET13H1268_008089-T1
GF00000553	CHIFNET13H1268_008660-T1, CHIFNET13H1268_014751-T1, CHIFNET13H1268_014972-T1
GF00000554	CHIFNET13H1268_001204-T1, CHIFNET13H1268_006201-T1, CHIFNET13H1268_010556-T1
GF00000555	CHIFNET13H1268_004032-T1, CHIFNET13H1268_014708-T1, CHIFNET13H1268_011032-T1
GF00000556	CHIFNET13H1268_011505-T1, CHIFNET13H1268_001172-T1, CHIFNET13H1268_015001-T1
GF00000557	CHIFNET13H1268_003731-T1, CHIFNET13H1268_000968-T1, CHIFNET13H1268_008059-T1
GF00000558	CHIFNET13H1268_005298-T1, CHIFNET13H1268_001431-T1, CHIFNET13H1268_001432-T1
GF00000559	CHIFNET13H1268_000994-T1, CHIFNET13H1268_003758-T1, CHIFNET13H1268_003757-T1
GF00000560	CHIFNET13H1268_008062-T1, CHIFNET13H1268_003728-T1, CHIFNET13H1268_000965-T1
GF00000561	CHIFNET13H1268_008700-T1, CHIFNET13H1268_007553-T1, CHIFNET13H1268_007112-T1
GF00000562	CHIFNET13H1268_006798-T1, CHIFNET13H1268_004511-T1, CHIFNET13H1268_004512-T1
GF00000563	CHIFNET13H1268_004800-T1, CHIFNET13H1268_005618-T1, CHIFNET13H1268_004801-T1
GF00000564	CHIFNET13H1268_007572-T1, CHIFNET13H1268_000032-T1, CHIFNET13H1268_007571-T1
GF00000565	CHIFNET13H1268_004795-T1, CHIFNET13H1268_005624-T1, CHIFNET13H1268_005623-T1
GF00000566	CHIFNET13H1268_002045-T1, CHIFNET13H1268_009885-T1, CHIFNET13H1268_014807-T1
GF00000567	CHIFNET13H1268_002902-T1, CHIFNET13H1268_009488-T1, CHIFNET13H1268_015086-T1
GF00000568	CHIFNET13H1268_002290-T1, CHIFNET13H1268_003426-T1, CHIFNET13H1268_003152-T1
GF00000569	CHIFNET13H1268_003040-T1, CHIFNET13H1268_009218-T1, CHIFNET13H1268_010506-T1
GF00000570	CHIFNET13H1268_002289-T1, CHIFNET13H1268_003476-T1, CHIFNET13H1268_015008-T1
GF00000571	CHIFNET13H1268_004030-T1, CHIFNET13H1268_014706-T1, CHIFNET13H1268_004029-T1
GF00000572	CHIFNET13H1268_004230-T1, CHIFNET13H1268_008882-T1, CHIFNET13H1268_004229-T1
GF00000573	CHIFNET13H1268_014997-T1, CHIFNET13H1268_014998-T1, CHIFNET13H1268_014999-T1
GF00000574	CHIFNET13H1268_013031-T1, CHIFNET13H1268_013418-T1, CHIFNET13H1268_013417-T1
GF00000575	CHIFNET13H1268_006187-T1, CHIFNET13H1268_002158-T1, CHIFNET13H1268_002157-T1
GF00000576	CHIFNET13H1268_004491-T1, CHIFNET13H1268_006331-T1, CHIFNET13H1268_006330-T1
GF00000577	CHIFNET13H1268_002010-T1, CHIFNET13H1268_014113-T1, CHIFNET13H1268_014601-T1
GF00000578	CHIFNET13H1268_007468-T1, CHIFNET13H1268_012683-T1, CHIFNET13H1268_012684-T1
GF00000579	CHIFNET13H1268_002706-T1, CHIFNET13H1268_006266-T1, CHIFNET13H1268_006265-T1
GF00000580	CHIFNET13H1268_011426-T1, CHIFNET13H1268_001230-T1, CHIFNET13H1268_001231-T1
GF00000581	CHIFNET13H1268_008014-T1, CHIFNET13H1268_011203-T1, CHIFNET13H1268_008015-T1
GF00000582	CHIFNET13H1268_006031-T1, CHIFNET13H1268_012769-T1, CHIFNET13H1268_014220-T1
GF00000583	CHIFNET13H1268_000927-T1, CHIFNET13H1268_008103-T1, CHIFNET13H1268_003690-T1
GF00000584	CHIFNET13H1268_008680-T1, CHIFNET13H1268_003975-T1, CHIFNET13H1268_003974-T1
GF00000585	CHIFNET13H1268_013261-T1, CHIFNET13H1268_006662-T1, CHIFNET13H1268_006663-T1
GF00000586	CHIFNET13H1268_009837-T1, CHIFNET13H1268_009925-T1, CHIFNET13H1268_009836-T1
GF00000587	CHIFNET13H1268_011194-T1, CHIFNET13H1268_008024-T1, CHIFNET13H1268_011193-T1
GF00000588	CHIFNET13H1268_013312-T1, CHIFNET13H1268_000479-T1, CHIFNET13H1268_006168-T1
GF00000589	CHIFNET13H1268_009149-T1, CHIFNET13H1268_006709-T1, CHIFNET13H1268_009150-T1
GF00000590	CHIFNET13H1268_008051-T1, CHIFNET13H1268_003739-T1, CHIFNET13H1268_000976-T1
GF00000591	CHIFNET13H1268_014291-T1, CHIFNET13H1268_011456-T1, CHIFNET13H1268_014290-T1
GF00000592	CHIFNET13H1268_013771-T1, CHIFNET13H1268_013739-T1, CHIFNET13H1268_013740-T1
GF00000593	CHIFNET13H1268_003706-T1, CHIFNET13H1268_008087-T1, CHIFNET13H1268_000943-T1
GF00000594	CHIFNET13H1268_003693-T1, CHIFNET13H1268_008100-T1, CHIFNET13H1268_000930-T1
GF00000595	CHIFNET13H1268_011851-T1, CHIFNET13H1268_008920-T1, CHIFNET13H1268_008919-T1
GF00000596	CHIFNET13H1268_008529-T1, CHIFNET13H1268_011988-T1, CHIFNET13H1268_011382-T1
GF00000597	CHIFNET13H1268_009510-T1, CHIFNET13H1268_002875-T1, CHIFNET13H1268_002876-T1
GF00000598	CHIFNET13H1268_012059-T1, CHIFNET13H1268_011909-T1, CHIFNET13H1268_011911-T1
GF00000599	CHIFNET13H1268_009132-T1, CHIFNET13H1268_006691-T1, CHIFNET13H1268_011910-T1
GF00000600	CHIFNET13H1268_004709-T1, CHIFNET13H1268_014991-T1, CHIFNET13H1268_010909-T1
GF00000601	CHIFNET13H1268_013719-T1, CHIFNET13H1268_000087-T1, CHIFNET13H1268_014840-T1
GF00000602	CHIFNET13H1268_011785-T1, CHIFNET13H1268_011542-T1, CHIFNET13H1268_011541-T1
GF00000603	CHIFNET13H1268_001587-T1, CHIFNET13H1268_012570-T1, CHIFNET13H1268_012571-T1
GF00000604	CHIFNET13H1268_003064-T1, CHIFNET13H1268_010105-T1, CHIFNET13H1268_003065-T1
GF00000605	CHIFNET13H1268_013028-T1, CHIFNET13H1268_013413-T1, CHIFNET13H1268_013414-T1
GF00000606	CHIFNET13H1268_012022-T1, CHIFNET13H1268_011438-T1, CHIFNET13H1268_004506-T1
GF00000607	CHIFNET13H1268_010519-T1, CHIFNET13H1268_009202-T1, CHIFNET13H1268_009203-T1
GF00000608	CHIFNET13H1268_009353-T1, CHIFNET13H1268_003010-T1, CHIFNET13H1268_003011-T1
GF00000609	CHIFNET13H1268_006204-T1, CHIFNET13H1268_002174-T1, CHIFNET13H1268_015070-T1
GF00000610	CHIFNET13H1268_007154-T1, CHIFNET13H1268_005993-T1, CHIFNET13H1268_012417-T1
GF00000611	CHIFNET13H1268_003324-T1, CHIFNET13H1268_002390-T1, CHIFNET13H1268_003325-T1
GF00000612	CHIFNET13H1268_006633-T1, CHIFNET13H1268_000171-T1, CHIFNET13H1268_014901-T1
GF00000613	CHIFNET13H1268_000942-T1, CHIFNET13H1268_008088-T1, CHIFNET13H1268_003705-T1
