	Rhodotorula_mucilaginosa_TFCN_25-331D-1.cds.fa
GF00000574	TFCN25331D1_013775-T1, TFCN25331D1_003425-T1, TFCN25331D1_009665-T1
GF00000575	TFCN25331D1_001854-T1, TFCN25331D1_002071-T1, TFCN25331D1_002072-T1
GF00000576	TFCN25331D1_006274-T1, TFCN25331D1_003083-T1, TFCN25331D1_004423-T1
GF00000577	TFCN25331D1_006530-T1, TFCN25331D1_013369-T1, TFCN25331D1_011746-T1
GF00000578	TFCN25331D1_012238-T1, TFCN25331D1_012239-T1, TFCN25331D1_007313-T1
GF00000579	TFCN25331D1_010809-T1, TFCN25331D1_007332-T1, TFCN25331D1_007333-T1
GF00000580	TFCN25331D1_004794-T1, TFCN25331D1_001011-T1, TFCN25331D1_003804-T1
GF00000581	TFCN25331D1_004006-T1, TFCN25331D1_009971-T1, TFCN25331D1_009972-T1
GF00000582	TFCN25331D1_002051-T1, TFCN25331D1_001833-T1, TFCN25331D1_001834-T1
GF00000583	TFCN25331D1_011290-T1, TFCN25331D1_002208-T1, TFCN25331D1_002207-T1
GF00000584	TFCN25331D1_002571-T1, TFCN25331D1_010239-T1, TFCN25331D1_002570-T1
GF00000585	TFCN25331D1_001894-T1, TFCN25331D1_002110-T1, TFCN25331D1_003822-T1
GF00000586	TFCN25331D1_003516-T1, TFCN25331D1_009847-T1, TFCN25331D1_003515-T1
GF00000587	TFCN25331D1_005342-T1, TFCN25331D1_008722-T1, TFCN25331D1_005108-T1
GF00000588	TFCN25331D1_001006-T1, TFCN25331D1_004789-T1, TFCN25331D1_005914-T1
GF00000589	TFCN25331D1_011875-T1, TFCN25331D1_009021-T1, TFCN25331D1_009020-T1
GF00000590	TFCN25331D1_000997-T1, TFCN25331D1_004779-T1, TFCN25331D1_004780-T1
GF00000591	TFCN25331D1_002088-T1, TFCN25331D1_001871-T1, TFCN25331D1_001870-T1
GF00000592	TFCN25331D1_007009-T1, TFCN25331D1_000037-T1, TFCN25331D1_007008-T1
GF00000593	TFCN25331D1_012145-T1, TFCN25331D1_006825-T1, TFCN25331D1_012144-T1
GF00000594	TFCN25331D1_012156-T1, TFCN25331D1_006838-T1, TFCN25331D1_006837-T1
GF00000595	TFCN25331D1_003337-T1, TFCN25331D1_005317-T1, TFCN25331D1_010490-T1
GF00000596	TFCN25331D1_008727-T1, TFCN25331D1_005103-T1, TFCN25331D1_005102-T1
GF00000597	TFCN25331D1_010218-T1, TFCN25331D1_008163-T1, TFCN25331D1_011584-T1
GF00000598	TFCN25331D1_006088-T1, TFCN25331D1_009127-T1, TFCN25331D1_009128-T1
GF00000599	TFCN25331D1_003031-T1, TFCN25331D1_004377-T1, TFCN25331D1_003030-T1
GF00000600	TFCN25331D1_008028-T1, TFCN25331D1_000490-T1, TFCN25331D1_000491-T1
GF00000601	TFCN25331D1_000686-T1, TFCN25331D1_006752-T1, TFCN25331D1_011440-T1
GF00000602	TFCN25331D1_011863-T1, TFCN25331D1_008393-T1, TFCN25331D1_008394-T1
GF00000603	TFCN25331D1_000417-T1, TFCN25331D1_004069-T1, TFCN25331D1_004068-T1
GF00000604	TFCN25331D1_013567-T1, TFCN25331D1_001985-T1, TFCN25331D1_001984-T1
GF00000605	TFCN25331D1_003647-T1, TFCN25331D1_011456-T1, TFCN25331D1_006271-T1
GF00000606	TFCN25331D1_000953-T1, TFCN25331D1_004737-T1, TFCN25331D1_007878-T1
GF00000607	TFCN25331D1_003764-T1, TFCN25331D1_013408-T1, TFCN25331D1_006391-T1
GF00000608	TFCN25331D1_008719-T1, TFCN25331D1_005111-T1, TFCN25331D1_005112-T1
GF00000609	TFCN25331D1_000121-T1, TFCN25331D1_002756-T1, TFCN25331D1_002758-T1
GF00000610	TFCN25331D1_009742-T1, TFCN25331D1_012700-T1, TFCN25331D1_010289-T1
GF00000611	TFCN25331D1_012118-T1, TFCN25331D1_000556-T1, TFCN25331D1_000557-T1
GF00000612	TFCN25331D1_004178-T1, TFCN25331D1_000312-T1, TFCN25331D1_000313-T1
GF00000613	TFCN25331D1_013499-T1, TFCN25331D1_013451-T1, TFCN25331D1_013452-T1
GF00000614	TFCN25331D1_005440-T1, TFCN25331D1_008814-T1, TFCN25331D1_013808-T1
GF00000615	TFCN25331D1_012933-T1, TFCN25331D1_011882-T1, TFCN25331D1_009014-T1
GF00000616	TFCN25331D1_010466-T1, TFCN25331D1_007491-T1, TFCN25331D1_007492-T1
GF00000617	TFCN25331D1_012629-T1, TFCN25331D1_003869-T1, TFCN25331D1_007413-T1
GF00000618	TFCN25331D1_005326-T1, TFCN25331D1_004026-T1, TFCN25331D1_009950-T1
GF00000619	TFCN25331D1_002771-T1, TFCN25331D1_000134-T1, TFCN25331D1_011461-T1
GF00000620	TFCN25331D1_007315-T1, TFCN25331D1_012237-T1, TFCN25331D1_007314-T1
GF00000621	TFCN25331D1_012367-T1, TFCN25331D1_005811-T1, TFCN25331D1_012366-T1
GF00000622	TFCN25331D1_009095-T1, TFCN25331D1_008639-T1, TFCN25331D1_008637-T1
GF00000623	TFCN25331D1_000020-T1, TFCN25331D1_006990-T1, TFCN25331D1_006989-T1
GF00000624	TFCN25331D1_007600-T1, TFCN25331D1_007601-T1, TFCN25331D1_008342-T1
GF00000625	TFCN25331D1_012280-T1, TFCN25331D1_010594-T1, TFCN25331D1_013463-T1
GF00000626	TFCN25331D1_011215-T1, TFCN25331D1_012286-T1, TFCN25331D1_003607-T1
GF00000627	TFCN25331D1_005731-T1, TFCN25331D1_012972-T1, TFCN25331D1_005732-T1
GF00000628	TFCN25331D1_013526-T1, TFCN25331D1_006232-T1, TFCN25331D1_006230-T1
GF00000629	TFCN25331D1_012468-T1, TFCN25331D1_012469-T1, TFCN25331D1_012467-T1
GF00000630	TFCN25331D1_003297-T1, TFCN25331D1_007301-T1, TFCN25331D1_007302-T1
GF00000631	TFCN25331D1_001010-T1, TFCN25331D1_004793-T1, TFCN25331D1_008881-T1
GF00000632	TFCN25331D1_003098-T1, TFCN25331D1_004436-T1, TFCN25331D1_003099-T1
GF00000633	TFCN25331D1_006216-T1, TFCN25331D1_001554-T1, TFCN25331D1_001553-T1
GF00000634	TFCN25331D1_007773-T1, TFCN25331D1_010528-T1, TFCN25331D1_007772-T1
GF00000635	TFCN25331D1_007119-T1, TFCN25331D1_002331-T1, TFCN25331D1_002330-T1
GF00000636	TFCN25331D1_007961-T1, TFCN25331D1_005944-T1, TFCN25331D1_005943-T1
GF00000637	TFCN25331D1_012454-T1, TFCN25331D1_012034-T1, TFCN25331D1_012035-T1
GF00000638	TFCN25331D1_013608-T1, TFCN25331D1_003807-T1, TFCN25331D1_008909-T1
GF00000639	TFCN25331D1_007120-T1, TFCN25331D1_002332-T1, TFCN25331D1_007118-T1
GF00000640	TFCN25331D1_008911-T1, TFCN25331D1_010026-T1, TFCN25331D1_010027-T1
GF00000641	TFCN25331D1_007172-T1, TFCN25331D1_005540-T1, TFCN25331D1_007171-T1
GF00000642	TFCN25331D1_007530-T1, TFCN25331D1_011036-T1, TFCN25331D1_011033-T1
GF00000643	TFCN25331D1_011535-T1, TFCN25331D1_011012-T1, TFCN25331D1_011777-T1
GF00000644	TFCN25331D1_002914-T1, TFCN25331D1_009806-T1, TFCN25331D1_006813-T1
GF00000645	TFCN25331D1_008324-T1, TFCN25331D1_007579-T1, TFCN25331D1_008323-T1
GF00000646	TFCN25331D1_003125-T1, TFCN25331D1_004463-T1, TFCN25331D1_004462-T1
GF00000647	TFCN25331D1_004684-T1, TFCN25331D1_004251-T1, TFCN25331D1_004252-T1
GF00000648	TFCN25331D1_004255-T1, TFCN25331D1_004681-T1, TFCN25331D1_004680-T1
GF00000649	TFCN25331D1_005843-T1, TFCN25331D1_002668-T1, TFCN25331D1_002667-T1
GF00000650	TFCN25331D1_012511-T1, TFCN25331D1_004013-T1, TFCN25331D1_009963-T1
GF00000651	TFCN25331D1_000304-T1, TFCN25331D1_004187-T1, TFCN25331D1_004186-T1
GF00000652	TFCN25331D1_006567-T1, TFCN25331D1_012039-T1, TFCN25331D1_013509-T1
GF00000653	TFCN25331D1_010314-T1, TFCN25331D1_008439-T1, TFCN25331D1_009207-T1
GF00000654	TFCN25331D1_001485-T1, TFCN25331D1_001160-T1, TFCN25331D1_001190-T1
GF00000655	TFCN25331D1_006649-T1, TFCN25331D1_004559-T1, TFCN25331D1_006650-T1
GF00000656	TFCN25331D1_008995-T1, TFCN25331D1_008994-T1, TFCN25331D1_011900-T1
GF00000657	TFCN25331D1_007289-T1, TFCN25331D1_003284-T1, TFCN25331D1_005263-T1
GF00000658	TFCN25331D1_001987-T1, TFCN25331D1_002188-T1, TFCN25331D1_001325-T1
GF00000659	TFCN25331D1_004767-T1, TFCN25331D1_000987-T1, TFCN25331D1_000986-T1
GF00000660	TFCN25331D1_010947-T1, TFCN25331D1_010315-T1, TFCN25331D1_010948-T1
GF00000661	TFCN25331D1_003714-T1, TFCN25331D1_008895-T1, TFCN25331D1_006341-T1
GF00000662	TFCN25331D1_004460-T1, TFCN25331D1_003123-T1, TFCN25331D1_003121-T1
GF00000663	TFCN25331D1_003384-T1, TFCN25331D1_009624-T1, TFCN25331D1_003383-T1
GF00000664	TFCN25331D1_000890-T1, TFCN25331D1_007811-T1, TFCN25331D1_000889-T1
GF00000665	TFCN25331D1_003544-T1, TFCN25331D1_011155-T1, TFCN25331D1_009813-T1
GF00000666	TFCN25331D1_009042-T1, TFCN25331D1_008298-T1, TFCN25331D1_009041-T1
GF00000667	TFCN25331D1_012131-T1, TFCN25331D1_000567-T1, TFCN25331D1_000573-T1
GF00000668	TFCN25331D1_010062-T1, TFCN25331D1_013717-T1, TFCN25331D1_013117-T1
GF00000669	TFCN25331D1_004455-T1, TFCN25331D1_012943-T1, TFCN25331D1_003117-T1
GF00000670	TFCN25331D1_010138-T1, TFCN25331D1_009555-T1, TFCN25331D1_010137-T1
GF00000671	TFCN25331D1_008148-T1, TFCN25331D1_011566-T1, TFCN25331D1_013271-T1
GF00000672	TFCN25331D1_009920-T1, TFCN25331D1_005490-T1, TFCN25331D1_004499-T1
GF00000673	TFCN25331D1_005296-T1, TFCN25331D1_003338-T1, TFCN25331D1_010491-T1
GF00000674	TFCN25331D1_005289-T1, TFCN25331D1_007375-T1, TFCN25331D1_009705-T1
GF00000675	TFCN25331D1_013786-T1, TFCN25331D1_013790-T1, TFCN25331D1_013822-T1
GF00000676	TFCN25331D1_004121-T1, TFCN25331D1_000367-T1, TFCN25331D1_005358-T1
GF00000677	TFCN25331D1_012189-T1, TFCN25331D1_009537-T1, TFCN25331D1_012188-T1
GF00000678	TFCN25331D1_000478-T1, TFCN25331D1_008041-T1, TFCN25331D1_008042-T1
GF00000679	TFCN25331D1_006944-T1, TFCN25331D1_007444-T1, TFCN25331D1_006943-T1
GF00000680	TFCN25331D1_000029-T1, TFCN25331D1_006999-T1, TFCN25331D1_007000-T1
GF00000681	TFCN25331D1_003120-T1, TFCN25331D1_004458-T1, TFCN25331D1_004459-T1
GF00000682	TFCN25331D1_011101-T1, TFCN25331D1_005156-T1, TFCN25331D1_005155-T1
GF00000683	TFCN25331D1_013549-T1, TFCN25331D1_012384-T1, TFCN25331D1_005281-T1
GF00000684	TFCN25331D1_010670-T1, TFCN25331D1_000836-T1, TFCN25331D1_002873-T1
GF00000685	TFCN25331D1_013135-T1, TFCN25331D1_006974-T1, TFCN25331D1_013136-T1
GF00000686	TFCN25331D1_009264-T1, TFCN25331D1_002490-T1, TFCN25331D1_009265-T1
GF00000687	TFCN25331D1_011514-T1, TFCN25331D1_013045-T1, TFCN25331D1_013046-T1
GF00000688	TFCN25331D1_007516-T1, TFCN25331D1_011049-T1, TFCN25331D1_007517-T1
GF00000689	TFCN25331D1_012185-T1, TFCN25331D1_007644-T1, TFCN25331D1_013355-T1
GF00000690	TFCN25331D1_013412-T1, TFCN25331D1_003870-T1, TFCN25331D1_006455-T1
GF00000691	TFCN25331D1_011750-T1, TFCN25331D1_011642-T1, TFCN25331D1_011643-T1
GF00000692	TFCN25331D1_008701-T1, TFCN25331D1_005132-T1, TFCN25331D1_005131-T1
GF00000693	TFCN25331D1_003744-T1, TFCN25331D1_006366-T1, TFCN25331D1_006365-T1
GF00000694	TFCN25331D1_004638-T1, TFCN25331D1_004299-T1, TFCN25331D1_004338-T1
GF00000695	TFCN25331D1_012977-T1, TFCN25331D1_005320-T1, TFCN25331D1_005725-T1
GF00000696	TFCN25331D1_003396-T1, TFCN25331D1_009636-T1, TFCN25331D1_002896-T1
GF00000697	TFCN25331D1_006442-T1, TFCN25331D1_013434-T1, TFCN25331D1_006444-T1
GF00000698	TFCN25331D1_006965-T1, TFCN25331D1_013677-T1, TFCN25331D1_013678-T1
GF00000699	TFCN25331D1_009202-T1, TFCN25331D1_008434-T1, TFCN25331D1_009183-T1
GF00000700	TFCN25331D1_003939-T1, TFCN25331D1_003940-T1, TFCN25331D1_007553-T1
GF00000701	TFCN25331D1_012853-T1, TFCN25331D1_011379-T1, TFCN25331D1_012854-T1
GF00000702	TFCN25331D1_008696-T1, TFCN25331D1_002977-T1, TFCN25331D1_005137-T1
GF00000703	TFCN25331D1_007237-T1, TFCN25331D1_005607-T1, TFCN25331D1_007236-T1
GF00000704	TFCN25331D1_011887-T1, TFCN25331D1_009008-T1, TFCN25331D1_009009-T1
GF00000705	TFCN25331D1_001612-T1, TFCN25331D1_003314-T1, TFCN25331D1_006939-T1
GF00000706	TFCN25331D1_012540-T1, TFCN25331D1_009482-T1, TFCN25331D1_012541-T1
GF00000707	TFCN25331D1_002884-T1, TFCN25331D1_006170-T1, TFCN25331D1_001599-T1
GF00000708	TFCN25331D1_007904-T1, TFCN25331D1_005214-T1, TFCN25331D1_005215-T1
GF00000709	TFCN25331D1_013601-T1, TFCN25331D1_013294-T1, TFCN25331D1_013384-T1
GF00000710	TFCN25331D1_001401-T1, TFCN25331D1_001252-T1, TFCN25331D1_001400-T1
GF00000711	TFCN25331D1_012438-T1, TFCN25331D1_012022-T1, TFCN25331D1_010299-T1
GF00000712	TFCN25331D1_002269-T1, TFCN25331D1_009904-T1, TFCN25331D1_002268-T1
GF00000713	TFCN25331D1_006672-T1, TFCN25331D1_006671-T1, TFCN25331D1_006670-T1
GF00000714	TFCN25331D1_008651-T1, TFCN25331D1_009081-T1, TFCN25331D1_008653-T1
GF00000715	TFCN25331D1_003965-T1, TFCN25331D1_003885-T1, TFCN25331D1_011114-T1
GF00000716	TFCN25331D1_006417-T1, TFCN25331D1_010730-T1, TFCN25331D1_006418-T1
GF00000717	TFCN25331D1_010984-T1, TFCN25331D1_012503-T1, TFCN25331D1_006466-T1
GF00000718	TFCN25331D1_008072-T1, TFCN25331D1_000450-T1, TFCN25331D1_008071-T1
GF00000719	TFCN25331D1_004574-T1, TFCN25331D1_013800-T1, TFCN25331D1_013829-T1
GF00000720	TFCN25331D1_000723-T1, TFCN25331D1_006784-T1, TFCN25331D1_006783-T1
GF00000721	TFCN25331D1_011476-T1, TFCN25331D1_005978-T1, TFCN25331D1_011477-T1
GF00000722	TFCN25331D1_009438-T1, TFCN25331D1_008967-T1, TFCN25331D1_008966-T1
GF00000723	TFCN25331D1_001126-T1, TFCN25331D1_001742-T1, TFCN25331D1_001519-T1
GF00000724	TFCN25331D1_006157-T1, TFCN25331D1_010418-T1, TFCN25331D1_004199-T1
GF00000725	TFCN25331D1_011897-T1, TFCN25331D1_008998-T1, TFCN25331D1_011896-T1
GF00000726	TFCN25331D1_008981-T1, TFCN25331D1_005566-T1, TFCN25331D1_007196-T1
GF00000727	TFCN25331D1_000485-T1, TFCN25331D1_008033-T1, TFCN25331D1_008034-T1
GF00000728	TFCN25331D1_009905-T1, TFCN25331D1_002266-T1, TFCN25331D1_002267-T1
GF00000729	TFCN25331D1_009740-T1, TFCN25331D1_012702-T1, TFCN25331D1_011709-T1
GF00000730	TFCN25331D1_000765-T1, TFCN25331D1_000687-T1, TFCN25331D1_006753-T1
GF00000731	TFCN25331D1_006654-T1, TFCN25331D1_004565-T1, TFCN25331D1_004563-T1
GF00000732	TFCN25331D1_006347-T1, TFCN25331D1_003719-T1, TFCN25331D1_006346-T1
GF00000733	TFCN25331D1_010864-T1, TFCN25331D1_004003-T1, TFCN25331D1_011152-T1
GF00000734	TFCN25331D1_011719-T1, TFCN25331D1_006501-T1, TFCN25331D1_006502-T1
GF00000735	TFCN25331D1_013320-T1, TFCN25331D1_011990-T1, TFCN25331D1_013321-T1
GF00000736	TFCN25331D1_010099-T1, TFCN25331D1_004879-T1, TFCN25331D1_001773-T1
GF00000737	TFCN25331D1_005887-T1, TFCN25331D1_002623-T1, TFCN25331D1_008952-T1
GF00000738	TFCN25331D1_009086-T1, TFCN25331D1_008642-T1, TFCN25331D1_009085-T1
GF00000739	TFCN25331D1_012485-T1, TFCN25331D1_005404-T1, TFCN25331D1_005405-T1
GF00000740	TFCN25331D1_004545-T1, TFCN25331D1_006626-T1, TFCN25331D1_004546-T1
GF00000741	TFCN25331D1_008183-T1, TFCN25331D1_000235-T1, TFCN25331D1_000236-T1
GF00000742	TFCN25331D1_009179-T1, TFCN25331D1_008410-T1, TFCN25331D1_008411-T1
GF00000743	TFCN25331D1_004366-T1, TFCN25331D1_006831-T1, TFCN25331D1_012756-T1
GF00000744	TFCN25331D1_007741-T1, TFCN25331D1_005665-T1, TFCN25331D1_007740-T1
GF00000745	TFCN25331D1_005432-T1, TFCN25331D1_013202-T1, TFCN25331D1_005433-T1
GF00000746	TFCN25331D1_010919-T1, TFCN25331D1_012331-T1, TFCN25331D1_012332-T1
GF00000747	TFCN25331D1_010667-T1, TFCN25331D1_000833-T1, TFCN25331D1_010666-T1
GF00000748	TFCN25331D1_013762-T1, TFCN25331D1_013115-T1, TFCN25331D1_013761-T1
GF00000749	TFCN25331D1_012259-T1, TFCN25331D1_010816-T1, TFCN25331D1_007325-T1
GF00000750	TFCN25331D1_013371-T1, TFCN25331D1_013329-T1, TFCN25331D1_013372-T1
GF00000751	TFCN25331D1_007361-T1, TFCN25331D1_010793-T1, TFCN25331D1_013436-T1
GF00000752	TFCN25331D1_012425-T1, TFCN25331D1_006860-T1, TFCN25331D1_012424-T1
GF00000753	TFCN25331D1_006683-T1, TFCN25331D1_004587-T1, TFCN25331D1_001924-T1
GF00000754	TFCN25331D1_003307-T1, TFCN25331D1_007310-T1, TFCN25331D1_003306-T1
GF00000755	TFCN25331D1_004038-T1, TFCN25331D1_009936-T1, TFCN25331D1_009937-T1
GF00000756	TFCN25331D1_011124-T1, TFCN25331D1_003976-T1, TFCN25331D1_011125-T1
GF00000757	TFCN25331D1_013652-T1, TFCN25331D1_009787-T1, TFCN25331D1_013657-T1
GF00000758	TFCN25331D1_000512-T1, TFCN25331D1_008426-T1, TFCN25331D1_007697-T1
GF00000759	TFCN25331D1_008471-T1, TFCN25331D1_013703-T1, TFCN25331D1_011234-T1
GF00000760	TFCN25331D1_006392-T1, TFCN25331D1_009869-T1, TFCN25331D1_010753-T1
GF00000761	TFCN25331D1_009267-T1, TFCN25331D1_002488-T1, TFCN25331D1_002487-T1
GF00000762	TFCN25331D1_004500-T1, TFCN25331D1_006592-T1, TFCN25331D1_005489-T1
GF00000763	TFCN25331D1_010866-T1, TFCN25331D1_008518-T1, TFCN25331D1_011372-T1
GF00000764	TFCN25331D1_005488-T1, TFCN25331D1_013862-T1, TFCN25331D1_012997-T1
GF00000765	TFCN25331D1_013846-T1, TFCN25331D1_013705-T1, TFCN25331D1_012281-T1
GF00000766	TFCN25331D1_009043-T1, TFCN25331D1_008297-T1, TFCN25331D1_012786-T1
GF00000767	TFCN25331D1_012747-T1, TFCN25331D1_002863-T1, TFCN25331D1_004355-T1
GF00000768	TFCN25331D1_009425-T1, TFCN25331D1_008984-T1, TFCN25331D1_009424-T1
GF00000769	TFCN25331D1_008800-T1, TFCN25331D1_003634-T1, TFCN25331D1_003635-T1
GF00000770	TFCN25331D1_008273-T1, TFCN25331D1_012764-T1, TFCN25331D1_008272-T1
GF00000771	TFCN25331D1_004333-T1, TFCN25331D1_004606-T1, TFCN25331D1_004332-T1
GF00000772	TFCN25331D1_011840-T1, TFCN25331D1_008375-T1, TFCN25331D1_011632-T1
GF00000773	TFCN25331D1_012097-T1, TFCN25331D1_002444-T1, TFCN25331D1_002443-T1
GF00000774	TFCN25331D1_007628-T1, TFCN25331D1_009154-T1, TFCN25331D1_006065-T1
GF00000775	TFCN25331D1_008796-T1, TFCN25331D1_013435-T1, TFCN25331D1_012546-T1
GF00000776	TFCN25331D1_013622-T1, TFCN25331D1_013863-T1, TFCN25331D1_011314-T1
GF00000777	TFCN25331D1_009502-T1, TFCN25331D1_002944-T1, TFCN25331D1_012519-T1
GF00000778	TFCN25331D1_006107-T1, TFCN25331D1_009098-T1, TFCN25331D1_009102-T1
GF00000779	TFCN25331D1_013299-T1, TFCN25331D1_003427-T1, TFCN25331D1_013773-T1
GF00000780	TFCN25331D1_000092-T1, TFCN25331D1_002727-T1, TFCN25331D1_000095-T1
GF00000781	TFCN25331D1_002087-T1, TFCN25331D1_001869-T1, TFCN25331D1_002086-T1
GF00000782	TFCN25331D1_012893-T1, TFCN25331D1_001633-T1, TFCN25331D1_012892-T1
GF00000783	TFCN25331D1_013222-T1, TFCN25331D1_005570-T1, TFCN25331D1_007200-T1
GF00000784	TFCN25331D1_013386-T1, TFCN25331D1_012343-T1, TFCN25331D1_012895-T1
GF00000785	TFCN25331D1_004496-T1, TFCN25331D1_005494-T1, TFCN25331D1_005493-T1
GF00000786	TFCN25331D1_004300-T1, TFCN25331D1_004637-T1, TFCN25331D1_004337-T1
GF00000787	TFCN25331D1_007320-T1, TFCN25331D1_012231-T1, TFCN25331D1_012232-T1
GF00000788	TFCN25331D1_008403-T1, TFCN25331D1_009171-T1, TFCN25331D1_011872-T1
GF00000789	TFCN25331D1_012981-T1, TFCN25331D1_005140-T1, TFCN25331D1_005139-T1
GF00000790	TFCN25331D1_002084-T1, TFCN25331D1_001867-T1
GF00000791	TFCN25331D1_012762-T1, TFCN25331D1_004369-T1
GF00000792	TFCN25331D1_000102-T1, TFCN25331D1_002736-T1
GF00000793	TFCN25331D1_005896-T1, TFCN25331D1_002615-T1
GF00000794	TFCN25331D1_000149-T1, TFCN25331D1_002786-T1
GF00000795	TFCN25331D1_000013-T1, TFCN25331D1_006982-T1
GF00000796	TFCN25331D1_004185-T1, TFCN25331D1_000305-T1
GF00000797	TFCN25331D1_007342-T1, TFCN25331D1_010801-T1
GF00000798	TFCN25331D1_006245-T1, TFCN25331D1_013715-T1
GF00000799	TFCN25331D1_002687-T1, TFCN25331D1_009980-T1
GF00000800	TFCN25331D1_008811-T1, TFCN25331D1_003643-T1
GF00000801	TFCN25331D1_010476-T1, TFCN25331D1_013534-T1
GF00000802	TFCN25331D1_008523-T1, TFCN25331D1_011367-T1
GF00000803	TFCN25331D1_005122-T1, TFCN25331D1_008709-T1
GF00000804	TFCN25331D1_001979-T1, TFCN25331D1_013563-T1
GF00000805	TFCN25331D1_001128-T1, TFCN25331D1_001517-T1
GF00000806	TFCN25331D1_010057-T1, TFCN25331D1_013123-T1
GF00000807	TFCN25331D1_002674-T1, TFCN25331D1_005835-T1
GF00000808	TFCN25331D1_009104-T1, TFCN25331D1_006105-T1
GF00000809	TFCN25331D1_008397-T1, TFCN25331D1_011866-T1
GF00000810	TFCN25331D1_012432-T1, TFCN25331D1_006855-T1
GF00000811	TFCN25331D1_001437-T1, TFCN25331D1_001218-T1
GF00000812	TFCN25331D1_012788-T1, TFCN25331D1_005686-T1
GF00000813	TFCN25331D1_004146-T1, TFCN25331D1_000342-T1
GF00000814	TFCN25331D1_011540-T1, TFCN25331D1_008119-T1
GF00000815	TFCN25331D1_008788-T1, TFCN25331D1_013169-T1
GF00000816	TFCN25331D1_001959-T1, TFCN25331D1_002170-T1
GF00000817	TFCN25331D1_008615-T1, TFCN25331D1_005778-T1
GF00000818	TFCN25331D1_008066-T1, TFCN25331D1_000455-T1
GF00000819	TFCN25331D1_012406-T1, TFCN25331D1_002521-T1
GF00000820	TFCN25331D1_012011-T1, TFCN25331D1_001099-T1
GF00000821	TFCN25331D1_003625-T1, TFCN25331D1_012304-T1
GF00000822	TFCN25331D1_013542-T1, TFCN25331D1_000775-T1
GF00000823	TFCN25331D1_009333-T1, TFCN25331D1_011779-T1
GF00000824	TFCN25331D1_009378-T1, TFCN25331D1_012719-T1
GF00000825	TFCN25331D1_002304-T1, TFCN25331D1_007090-T1
GF00000826	TFCN25331D1_007518-T1, TFCN25331D1_011048-T1
GF00000827	TFCN25331D1_009072-T1, TFCN25331D1_008661-T1
GF00000828	TFCN25331D1_007363-T1, TFCN25331D1_013438-T1
GF00000829	TFCN25331D1_000604-T1, TFCN25331D1_011825-T1
GF00000830	TFCN25331D1_002729-T1, TFCN25331D1_000094-T1
GF00000831	TFCN25331D1_002094-T1, TFCN25331D1_001876-T1
GF00000832	TFCN25331D1_007977-T1, TFCN25331D1_005960-T1
GF00000833	TFCN25331D1_012608-T1, TFCN25331D1_006909-T1
GF00000834	TFCN25331D1_006122-T1, TFCN25331D1_010384-T1
GF00000835	TFCN25331D1_001926-T1, TFCN25331D1_002140-T1
GF00000836	TFCN25331D1_002164-T1, TFCN25331D1_001952-T1
GF00000837	TFCN25331D1_002375-T1, TFCN25331D1_010079-T1
GF00000838	TFCN25331D1_003453-T1, TFCN25331D1_010460-T1
GF00000839	TFCN25331D1_011511-T1, TFCN25331D1_013042-T1
GF00000840	TFCN25331D1_011951-T1, TFCN25331D1_013193-T1
GF00000841	TFCN25331D1_009306-T1, TFCN25331D1_011801-T1
GF00000842	TFCN25331D1_000553-T1, TFCN25331D1_012115-T1
GF00000843	TFCN25331D1_011382-T1, TFCN25331D1_012857-T1
GF00000844	TFCN25331D1_004611-T1, TFCN25331D1_004328-T1
GF00000845	TFCN25331D1_006899-T1, TFCN25331D1_012742-T1
GF00000846	TFCN25331D1_007770-T1, TFCN25331D1_010527-T1
GF00000847	TFCN25331D1_013493-T1, TFCN25331D1_013586-T1
GF00000848	TFCN25331D1_000980-T1, TFCN25331D1_004761-T1
GF00000849	TFCN25331D1_002036-T1, TFCN25331D1_001819-T1
GF00000850	TFCN25331D1_006578-T1, TFCN25331D1_012048-T1
GF00000851	TFCN25331D1_004880-T1, TFCN25331D1_001772-T1
GF00000852	TFCN25331D1_000755-T1, TFCN25331D1_012203-T1
GF00000853	TFCN25331D1_003699-T1, TFCN25331D1_006326-T1
GF00000854	TFCN25331D1_009312-T1, TFCN25331D1_011795-T1
GF00000855	TFCN25331D1_004092-T1, TFCN25331D1_000395-T1
GF00000856	TFCN25331D1_007021-T1, TFCN25331D1_000049-T1
GF00000857	TFCN25331D1_007629-T1, TFCN25331D1_008363-T1
GF00000858	TFCN25331D1_009924-T1, TFCN25331D1_004052-T1
GF00000859	TFCN25331D1_009387-T1, TFCN25331D1_012710-T1
GF00000860	TFCN25331D1_011099-T1, TFCN25331D1_005158-T1
GF00000861	TFCN25331D1_008608-T1, TFCN25331D1_005774-T1
GF00000862	TFCN25331D1_011852-T1, TFCN25331D1_008382-T1
GF00000863	TFCN25331D1_011468-T1, TFCN25331D1_005986-T1
GF00000864	TFCN25331D1_004712-T1, TFCN25331D1_004224-T1
GF00000865	TFCN25331D1_010478-T1, TFCN25331D1_013536-T1
GF00000866	TFCN25331D1_004547-T1, TFCN25331D1_006625-T1
GF00000867	TFCN25331D1_002021-T1, TFCN25331D1_001803-T1
GF00000868	TFCN25331D1_008062-T1, TFCN25331D1_000459-T1
GF00000869	TFCN25331D1_007581-T1, TFCN25331D1_008326-T1
GF00000870	TFCN25331D1_006798-T1, TFCN25331D1_009790-T1
