	Rhodotorula_mucilaginosa_F8_5S_5P.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00001490	1	1	2	1.0	single-copy
GF00001491	1	1	2	1.0	single-copy
GF00001492	1	1	2	1.0	single-copy
GF00001493	1	1	2	1.0	single-copy
GF00001494	1	1	2	1.0	single-copy
GF00001495	1	1	2	1.0	single-copy
GF00001496	1	1	2	1.0	single-copy
GF00001497	1	1	2	1.0	single-copy
GF00001498	1	1	2	1.0	single-copy
GF00001499	1	1	2	1.0	single-copy
GF00001500	1	1	2	1.0	single-copy
GF00001501	1	1	2	1.0	single-copy
GF00001502	1	1	2	1.0	single-copy
GF00001503	1	1	2	1.0	single-copy
GF00001504	1	1	2	1.0	single-copy
GF00001505	1	1	2	1.0	single-copy
GF00001506	1	1	2	1.0	single-copy
GF00001507	1	1	2	1.0	single-copy
GF00001508	1	1	2	1.0	single-copy
GF00001509	1	1	2	1.0	single-copy
GF00001510	1	1	2	1.0	single-copy
GF00001511	1	1	2	1.0	single-copy
GF00001512	1	1	2	1.0	single-copy
GF00001513	1	1	2	1.0	single-copy
GF00001514	1	1	2	1.0	single-copy
GF00001515	1	1	2	1.0	single-copy
GF00001516	1	1	2	1.0	single-copy
GF00001517	1	1	2	1.0	single-copy
GF00001518	1	1	2	1.0	single-copy
GF00001519	1	1	2	1.0	single-copy
GF00001520	1	1	2	1.0	single-copy
GF00001521	1	1	2	1.0	single-copy
GF00001522	1	1	2	1.0	single-copy
GF00001523	1	1	2	1.0	single-copy
GF00001524	1	1	2	1.0	single-copy
GF00001525	1	1	2	1.0	single-copy
GF00001526	1	1	2	1.0	single-copy
GF00001527	1	1	2	1.0	single-copy
GF00001528	1	1	2	1.0	single-copy
GF00001529	1	1	2	1.0	single-copy
GF00001530	1	1	2	1.0	single-copy
GF00001531	1	1	2	1.0	single-copy
GF00001532	1	1	2	1.0	single-copy
GF00001533	1	1	2	1.0	single-copy
GF00001534	1	1	2	1.0	single-copy
GF00001535	1	1	2	1.0	single-copy
GF00001536	1	1	2	1.0	single-copy
GF00001537	1	1	2	1.0	single-copy
GF00001538	1	1	2	1.0	single-copy
GF00001539	1	1	2	1.0	single-copy
GF00001540	1	1	2	1.0	single-copy
GF00001541	1	1	2	1.0	single-copy
GF00001542	1	1	2	1.0	single-copy
GF00001543	1	1	2	1.0	single-copy
GF00001544	1	1	2	1.0	single-copy
GF00001545	1	1	2	1.0	single-copy
GF00001546	1	1	2	1.0	single-copy
GF00001547	1	1	2	1.0	single-copy
GF00001548	1	1	2	1.0	single-copy
GF00001549	1	1	2	1.0	single-copy
GF00001550	1	1	2	1.0	single-copy
GF00001551	1	1	2	1.0	single-copy
GF00001552	1	1	2	1.0	single-copy
GF00001553	1	1	2	1.0	single-copy
GF00001554	1	1	2	1.0	single-copy
GF00001555	1	1	2	1.0	single-copy
GF00001556	1	1	2	1.0	single-copy
GF00001557	1	1	2	1.0	single-copy
GF00001558	1	1	2	1.0	single-copy
GF00001559	1	1	2	1.0	single-copy
GF00001560	1	1	2	1.0	single-copy
GF00001561	1	1	2	1.0	single-copy
GF00001562	1	1	2	1.0	single-copy
GF00001563	1	1	2	1.0	single-copy
GF00001564	1	1	2	1.0	single-copy
GF00001565	1	1	2	1.0	single-copy
GF00001566	1	1	2	1.0	single-copy
GF00001567	1	1	2	1.0	single-copy
GF00001568	1	1	2	1.0	single-copy
GF00001569	1	1	2	1.0	single-copy
GF00001570	1	1	2	1.0	single-copy
GF00001571	1	1	2	1.0	single-copy
GF00001572	1	1	2	1.0	single-copy
GF00001573	1	1	2	1.0	single-copy
GF00001574	1	1	2	1.0	single-copy
GF00001575	1	1	2	1.0	single-copy
GF00001576	1	1	2	1.0	single-copy
GF00001577	1	1	2	1.0	single-copy
GF00001578	1	1	2	1.0	single-copy
GF00001579	1	1	2	1.0	single-copy
GF00001580	1	1	2	1.0	single-copy
GF00001581	1	1	2	1.0	single-copy
GF00001582	1	1	2	1.0	single-copy
GF00001583	1	1	2	1.0	single-copy
GF00001584	1	1	2	1.0	single-copy
GF00001585	1	1	2	1.0	single-copy
GF00001586	1	1	2	1.0	single-copy
GF00001587	1	1	2	1.0	single-copy
GF00001588	1	1	2	1.0	single-copy
GF00001589	1	1	2	1.0	single-copy
GF00001590	1	1	2	1.0	single-copy
GF00001591	1	1	2	1.0	single-copy
GF00001592	1	1	2	1.0	single-copy
GF00001593	1	1	2	1.0	single-copy
GF00001594	1	1	2	1.0	single-copy
GF00001595	1	1	2	1.0	single-copy
GF00001596	1	1	2	1.0	single-copy
GF00001597	1	1	2	1.0	single-copy
GF00001598	1	1	2	1.0	single-copy
GF00001599	1	1	2	1.0	single-copy
GF00001600	1	1	2	1.0	single-copy
GF00001601	1	1	2	1.0	single-copy
GF00001602	1	1	2	1.0	single-copy
GF00001603	1	1	2	1.0	single-copy
GF00001604	1	1	2	1.0	single-copy
GF00001605	1	1	2	1.0	single-copy
GF00001606	1	1	2	1.0	single-copy
GF00001607	1	1	2	1.0	single-copy
GF00001608	1	1	2	1.0	single-copy
GF00001609	1	1	2	1.0	single-copy
GF00001610	1	1	2	1.0	single-copy
GF00001611	1	1	2	1.0	single-copy
GF00001612	1	1	2	1.0	single-copy
GF00001613	1	1	2	1.0	single-copy
GF00001614	1	1	2	1.0	single-copy
GF00001615	1	1	2	1.0	single-copy
GF00001616	1	1	2	1.0	single-copy
GF00001617	1	1	2	1.0	single-copy
GF00001618	1	1	2	1.0	single-copy
GF00001619	1	1	2	1.0	single-copy
GF00001620	1	1	2	1.0	single-copy
GF00001621	1	1	2	1.0	single-copy
GF00001622	1	1	2	1.0	single-copy
GF00001623	1	1	2	1.0	single-copy
GF00001624	1	1	2	1.0	single-copy
GF00001625	1	1	2	1.0	single-copy
GF00001626	1	1	2	1.0	single-copy
GF00001627	1	1	2	1.0	single-copy
GF00001628	1	1	2	1.0	single-copy
GF00001629	1	1	2	1.0	single-copy
GF00001630	1	1	2	1.0	single-copy
GF00001631	1	1	2	1.0	single-copy
GF00001632	1	1	2	1.0	single-copy
GF00001633	1	1	2	1.0	single-copy
GF00001634	1	1	2	1.0	single-copy
GF00001635	1	1	2	1.0	single-copy
GF00001636	1	1	2	1.0	single-copy
GF00001637	1	1	2	1.0	single-copy
GF00001638	1	1	2	1.0	single-copy
GF00001639	1	1	2	1.0	single-copy
GF00001640	1	1	2	1.0	single-copy
GF00001641	1	1	2	1.0	single-copy
GF00001642	1	1	2	1.0	single-copy
GF00001643	1	1	2	1.0	single-copy
GF00001644	1	1	2	1.0	single-copy
GF00001645	1	1	2	1.0	single-copy
GF00001646	1	1	2	1.0	single-copy
GF00001647	1	1	2	1.0	single-copy
GF00001648	1	1	2	1.0	single-copy
GF00001649	1	1	2	1.0	single-copy
GF00001650	1	1	2	1.0	single-copy
GF00001651	1	1	2	1.0	single-copy
GF00001652	1	1	2	1.0	single-copy
GF00001653	1	1	2	1.0	single-copy
GF00001654	1	1	2	1.0	single-copy
GF00001655	1	1	2	1.0	single-copy
GF00001656	1	1	2	1.0	single-copy
GF00001657	1	1	2	1.0	single-copy
GF00001658	1	1	2	1.0	single-copy
GF00001659	1	1	2	1.0	single-copy
GF00001660	1	1	2	1.0	single-copy
GF00001661	1	1	2	1.0	single-copy
GF00001662	1	1	2	1.0	single-copy
GF00001663	1	1	2	1.0	single-copy
GF00001664	1	1	2	1.0	single-copy
GF00001665	1	1	2	1.0	single-copy
GF00001666	1	1	2	1.0	single-copy
GF00001667	1	1	2	1.0	single-copy
GF00001668	1	1	2	1.0	single-copy
GF00001669	1	1	2	1.0	single-copy
GF00001670	1	1	2	1.0	single-copy
GF00001671	1	1	2	1.0	single-copy
GF00001672	1	1	2	1.0	single-copy
GF00001673	1	1	2	1.0	single-copy
GF00001674	1	1	2	1.0	single-copy
GF00001675	1	1	2	1.0	single-copy
GF00001676	1	1	2	1.0	single-copy
GF00001677	1	1	2	1.0	single-copy
GF00001678	1	1	2	1.0	single-copy
GF00001679	1	1	2	1.0	single-copy
GF00001680	1	1	2	1.0	single-copy
GF00001681	1	1	2	1.0	single-copy
GF00001682	1	1	2	1.0	single-copy
GF00001683	1	1	2	1.0	single-copy
GF00001684	1	1	2	1.0	single-copy
GF00001685	1	1	2	1.0	single-copy
GF00001686	1	1	2	1.0	single-copy
GF00001687	1	1	2	1.0	single-copy
GF00001688	1	1	2	1.0	single-copy
GF00001689	1	1	2	1.0	single-copy
GF00001690	1	1	2	1.0	single-copy
GF00001691	1	1	2	1.0	single-copy
GF00001692	1	1	2	1.0	single-copy
GF00001693	1	1	2	1.0	single-copy
GF00001694	1	1	2	1.0	single-copy
GF00001695	1	1	2	1.0	single-copy
GF00001696	1	1	2	1.0	single-copy
GF00001697	1	1	2	1.0	single-copy
GF00001698	1	1	2	1.0	single-copy
GF00001699	1	1	2	1.0	single-copy
GF00001700	1	1	2	1.0	single-copy
GF00001701	1	1	2	1.0	single-copy
GF00001702	1	1	2	1.0	single-copy
GF00001703	1	1	2	1.0	single-copy
GF00001704	1	1	2	1.0	single-copy
GF00001705	1	1	2	1.0	single-copy
GF00001706	1	1	2	1.0	single-copy
GF00001707	1	1	2	1.0	single-copy
GF00001708	1	1	2	1.0	single-copy
GF00001709	1	1	2	1.0	single-copy
GF00001710	1	1	2	1.0	single-copy
GF00001711	1	1	2	1.0	single-copy
GF00001712	1	1	2	1.0	single-copy
GF00001713	1	1	2	1.0	single-copy
GF00001714	1	1	2	1.0	single-copy
GF00001715	1	1	2	1.0	single-copy
GF00001716	1	1	2	1.0	single-copy
GF00001717	1	1	2	1.0	single-copy
GF00001718	1	1	2	1.0	single-copy
GF00001719	1	1	2	1.0	single-copy
GF00001720	1	1	2	1.0	single-copy
GF00001721	1	1	2	1.0	single-copy
GF00001722	1	1	2	1.0	single-copy
GF00001723	1	1	2	1.0	single-copy
GF00001724	1	1	2	1.0	single-copy
GF00001725	1	1	2	1.0	single-copy
GF00001726	1	1	2	1.0	single-copy
GF00001727	1	1	2	1.0	single-copy
GF00001728	1	1	2	1.0	single-copy
GF00001729	1	1	2	1.0	single-copy
GF00001730	1	1	2	1.0	single-copy
GF00001731	1	1	2	1.0	single-copy
GF00001732	1	1	2	1.0	single-copy
GF00001733	1	1	2	1.0	single-copy
GF00001734	1	1	2	1.0	single-copy
GF00001735	1	1	2	1.0	single-copy
GF00001736	1	1	2	1.0	single-copy
GF00001737	1	1	2	1.0	single-copy
GF00001738	1	1	2	1.0	single-copy
GF00001739	1	1	2	1.0	single-copy
GF00001740	1	1	2	1.0	single-copy
GF00001741	1	1	2	1.0	single-copy
GF00001742	1	1	2	1.0	single-copy
GF00001743	1	1	2	1.0	single-copy
GF00001744	1	1	2	1.0	single-copy
GF00001745	1	1	2	1.0	single-copy
GF00001746	1	1	2	1.0	single-copy
GF00001747	1	1	2	1.0	single-copy
GF00001748	1	1	2	1.0	single-copy
GF00001749	1	1	2	1.0	single-copy
GF00001750	1	1	2	1.0	single-copy
GF00001751	1	1	2	1.0	single-copy
GF00001752	1	1	2	1.0	single-copy
GF00001753	1	1	2	1.0	single-copy
GF00001754	1	1	2	1.0	single-copy
GF00001755	1	1	2	1.0	single-copy
GF00001756	1	1	2	1.0	single-copy
GF00001757	1	1	2	1.0	single-copy
GF00001758	1	1	2	1.0	single-copy
GF00001759	1	1	2	1.0	single-copy
GF00001760	1	1	2	1.0	single-copy
GF00001761	1	1	2	1.0	single-copy
GF00001762	1	1	2	1.0	single-copy
GF00001763	1	1	2	1.0	single-copy
GF00001764	1	1	2	1.0	single-copy
GF00001765	1	1	2	1.0	single-copy
GF00001766	1	1	2	1.0	single-copy
GF00001767	1	1	2	1.0	single-copy
GF00001768	1	1	2	1.0	single-copy
GF00001769	1	1	2	1.0	single-copy
GF00001770	1	1	2	1.0	single-copy
GF00001771	1	1	2	1.0	single-copy
GF00001772	1	1	2	1.0	single-copy
GF00001773	1	1	2	1.0	single-copy
GF00001774	1	1	2	1.0	single-copy
GF00001775	1	1	2	1.0	single-copy
GF00001776	1	1	2	1.0	single-copy
GF00001777	1	1	2	1.0	single-copy
GF00001778	1	1	2	1.0	single-copy
GF00001779	1	1	2	1.0	single-copy
GF00001780	1	1	2	1.0	single-copy
GF00001781	1	1	2	1.0	single-copy
GF00001782	1	1	2	1.0	single-copy
GF00001783	1	1	2	1.0	single-copy
GF00001784	1	1	2	1.0	single-copy
GF00001785	1	1	2	1.0	single-copy
GF00001786	1	1	2	1.0	single-copy
GF00001787	1	1	2	1.0	single-copy
GF00001788	1	1	2	1.0	single-copy
GF00001789	1	1	2	1.0	single-copy
GF00001790	1	1	2	1.0	single-copy
GF00001791	1	1	2	1.0	single-copy
GF00001792	1	1	2	1.0	single-copy
GF00001793	1	1	2	1.0	single-copy
GF00001794	1	1	2	1.0	single-copy
GF00001795	1	1	2	1.0	single-copy
GF00001796	1	1	2	1.0	single-copy
GF00001797	1	1	2	1.0	single-copy
GF00001798	1	1	2	1.0	single-copy
GF00001799	1	1	2	1.0	single-copy
GF00001800	1	1	2	1.0	single-copy
GF00001801	1	1	2	1.0	single-copy
GF00001802	1	1	2	1.0	single-copy
GF00001803	1	1	2	1.0	single-copy
GF00001804	1	1	2	1.0	single-copy
GF00001805	1	1	2	1.0	single-copy
GF00001806	1	1	2	1.0	single-copy
GF00001807	1	1	2	1.0	single-copy
GF00001808	1	1	2	1.0	single-copy
GF00001809	1	1	2	1.0	single-copy
GF00001810	1	1	2	1.0	single-copy
GF00001811	1	1	2	1.0	single-copy
GF00001812	1	1	2	1.0	single-copy
GF00001813	1	1	2	1.0	single-copy
GF00001814	1	1	2	1.0	single-copy
GF00001815	1	1	2	1.0	single-copy
GF00001816	1	1	2	1.0	single-copy
GF00001817	1	1	2	1.0	single-copy
GF00001818	1	1	2	1.0	single-copy
GF00001819	1	1	2	1.0	single-copy
GF00001820	1	1	2	1.0	single-copy
GF00001821	1	1	2	1.0	single-copy
GF00001822	1	1	2	1.0	single-copy
GF00001823	1	1	2	1.0	single-copy
GF00001824	1	1	2	1.0	single-copy
GF00001825	1	1	2	1.0	single-copy
GF00001826	1	1	2	1.0	single-copy
GF00001827	1	1	2	1.0	single-copy
GF00001828	1	1	2	1.0	single-copy
GF00001829	1	1	2	1.0	single-copy
GF00001830	1	1	2	1.0	single-copy
GF00001831	1	1	2	1.0	single-copy
GF00001832	1	1	2	1.0	single-copy
GF00001833	1	1	2	1.0	single-copy
GF00001834	1	1	2	1.0	single-copy
GF00001835	1	1	2	1.0	single-copy
GF00001836	1	1	2	1.0	single-copy
GF00001837	1	1	2	1.0	single-copy
GF00001838	1	1	2	1.0	single-copy
GF00001839	1	1	2	1.0	single-copy
GF00001840	1	1	2	1.0	single-copy
GF00001841	1	1	2	1.0	single-copy
GF00001842	1	1	2	1.0	single-copy
GF00001843	1	1	2	1.0	single-copy
GF00001844	1	1	2	1.0	single-copy
GF00001845	1	1	2	1.0	single-copy
GF00001846	1	1	2	1.0	single-copy
GF00001847	1	1	2	1.0	single-copy
GF00001848	1	1	2	1.0	single-copy
GF00001849	1	1	2	1.0	single-copy
GF00001850	1	1	2	1.0	single-copy
GF00001851	1	1	2	1.0	single-copy
GF00001852	1	1	2	1.0	single-copy
GF00001853	1	1	2	1.0	single-copy
GF00001854	1	1	2	1.0	single-copy
GF00001855	1	1	2	1.0	single-copy
GF00001856	1	1	2	1.0	single-copy
GF00001857	1	1	2	1.0	single-copy
GF00001858	1	1	2	1.0	single-copy
GF00001859	1	1	2	1.0	single-copy
GF00001860	1	1	2	1.0	single-copy
GF00001861	1	1	2	1.0	single-copy
GF00001862	1	1	2	1.0	single-copy
GF00001863	1	1	2	1.0	single-copy
GF00001864	1	1	2	1.0	single-copy
GF00001865	1	1	2	1.0	single-copy
GF00001866	1	1	2	1.0	single-copy
GF00001867	1	1	2	1.0	single-copy
GF00001868	1	1	2	1.0	single-copy
GF00001869	1	1	2	1.0	single-copy
GF00001870	1	1	2	1.0	single-copy
GF00001871	1	1	2	1.0	single-copy
GF00001872	1	1	2	1.0	single-copy
GF00001873	1	1	2	1.0	single-copy
GF00001874	1	1	2	1.0	single-copy
GF00001875	1	1	2	1.0	single-copy
GF00001876	1	1	2	1.0	single-copy
GF00001877	1	1	2	1.0	single-copy
GF00001878	1	1	2	1.0	single-copy
GF00001879	1	1	2	1.0	single-copy
GF00001880	1	1	2	1.0	single-copy
GF00001881	1	1	2	1.0	single-copy
GF00001882	1	1	2	1.0	single-copy
GF00001883	1	1	2	1.0	single-copy
GF00001884	1	1	2	1.0	single-copy
GF00001885	1	1	2	1.0	single-copy
GF00001886	1	1	2	1.0	single-copy
GF00001887	1	1	2	1.0	single-copy
GF00001888	1	1	2	1.0	single-copy
GF00001889	1	1	2	1.0	single-copy
GF00001890	1	1	2	1.0	single-copy
GF00001891	1	1	2	1.0	single-copy
GF00001892	1	1	2	1.0	single-copy
GF00001893	1	1	2	1.0	single-copy
GF00001894	1	1	2	1.0	single-copy
GF00001895	1	1	2	1.0	single-copy
GF00001896	1	1	2	1.0	single-copy
GF00001897	1	1	2	1.0	single-copy
GF00001898	1	1	2	1.0	single-copy
GF00001899	1	1	2	1.0	single-copy
GF00001900	1	1	2	1.0	single-copy
GF00001901	1	1	2	1.0	single-copy
GF00001902	1	1	2	1.0	single-copy
GF00001903	1	1	2	1.0	single-copy
GF00001904	1	1	2	1.0	single-copy
GF00001905	1	1	2	1.0	single-copy
GF00001906	1	1	2	1.0	single-copy
GF00001907	1	1	2	1.0	single-copy
GF00001908	1	1	2	1.0	single-copy
GF00001909	1	1	2	1.0	single-copy
GF00001910	1	1	2	1.0	single-copy
GF00001911	1	1	2	1.0	single-copy
GF00001912	1	1	2	1.0	single-copy
GF00001913	1	1	2	1.0	single-copy
GF00001914	1	1	2	1.0	single-copy
GF00001915	1	1	2	1.0	single-copy
GF00001916	1	1	2	1.0	single-copy
GF00001917	1	1	2	1.0	single-copy
GF00001918	1	1	2	1.0	single-copy
GF00001919	1	1	2	1.0	single-copy
GF00001920	1	1	2	1.0	single-copy
GF00001921	1	1	2	1.0	single-copy
GF00001922	1	1	2	1.0	single-copy
GF00001923	1	1	2	1.0	single-copy
GF00001924	1	1	2	1.0	single-copy
GF00001925	1	1	2	1.0	single-copy
GF00001926	1	1	2	1.0	single-copy
GF00001927	1	1	2	1.0	single-copy
GF00001928	1	1	2	1.0	single-copy
GF00001929	1	1	2	1.0	single-copy
GF00001930	1	1	2	1.0	single-copy
GF00001931	1	1	2	1.0	single-copy
GF00001932	1	1	2	1.0	single-copy
GF00001933	1	1	2	1.0	single-copy
GF00001934	1	1	2	1.0	single-copy
GF00001935	1	1	2	1.0	single-copy
GF00001936	1	1	2	1.0	single-copy
GF00001937	1	1	2	1.0	single-copy
GF00001938	1	1	2	1.0	single-copy
GF00001939	1	1	2	1.0	single-copy
GF00001940	1	1	2	1.0	single-copy
GF00001941	1	1	2	1.0	single-copy
GF00001942	1	1	2	1.0	single-copy
GF00001943	1	1	2	1.0	single-copy
GF00001944	1	1	2	1.0	single-copy
GF00001945	1	1	2	1.0	single-copy
GF00001946	1	1	2	1.0	single-copy
GF00001947	1	1	2	1.0	single-copy
GF00001948	1	1	2	1.0	single-copy
GF00001949	1	1	2	1.0	single-copy
GF00001950	1	1	2	1.0	single-copy
GF00001951	1	1	2	1.0	single-copy
GF00001952	1	1	2	1.0	single-copy
GF00001953	1	1	2	1.0	single-copy
GF00001954	1	1	2	1.0	single-copy
GF00001955	1	1	2	1.0	single-copy
GF00001956	1	1	2	1.0	single-copy
GF00001957	1	1	2	1.0	single-copy
GF00001958	1	1	2	1.0	single-copy
GF00001959	1	1	2	1.0	single-copy
GF00001960	1	1	2	1.0	single-copy
GF00001961	1	1	2	1.0	single-copy
GF00001962	1	1	2	1.0	single-copy
GF00001963	1	1	2	1.0	single-copy
GF00001964	1	1	2	1.0	single-copy
GF00001965	1	1	2	1.0	single-copy
GF00001966	1	1	2	1.0	single-copy
GF00001967	1	1	2	1.0	single-copy
GF00001968	1	1	2	1.0	single-copy
GF00001969	1	1	2	1.0	single-copy
GF00001970	1	1	2	1.0	single-copy
GF00001971	1	1	2	1.0	single-copy
GF00001972	1	1	2	1.0	single-copy
GF00001973	1	1	2	1.0	single-copy
GF00001974	1	1	2	1.0	single-copy
GF00001975	1	1	2	1.0	single-copy
GF00001976	1	1	2	1.0	single-copy
GF00001977	1	1	2	1.0	single-copy
GF00001978	1	1	2	1.0	single-copy
GF00001979	1	1	2	1.0	single-copy
GF00001980	1	1	2	1.0	single-copy
GF00001981	1	1	2	1.0	single-copy
GF00001982	1	1	2	1.0	single-copy
GF00001983	1	1	2	1.0	single-copy
GF00001984	1	1	2	1.0	single-copy
GF00001985	1	1	2	1.0	single-copy
GF00001986	1	1	2	1.0	single-copy
GF00001987	1	1	2	1.0	single-copy
GF00001988	1	1	2	1.0	single-copy
GF00001989	1	1	2	1.0	single-copy
GF00001990	1	1	2	1.0	single-copy
GF00001991	1	1	2	1.0	single-copy
GF00001992	1	1	2	1.0	single-copy
GF00001993	1	1	2	1.0	single-copy
GF00001994	1	1	2	1.0	single-copy
GF00001995	1	1	2	1.0	single-copy
GF00001996	1	1	2	1.0	single-copy
GF00001997	1	1	2	1.0	single-copy
GF00001998	1	1	2	1.0	single-copy
GF00001999	1	1	2	1.0	single-copy
GF00002000	1	1	2	1.0	single-copy
GF00002001	1	1	2	1.0	single-copy
GF00002002	1	1	2	1.0	single-copy
GF00002003	1	1	2	1.0	single-copy
GF00002004	1	1	2	1.0	single-copy
GF00002005	1	1	2	1.0	single-copy
GF00002006	1	1	2	1.0	single-copy
GF00002007	1	1	2	1.0	single-copy
GF00002008	1	1	2	1.0	single-copy
GF00002009	1	1	2	1.0	single-copy
GF00002010	1	1	2	1.0	single-copy
GF00002011	1	1	2	1.0	single-copy
GF00002012	1	1	2	1.0	single-copy
GF00002013	1	1	2	1.0	single-copy
GF00002014	1	1	2	1.0	single-copy
GF00002015	1	1	2	1.0	single-copy
GF00002016	1	1	2	1.0	single-copy
GF00002017	1	1	2	1.0	single-copy
GF00002018	1	1	2	1.0	single-copy
GF00002019	1	1	2	1.0	single-copy
GF00002020	1	1	2	1.0	single-copy
GF00002021	1	1	2	1.0	single-copy
GF00002022	1	1	2	1.0	single-copy
GF00002023	1	1	2	1.0	single-copy
GF00002024	1	1	2	1.0	single-copy
GF00002025	1	1	2	1.0	single-copy
GF00002026	1	1	2	1.0	single-copy
GF00002027	1	1	2	1.0	single-copy
GF00002028	1	1	2	1.0	single-copy
GF00002029	1	1	2	1.0	single-copy
GF00002030	1	1	2	1.0	single-copy
GF00002031	1	1	2	1.0	single-copy
GF00002032	1	1	2	1.0	single-copy
GF00002033	1	1	2	1.0	single-copy
GF00002034	1	1	2	1.0	single-copy
GF00002035	1	1	2	1.0	single-copy
GF00002036	1	1	2	1.0	single-copy
GF00002037	1	1	2	1.0	single-copy
GF00002038	1	1	2	1.0	single-copy
GF00002039	1	1	2	1.0	single-copy
GF00002040	1	1	2	1.0	single-copy
GF00002041	1	1	2	1.0	single-copy
GF00002042	1	1	2	1.0	single-copy
GF00002043	1	1	2	1.0	single-copy
GF00002044	1	1	2	1.0	single-copy
GF00002045	1	1	2	1.0	single-copy
GF00002046	1	1	2	1.0	single-copy
GF00002047	1	1	2	1.0	single-copy
GF00002048	1	1	2	1.0	single-copy
GF00002049	1	1	2	1.0	single-copy
GF00002050	1	1	2	1.0	single-copy
GF00002051	1	1	2	1.0	single-copy
GF00002052	1	1	2	1.0	single-copy
GF00002053	1	1	2	1.0	single-copy
GF00002054	1	1	2	1.0	single-copy
GF00002055	1	1	2	1.0	single-copy
GF00002056	1	1	2	1.0	single-copy
GF00002057	1	1	2	1.0	single-copy
GF00002058	1	1	2	1.0	single-copy
GF00002059	1	1	2	1.0	single-copy
GF00002060	1	1	2	1.0	single-copy
GF00002061	1	1	2	1.0	single-copy
GF00002062	1	1	2	1.0	single-copy
GF00002063	1	1	2	1.0	single-copy
GF00002064	1	1	2	1.0	single-copy
GF00002065	1	1	2	1.0	single-copy
GF00002066	1	1	2	1.0	single-copy
GF00002067	1	1	2	1.0	single-copy
GF00002068	1	1	2	1.0	single-copy
GF00002069	1	1	2	1.0	single-copy
GF00002070	1	1	2	1.0	single-copy
GF00002071	1	1	2	1.0	single-copy
GF00002072	1	1	2	1.0	single-copy
GF00002073	1	1	2	1.0	single-copy
GF00002074	1	1	2	1.0	single-copy
GF00002075	1	1	2	1.0	single-copy
GF00002076	1	1	2	1.0	single-copy
GF00002077	1	1	2	1.0	single-copy
GF00002078	1	1	2	1.0	single-copy
GF00002079	1	1	2	1.0	single-copy
GF00002080	1	1	2	1.0	single-copy
GF00002081	1	1	2	1.0	single-copy
GF00002082	1	1	2	1.0	single-copy
GF00002083	1	1	2	1.0	single-copy
GF00002084	1	1	2	1.0	single-copy
GF00002085	1	1	2	1.0	single-copy
GF00002086	1	1	2	1.0	single-copy
GF00002087	1	1	2	1.0	single-copy
GF00002088	1	1	2	1.0	single-copy
GF00002089	1	1	2	1.0	single-copy
GF00002090	1	1	2	1.0	single-copy
GF00002091	1	1	2	1.0	single-copy
GF00002092	1	1	2	1.0	single-copy
GF00002093	1	1	2	1.0	single-copy
GF00002094	1	1	2	1.0	single-copy
GF00002095	1	1	2	1.0	single-copy
GF00002096	1	1	2	1.0	single-copy
GF00002097	1	1	2	1.0	single-copy
GF00002098	1	1	2	1.0	single-copy
GF00002099	1	1	2	1.0	single-copy
GF00002100	1	1	2	1.0	single-copy
GF00002101	1	1	2	1.0	single-copy
GF00002102	1	1	2	1.0	single-copy
GF00002103	1	1	2	1.0	single-copy
GF00002104	1	1	2	1.0	single-copy
GF00002105	1	1	2	1.0	single-copy
GF00002106	1	1	2	1.0	single-copy
GF00002107	1	1	2	1.0	single-copy
GF00002108	1	1	2	1.0	single-copy
GF00002109	1	1	2	1.0	single-copy
GF00002110	1	1	2	1.0	single-copy
GF00002111	1	1	2	1.0	single-copy
GF00002112	1	1	2	1.0	single-copy
GF00002113	1	1	2	1.0	single-copy
GF00002114	1	1	2	1.0	single-copy
GF00002115	1	1	2	1.0	single-copy
GF00002116	1	1	2	1.0	single-copy
GF00002117	1	1	2	1.0	single-copy
GF00002118	1	1	2	1.0	single-copy
GF00002119	1	1	2	1.0	single-copy
GF00002120	1	1	2	1.0	single-copy
GF00002121	1	1	2	1.0	single-copy
GF00002122	1	1	2	1.0	single-copy
GF00002123	1	1	2	1.0	single-copy
GF00002124	1	1	2	1.0	single-copy
GF00002125	1	1	2	1.0	single-copy
GF00002126	1	1	2	1.0	single-copy
GF00002127	1	1	2	1.0	single-copy
GF00002128	1	1	2	1.0	single-copy
GF00002129	1	1	2	1.0	single-copy
GF00002130	1	1	2	1.0	single-copy
GF00002131	1	1	2	1.0	single-copy
GF00002132	1	1	2	1.0	single-copy
GF00002133	1	1	2	1.0	single-copy
GF00002134	1	1	2	1.0	single-copy
GF00002135	1	1	2	1.0	single-copy
GF00002136	1	1	2	1.0	single-copy
GF00002137	1	1	2	1.0	single-copy
GF00002138	1	1	2	1.0	single-copy
GF00002139	1	1	2	1.0	single-copy
GF00002140	1	1	2	1.0	single-copy
GF00002141	1	1	2	1.0	single-copy
GF00002142	1	1	2	1.0	single-copy
GF00002143	1	1	2	1.0	single-copy
GF00002144	1	1	2	1.0	single-copy
GF00002145	1	1	2	1.0	single-copy
GF00002146	1	1	2	1.0	single-copy
GF00002147	1	1	2	1.0	single-copy
GF00002148	1	1	2	1.0	single-copy
GF00002149	1	1	2	1.0	single-copy
GF00002150	1	1	2	1.0	single-copy
GF00002151	1	1	2	1.0	single-copy
