	Rhodotorula_mucilaginosa_RIT389.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000235	RIT389_008859-T1, RIT389_013955-T1, RIT389_010178-T1, RIT389_011692-T1, RIT389_011691-T1, RIT389_014502-T1	DBVPG3775_000899-T1, DBVPG3775_007395-T1
GF00000236	RIT389_008155-T1, RIT389_007397-T1, RIT389_004833-T1, RIT389_006904-T1	DBVPG3775_003066-T1, DBVPG3775_005044-T1, DBVPG3775_007589-T1, DBVPG3775_007590-T1
GF00000237	RIT389_005244-T1, RIT389_011049-T1, RIT389_008353-T1, RIT389_014591-T1, RIT389_014965-T1, RIT389_011782-T1	DBVPG3775_000695-T1, DBVPG3775_004730-T1
GF00000238	RIT389_005249-T1, RIT389_014999-T1, RIT389_015055-T1, RIT389_011054-T1, RIT389_011055-T1, RIT389_005646-T1	DBVPG3775_004735-T1, DBVPG3775_007597-T1
GF00000239	RIT389_005718-T1, RIT389_005721-T1, RIT389_005722-T1, RIT389_005719-T1	DBVPG3775_002742-T1, DBVPG3775_002743-T1, DBVPG3775_002745-T1, DBVPG3775_002746-T1
GF00000240	RIT389_006532-T1, RIT389_014623-T1, RIT389_014997-T1, RIT389_014054-T1	DBVPG3775_007559-T1, DBVPG3775_007561-T1, DBVPG3775_007592-T1, DBVPG3775_007596-T1
GF00000241	RIT389_006992-T1, RIT389_009864-T1, RIT389_008706-T1, RIT389_007609-T1, RIT389_008705-T1	DBVPG3775_001201-T1, DBVPG3775_002006-T1, DBVPG3775_002007-T1
GF00000242	RIT389_007048-T1, RIT389_007270-T1, RIT389_012015-T1, RIT389_013748-T1, RIT389_013913-T1	DBVPG3775_000999-T1, DBVPG3775_002361-T1, DBVPG3775_003677-T1
GF00000243	RIT389_007307-T1, RIT389_008601-T1, RIT389_007807-T1, RIT389_008501-T1, RIT389_008600-T1	DBVPG3775_000143-T1, DBVPG3775_003595-T1, DBVPG3775_003596-T1
GF00000244	RIT389_007602-T1, RIT389_014571-T1, RIT389_013830-T1, RIT389_015020-T1, RIT389_008221-T1, RIT389_015019-T1	DBVPG3775_000644-T1, DBVPG3775_000649-T1
GF00000245	RIT389_010283-T1, RIT389_011167-T1, RIT389_011166-T1, RIT389_010285-T1, RIT389_010286-T1, RIT389_010284-T1	DBVPG3775_000591-T1, DBVPG3775_000592-T1
GF00000246	RIT389_011021-T1, RIT389_011230-T1, RIT389_011022-T1, RIT389_011229-T1, RIT389_011023-T1, RIT389_011228-T1	DBVPG3775_001048-T1, DBVPG3775_001049-T1
GF00000247	RIT389_014177-T1, RIT389_014449-T1, RIT389_014178-T1, RIT389_014448-T1, RIT389_014447-T1	DBVPG3775_000728-T1, DBVPG3775_000729-T1, DBVPG3775_000730-T1
GF00000248	RIT389_013798-T1, RIT389_009562-T1, RIT389_005708-T1, RIT389_009563-T1, RIT389_005709-T1	DBVPG3775_002409-T1, DBVPG3775_002410-T1
GF00000249	RIT389_010031-T1, RIT389_002590-T1, RIT389_003677-T1, RIT389_004357-T1, RIT389_003676-T1	DBVPG3775_003707-T1, DBVPG3775_005791-T1
GF00000250	RIT389_012100-T1, RIT389_008423-T1, RIT389_012093-T1, RIT389_012098-T1	DBVPG3775_001371-T1, DBVPG3775_001374-T1, DBVPG3775_001377-T1
GF00000251	RIT389_004005-T1, RIT389_002552-T1, RIT389_013821-T1, RIT389_013807-T1, RIT389_012965-T1	DBVPG3775_003035-T1, DBVPG3775_004455-T1
GF00000252	RIT389_000921-T1, RIT389_000911-T1, RIT389_003503-T1, RIT389_003233-T1, RIT389_003244-T1	DBVPG3775_000807-T1, DBVPG3775_000818-T1
GF00000253	RIT389_008165-T1, RIT389_007387-T1, RIT389_008166-T1, RIT389_012735-T1, RIT389_012736-T1	DBVPG3775_005054-T1, DBVPG3775_005055-T1
GF00000254	RIT389_000136-T1, RIT389_014145-T1, RIT389_001160-T1, RIT389_003825-T1, RIT389_003490-T1	DBVPG3775_002798-T1, DBVPG3775_007520-T1
GF00000255	RIT389_000177-T1, RIT389_005432-T1, RIT389_004057-T1, RIT389_007678-T1	DBVPG3775_002840-T1, DBVPG3775_005399-T1, DBVPG3775_005400-T1
GF00000256	RIT389_000228-T1, RIT389_005448-T1, RIT389_013500-T1, RIT389_000230-T1, RIT389_005450-T1	DBVPG3775_001296-T1, DBVPG3775_001298-T1
GF00000257	RIT389_000284-T1, RIT389_003259-T1, RIT389_012621-T1, RIT389_002862-T1	DBVPG3775_002256-T1, DBVPG3775_006590-T1, DBVPG3775_006591-T1
GF00000258	RIT389_000342-T1, RIT389_010554-T1, RIT389_009774-T1, RIT389_011466-T1, RIT389_009728-T1	DBVPG3775_006965-T1, DBVPG3775_007514-T1
GF00000259	RIT389_012654-T1, RIT389_005571-T1, RIT389_005586-T1, RIT389_009736-T1	DBVPG3775_006643-T1, DBVPG3775_006658-T1, DBVPG3775_006659-T1
GF00000260	RIT389_000372-T1, RIT389_011522-T1, RIT389_012759-T1, RIT389_004614-T1, RIT389_004613-T1	DBVPG3775_004409-T1, DBVPG3775_006427-T1
GF00000261	RIT389_000374-T1, RIT389_004616-T1, RIT389_013790-T1, RIT389_007169-T1, RIT389_013719-T1	DBVPG3775_005938-T1, DBVPG3775_006429-T1
GF00000262	RIT389_004524-T1, RIT389_013369-T1, RIT389_007878-T1, RIT389_014359-T1, RIT389_009919-T1	DBVPG3775_003497-T1, DBVPG3775_004642-T1
GF00000263	RIT389_000496-T1, RIT389_003560-T1, RIT389_001638-T1, RIT389_003048-T1, RIT389_014897-T1	DBVPG3775_000179-T1, DBVPG3775_005812-T1
GF00000264	RIT389_000603-T1, RIT389_010224-T1, RIT389_003371-T1, RIT389_011453-T1, RIT389_001965-T1	DBVPG3775_001529-T1, DBVPG3775_003322-T1
GF00000265	RIT389_014774-T1, RIT389_009992-T1, RIT389_003078-T1, RIT389_013095-T1, RIT389_014033-T1	DBVPG3775_000268-T1, DBVPG3775_003291-T1
GF00000266	RIT389_000750-T1, RIT389_006639-T1, RIT389_008604-T1, RIT389_014199-T1, RIT389_010503-T1	DBVPG3775_001945-T1, DBVPG3775_003599-T1
GF00000267	RIT389_000757-T1, RIT389_010637-T1, RIT389_001693-T1, RIT389_001313-T1, RIT389_011675-T1	DBVPG3775_002100-T1, DBVPG3775_003646-T1
GF00000268	RIT389_000769-T1, RIT389_002250-T1, RIT389_008149-T1, RIT389_005172-T1, RIT389_005531-T1	DBVPG3775_004682-T1, DBVPG3775_005645-T1
GF00000269	RIT389_000841-T1, RIT389_010401-T1, RIT389_007260-T1, RIT389_014390-T1, RIT389_014634-T1	DBVPG3775_000094-T1, DBVPG3775_006784-T1
GF00000270	RIT389_000870-T1, RIT389_013221-T1, RIT389_012021-T1, RIT389_013437-T1, RIT389_007012-T1	DBVPG3775_001880-T1, DBVPG3775_006814-T1
GF00000271	RIT389_000936-T1, RIT389_009367-T1, RIT389_003450-T1, RIT389_011094-T1, RIT389_011095-T1	DBVPG3775_005490-T1, DBVPG3775_005578-T1
GF00000272	RIT389_001008-T1, RIT389_014149-T1, RIT389_008606-T1, RIT389_010505-T1	DBVPG3775_003601-T1, DBVPG3775_003602-T1, DBVPG3775_006722-T1
GF00000273	RIT389_001158-T1, RIT389_003827-T1, RIT389_013362-T1, RIT389_011043-T1, RIT389_014819-T1	DBVPG3775_002730-T1, DBVPG3775_007522-T1
GF00000274	RIT389_001178-T1, RIT389_013131-T1, RIT389_007061-T1, RIT389_010355-T1	DBVPG3775_001356-T1, DBVPG3775_001743-T1, DBVPG3775_001744-T1
GF00000275	RIT389_001239-T1, RIT389_012145-T1, RIT389_002591-T1, RIT389_010030-T1, RIT389_008609-T1	DBVPG3775_002486-T1, DBVPG3775_005792-T1
GF00000276	RIT389_001267-T1, RIT389_014166-T1, RIT389_003318-T1, RIT389_003637-T1, RIT389_015032-T1	DBVPG3775_001813-T1, DBVPG3775_003910-T1
GF00000277	RIT389_011001-T1, RIT389_010821-T1, RIT389_010367-T1, RIT389_012401-T1	DBVPG3775_000418-T1, DBVPG3775_006264-T1, DBVPG3775_007531-T1
GF00000278	RIT389_002472-T1, RIT389_010077-T1, RIT389_007629-T1, RIT389_011744-T1, RIT389_011884-T1	DBVPG3775_003246-T1, DBVPG3775_006977-T1
GF00000279	RIT389_001302-T1, RIT389_006615-T1, RIT389_005905-T1, RIT389_008099-T1, RIT389_014315-T1	DBVPG3775_003657-T1, DBVPG3775_004029-T1
GF00000280	RIT389_010267-T1, RIT389_005138-T1, RIT389_005139-T1, RIT389_010266-T1, RIT389_014918-T1	DBVPG3775_003464-T1, DBVPG3775_003466-T1
GF00000281	RIT389_001405-T1, RIT389_011270-T1, RIT389_001411-T1, RIT389_012032-T1, RIT389_009910-T1	DBVPG3775_005145-T1, DBVPG3775_007365-T1
GF00000282	RIT389_001460-T1, RIT389_011926-T1, RIT389_014010-T1, RIT389_001461-T1, RIT389_011928-T1, RIT389_011927-T1	DBVPG3775_000305-T1
GF00000283	RIT389_001575-T1, RIT389_004482-T1, RIT389_004484-T1, RIT389_015082-T1, RIT389_004483-T1	DBVPG3775_005915-T1, DBVPG3775_007591-T1
GF00000284	RIT389_001658-T1, RIT389_007467-T1, RIT389_012932-T1, RIT389_008733-T1	DBVPG3775_004830-T1, DBVPG3775_004831-T1, DBVPG3775_005832-T1
GF00000285	RIT389_001670-T1, RIT389_007476-T1, RIT389_004838-T1, RIT389_006910-T1, RIT389_006909-T1	DBVPG3775_003071-T1, DBVPG3775_005843-T1
GF00000286	RIT389_002918-T1, RIT389_007425-T1, RIT389_009278-T1, RIT389_007168-T1, RIT389_013592-T1	DBVPG3775_003949-T1, DBVPG3775_004887-T1
GF00000287	RIT389_001736-T1, RIT389_002878-T1, RIT389_005976-T1, RIT389_008922-T1	DBVPG3775_002985-T1, DBVPG3775_002986-T1, DBVPG3775_006573-T1
GF00000288	RIT389_001800-T1, RIT389_008303-T1, RIT389_003160-T1, RIT389_004403-T1, RIT389_003159-T1	DBVPG3775_000953-T1, DBVPG3775_001130-T1
GF00000289	RIT389_008463-T1, RIT389_014225-T1, RIT389_012499-T1, RIT389_013766-T1, RIT389_013767-T1	DBVPG3775_002543-T1, DBVPG3775_002553-T1
GF00000290	RIT389_011324-T1, RIT389_009254-T1, RIT389_009255-T1, RIT389_011325-T1	DBVPG3775_002585-T1, DBVPG3775_002586-T1, DBVPG3775_002587-T1
GF00000291	RIT389_002083-T1, RIT389_014385-T1, RIT389_011217-T1, RIT389_014707-T1, RIT389_014870-T1	DBVPG3775_001393-T1, DBVPG3775_004894-T1
GF00000292	RIT389_002273-T1, RIT389_002274-T1, RIT389_010730-T1, RIT389_002275-T1	DBVPG3775_000248-T1, DBVPG3775_000249-T1, DBVPG3775_000250-T1
GF00000293	RIT389_002285-T1, RIT389_012483-T1, RIT389_005144-T1, RIT389_010259-T1, RIT389_007540-T1	DBVPG3775_000238-T1, DBVPG3775_003471-T1
GF00000294	RIT389_002289-T1, RIT389_012479-T1, RIT389_002290-T1, RIT389_012477-T1, RIT389_012478-T1	DBVPG3775_000233-T1, DBVPG3775_000234-T1
GF00000295	RIT389_002293-T1, RIT389_007401-T1, RIT389_015018-T1, RIT389_015046-T1, RIT389_015074-T1	DBVPG3775_000230-T1, DBVPG3775_003051-T1
GF00000296	RIT389_002313-T1, RIT389_006361-T1, RIT389_006953-T1, RIT389_013796-T1, RIT389_011575-T1	DBVPG3775_002530-T1, DBVPG3775_002937-T1
GF00000297	RIT389_002334-T1, RIT389_003310-T1, RIT389_010216-T1, RIT389_013667-T1, RIT389_015118-T1	DBVPG3775_000535-T1, DBVPG3775_004558-T1
GF00000298	RIT389_013855-T1, RIT389_003219-T1, RIT389_009778-T1, RIT389_015000-T1, RIT389_009724-T1	DBVPG3775_000831-T1, DBVPG3775_007510-T1
GF00000299	RIT389_002421-T1, RIT389_011710-T1, RIT389_011709-T1, RIT389_002422-T1	DBVPG3775_006896-T1, DBVPG3775_006897-T1, DBVPG3775_006898-T1
GF00000300	RIT389_002452-T1, RIT389_006202-T1, RIT389_004012-T1, RIT389_013379-T1, RIT389_010840-T1	DBVPG3775_000079-T1, DBVPG3775_004462-T1
GF00000301	RIT389_002534-T1, RIT389_010839-T1, RIT389_011192-T1, RIT389_011375-T1, RIT389_003963-T1	DBVPG3775_003019-T1, DBVPG3775_004575-T1
GF00000302	RIT389_002538-T1, RIT389_007153-T1, RIT389_013616-T1, RIT389_010835-T1, RIT389_010834-T1	DBVPG3775_003023-T1, DBVPG3775_003964-T1
GF00000303	RIT389_002633-T1, RIT389_003365-T1, RIT389_012264-T1, RIT389_009096-T1, RIT389_009097-T1	DBVPG3775_001535-T1, DBVPG3775_006139-T1
GF00000304	RIT389_002653-T1, RIT389_003344-T1, RIT389_009580-T1, RIT389_009906-T1, RIT389_004135-T1	DBVPG3775_000508-T1, DBVPG3775_001556-T1
GF00000305	RIT389_002704-T1, RIT389_007320-T1, RIT389_007317-T1, RIT389_010348-T1, RIT389_010349-T1	DBVPG3775_002157-T1, DBVPG3775_002160-T1
GF00000306	RIT389_002786-T1, RIT389_005231-T1, RIT389_013325-T1, RIT389_007236-T1, RIT389_013324-T1	DBVPG3775_002037-T1, DBVPG3775_006669-T1
GF00000307	RIT389_002808-T1, RIT389_009881-T1, RIT389_011225-T1, RIT389_013801-T1, RIT389_012232-T1	DBVPG3775_000772-T1, DBVPG3775_005952-T1
GF00000308	RIT389_002814-T1, RIT389_009888-T1, RIT389_006097-T1, RIT389_011992-T1, RIT389_004643-T1	DBVPG3775_005310-T1, DBVPG3775_005959-T1
GF00000309	RIT389_002892-T1, RIT389_003850-T1, RIT389_007715-T1, RIT389_007143-T1	DBVPG3775_004253-T1, DBVPG3775_004860-T1, DBVPG3775_004861-T1
GF00000310	RIT389_003169-T1, RIT389_014873-T1, RIT389_012563-T1, RIT389_014604-T1, RIT389_003170-T1	DBVPG3775_005215-T1, DBVPG3775_006030-T1
GF00000311	RIT389_003180-T1, RIT389_007080-T1, RIT389_007081-T1, RIT389_006411-T1, RIT389_004308-T1	DBVPG3775_001264-T1, DBVPG3775_005205-T1
GF00000312	RIT389_003656-T1, RIT389_010711-T1, RIT389_004629-T1, RIT389_015016-T1, RIT389_014123-T1	DBVPG3775_003928-T1, DBVPG3775_005323-T1
GF00000313	RIT389_003733-T1, RIT389_007759-T1, RIT389_009939-T1, RIT389_008316-T1, RIT389_008315-T1	DBVPG3775_001117-T1, DBVPG3775_001698-T1
GF00000314	RIT389_003878-T1, RIT389_013017-T1, RIT389_003881-T1, RIT389_011583-T1, RIT389_013014-T1	DBVPG3775_006499-T1, DBVPG3775_006503-T1
GF00000315	RIT389_004140-T1, RIT389_009575-T1, RIT389_004141-T1, RIT389_009576-T1, RIT389_014781-T1	DBVPG3775_000513-T1, DBVPG3775_000514-T1
GF00000316	RIT389_004415-T1, RIT389_014706-T1, RIT389_005255-T1, RIT389_013683-T1, RIT389_015129-T1	DBVPG3775_000965-T1, DBVPG3775_004741-T1
GF00000317	RIT389_004638-T1, RIT389_011986-T1, RIT389_004639-T1, RIT389_011987-T1, RIT389_011988-T1	DBVPG3775_005314-T1, DBVPG3775_005315-T1
GF00000318	RIT389_004685-T1, RIT389_010191-T1, RIT389_006912-T1, RIT389_012883-T1, RIT389_008538-T1	DBVPG3775_006529-T1, DBVPG3775_007250-T1
GF00000319	RIT389_004721-T1, RIT389_005208-T1, RIT389_006193-T1, RIT389_004947-T1, RIT389_014894-T1	DBVPG3775_000878-T1, DBVPG3775_001640-T1
GF00000320	RIT389_004818-T1, RIT389_012078-T1, RIT389_008240-T1, RIT389_009290-T1, RIT389_013993-T1	DBVPG3775_000624-T1, DBVPG3775_006027-T1
GF00000321	RIT389_004996-T1, RIT389_013738-T1, RIT389_004997-T1, RIT389_013737-T1, RIT389_009427-T1	DBVPG3775_003214-T1, DBVPG3775_003215-T1
GF00000322	RIT389_005063-T1, RIT389_005067-T1, RIT389_005068-T1	DBVPG3775_007270-T1, DBVPG3775_007271-T1, DBVPG3775_007272-T1, DBVPG3775_007273-T1
GF00000323	RIT389_005122-T1, RIT389_007223-T1, RIT389_007140-T1, RIT389_007718-T1	DBVPG3775_004249-T1, DBVPG3775_004250-T1, DBVPG3775_005534-T1
GF00000324	RIT389_005567-T1, RIT389_009731-T1, RIT389_012037-T1, RIT389_012689-T1	DBVPG3775_006455-T1, DBVPG3775_007517-T1, DBVPG3775_007545-T1
GF00000325	RIT389_005568-T1, RIT389_009732-T1, RIT389_012119-T1, RIT389_013404-T1, RIT389_013890-T1	DBVPG3775_004756-T1, DBVPG3775_007546-T1
GF00000326	RIT389_005713-T1, RIT389_009558-T1, RIT389_009557-T1, RIT389_005714-T1	DBVPG3775_002403-T1, DBVPG3775_002404-T1, DBVPG3775_002405-T1
GF00000327	RIT389_005723-T1, RIT389_005724-T1, RIT389_005725-T1	DBVPG3775_002747-T1, DBVPG3775_002748-T1, DBVPG3775_002749-T1, DBVPG3775_002750-T1
GF00000328	RIT389_005745-T1, RIT389_012005-T1, RIT389_005746-T1, RIT389_012006-T1, RIT389_005747-T1	DBVPG3775_004812-T1, DBVPG3775_004813-T1
GF00000329	RIT389_005779-T1, RIT389_012393-T1, RIT389_012468-T1, RIT389_010305-T1, RIT389_010306-T1	DBVPG3775_003312-T1, DBVPG3775_005990-T1
GF00000330	RIT389_006127-T1, RIT389_010084-T1, RIT389_013762-T1, RIT389_012495-T1, RIT389_014735-T1	DBVPG3775_002557-T1, DBVPG3775_004512-T1
GF00000331	RIT389_006945-T1, RIT389_011567-T1, RIT389_013793-T1, RIT389_006957-T1, RIT389_006956-T1	DBVPG3775_002522-T1, DBVPG3775_002533-T1
GF00000332	RIT389_007097-T1, RIT389_010812-T1, RIT389_011011-T1, RIT389_014637-T1, RIT389_015156-T1	DBVPG3775_001059-T1, DBVPG3775_007097-T1
GF00000333	RIT389_007490-T1, RIT389_011814-T1, RIT389_007491-T1, RIT389_011813-T1, RIT389_007492-T1, RIT389_007493-T1	DBVPG3775_002907-T1
GF00000334	RIT389_007887-T1, RIT389_008413-T1, RIT389_012650-T1, RIT389_010319-T1, RIT389_010320-T1	DBVPG3775_004633-T1, DBVPG3775_006862-T1
GF00000335	RIT389_008421-T1, RIT389_014617-T1, RIT389_015157-T1, RIT389_012091-T1, RIT389_014979-T1	DBVPG3775_001379-T1, DBVPG3775_001380-T1
GF00000336	RIT389_010052-T1, RIT389_013944-T1, RIT389_014605-T1, RIT389_013623-T1, RIT389_014488-T1	DBVPG3775_003236-T1, DBVPG3775_007018-T1
GF00000337	RIT389_011841-T1, RIT389_012633-T1, RIT389_014546-T1, RIT389_015094-T1, RIT389_011842-T1, RIT389_014547-T1	DBVPG3775_004009-T1
GF00000338	RIT389_000002-T1, RIT389_014425-T1, RIT389_014792-T1, RIT389_008351-T1	DBVPG3775_000693-T1, DBVPG3775_007329-T1
GF00000339	RIT389_000015-T1, RIT389_000016-T1, RIT389_012149-T1, RIT389_012148-T1	DBVPG3775_007343-T1, DBVPG3775_007344-T1
GF00000340	RIT389_000021-T1, RIT389_008937-T1, RIT389_000678-T1, RIT389_013865-T1	DBVPG3775_003156-T1, DBVPG3775_007349-T1
GF00000341	RIT389_000024-T1, RIT389_008931-T1, RIT389_000025-T1, RIT389_008930-T1	DBVPG3775_005632-T1, DBVPG3775_005633-T1
GF00000342	RIT389_000034-T1, RIT389_014904-T1, RIT389_011807-T1, RIT389_012114-T1	DBVPG3775_005569-T1, DBVPG3775_005626-T1
GF00000343	RIT389_000040-T1, RIT389_009131-T1, RIT389_009365-T1, RIT389_003452-T1	DBVPG3775_005580-T1, DBVPG3775_005621-T1
GF00000344	RIT389_013120-T1, RIT389_009413-T1, RIT389_000534-T1, RIT389_005027-T1	DBVPG3775_000216-T1, DBVPG3775_005969-T1
GF00000345	RIT389_000073-T1, RIT389_014607-T1, RIT389_001510-T1, RIT389_000074-T1	DBVPG3775_003783-T1, DBVPG3775_003784-T1
GF00000346	RIT389_000075-T1, RIT389_001509-T1, RIT389_000077-T1, RIT389_001507-T1, RIT389_001508-T1	DBVPG3775_003782-T1
GF00000347	RIT389_000088-T1, RIT389_001496-T1, RIT389_013441-T1, RIT389_012864-T1	DBVPG3775_003770-T1, DBVPG3775_006147-T1
GF00000348	RIT389_011459-T1, RIT389_000349-T1, RIT389_005043-T1, RIT389_009083-T1	DBVPG3775_005034-T1, DBVPG3775_006972-T1
GF00000349	RIT389_000103-T1, RIT389_001482-T1, RIT389_003843-T1, RIT389_002899-T1	DBVPG3775_003755-T1, DBVPG3775_004868-T1
GF00000350	RIT389_000119-T1, RIT389_006685-T1, RIT389_008162-T1, RIT389_007390-T1	DBVPG3775_003739-T1, DBVPG3775_005051-T1
GF00000351	RIT389_000133-T1, RIT389_006699-T1, RIT389_004969-T1, RIT389_011945-T1	DBVPG3775_003725-T1, DBVPG3775_007375-T1
GF00000352	RIT389_006916-T1, RIT389_008534-T1, RIT389_006915-T1, RIT389_008535-T1, RIT389_008533-T1	DBVPG3775_007247-T1
GF00000353	RIT389_000148-T1, RIT389_003501-T1, RIT389_004582-T1, RIT389_014074-T1	DBVPG3775_002811-T1, DBVPG3775_007093-T1
GF00000354	RIT389_000159-T1, RIT389_006540-T1, RIT389_002703-T1, RIT389_007321-T1	DBVPG3775_002156-T1, DBVPG3775_002821-T1
GF00000355	RIT389_000160-T1, RIT389_012485-T1, RIT389_003509-T1, RIT389_000901-T1	DBVPG3775_000801-T1, DBVPG3775_002822-T1
GF00000356	RIT389_000188-T1, RIT389_005443-T1, RIT389_001241-T1, RIT389_008611-T1	DBVPG3775_002484-T1, DBVPG3775_002851-T1
GF00000357	RIT389_012714-T1, RIT389_006708-T1, RIT389_006707-T1, RIT389_012715-T1	DBVPG3775_001903-T1, DBVPG3775_001904-T1
GF00000358	RIT389_000229-T1, RIT389_005449-T1, RIT389_005154-T1, RIT389_007550-T1	DBVPG3775_001297-T1, DBVPG3775_003481-T1
GF00000359	RIT389_011847-T1, RIT389_010906-T1, RIT389_004794-T1, RIT389_012162-T1	DBVPG3775_000120-T1, DBVPG3775_005362-T1
GF00000360	RIT389_000264-T1, RIT389_003278-T1, RIT389_003115-T1, RIT389_006655-T1	DBVPG3775_000451-T1, DBVPG3775_002236-T1
GF00000361	RIT389_000268-T1, RIT389_003275-T1, RIT389_013744-T1, RIT389_004091-T1	DBVPG3775_002240-T1, DBVPG3775_005856-T1
GF00000362	RIT389_000294-T1, RIT389_003250-T1, RIT389_011732-T1, RIT389_012804-T1	DBVPG3775_002266-T1, DBVPG3775_004935-T1
GF00000363	RIT389_011729-T1, RIT389_012800-T1, RIT389_011730-T1, RIT389_012801-T1	DBVPG3775_004931-T1, DBVPG3775_004932-T1
GF00000364	RIT389_000309-T1, RIT389_007567-T1, RIT389_000310-T1, RIT389_007568-T1	DBVPG3775_002281-T1, DBVPG3775_002282-T1
GF00000365	RIT389_000324-T1, RIT389_000797-T1, RIT389_011081-T1, RIT389_013216-T1	DBVPG3775_003409-T1, DBVPG3775_006947-T1
GF00000366	RIT389_002022-T1, RIT389_005089-T1, RIT389_002023-T1, RIT389_005088-T1	DBVPG3775_002621-T1, DBVPG3775_002623-T1
GF00000367	RIT389_000354-T1, RIT389_004604-T1, RIT389_005580-T1, RIT389_012660-T1	DBVPG3775_006417-T1, DBVPG3775_006652-T1
GF00000368	RIT389_000369-T1, RIT389_004608-T1, RIT389_000399-T1, RIT389_000437-T1	DBVPG3775_004121-T1, DBVPG3775_006421-T1
GF00000369	RIT389_001793-T1, RIT389_000436-T1, RIT389_000398-T1, RIT389_008308-T1	DBVPG3775_001123-T1, DBVPG3775_004122-T1
GF00000370	RIT389_000379-T1, RIT389_002707-T1, RIT389_015148-T1, RIT389_009150-T1, RIT389_013543-T1	DBVPG3775_004142-T1
GF00000371	RIT389_010710-T1, RIT389_003657-T1, RIT389_001260-T1, RIT389_006090-T1	DBVPG3775_001806-T1, DBVPG3775_003929-T1
GF00000372	RIT389_001783-T1, RIT389_003698-T1, RIT389_007413-T1, RIT389_005925-T1	DBVPG3775_002667-T1, DBVPG3775_004085-T1
GF00000373	RIT389_012656-T1, RIT389_005584-T1, RIT389_002218-T1, RIT389_012230-T1	DBVPG3775_003267-T1, DBVPG3775_006656-T1
GF00000374	RIT389_000404-T1, RIT389_000441-T1, RIT389_009862-T1, RIT389_006994-T1	DBVPG3775_001203-T1, DBVPG3775_004116-T1
GF00000375	RIT389_000413-T1, RIT389_000450-T1, RIT389_013332-T1, RIT389_005266-T1	DBVPG3775_006089-T1, DBVPG3775_007056-T1
GF00000376	RIT389_000425-T1, RIT389_000462-T1, RIT389_004884-T1, RIT389_009485-T1	DBVPG3775_002694-T1, DBVPG3775_007068-T1
GF00000377	RIT389_000475-T1, RIT389_012425-T1, RIT389_000476-T1, RIT389_001995-T1	DBVPG3775_007078-T1, DBVPG3775_007079-T1
GF00000378	RIT389_007203-T1, RIT389_004667-T1, RIT389_011870-T1, RIT389_013516-T1	DBVPG3775_000351-T1, DBVPG3775_000395-T1
GF00000379	RIT389_000519-T1, RIT389_005012-T1, RIT389_005125-T1, RIT389_007226-T1	DBVPG3775_000202-T1, DBVPG3775_005531-T1
GF00000380	RIT389_000524-T1, RIT389_005017-T1, RIT389_001420-T1, RIT389_014156-T1	DBVPG3775_000207-T1, DBVPG3775_000346-T1
GF00000381	RIT389_000525-T1, RIT389_005018-T1, RIT389_002978-T1, RIT389_002846-T1	DBVPG3775_000208-T1, DBVPG3775_001089-T1
GF00000382	RIT389_007007-T1, RIT389_010669-T1, RIT389_000865-T1, RIT389_010702-T1	DBVPG3775_001673-T1, DBVPG3775_006809-T1
GF00000383	RIT389_004740-T1, RIT389_014661-T1, RIT389_007455-T1, RIT389_009208-T1	DBVPG3775_006476-T1, DBVPG3775_007189-T1
GF00000384	RIT389_000560-T1, RIT389_008964-T1, RIT389_000561-T1	DBVPG3775_001622-T1, DBVPG3775_001623-T1, DBVPG3775_001624-T1
GF00000385	RIT389_000575-T1, RIT389_010678-T1, RIT389_010982-T1, RIT389_004809-T1	DBVPG3775_001610-T1, DBVPG3775_006924-T1
GF00000386	RIT389_000584-T1, RIT389_007016-T1, RIT389_005278-T1, RIT389_008815-T1	DBVPG3775_001602-T1, DBVPG3775_006103-T1
GF00000387	RIT389_000595-T1, RIT389_007027-T1, RIT389_007708-T1, RIT389_004077-T1	DBVPG3775_001591-T1, DBVPG3775_005869-T1
GF00000388	RIT389_000602-T1, RIT389_010225-T1, RIT389_009838-T1, RIT389_011358-T1	DBVPG3775_003321-T1, DBVPG3775_003396-T1
GF00000389	RIT389_000636-T1, RIT389_005505-T1, RIT389_007224-T1, RIT389_005123-T1	DBVPG3775_003355-T1, DBVPG3775_005533-T1
GF00000390	RIT389_001628-T1, RIT389_005403-T1, RIT389_010614-T1, RIT389_009190-T1	DBVPG3775_001414-T1, DBVPG3775_005510-T1
GF00000391	RIT389_000681-T1, RIT389_013703-T1, RIT389_011580-T1, RIT389_012216-T1	DBVPG3775_003153-T1, DBVPG3775_006277-T1
GF00000392	RIT389_000724-T1, RIT389_006500-T1, RIT389_008583-T1, RIT389_008386-T1	DBVPG3775_001972-T1, DBVPG3775_002881-T1
GF00000393	RIT389_000731-T1, RIT389_006621-T1, RIT389_001682-T1, RIT389_013099-T1	DBVPG3775_001964-T1, DBVPG3775_002111-T1
GF00000394	RIT389_006787-T1, RIT389_001408-T1, RIT389_005380-T1	DBVPG3775_002191-T1, DBVPG3775_002195-T1, DBVPG3775_002196-T1
GF00000395	RIT389_000746-T1, RIT389_006635-T1, RIT389_006800-T1, RIT389_009772-T1	DBVPG3775_001949-T1, DBVPG3775_003084-T1
