	Rhodotorula_mucilaginosa_TFCN_22C-4.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00001576	TFCN22C4_008469-T1	DBVPG3775_004119-T1
GF00001577	TFCN22C4_004108-T1	DBVPG3775_005231-T1
GF00001578	TFCN22C4_000972-T1	DBVPG3775_004115-T1
GF00001579	TFCN22C4_000975-T1	DBVPG3775_007051-T1
GF00001580	TFCN22C4_008477-T1	DBVPG3775_007052-T1
GF00001581	TFCN22C4_008478-T1	DBVPG3775_007053-T1
GF00001582	TFCN22C4_000978-T1	DBVPG3775_007054-T1
GF00001583	TFCN22C4_008480-T1	DBVPG3775_007055-T1
GF00001584	TFCN22C4_007574-T1	DBVPG3775_007058-T1
GF00001585	TFCN22C4_001595-T1	DBVPG3775_004436-T1
GF00001586	TFCN22C4_007572-T1	DBVPG3775_007060-T1
GF00001587	TFCN22C4_000985-T1	DBVPG3775_007061-T1
GF00001588	TFCN22C4_007570-T1	DBVPG3775_007062-T1
GF00001589	TFCN22C4_007568-T1	DBVPG3775_007064-T1
GF00001590	TFCN22C4_007567-T1	DBVPG3775_007065-T1
GF00001591	TFCN22C4_007566-T1	DBVPG3775_007066-T1
GF00001592	TFCN22C4_000991-T1	DBVPG3775_007067-T1
GF00001593	TFCN22C4_007563-T1	DBVPG3775_007069-T1
GF00001594	TFCN22C4_000994-T1	DBVPG3775_007070-T1
GF00001595	TFCN22C4_000995-T1	DBVPG3775_007071-T1
GF00001596	TFCN22C4_000996-T1	DBVPG3775_007072-T1
GF00001597	TFCN22C4_000997-T1	DBVPG3775_007073-T1
GF00001598	TFCN22C4_000999-T1	DBVPG3775_007075-T1
GF00001599	TFCN22C4_001000-T1	DBVPG3775_007076-T1
GF00001600	TFCN22C4_001001-T1	DBVPG3775_007077-T1
GF00001601	TFCN22C4_001004-T1	DBVPG3775_007080-T1
GF00001602	TFCN22C4_001005-T1	DBVPG3775_007081-T1
GF00001603	TFCN22C4_001007-T1	DBVPG3775_007082-T1
GF00001604	TFCN22C4_001009-T1	DBVPG3775_007084-T1
GF00001605	TFCN22C4_001010-T1	DBVPG3775_007085-T1
GF00001606	TFCN22C4_001012-T1	DBVPG3775_007087-T1
GF00001607	TFCN22C4_001015-T1	DBVPG3775_007090-T1
GF00001608	TFCN22C4_001016-T1	DBVPG3775_007091-T1
GF00001609	TFCN22C4_001019-T1	DBVPG3775_005877-T1
GF00001610	TFCN22C4_007482-T1	DBVPG3775_005879-T1
GF00001611	TFCN22C4_001022-T1	DBVPG3775_005880-T1
GF00001612	TFCN22C4_001023-T1	DBVPG3775_005881-T1
GF00001613	TFCN22C4_001024-T1	DBVPG3775_005882-T1
GF00001614	TFCN22C4_001028-T1	DBVPG3775_005886-T1
GF00001615	TFCN22C4_001031-T1	DBVPG3775_005889-T1
GF00001616	TFCN22C4_007494-T1	DBVPG3775_005891-T1
GF00001617	TFCN22C4_001034-T1	DBVPG3775_005892-T1
GF00001618	TFCN22C4_001035-T1	DBVPG3775_005893-T1
GF00001619	TFCN22C4_001037-T1	DBVPG3775_005895-T1
GF00001620	TFCN22C4_007499-T1	DBVPG3775_005896-T1
GF00001621	TFCN22C4_001039-T1	DBVPG3775_005897-T1
GF00001622	TFCN22C4_012394-T1	DBVPG3775_005898-T1
GF00001623	TFCN22C4_001041-T1	DBVPG3775_005899-T1
GF00001624	TFCN22C4_001042-T1	DBVPG3775_005900-T1
GF00001625	TFCN22C4_001043-T1	DBVPG3775_005901-T1
GF00001626	TFCN22C4_001045-T1	DBVPG3775_005903-T1
GF00001627	TFCN22C4_001046-T1	DBVPG3775_005904-T1
GF00001628	TFCN22C4_001047-T1	DBVPG3775_005905-T1
GF00001629	TFCN22C4_001048-T1	DBVPG3775_005906-T1
GF00001630	TFCN22C4_001049-T1	DBVPG3775_005907-T1
GF00001631	TFCN22C4_011215-T1	DBVPG3775_005909-T1
GF00001632	TFCN22C4_011214-T1	DBVPG3775_005910-T1
GF00001633	TFCN22C4_001053-T1	DBVPG3775_005911-T1
GF00001634	TFCN22C4_011212-T1	DBVPG3775_005912-T1
GF00001635	TFCN22C4_001055-T1	DBVPG3775_005913-T1
GF00001636	TFCN22C4_001058-T1	DBVPG3775_005916-T1
GF00001637	TFCN22C4_011205-T1	DBVPG3775_005917-T1
GF00001638	TFCN22C4_001060-T1	DBVPG3775_005918-T1
GF00001639	TFCN22C4_011203-T1	DBVPG3775_005919-T1
GF00001640	TFCN22C4_001062-T1	DBVPG3775_005920-T1
GF00001641	TFCN22C4_001063-T1	DBVPG3775_005921-T1
GF00001642	TFCN22C4_001064-T1	DBVPG3775_005922-T1
GF00001643	TFCN22C4_001065-T1	DBVPG3775_005923-T1
GF00001644	TFCN22C4_011198-T1	DBVPG3775_005924-T1
GF00001645	TFCN22C4_001069-T1	DBVPG3775_005926-T1
GF00001646	TFCN22C4_001070-T1	DBVPG3775_005927-T1
GF00001647	TFCN22C4_001071-T1	DBVPG3775_005928-T1
GF00001648	TFCN22C4_001073-T1	DBVPG3775_005930-T1
GF00001649	TFCN22C4_001074-T1	DBVPG3775_005931-T1
GF00001650	TFCN22C4_001819-T1	DBVPG3775_001171-T1
GF00001651	TFCN22C4_006589-T1	DBVPG3775_006214-T1
GF00001652	TFCN22C4_001076-T1	DBVPG3775_005933-T1
GF00001653	TFCN22C4_001081-T1	DBVPG3775_005939-T1
GF00001654	TFCN22C4_011185-T1	DBVPG3775_005940-T1
GF00001655	TFCN22C4_011184-T1	DBVPG3775_005941-T1
GF00001656	TFCN22C4_011182-T1	DBVPG3775_005943-T1
GF00001657	TFCN22C4_011181-T1	DBVPG3775_005944-T1
GF00001658	TFCN22C4_011179-T1	DBVPG3775_005946-T1
GF00001659	TFCN22C4_001090-T1	DBVPG3775_005947-T1
GF00001660	TFCN22C4_001091-T1	DBVPG3775_005948-T1
GF00001661	TFCN22C4_011176-T1	DBVPG3775_005949-T1
GF00001662	TFCN22C4_001093-T1	DBVPG3775_001102-T1
GF00001663	TFCN22C4_001094-T1	DBVPG3775_001103-T1
GF00001664	TFCN22C4_006211-T1	DBVPG3775_005039-T1
GF00001665	TFCN22C4_001886-T1	DBVPG3775_001105-T1
GF00001666	TFCN22C4_001883-T1	DBVPG3775_001108-T1
GF00001667	TFCN22C4_001882-T1	DBVPG3775_001109-T1
GF00001668	TFCN22C4_001881-T1	DBVPG3775_001110-T1
GF00001669	TFCN22C4_001880-T1	DBVPG3775_001111-T1
GF00001670	TFCN22C4_001104-T1	DBVPG3775_001114-T1
GF00001671	TFCN22C4_001876-T1	DBVPG3775_001115-T1
GF00001672	TFCN22C4_001108-T1	DBVPG3775_001118-T1
GF00001673	TFCN22C4_001870-T1	DBVPG3775_001120-T1
GF00001674	TFCN22C4_001869-T1	DBVPG3775_001121-T1
GF00001675	TFCN22C4_001114-T1	DBVPG3775_001124-T1
GF00001676	TFCN22C4_001115-T1	DBVPG3775_001125-T1
GF00001677	TFCN22C4_001861-T1	DBVPG3775_001129-T1
GF00001678	TFCN22C4_001859-T1	DBVPG3775_001131-T1
GF00001679	TFCN22C4_001858-T1	DBVPG3775_001132-T1
GF00001680	TFCN22C4_001122-T1	DBVPG3775_001133-T1
GF00001681	TFCN22C4_001123-T1	DBVPG3775_001134-T1
GF00001682	TFCN22C4_001127-T1	DBVPG3775_001137-T1
GF00001683	TFCN22C4_001128-T1	DBVPG3775_001138-T1
GF00001684	TFCN22C4_001129-T1	DBVPG3775_001139-T1
GF00001685	TFCN22C4_001131-T1	DBVPG3775_001142-T1
GF00001686	TFCN22C4_001846-T1	DBVPG3775_001143-T1
GF00001687	TFCN22C4_001133-T1	DBVPG3775_001144-T1
GF00001688	TFCN22C4_001844-T1	DBVPG3775_001145-T1
GF00001689	TFCN22C4_001135-T1	DBVPG3775_001146-T1
GF00001690	TFCN22C4_001136-T1	DBVPG3775_001147-T1
GF00001691	TFCN22C4_001138-T1	DBVPG3775_001149-T1
GF00001692	TFCN22C4_001839-T1	DBVPG3775_001151-T1
GF00001693	TFCN22C4_001838-T1	DBVPG3775_001152-T1
GF00001694	TFCN22C4_001836-T1	DBVPG3775_001154-T1
GF00001695	TFCN22C4_001835-T1	DBVPG3775_001155-T1
GF00001696	TFCN22C4_001834-T1	DBVPG3775_001156-T1
GF00001697	TFCN22C4_001833-T1	DBVPG3775_001157-T1
GF00001698	TFCN22C4_001832-T1	DBVPG3775_001158-T1
GF00001699	TFCN22C4_001148-T1	DBVPG3775_001159-T1
GF00001700	TFCN22C4_001830-T1	DBVPG3775_001160-T1
GF00001701	TFCN22C4_001828-T1	DBVPG3775_001162-T1
GF00001702	TFCN22C4_001826-T1	DBVPG3775_001164-T1
GF00001703	TFCN22C4_001825-T1	DBVPG3775_001165-T1
GF00001704	TFCN22C4_001154-T1	DBVPG3775_001166-T1
GF00001705	TFCN22C4_001822-T1	DBVPG3775_001168-T1
GF00001706	TFCN22C4_001158-T1	DBVPG3775_001170-T1
GF00001707	TFCN22C4_001816-T1	DBVPG3775_001174-T1
GF00001708	TFCN22C4_001163-T1	DBVPG3775_001175-T1
GF00001709	TFCN22C4_001812-T1	DBVPG3775_001178-T1
GF00001710	TFCN22C4_001167-T1	DBVPG3775_001179-T1
GF00001711	TFCN22C4_001479-T1	DBVPG3775_002366-T1
GF00001712	TFCN22C4_001168-T1	DBVPG3775_001181-T1
GF00001713	TFCN22C4_001808-T1	DBVPG3775_001182-T1
GF00001714	TFCN22C4_001807-T1	DBVPG3775_001183-T1
GF00001715	TFCN22C4_001171-T1	DBVPG3775_001184-T1
GF00001716	TFCN22C4_001172-T1	DBVPG3775_001185-T1
GF00001717	TFCN22C4_001173-T1	DBVPG3775_001186-T1
GF00001718	TFCN22C4_001803-T1	DBVPG3775_001187-T1
GF00001719	TFCN22C4_001175-T1	DBVPG3775_001188-T1
GF00001720	TFCN22C4_001176-T1	DBVPG3775_001190-T1
GF00001721	TFCN22C4_001177-T1	DBVPG3775_001191-T1
GF00001722	TFCN22C4_001179-T1	DBVPG3775_001193-T1
GF00001723	TFCN22C4_001180-T1	DBVPG3775_001194-T1
GF00001724	TFCN22C4_001795-T1	DBVPG3775_001195-T1
GF00001725	TFCN22C4_001182-T1	DBVPG3775_001196-T1
GF00001726	TFCN22C4_001793-T1	DBVPG3775_001197-T1
GF00001727	TFCN22C4_001185-T1	DBVPG3775_001198-T1
GF00001728	TFCN22C4_001791-T1	DBVPG3775_001199-T1
GF00001729	TFCN22C4_001790-T1	DBVPG3775_001200-T1
GF00001730	TFCN22C4_001788-T1	DBVPG3775_001202-T1
GF00001731	TFCN22C4_001191-T1	DBVPG3775_001204-T1
GF00001732	TFCN22C4_001192-T1	DBVPG3775_001205-T1
GF00001733	TFCN22C4_001784-T1	DBVPG3775_001206-T1
GF00001734	TFCN22C4_001783-T1	DBVPG3775_001207-T1
GF00001735	TFCN22C4_001195-T1	DBVPG3775_001208-T1
GF00001736	TFCN22C4_001196-T1	DBVPG3775_001209-T1
GF00001737	TFCN22C4_001197-T1	DBVPG3775_001210-T1
GF00001738	TFCN22C4_001198-T1	DBVPG3775_001211-T1
GF00001739	TFCN22C4_001199-T1	DBVPG3775_001212-T1
GF00001740	TFCN22C4_001202-T1	DBVPG3775_001217-T1
GF00001741	TFCN22C4_001772-T1	DBVPG3775_001218-T1
GF00001742	TFCN22C4_001771-T1	DBVPG3775_001219-T1
GF00001743	TFCN22C4_001770-T1	DBVPG3775_001220-T1
GF00001744	TFCN22C4_001769-T1	DBVPG3775_001221-T1
GF00001745	TFCN22C4_001207-T1	DBVPG3775_001222-T1
GF00001746	TFCN22C4_001767-T1	DBVPG3775_001223-T1
GF00001747	TFCN22C4_001209-T1	DBVPG3775_001224-T1
GF00001748	TFCN22C4_001210-T1	DBVPG3775_001225-T1
GF00001749	TFCN22C4_001764-T1	DBVPG3775_001226-T1
GF00001750	TFCN22C4_001212-T1	DBVPG3775_001227-T1
GF00001751	TFCN22C4_001762-T1	DBVPG3775_001228-T1
GF00001752	TFCN22C4_001214-T1	DBVPG3775_001229-T1
GF00001753	TFCN22C4_001215-T1	DBVPG3775_001232-T1
GF00001754	TFCN22C4_001759-T1	DBVPG3775_001231-T1
GF00001755	TFCN22C4_010546-T1	DBVPG3775_004609-T1
GF00001756	TFCN22C4_001757-T1	DBVPG3775_001233-T1
GF00001757	TFCN22C4_001756-T1	DBVPG3775_001234-T1
GF00001758	TFCN22C4_001755-T1	DBVPG3775_001235-T1
GF00001759	TFCN22C4_001221-T1	DBVPG3775_001236-T1
GF00001760	TFCN22C4_001222-T1	DBVPG3775_001238-T1
GF00001761	TFCN22C4_001223-T1	DBVPG3775_001239-T1
GF00001762	TFCN22C4_001751-T1	DBVPG3775_001240-T1
GF00001763	TFCN22C4_001750-T1	DBVPG3775_001241-T1
GF00001764	TFCN22C4_013472-T1	DBVPG3775_003969-T1
GF00001765	TFCN22C4_001226-T1	DBVPG3775_001242-T1
GF00001766	TFCN22C4_001748-T1	DBVPG3775_001244-T1
GF00001767	TFCN22C4_001229-T1	DBVPG3775_001247-T1
GF00001768	TFCN22C4_001230-T1	DBVPG3775_001248-T1
GF00001769	TFCN22C4_001231-T1	DBVPG3775_001249-T1
GF00001770	TFCN22C4_001272-T1	DBVPG3775_001297-T1
GF00001771	TFCN22C4_007765-T1	DBVPG3775_003481-T1
GF00001772	TFCN22C4_001279-T1	DBVPG3775_001306-T1
GF00001773	TFCN22C4_001303-T1	DBVPG3775_002539-T1
GF00001774	TFCN22C4_001304-T1	DBVPG3775_002538-T1
GF00001775	TFCN22C4_001305-T1	DBVPG3775_002537-T1
GF00001776	TFCN22C4_001306-T1	DBVPG3775_002536-T1
GF00001777	TFCN22C4_001307-T1	DBVPG3775_002535-T1
GF00001778	TFCN22C4_001308-T1	DBVPG3775_002534-T1
GF00001779	TFCN22C4_001311-T1	DBVPG3775_002531-T1
GF00001780	TFCN22C4_001313-T1	DBVPG3775_002529-T1
GF00001781	TFCN22C4_001314-T1	DBVPG3775_002528-T1
GF00001782	TFCN22C4_001317-T1	DBVPG3775_002525-T1
GF00001783	TFCN22C4_001319-T1	DBVPG3775_002523-T1
GF00001784	TFCN22C4_001322-T1	DBVPG3775_002520-T1
GF00001785	TFCN22C4_001323-T1	DBVPG3775_002519-T1
GF00001786	TFCN22C4_002131-T1	DBVPG3775_002518-T1
GF00001787	TFCN22C4_001327-T1	DBVPG3775_002515-T1
GF00001788	TFCN22C4_001328-T1	DBVPG3775_002514-T1
GF00001789	TFCN22C4_001329-T1	DBVPG3775_002513-T1
GF00001790	TFCN22C4_002125-T1	DBVPG3775_002512-T1
GF00001791	TFCN22C4_002124-T1	DBVPG3775_002511-T1
GF00001792	TFCN22C4_001332-T1	DBVPG3775_002510-T1
GF00001793	TFCN22C4_001334-T1	DBVPG3775_002508-T1
GF00001794	TFCN22C4_001336-T1	DBVPG3775_002506-T1
GF00001795	TFCN22C4_001337-T1	DBVPG3775_002505-T1
GF00001796	TFCN22C4_002114-T1	DBVPG3775_002501-T1
GF00001797	TFCN22C4_001342-T1	DBVPG3775_002500-T1
GF00001798	TFCN22C4_001343-T1	DBVPG3775_002499-T1
GF00001799	TFCN22C4_002111-T1	DBVPG3775_002498-T1
GF00001800	TFCN22C4_002110-T1	DBVPG3775_002497-T1
GF00001801	TFCN22C4_002109-T1	DBVPG3775_002496-T1
GF00001802	TFCN22C4_001347-T1	DBVPG3775_002495-T1
GF00001803	TFCN22C4_001348-T1	DBVPG3775_002494-T1
GF00001804	TFCN22C4_001349-T1	DBVPG3775_002493-T1
GF00001805	TFCN22C4_001355-T1	DBVPG3775_002487-T1
GF00001806	TFCN22C4_001357-T1	DBVPG3775_002485-T1
GF00001807	TFCN22C4_002094-T1	DBVPG3775_002482-T1
GF00001808	TFCN22C4_001362-T1	DBVPG3775_002481-T1
GF00001809	TFCN22C4_002092-T1	DBVPG3775_002480-T1
GF00001810	TFCN22C4_001364-T1	DBVPG3775_002479-T1
GF00001811	TFCN22C4_001365-T1	DBVPG3775_002478-T1
GF00001812	TFCN22C4_001366-T1	DBVPG3775_002477-T1
GF00001813	TFCN22C4_002088-T1	DBVPG3775_002476-T1
GF00001814	TFCN22C4_002087-T1	DBVPG3775_002475-T1
GF00001815	TFCN22C4_001369-T1	DBVPG3775_002474-T1
GF00001816	TFCN22C4_001370-T1	DBVPG3775_002473-T1
GF00001817	TFCN22C4_001371-T1	DBVPG3775_002472-T1
GF00001818	TFCN22C4_001372-T1	DBVPG3775_002471-T1
GF00001819	TFCN22C4_001373-T1	DBVPG3775_002470-T1
GF00001820	TFCN22C4_001374-T1	DBVPG3775_002469-T1
GF00001821	TFCN22C4_001376-T1	DBVPG3775_002467-T1
GF00001822	TFCN22C4_001377-T1	DBVPG3775_002466-T1
GF00001823	TFCN22C4_001378-T1	DBVPG3775_002465-T1
GF00001824	TFCN22C4_001379-T1	DBVPG3775_002464-T1
GF00001825	TFCN22C4_002073-T1	DBVPG3775_002462-T1
GF00001826	TFCN22C4_001382-T1	DBVPG3775_002461-T1
GF00001827	TFCN22C4_001383-T1	DBVPG3775_002460-T1
GF00001828	TFCN22C4_001384-T1	DBVPG3775_002459-T1
GF00001829	TFCN22C4_002068-T1	DBVPG3775_002457-T1
GF00001830	TFCN22C4_002067-T1	DBVPG3775_002456-T1
GF00001831	TFCN22C4_001388-T1	DBVPG3775_002455-T1
GF00001832	TFCN22C4_002065-T1	DBVPG3775_002454-T1
GF00001833	TFCN22C4_001390-T1	DBVPG3775_002453-T1
GF00001834	TFCN22C4_001391-T1	DBVPG3775_002452-T1
GF00001835	TFCN22C4_001392-T1	DBVPG3775_002451-T1
GF00001836	TFCN22C4_007159-T1	DBVPG3775_006874-T1
GF00001837	TFCN22C4_001393-T1	DBVPG3775_002450-T1
GF00001838	TFCN22C4_001397-T1	DBVPG3775_002447-T1
GF00001839	TFCN22C4_002055-T1	DBVPG3775_002445-T1
GF00001840	TFCN22C4_001401-T1	DBVPG3775_002443-T1
GF00001841	TFCN22C4_001402-T1	DBVPG3775_002442-T1
GF00001842	TFCN22C4_001403-T1	DBVPG3775_002441-T1
GF00001843	TFCN22C4_001404-T1	DBVPG3775_002440-T1
GF00001844	TFCN22C4_001405-T1	DBVPG3775_002439-T1
GF00001845	TFCN22C4_001407-T1	DBVPG3775_002437-T1
GF00001846	TFCN22C4_001408-T1	DBVPG3775_002436-T1
GF00001847	TFCN22C4_001410-T1	DBVPG3775_002434-T1
GF00001848	TFCN22C4_001411-T1	DBVPG3775_002433-T1
GF00001849	TFCN22C4_001413-T1	DBVPG3775_002431-T1
GF00001850	TFCN22C4_001414-T1	DBVPG3775_002429-T1
GF00001851	TFCN22C4_001417-T1	DBVPG3775_002426-T1
GF00001852	TFCN22C4_001419-T1	DBVPG3775_002424-T1
GF00001853	TFCN22C4_002035-T1	DBVPG3775_002423-T1
GF00001854	TFCN22C4_001421-T1	DBVPG3775_002422-T1
GF00001855	TFCN22C4_001422-T1	DBVPG3775_002421-T1
GF00001856	TFCN22C4_001424-T1	DBVPG3775_002419-T1
GF00001857	TFCN22C4_001425-T1	DBVPG3775_002418-T1
GF00001858	TFCN22C4_002029-T1	DBVPG3775_002417-T1
GF00001859	TFCN22C4_001427-T1	DBVPG3775_002416-T1
GF00001860	TFCN22C4_002027-T1	DBVPG3775_002415-T1
GF00001861	TFCN22C4_001429-T1	DBVPG3775_002414-T1
GF00001862	TFCN22C4_002025-T1	DBVPG3775_002413-T1
GF00001863	TFCN22C4_001435-T1	DBVPG3775_002408-T1
GF00001864	TFCN22C4_002020-T1	DBVPG3775_002407-T1
GF00001865	TFCN22C4_001440-T1	DBVPG3775_002402-T1
GF00001866	TFCN22C4_002015-T1	DBVPG3775_002401-T1
GF00001867	TFCN22C4_001442-T1	DBVPG3775_002400-T1
GF00001868	TFCN22C4_001443-T1	DBVPG3775_002399-T1
GF00001869	TFCN22C4_001444-T1	DBVPG3775_002398-T1
GF00001870	TFCN22C4_001445-T1	DBVPG3775_002397-T1
GF00001871	TFCN22C4_001446-T1	DBVPG3775_002396-T1
GF00001872	TFCN22C4_001447-T1	DBVPG3775_002395-T1
GF00001873	TFCN22C4_001449-T1	DBVPG3775_002393-T1
GF00001874	TFCN22C4_001453-T1	DBVPG3775_002390-T1
GF00001875	TFCN22C4_001454-T1	DBVPG3775_002389-T1
GF00001876	TFCN22C4_002001-T1	DBVPG3775_002387-T1
GF00001877	TFCN22C4_001457-T1	DBVPG3775_002386-T1
GF00001878	TFCN22C4_010844-T1	DBVPG3775_002385-T1
GF00001879	TFCN22C4_001460-T1	DBVPG3775_002383-T1
GF00001880	TFCN22C4_001462-T1	DBVPG3775_002381-T1
GF00001881	TFCN22C4_001463-T1	DBVPG3775_002380-T1
GF00001882	TFCN22C4_001994-T1	DBVPG3775_002378-T1
GF00001883	TFCN22C4_001470-T1	DBVPG3775_002375-T1
GF00001884	TFCN22C4_001471-T1	DBVPG3775_002374-T1
GF00001885	TFCN22C4_001986-T1	DBVPG3775_002372-T1
GF00001886	TFCN22C4_001474-T1	DBVPG3775_002371-T1
GF00001887	TFCN22C4_001475-T1	DBVPG3775_002370-T1
GF00001888	TFCN22C4_001478-T1	DBVPG3775_002367-T1
GF00001889	TFCN22C4_001480-T1	DBVPG3775_002365-T1
GF00001890	TFCN22C4_001482-T1	DBVPG3775_002363-T1
GF00001891	TFCN22C4_001483-T1	DBVPG3775_002362-T1
GF00001892	TFCN22C4_001486-T1	DBVPG3775_000747-T1
GF00001893	TFCN22C4_001487-T1	DBVPG3775_000748-T1
GF00001894	TFCN22C4_001488-T1	DBVPG3775_000749-T1
GF00001895	TFCN22C4_001489-T1	DBVPG3775_000750-T1
GF00001896	TFCN22C4_001490-T1	DBVPG3775_000751-T1
GF00001897	TFCN22C4_001491-T1	DBVPG3775_000752-T1
GF00001898	TFCN22C4_001965-T1	DBVPG3775_000755-T1
GF00001899	TFCN22C4_001964-T1	DBVPG3775_000756-T1
GF00001900	TFCN22C4_001496-T1	DBVPG3775_000757-T1
GF00001901	TFCN22C4_011701-T1	DBVPG3775_002138-T1
GF00001902	TFCN22C4_001497-T1	DBVPG3775_000758-T1
GF00001903	TFCN22C4_001500-T1	DBVPG3775_000761-T1
GF00001904	TFCN22C4_001501-T1	DBVPG3775_000762-T1
GF00001905	TFCN22C4_001503-T1	DBVPG3775_000765-T1
GF00001906	TFCN22C4_001504-T1	DBVPG3775_000766-T1
GF00001907	TFCN22C4_001505-T1	DBVPG3775_000767-T1
GF00001908	TFCN22C4_013627-T1	DBVPG3775_000768-T1
GF00001909	TFCN22C4_001507-T1	DBVPG3775_000769-T1
GF00001910	TFCN22C4_013629-T1	DBVPG3775_000771-T1
GF00001911	TFCN22C4_001589-T1	DBVPG3775_004430-T1
GF00001912	TFCN22C4_001700-T1	DBVPG3775_005656-T1
GF00001913	TFCN22C4_001891-T1	DBVPG3775_001100-T1
GF00001914	TFCN22C4_001892-T1	DBVPG3775_001099-T1
GF00001915	TFCN22C4_001893-T1	DBVPG3775_001098-T1
GF00001916	TFCN22C4_001896-T1	DBVPG3775_001095-T1
GF00001917	TFCN22C4_001898-T1	DBVPG3775_001093-T1
GF00001918	TFCN22C4_001900-T1	DBVPG3775_001091-T1
GF00001919	TFCN22C4_001905-T1	DBVPG3775_001086-T1
GF00001920	TFCN22C4_003816-T1	DBVPG3775_000384-T1
GF00001921	TFCN22C4_001908-T1	DBVPG3775_001083-T1
GF00001922	TFCN22C4_001909-T1	DBVPG3775_001082-T1
GF00001923	TFCN22C4_005137-T1	DBVPG3775_001081-T1
GF00001924	TFCN22C4_005136-T1	DBVPG3775_001080-T1
GF00001925	TFCN22C4_005135-T1	DBVPG3775_001079-T1
GF00001926	TFCN22C4_001913-T1	DBVPG3775_001078-T1
GF00001927	TFCN22C4_001914-T1	DBVPG3775_001077-T1
GF00001928	TFCN22C4_001915-T1	DBVPG3775_001076-T1
GF00001929	TFCN22C4_001916-T1	DBVPG3775_001075-T1
GF00001930	TFCN22C4_001917-T1	DBVPG3775_001074-T1
GF00001931	TFCN22C4_001919-T1	DBVPG3775_001072-T1
GF00001932	TFCN22C4_001920-T1	DBVPG3775_001071-T1
GF00001933	TFCN22C4_001921-T1	DBVPG3775_001070-T1
GF00001934	TFCN22C4_001922-T1	DBVPG3775_001069-T1
GF00001935	TFCN22C4_005125-T1	DBVPG3775_001068-T1
GF00001936	TFCN22C4_001924-T1	DBVPG3775_001067-T1
GF00001937	TFCN22C4_005121-T1	DBVPG3775_001064-T1
GF00001938	TFCN22C4_001928-T1	DBVPG3775_001062-T1
GF00001939	TFCN22C4_001929-T1	DBVPG3775_001061-T1
GF00001940	TFCN22C4_001930-T1	DBVPG3775_001060-T1
GF00001941	TFCN22C4_001933-T1	DBVPG3775_001057-T1
GF00001942	TFCN22C4_001934-T1	DBVPG3775_001056-T1
GF00001943	TFCN22C4_001936-T1	DBVPG3775_001054-T1
GF00001944	TFCN22C4_001938-T1	DBVPG3775_001052-T1
GF00001945	TFCN22C4_001939-T1	DBVPG3775_001051-T1
GF00001946	TFCN22C4_001945-T1	DBVPG3775_001047-T1
GF00001947	TFCN22C4_001948-T1	DBVPG3775_001044-T1
GF00001948	TFCN22C4_001950-T1	DBVPG3775_001042-T1
GF00001949	TFCN22C4_001952-T1	DBVPG3775_001039-T1
GF00001950	TFCN22C4_006796-T1	DBVPG3775_003167-T1
GF00001951	TFCN22C4_001953-T1	DBVPG3775_001038-T1
GF00001952	TFCN22C4_005093-T1	DBVPG3775_001037-T1
GF00001953	TFCN22C4_005092-T1	DBVPG3775_001036-T1
GF00001954	TFCN22C4_008564-T1	DBVPG3775_003903-T1
GF00001955	TFCN22C4_008566-T1	DBVPG3775_003901-T1
GF00001956	TFCN22C4_002162-T1	DBVPG3775_003899-T1
GF00001957	TFCN22C4_002163-T1	DBVPG3775_003898-T1
GF00001958	TFCN22C4_008570-T1	DBVPG3775_003897-T1
GF00001959	TFCN22C4_002165-T1	DBVPG3775_003896-T1
GF00001960	TFCN22C4_008573-T1	DBVPG3775_003894-T1
GF00001961	TFCN22C4_002168-T1	DBVPG3775_003893-T1
GF00001962	TFCN22C4_008575-T1	DBVPG3775_003892-T1
GF00001963	TFCN22C4_003198-T1	DBVPG3775_000576-T1
GF00001964	TFCN22C4_002171-T1	DBVPG3775_003890-T1
GF00001965	TFCN22C4_008579-T1	DBVPG3775_003888-T1
GF00001966	TFCN22C4_008580-T1	DBVPG3775_003887-T1
GF00001967	TFCN22C4_008582-T1	DBVPG3775_003885-T1
GF00001968	TFCN22C4_008583-T1	DBVPG3775_003884-T1
GF00001969	TFCN22C4_008585-T1	DBVPG3775_003882-T1
GF00001970	TFCN22C4_002181-T1	DBVPG3775_003880-T1
GF00001971	TFCN22C4_002182-T1	DBVPG3775_003879-T1
GF00001972	TFCN22C4_008591-T1	DBVPG3775_003876-T1
GF00001973	TFCN22C4_002186-T1	DBVPG3775_003875-T1
GF00001974	TFCN22C4_002187-T1	DBVPG3775_003874-T1
GF00001975	TFCN22C4_008594-T1	DBVPG3775_003873-T1
GF00001976	TFCN22C4_008595-T1	DBVPG3775_003872-T1
GF00001977	TFCN22C4_008597-T1	DBVPG3775_003870-T1
GF00001978	TFCN22C4_008598-T1	DBVPG3775_003869-T1
GF00001979	TFCN22C4_002193-T1	DBVPG3775_003866-T1
GF00001980	TFCN22C4_002195-T1	DBVPG3775_003864-T1
GF00001981	TFCN22C4_002199-T1	DBVPG3775_003860-T1
GF00001982	TFCN22C4_002200-T1	DBVPG3775_003859-T1
GF00001983	TFCN22C4_008608-T1	DBVPG3775_003858-T1
GF00001984	TFCN22C4_002202-T1	DBVPG3775_003857-T1
