	Rhodotorula_mucilaginosa_TFCN_17Y-278-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00000321	TFCN17Y2781_007384-T1, TFCN17Y2781_009082-T1, TFCN17Y2781_013365-T1, TFCN17Y2781_009081-T1, TFCN17Y2781_007385-T1	DBVPG3775_005876-T1, DBVPG3775_005877-T1
GF00000322	TFCN17Y2781_007599-T1, TFCN17Y2781_009836-T1, TFCN17Y2781_007600-T1, TFCN17Y2781_009837-T1	DBVPG3775_003185-T1, DBVPG3775_003186-T1, DBVPG3775_003187-T1
GF00000323	TFCN17Y2781_007622-T1, TFCN17Y2781_009573-T1, TFCN17Y2781_007623-T1, TFCN17Y2781_009572-T1, TFCN17Y2781_009862-T1	DBVPG3775_003214-T1, DBVPG3775_003215-T1
GF00000324	TFCN17Y2781_007807-T1, TFCN17Y2781_010883-T1, TFCN17Y2781_007809-T1, TFCN17Y2781_010881-T1	DBVPG3775_003343-T1, DBVPG3775_003345-T1, DBVPG3775_003346-T1
GF00000325	TFCN17Y2781_008098-T1, TFCN17Y2781_011986-T1, TFCN17Y2781_011988-T1, TFCN17Y2781_011987-T1	DBVPG3775_005797-T1, DBVPG3775_005798-T1, DBVPG3775_005799-T1
GF00000326	TFCN17Y2781_009292-T1, TFCN17Y2781_011398-T1, TFCN17Y2781_009293-T1, TFCN17Y2781_009294-T1	DBVPG3775_006519-T1, DBVPG3775_006520-T1, DBVPG3775_006521-T1
GF00000327	TFCN17Y2781_009717-T1, TFCN17Y2781_011755-T1, TFCN17Y2781_011752-T1, TFCN17Y2781_011751-T1	DBVPG3775_002754-T1, DBVPG3775_002756-T1, DBVPG3775_002757-T1
GF00000328	TFCN17Y2781_010495-T1, TFCN17Y2781_011632-T1, TFCN17Y2781_010497-T1, TFCN17Y2781_010496-T1, TFCN17Y2781_011631-T1	DBVPG3775_000733-T1, DBVPG3775_000735-T1
GF00000329	TFCN17Y2781_011757-T1, TFCN17Y2781_011758-T1, TFCN17Y2781_011759-T1	DBVPG3775_002747-T1, DBVPG3775_002748-T1, DBVPG3775_002749-T1, DBVPG3775_002750-T1
GF00000330	TFCN17Y2781_012361-T1, TFCN17Y2781_012379-T1, TFCN17Y2781_012378-T1, TFCN17Y2781_013544-T1	DBVPG3775_007014-T1, DBVPG3775_007015-T1, DBVPG3775_007016-T1
GF00000331	TFCN17Y2781_000009-T1, TFCN17Y2781_000841-T1, TFCN17Y2781_003395-T1, TFCN17Y2781_012152-T1	DBVPG3775_003902-T1, DBVPG3775_005135-T1
GF00000332	TFCN17Y2781_000014-T1, TFCN17Y2781_000847-T1, TFCN17Y2781_005657-T1, TFCN17Y2781_001943-T1	DBVPG3775_005014-T1, DBVPG3775_005129-T1
GF00000333	TFCN17Y2781_000020-T1, TFCN17Y2781_000853-T1, TFCN17Y2781_000854-T1, TFCN17Y2781_000021-T1	DBVPG3775_005122-T1, DBVPG3775_005123-T1
GF00000334	TFCN17Y2781_009017-T1, TFCN17Y2781_003108-T1, TFCN17Y2781_001097-T1, TFCN17Y2781_008828-T1	DBVPG3775_000449-T1, DBVPG3775_005294-T1
GF00000335	TFCN17Y2781_000027-T1, TFCN17Y2781_000860-T1, TFCN17Y2781_002319-T1, TFCN17Y2781_000589-T1	DBVPG3775_000263-T1, DBVPG3775_005116-T1
GF00000336	TFCN17Y2781_000055-T1, TFCN17Y2781_008523-T1, TFCN17Y2781_004506-T1, TFCN17Y2781_012946-T1	DBVPG3775_000703-T1, DBVPG3775_005083-T1
GF00000337	TFCN17Y2781_000070-T1, TFCN17Y2781_008539-T1, TFCN17Y2781_003784-T1, TFCN17Y2781_010577-T1	DBVPG3775_004893-T1, DBVPG3775_005065-T1
GF00000338	TFCN17Y2781_000079-T1, TFCN17Y2781_008549-T1, TFCN17Y2781_008550-T1, TFCN17Y2781_000080-T1	DBVPG3775_005054-T1, DBVPG3775_005055-T1
GF00000339	TFCN17Y2781_000082-T1, TFCN17Y2781_008553-T1, TFCN17Y2781_001845-T1, TFCN17Y2781_006628-T1	DBVPG3775_003739-T1, DBVPG3775_005051-T1
GF00000340	TFCN17Y2781_000911-T1, TFCN17Y2781_011571-T1, TFCN17Y2781_000910-T1, TFCN17Y2781_011570-T1	DBVPG3775_005544-T1, DBVPG3775_005545-T1
GF00000341	TFCN17Y2781_000106-T1, TFCN17Y2781_006557-T1, TFCN17Y2781_000107-T1, TFCN17Y2781_006556-T1	DBVPG3775_003064-T1, DBVPG3775_003065-T1
GF00000342	TFCN17Y2781_000120-T1, TFCN17Y2781_006539-T1, TFCN17Y2781_006538-T1, TFCN17Y2781_000121-T1	DBVPG3775_003080-T1, DBVPG3775_003081-T1
GF00000343	TFCN17Y2781_007765-T1, TFCN17Y2781_004018-T1, TFCN17Y2781_011646-T1, TFCN17Y2781_010478-T1	DBVPG3775_000713-T1, DBVPG3775_005572-T1
GF00000344	TFCN17Y2781_000124-T1, TFCN17Y2781_006535-T1, TFCN17Y2781_002096-T1, TFCN17Y2781_005246-T1	DBVPG3775_001949-T1, DBVPG3775_003084-T1
GF00000345	TFCN17Y2781_000127-T1, TFCN17Y2781_006532-T1, TFCN17Y2781_005272-T1, TFCN17Y2781_012486-T1	DBVPG3775_003087-T1, DBVPG3775_006582-T1
GF00000346	TFCN17Y2781_000138-T1, TFCN17Y2781_006520-T1, TFCN17Y2781_004382-T1, TFCN17Y2781_008600-T1	DBVPG3775_003098-T1, DBVPG3775_007008-T1
GF00000347	TFCN17Y2781_000143-T1, TFCN17Y2781_000145-T1, TFCN17Y2781_006514-T1, TFCN17Y2781_000144-T1	DBVPG3775_003104-T1, DBVPG3775_003105-T1
GF00000348	TFCN17Y2781_007374-T1, TFCN17Y2781_003177-T1, TFCN17Y2781_010960-T1	DBVPG3775_000527-T1, DBVPG3775_000528-T1, DBVPG3775_005887-T1
GF00000349	TFCN17Y2781_000189-T1, TFCN17Y2781_013241-T1, TFCN17Y2781_000331-T1, TFCN17Y2781_013276-T1	DBVPG3775_003153-T1, DBVPG3775_006277-T1
GF00000350	TFCN17Y2781_000192-T1, TFCN17Y2781_013459-T1, TFCN17Y2781_009506-T1, TFCN17Y2781_012314-T1	DBVPG3775_003156-T1, DBVPG3775_007349-T1
GF00000351	TFCN17Y2781_010438-T1, TFCN17Y2781_008725-T1, TFCN17Y2781_000544-T1, TFCN17Y2781_006781-T1	DBVPG3775_000216-T1, DBVPG3775_005969-T1
GF00000352	TFCN17Y2781_000223-T1, TFCN17Y2781_004308-T1, TFCN17Y2781_009784-T1, TFCN17Y2781_007325-T1	DBVPG3775_005938-T1, DBVPG3775_006429-T1
GF00000353	TFCN17Y2781_000225-T1, TFCN17Y2781_004306-T1, TFCN17Y2781_002706-T1, TFCN17Y2781_009133-T1	DBVPG3775_004409-T1, DBVPG3775_006427-T1
GF00000354	TFCN17Y2781_000251-T1, TFCN17Y2781_010231-T1, TFCN17Y2781_004106-T1, TFCN17Y2781_001514-T1	DBVPG3775_002373-T1, DBVPG3775_006968-T1
GF00000355	TFCN17Y2781_000254-T1, TFCN17Y2781_010234-T1, TFCN17Y2781_004391-T1, TFCN17Y2781_008609-T1	DBVPG3775_006965-T1, DBVPG3775_007514-T1
GF00000356	TFCN17Y2781_009380-T1, TFCN17Y2781_009925-T1, TFCN17Y2781_009381-T1, TFCN17Y2781_009926-T1	DBVPG3775_002621-T1, DBVPG3775_002623-T1
GF00000357	TFCN17Y2781_000274-T1, TFCN17Y2781_010250-T1, TFCN17Y2781_013187-T1, TFCN17Y2781_010365-T1	DBVPG3775_003409-T1, DBVPG3775_006947-T1
GF00000358	TFCN17Y2781_000310-T1, TFCN17Y2781_009427-T1, TFCN17Y2781_000311-T1, TFCN17Y2781_009428-T1	DBVPG3775_006256-T1, DBVPG3775_006257-T1
GF00000359	TFCN17Y2781_000323-T1, TFCN17Y2781_009436-T1, TFCN17Y2781_000330-T1, TFCN17Y2781_013275-T1	DBVPG3775_006269-T1, DBVPG3775_006276-T1
GF00000360	TFCN17Y2781_000324-T1, TFCN17Y2781_009437-T1, TFCN17Y2781_000325-T1, TFCN17Y2781_013270-T1	DBVPG3775_006270-T1, DBVPG3775_006271-T1
GF00000361	TFCN17Y2781_000357-T1, TFCN17Y2781_012899-T1, TFCN17Y2781_000487-T1, TFCN17Y2781_006732-T1	DBVPG3775_000008-T1, DBVPG3775_000155-T1
GF00000362	TFCN17Y2781_000369-T1, TFCN17Y2781_005820-T1, TFCN17Y2781_010625-T1, TFCN17Y2781_005607-T1	DBVPG3775_000019-T1, DBVPG3775_003584-T1
GF00000363	TFCN17Y2781_005170-T1, TFCN17Y2781_001962-T1, TFCN17Y2781_008663-T1, TFCN17Y2781_009255-T1	DBVPG3775_002031-T1, DBVPG3775_006655-T1
GF00000364	TFCN17Y2781_000378-T1, TFCN17Y2781_005827-T1, TFCN17Y2781_005845-T1, TFCN17Y2781_000391-T1	DBVPG3775_000028-T1, DBVPG3775_000045-T1
GF00000365	TFCN17Y2781_000383-T1, TFCN17Y2781_005834-T1, TFCN17Y2781_009494-T1, TFCN17Y2781_004067-T1	DBVPG3775_000035-T1, DBVPG3775_005626-T1
GF00000366	TFCN17Y2781_000417-T1, TFCN17Y2781_005871-T1, TFCN17Y2781_002656-T1, TFCN17Y2781_005475-T1	DBVPG3775_000079-T1, DBVPG3775_004462-T1
GF00000367	TFCN17Y2781_000422-T1, TFCN17Y2781_005876-T1, TFCN17Y2781_008775-T1, TFCN17Y2781_012155-T1	DBVPG3775_000084-T1, DBVPG3775_005351-T1
GF00000368	TFCN17Y2781_000430-T1, TFCN17Y2781_005882-T1, TFCN17Y2781_011771-T1, TFCN17Y2781_004734-T1	DBVPG3775_000092-T1, DBVPG3775_003612-T1
GF00000369	TFCN17Y2781_000432-T1, TFCN17Y2781_005884-T1, TFCN17Y2781_011525-T1, TFCN17Y2781_008344-T1	DBVPG3775_000094-T1, DBVPG3775_006784-T1
GF00000370	TFCN17Y2781_000441-T1, TFCN17Y2781_011475-T1, TFCN17Y2781_002769-T1, TFCN17Y2781_005400-T1	DBVPG3775_000105-T1, DBVPG3775_000960-T1
GF00000371	TFCN17Y2781_000444-T1, TFCN17Y2781_011472-T1, TFCN17Y2781_000445-T1	DBVPG3775_000108-T1, DBVPG3775_000109-T1, DBVPG3775_000110-T1
GF00000372	TFCN17Y2781_010801-T1, TFCN17Y2781_008652-T1, TFCN17Y2781_004726-T1, TFCN17Y2781_011779-T1	DBVPG3775_003621-T1, DBVPG3775_006667-T1
GF00000373	TFCN17Y2781_008847-T1, TFCN17Y2781_013305-T1, TFCN17Y2781_006205-T1, TFCN17Y2781_010975-T1	DBVPG3775_006476-T1, DBVPG3775_007189-T1
GF00000374	TFCN17Y2781_000455-T1, TFCN17Y2781_011462-T1, TFCN17Y2781_005776-T1, TFCN17Y2781_011275-T1	DBVPG3775_000120-T1, DBVPG3775_005362-T1
GF00000375	TFCN17Y2781_003432-T1, TFCN17Y2781_012066-T1, TFCN17Y2781_012368-T1, TFCN17Y2781_012463-T1, TFCN17Y2781_012373-T1	DBVPG3775_004254-T1
GF00000376	TFCN17Y2781_000459-T1, TFCN17Y2781_011458-T1, TFCN17Y2781_003639-T1, TFCN17Y2781_006471-T1	DBVPG3775_000124-T1, DBVPG3775_005171-T1
GF00000377	TFCN17Y2781_000477-T1, TFCN17Y2781_013005-T1, TFCN17Y2781_013132-T1, TFCN17Y2781_005617-T1	DBVPG3775_000143-T1, DBVPG3775_003596-T1
GF00000378	TFCN17Y2781_000509-T1, TFCN17Y2781_006751-T1, TFCN17Y2781_002588-T1, TFCN17Y2781_007159-T1	DBVPG3775_000179-T1, DBVPG3775_005812-T1
GF00000379	TFCN17Y2781_010707-T1, TFCN17Y2781_002388-T1, TFCN17Y2781_012638-T1, TFCN17Y2781_002426-T1	DBVPG3775_000351-T1, DBVPG3775_000395-T1
GF00000380	TFCN17Y2781_000531-T1, TFCN17Y2781_006767-T1, TFCN17Y2781_011584-T1, TFCN17Y2781_000923-T1	DBVPG3775_000202-T1, DBVPG3775_005531-T1
GF00000381	TFCN17Y2781_000534-T1, TFCN17Y2781_006772-T1, TFCN17Y2781_012633-T1, TFCN17Y2781_002383-T1	DBVPG3775_000207-T1, DBVPG3775_000346-T1
GF00000382	TFCN17Y2781_000535-T1, TFCN17Y2781_006773-T1, TFCN17Y2781_004933-T1, TFCN17Y2781_001351-T1	DBVPG3775_000208-T1, DBVPG3775_001089-T1
GF00000383	TFCN17Y2781_000566-T1, TFCN17Y2781_006802-T1, TFCN17Y2781_002462-T1, TFCN17Y2781_010939-T1	DBVPG3775_000238-T1, DBVPG3775_003471-T1
GF00000384	TFCN17Y2781_000583-T1, TFCN17Y2781_002314-T1, TFCN17Y2781_009345-T1, TFCN17Y2781_010589-T1	DBVPG3775_000257-T1, DBVPG3775_003297-T1
GF00000385	TFCN17Y2781_000607-T1, TFCN17Y2781_002337-T1, TFCN17Y2781_010559-T1, TFCN17Y2781_003767-T1	DBVPG3775_000282-T1, DBVPG3775_004913-T1
GF00000386	TFCN17Y2781_010070-T1, TFCN17Y2781_001816-T1, TFCN17Y2781_006598-T1, TFCN17Y2781_012503-T1	DBVPG3775_003770-T1, DBVPG3775_006147-T1
GF00000387	TFCN17Y2781_000646-T1, TFCN17Y2781_008170-T1, TFCN17Y2781_010178-T1, TFCN17Y2781_000800-T1	DBVPG3775_004005-T1, DBVPG3775_004294-T1
GF00000388	TFCN17Y2781_000660-T1, TFCN17Y2781_008181-T1, TFCN17Y2781_009745-T1, TFCN17Y2781_010124-T1	DBVPG3775_004306-T1, DBVPG3775_006872-T1
GF00000389	TFCN17Y2781_000662-T1, TFCN17Y2781_008184-T1, TFCN17Y2781_008186-T1, TFCN17Y2781_000663-T1	DBVPG3775_004309-T1, DBVPG3775_004311-T1
GF00000390	TFCN17Y2781_000672-T1, TFCN17Y2781_008195-T1, TFCN17Y2781_009459-T1, TFCN17Y2781_009872-T1	DBVPG3775_001584-T1, DBVPG3775_004320-T1
GF00000391	TFCN17Y2781_000683-T1, TFCN17Y2781_008208-T1, TFCN17Y2781_010617-T1, TFCN17Y2781_009314-T1	DBVPG3775_003327-T1, DBVPG3775_004333-T1
GF00000392	TFCN17Y2781_000690-T1, TFCN17Y2781_008217-T1, TFCN17Y2781_008741-T1, TFCN17Y2781_010455-T1	DBVPG3775_004342-T1, DBVPG3775_005988-T1
GF00000393	TFCN17Y2781_000710-T1, TFCN17Y2781_008336-T1, TFCN17Y2781_002559-T1, TFCN17Y2781_007263-T1	DBVPG3775_004103-T1, DBVPG3775_005842-T1
GF00000394	TFCN17Y2781_000725-T1, TFCN17Y2781_008320-T1, TFCN17Y2781_006892-T1, TFCN17Y2781_006828-T1	DBVPG3775_002667-T1, DBVPG3775_004085-T1
GF00000395	TFCN17Y2781_000765-T1, TFCN17Y2781_011720-T1, TFCN17Y2781_004384-T1, TFCN17Y2781_008602-T1	DBVPG3775_004042-T1, DBVPG3775_007010-T1
GF00000396	TFCN17Y2781_000776-T1, TFCN17Y2781_011731-T1, TFCN17Y2781_004695-T1, TFCN17Y2781_001983-T1	DBVPG3775_003657-T1, DBVPG3775_004029-T1
GF00000397	TFCN17Y2781_000784-T1, TFCN17Y2781_011739-T1, TFCN17Y2781_000785-T1	DBVPG3775_004019-T1, DBVPG3775_004020-T1, DBVPG3775_004021-T1
GF00000398	TFCN17Y2781_000808-T1, TFCN17Y2781_010169-T1, TFCN17Y2781_010170-T1	DBVPG3775_003994-T1, DBVPG3775_003995-T1, DBVPG3775_003996-T1
GF00000399	TFCN17Y2781_000809-T1, TFCN17Y2781_010168-T1, TFCN17Y2781_000810-T1	DBVPG3775_003991-T1, DBVPG3775_003992-T1, DBVPG3775_003993-T1
GF00000400	TFCN17Y2781_000881-T1, TFCN17Y2781_007830-T1, TFCN17Y2781_012838-T1, TFCN17Y2781_001420-T1	DBVPG3775_002484-T1, DBVPG3775_002851-T1
GF00000401	TFCN17Y2781_000894-T1, TFCN17Y2781_007843-T1, TFCN17Y2781_009648-T1, TFCN17Y2781_006375-T1	DBVPG3775_001419-T1, DBVPG3775_002838-T1
GF00000402	TFCN17Y2781_000913-T1, TFCN17Y2781_011574-T1, TFCN17Y2781_005565-T1, TFCN17Y2781_013608-T1	DBVPG3775_003540-T1, DBVPG3775_005541-T1
GF00000403	TFCN17Y2781_000944-T1, TFCN17Y2781_001001-T1, TFCN17Y2781_006662-T1, TFCN17Y2781_001567-T1	DBVPG3775_000790-T1, DBVPG3775_005506-T1
GF00000404	TFCN17Y2781_000959-T1, TFCN17Y2781_001015-T1, TFCN17Y2781_001324-T1, TFCN17Y2781_004910-T1	DBVPG3775_001116-T1, DBVPG3775_005491-T1
GF00000405	TFCN17Y2781_000965-T1, TFCN17Y2781_001021-T1, TFCN17Y2781_011935-T1, TFCN17Y2781_012426-T1	DBVPG3775_005485-T1, DBVPG3775_007454-T1
GF00000406	TFCN17Y2781_000967-T1, TFCN17Y2781_001023-T1, TFCN17Y2781_003325-T1, TFCN17Y2781_007094-T1	DBVPG3775_003968-T1, DBVPG3775_005483-T1
GF00000407	TFCN17Y2781_000972-T1, TFCN17Y2781_001028-T1, TFCN17Y2781_008570-T1, TFCN17Y2781_004350-T1	DBVPG3775_005478-T1, DBVPG3775_006976-T1
GF00000408	TFCN17Y2781_000975-T1, TFCN17Y2781_001031-T1, TFCN17Y2781_011202-T1, TFCN17Y2781_011178-T1	DBVPG3775_005475-T1, DBVPG3775_006362-T1
GF00000409	TFCN17Y2781_001047-T1, TFCN17Y2781_013385-T1, TFCN17Y2781_009777-T1, TFCN17Y2781_007318-T1	DBVPG3775_005457-T1, DBVPG3775_005945-T1
GF00000410	TFCN17Y2781_001080-T1, TFCN17Y2781_010410-T1, TFCN17Y2781_001081-T1, TFCN17Y2781_001082-T1, TFCN17Y2781_010409-T1	DBVPG3775_005278-T1
GF00000411	TFCN17Y2781_001093-T1, TFCN17Y2781_010430-T1, TFCN17Y2781_004495-T1, TFCN17Y2781_009527-T1	DBVPG3775_000692-T1, DBVPG3775_005289-T1
GF00000412	TFCN17Y2781_001840-T1, TFCN17Y2781_006623-T1, TFCN17Y2781_001838-T1, TFCN17Y2781_006621-T1	DBVPG3775_003744-T1, DBVPG3775_003746-T1
GF00000413	TFCN17Y2781_001106-T1, TFCN17Y2781_008819-T1, TFCN17Y2781_003072-T1, TFCN17Y2781_012015-T1	DBVPG3775_001887-T1, DBVPG3775_005303-T1
GF00000414	TFCN17Y2781_001116-T1, TFCN17Y2781_008809-T1, TFCN17Y2781_002145-T1, TFCN17Y2781_002913-T1	DBVPG3775_002296-T1, DBVPG3775_005313-T1
GF00000415	TFCN17Y2781_001119-T1, TFCN17Y2781_008807-T1, TFCN17Y2781_008346-T1, TFCN17Y2781_011527-T1	DBVPG3775_005317-T1, DBVPG3775_006786-T1
GF00000416	TFCN17Y2781_005472-T1, TFCN17Y2781_002659-T1, TFCN17Y2781_013023-T1, TFCN17Y2781_008720-T1	DBVPG3775_002064-T1, DBVPG3775_004459-T1
GF00000417	TFCN17Y2781_001143-T1, TFCN17Y2781_003208-T1, TFCN17Y2781_010784-T1, TFCN17Y2781_008635-T1	DBVPG3775_001322-T1, DBVPG3775_006684-T1
GF00000418	TFCN17Y2781_001161-T1, TFCN17Y2781_003226-T1, TFCN17Y2781_001163-T1, TFCN17Y2781_003228-T1	DBVPG3775_001296-T1, DBVPG3775_001298-T1
GF00000419	TFCN17Y2781_001162-T1, TFCN17Y2781_003227-T1, TFCN17Y2781_002471-T1, TFCN17Y2781_010949-T1	DBVPG3775_001297-T1, DBVPG3775_003481-T1
GF00000420	TFCN17Y2781_001173-T1, TFCN17Y2781_003238-T1, TFCN17Y2781_006124-T1, TFCN17Y2781_004260-T1	DBVPG3775_001283-T1, DBVPG3775_006931-T1
GF00000421	TFCN17Y2781_007266-T1, TFCN17Y2781_002556-T1, TFCN17Y2781_004244-T1, TFCN17Y2781_006107-T1	DBVPG3775_005845-T1, DBVPG3775_006039-T1
GF00000422	TFCN17Y2781_001215-T1, TFCN17Y2781_003282-T1, TFCN17Y2781_003280-T1, TFCN17Y2781_001217-T1	DBVPG3775_001230-T1, DBVPG3775_001232-T1
GF00000423	TFCN17Y2781_001232-T1, TFCN17Y2781_003299-T1, TFCN17Y2781_009625-T1, TFCN17Y2781_012550-T1	DBVPG3775_001213-T1, DBVPG3775_001393-T1
GF00000424	TFCN17Y2781_001251-T1, TFCN17Y2781_003320-T1, TFCN17Y2781_005441-T1, TFCN17Y2781_002688-T1	DBVPG3775_001192-T1, DBVPG3775_004427-T1
GF00000425	TFCN17Y2781_001269-T1, TFCN17Y2781_004861-T1, TFCN17Y2781_005950-T1, TFCN17Y2781_004822-T1	DBVPG3775_001173-T1, DBVPG3775_001728-T1
GF00000426	TFCN17Y2781_001270-T1, TFCN17Y2781_004862-T1, TFCN17Y2781_003730-T1, TFCN17Y2781_010683-T1	DBVPG3775_001172-T1, DBVPG3775_007402-T1
GF00000427	TFCN17Y2781_004549-T1, TFCN17Y2781_007431-T1, TFCN17Y2781_011925-T1, TFCN17Y2781_012421-T1	DBVPG3775_001804-T1, DBVPG3775_007359-T1
GF00000428	TFCN17Y2781_002845-T1, TFCN17Y2781_010812-T1, TFCN17Y2781_010075-T1, TFCN17Y2781_003788-T1	DBVPG3775_000881-T1, DBVPG3775_004888-T1
GF00000429	TFCN17Y2781_001301-T1, TFCN17Y2781_004891-T1, TFCN17Y2781_013302-T1, TFCN17Y2781_010500-T1	DBVPG3775_000738-T1, DBVPG3775_001140-T1
GF00000430	TFCN17Y2781_001318-T1, TFCN17Y2781_004905-T1, TFCN17Y2781_008451-T1, TFCN17Y2781_009179-T1	DBVPG3775_001122-T1, DBVPG3775_005426-T1
GF00000431	TFCN17Y2781_001323-T1, TFCN17Y2781_004909-T1, TFCN17Y2781_004795-T1, TFCN17Y2781_005924-T1	DBVPG3775_001117-T1, DBVPG3775_001698-T1
GF00000432	TFCN17Y2781_001365-T1, TFCN17Y2781_001783-T1, TFCN17Y2781_001782-T1	DBVPG3775_001074-T1, DBVPG3775_001075-T1, DBVPG3775_001076-T1
GF00000433	TFCN17Y2781_001372-T1, TFCN17Y2781_001775-T1, TFCN17Y2781_003606-T1, TFCN17Y2781_010008-T1	DBVPG3775_001066-T1, DBVPG3775_007135-T1
GF00000434	TFCN17Y2781_001377-T1, TFCN17Y2781_001770-T1, TFCN17Y2781_005153-T1, TFCN17Y2781_006940-T1	DBVPG3775_001059-T1, DBVPG3775_007097-T1
GF00000435	TFCN17Y2781_001386-T1, TFCN17Y2781_001761-T1, TFCN17Y2781_007224-T1, TFCN17Y2781_008054-T1	DBVPG3775_001050-T1, DBVPG3775_005745-T1
GF00000436	TFCN17Y2781_001393-T1, TFCN17Y2781_007904-T1, TFCN17Y2781_006649-T1, TFCN17Y2781_001554-T1	DBVPG3775_000778-T1, DBVPG3775_002516-T1
GF00000437	TFCN17Y2781_001443-T1, TFCN17Y2781_004175-T1, TFCN17Y2781_009048-T1, TFCN17Y2781_006139-T1	DBVPG3775_002458-T1, DBVPG3775_006212-T1
GF00000438	TFCN17Y2781_010817-T1, TFCN17Y2781_002850-T1, TFCN17Y2781_004501-T1, TFCN17Y2781_012941-T1	DBVPG3775_000698-T1, DBVPG3775_000876-T1
GF00000439	TFCN17Y2781_001471-T1, TFCN17Y2781_004149-T1, TFCN17Y2781_007957-T1, TFCN17Y2781_012726-T1	DBVPG3775_002427-T1, DBVPG3775_004637-T1
GF00000440	TFCN17Y2781_003452-T1, TFCN17Y2781_012667-T1, TFCN17Y2781_003832-T1, TFCN17Y2781_013125-T1	DBVPG3775_003841-T1, DBVPG3775_004842-T1
GF00000441	TFCN17Y2781_001508-T1, TFCN17Y2781_004112-T1, TFCN17Y2781_002755-T1, TFCN17Y2781_005412-T1	DBVPG3775_000975-T1, DBVPG3775_002379-T1
GF00000442	TFCN17Y2781_001518-T1, TFCN17Y2781_004102-T1, TFCN17Y2781_010961-T1, TFCN17Y2781_007373-T1	DBVPG3775_002369-T1, DBVPG3775_005888-T1
GF00000443	TFCN17Y2781_001519-T1, TFCN17Y2781_004101-T1, TFCN17Y2781_005253-T1, TFCN17Y2781_013096-T1	DBVPG3775_002368-T1, DBVPG3775_007425-T1
GF00000444	TFCN17Y2781_011660-T1, TFCN17Y2781_003362-T1, TFCN17Y2781_007433-T1, TFCN17Y2781_004551-T1	DBVPG3775_001806-T1, DBVPG3775_003929-T1
GF00000445	TFCN17Y2781_002109-T1, TFCN17Y2781_005232-T1, TFCN17Y2781_009229-T1, TFCN17Y2781_008680-T1	DBVPG3775_001964-T1, DBVPG3775_002111-T1
GF00000446	TFCN17Y2781_003582-T1, TFCN17Y2781_009982-T1, TFCN17Y2781_007308-T1, TFCN17Y2781_002513-T1	DBVPG3775_003524-T1, DBVPG3775_007162-T1
GF00000447	TFCN17Y2781_001602-T1, TFCN17Y2781_009067-T1, TFCN17Y2781_001603-T1, TFCN17Y2781_012235-T1	DBVPG3775_007078-T1, DBVPG3775_007079-T1
GF00000448	TFCN17Y2781_001613-T1, TFCN17Y2781_012200-T1, TFCN17Y2781_006853-T1, TFCN17Y2781_006918-T1	DBVPG3775_002694-T1, DBVPG3775_007068-T1
GF00000449	TFCN17Y2781_001624-T1, TFCN17Y2781_012211-T1, TFCN17Y2781_010354-T1, TFCN17Y2781_012817-T1	DBVPG3775_006089-T1, DBVPG3775_007056-T1
GF00000450	TFCN17Y2781_001664-T1, TFCN17Y2781_003489-T1, TFCN17Y2781_003502-T1, TFCN17Y2781_001679-T1	DBVPG3775_004153-T1, DBVPG3775_004167-T1
GF00000451	TFCN17Y2781_001667-T1, TFCN17Y2781_003492-T1, TFCN17Y2781_011891-T1, TFCN17Y2781_005419-T1	DBVPG3775_000983-T1, DBVPG3775_004155-T1
GF00000452	TFCN17Y2781_001668-T1, TFCN17Y2781_003493-T1, TFCN17Y2781_012076-T1, TFCN17Y2781_007490-T1	DBVPG3775_000577-T1, DBVPG3775_004156-T1
GF00000453	TFCN17Y2781_001721-T1, TFCN17Y2781_003544-T1, TFCN17Y2781_011542-T1, TFCN17Y2781_008363-T1	DBVPG3775_004211-T1, DBVPG3775_006802-T1
GF00000454	TFCN17Y2781_011101-T1, TFCN17Y2781_006289-T1, TFCN17Y2781_008462-T1, TFCN17Y2781_012952-T1	DBVPG3775_004702-T1, DBVPG3775_005652-T1
GF00000455	TFCN17Y2781_001740-T1, TFCN17Y2781_003563-T1, TFCN17Y2781_001742-T1, TFCN17Y2781_003565-T1	DBVPG3775_004230-T1, DBVPG3775_004232-T1
GF00000456	TFCN17Y2781_001748-T1, TFCN17Y2781_003571-T1, TFCN17Y2781_003572-T1, TFCN17Y2781_001749-T1	DBVPG3775_001036-T1, DBVPG3775_001037-T1
GF00000457	TFCN17Y2781_004563-T1, TFCN17Y2781_004562-T1, TFCN17Y2781_007444-T1, TFCN17Y2781_007445-T1	DBVPG3775_001817-T1, DBVPG3775_001818-T1
GF00000458	TFCN17Y2781_001859-T1, TFCN17Y2781_006641-T1, TFCN17Y2781_007174-T1, TFCN17Y2781_011703-T1	DBVPG3775_003725-T1, DBVPG3775_007375-T1
GF00000459	TFCN17Y2781_001867-T1, TFCN17Y2781_011339-T1, TFCN17Y2781_008726-T1, TFCN17Y2781_010439-T1	DBVPG3775_003717-T1, DBVPG3775_005970-T1
GF00000460	TFCN17Y2781_001876-T1, TFCN17Y2781_011330-T1, TFCN17Y2781_003031-T1, TFCN17Y2781_002268-T1	DBVPG3775_002162-T1, DBVPG3775_003708-T1
