	Rhodotorula_mucilaginosa_CHIFNET_13H1268.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00001680	CHIFNET13H1268_000810-T1	DBVPG3775_000121-T1
GF00001681	CHIFNET13H1268_000812-T1	DBVPG3775_000119-T1
GF00001682	CHIFNET13H1268_000813-T1	DBVPG3775_000118-T1
GF00001683	CHIFNET13H1268_000814-T1	DBVPG3775_000117-T1
GF00001684	CHIFNET13H1268_000815-T1	DBVPG3775_000116-T1
GF00001685	CHIFNET13H1268_000816-T1	DBVPG3775_000115-T1
GF00001686	CHIFNET13H1268_013524-T1	DBVPG3775_005897-T1
GF00001687	CHIFNET13H1268_010448-T1	DBVPG3775_000113-T1
GF00001688	CHIFNET13H1268_000819-T1	DBVPG3775_000112-T1
GF00001689	CHIFNET13H1268_010452-T1	DBVPG3775_000110-T1
GF00001690	CHIFNET13H1268_000823-T1	DBVPG3775_000109-T1
GF00001691	CHIFNET13H1268_000824-T1	DBVPG3775_000108-T1
GF00001692	CHIFNET13H1268_000825-T1	DBVPG3775_000107-T1
GF00001693	CHIFNET13H1268_000826-T1	DBVPG3775_000106-T1
GF00001694	CHIFNET13H1268_012334-T1	DBVPG3775_003884-T1
GF00001695	CHIFNET13H1268_000828-T1	DBVPG3775_000104-T1
GF00001696	CHIFNET13H1268_005515-T1	DBVPG3775_004097-T1
GF00001697	CHIFNET13H1268_000830-T1	DBVPG3775_000102-T1
GF00001698	CHIFNET13H1268_000831-T1	DBVPG3775_000101-T1
GF00001699	CHIFNET13H1268_000832-T1	DBVPG3775_000100-T1
GF00001700	CHIFNET13H1268_000833-T1	DBVPG3775_000099-T1
GF00001701	CHIFNET13H1268_000834-T1	DBVPG3775_000098-T1
GF00001702	CHIFNET13H1268_000836-T1	DBVPG3775_000096-T1
GF00001703	CHIFNET13H1268_003151-T1	DBVPG3775_000095-T1
GF00001704	CHIFNET13H1268_000839-T1	DBVPG3775_000093-T1
GF00001705	CHIFNET13H1268_000841-T1	DBVPG3775_000091-T1
GF00001706	CHIFNET13H1268_000842-T1	DBVPG3775_000090-T1
GF00001707	CHIFNET13H1268_000843-T1	DBVPG3775_000089-T1
GF00001708	CHIFNET13H1268_000844-T1	DBVPG3775_000088-T1
GF00001709	CHIFNET13H1268_003143-T1	DBVPG3775_000087-T1
GF00001710	CHIFNET13H1268_000846-T1	DBVPG3775_000086-T1
GF00001711	CHIFNET13H1268_003141-T1	DBVPG3775_000085-T1
GF00001712	CHIFNET13H1268_000848-T1	DBVPG3775_000084-T1
GF00001713	CHIFNET13H1268_003996-T1	DBVPG3775_005351-T1
GF00001714	CHIFNET13H1268_000849-T1	DBVPG3775_000083-T1
GF00001715	CHIFNET13H1268_000852-T1	DBVPG3775_000080-T1
GF00001716	CHIFNET13H1268_000854-T1	DBVPG3775_000078-T1
GF00001717	CHIFNET13H1268_000855-T1	DBVPG3775_000077-T1
GF00001718	CHIFNET13H1268_000856-T1	DBVPG3775_000076-T1
GF00001719	CHIFNET13H1268_000857-T1	DBVPG3775_000075-T1
GF00001720	CHIFNET13H1268_000858-T1	DBVPG3775_000074-T1
GF00001721	CHIFNET13H1268_000860-T1	DBVPG3775_000072-T1
GF00001722	CHIFNET13H1268_000863-T1	DBVPG3775_000069-T1
GF00001723	CHIFNET13H1268_000865-T1	DBVPG3775_000067-T1
GF00001724	CHIFNET13H1268_003122-T1	DBVPG3775_000066-T1
GF00001725	CHIFNET13H1268_007746-T1	DBVPG3775_000989-T1
GF00001726	CHIFNET13H1268_008359-T1	DBVPG3775_006782-T1
GF00001727	CHIFNET13H1268_011951-T1	DBVPG3775_004770-T1
GF00001728	CHIFNET13H1268_004959-T1	DBVPG3775_007488-T1
GF00001729	CHIFNET13H1268_003120-T1	DBVPG3775_000064-T1
GF00001730	CHIFNET13H1268_000870-T1	DBVPG3775_000061-T1
GF00001731	CHIFNET13H1268_000871-T1	DBVPG3775_000060-T1
GF00001732	CHIFNET13H1268_003115-T1	DBVPG3775_000058-T1
GF00001733	CHIFNET13H1268_003114-T1	DBVPG3775_000057-T1
GF00001734	CHIFNET13H1268_000875-T1	DBVPG3775_000056-T1
GF00001735	CHIFNET13H1268_000876-T1	DBVPG3775_000055-T1
GF00001736	CHIFNET13H1268_000878-T1	DBVPG3775_000053-T1
GF00001737	CHIFNET13H1268_000880-T1	DBVPG3775_000051-T1
GF00001738	CHIFNET13H1268_000881-T1	DBVPG3775_000050-T1
GF00001739	CHIFNET13H1268_011669-T1	DBVPG3775_001000-T1
GF00001740	CHIFNET13H1268_006394-T1	DBVPG3775_006836-T1
GF00001741	CHIFNET13H1268_000883-T1	DBVPG3775_000048-T1
GF00001742	CHIFNET13H1268_000886-T1	DBVPG3775_001226-T1
GF00001743	CHIFNET13H1268_003655-T1	DBVPG3775_001223-T1
GF00001744	CHIFNET13H1268_000891-T1	DBVPG3775_001222-T1
GF00001745	CHIFNET13H1268_003657-T1	DBVPG3775_001221-T1
GF00001746	CHIFNET13H1268_000893-T1	DBVPG3775_001220-T1
GF00001747	CHIFNET13H1268_003659-T1	DBVPG3775_001219-T1
GF00001748	CHIFNET13H1268_000895-T1	DBVPG3775_001218-T1
GF00001749	CHIFNET13H1268_000896-T1	DBVPG3775_001217-T1
GF00001750	CHIFNET13H1268_003665-T1	DBVPG3775_001213-T1
GF00001751	CHIFNET13H1268_000901-T1	DBVPG3775_001212-T1
GF00001752	CHIFNET13H1268_000902-T1	DBVPG3775_001211-T1
GF00001753	CHIFNET13H1268_000903-T1	DBVPG3775_001210-T1
GF00001754	CHIFNET13H1268_000904-T1	DBVPG3775_001209-T1
GF00001755	CHIFNET13H1268_000905-T1	DBVPG3775_001208-T1
GF00001756	CHIFNET13H1268_000906-T1	DBVPG3775_001207-T1
GF00001757	CHIFNET13H1268_000907-T1	DBVPG3775_001206-T1
GF00001758	CHIFNET13H1268_000908-T1	DBVPG3775_001205-T1
GF00001759	CHIFNET13H1268_000909-T1	DBVPG3775_001204-T1
GF00001760	CHIFNET13H1268_000910-T1	DBVPG3775_001203-T1
GF00001761	CHIFNET13H1268_003678-T1	DBVPG3775_001200-T1
GF00001762	CHIFNET13H1268_000915-T1	DBVPG3775_001199-T1
GF00001763	CHIFNET13H1268_003680-T1	DBVPG3775_001198-T1
GF00001764	CHIFNET13H1268_003681-T1	DBVPG3775_001197-T1
GF00001765	CHIFNET13H1268_003682-T1	DBVPG3775_001196-T1
GF00001766	CHIFNET13H1268_000920-T1	DBVPG3775_001195-T1
GF00001767	CHIFNET13H1268_000921-T1	DBVPG3775_001194-T1
GF00001768	CHIFNET13H1268_000984-T1	DBVPG3775_001127-T1
GF00001769	CHIFNET13H1268_003748-T1	DBVPG3775_001126-T1
GF00001770	CHIFNET13H1268_003749-T1	DBVPG3775_001125-T1
GF00001771	CHIFNET13H1268_003750-T1	DBVPG3775_001124-T1
GF00001772	CHIFNET13H1268_003753-T1	DBVPG3775_001121-T1
GF00001773	CHIFNET13H1268_000991-T1	DBVPG3775_001120-T1
GF00001774	CHIFNET13H1268_000993-T1	DBVPG3775_001118-T1
GF00001775	CHIFNET13H1268_000996-T1	DBVPG3775_001115-T1
GF00001776	CHIFNET13H1268_014338-T1	DBVPG3775_001114-T1
GF00001777	CHIFNET13H1268_014335-T1	DBVPG3775_001111-T1
GF00001778	CHIFNET13H1268_014334-T1	DBVPG3775_001110-T1
GF00001779	CHIFNET13H1268_001002-T1	DBVPG3775_001109-T1
GF00001780	CHIFNET13H1268_010668-T1	DBVPG3775_001107-T1
GF00001781	CHIFNET13H1268_001005-T1	DBVPG3775_001106-T1
GF00001782	CHIFNET13H1268_010666-T1	DBVPG3775_001105-T1
GF00001783	CHIFNET13H1268_001008-T1	DBVPG3775_001103-T1
GF00001784	CHIFNET13H1268_001009-T1	DBVPG3775_001102-T1
GF00001785	CHIFNET13H1268_010661-T1	DBVPG3775_001100-T1
GF00001786	CHIFNET13H1268_010660-T1	DBVPG3775_001099-T1
GF00001787	CHIFNET13H1268_001013-T1	DBVPG3775_001098-T1
GF00001788	CHIFNET13H1268_010657-T1	DBVPG3775_001095-T1
GF00001789	CHIFNET13H1268_001020-T1	DBVPG3775_001093-T1
GF00001790	CHIFNET13H1268_010652-T1	DBVPG3775_001091-T1
GF00001791	CHIFNET13H1268_001027-T1	DBVPG3775_001086-T1
GF00001792	CHIFNET13H1268_005142-T1	DBVPG3775_000384-T1
GF00001793	CHIFNET13H1268_001029-T1	DBVPG3775_001084-T1
GF00001794	CHIFNET13H1268_001034-T1	DBVPG3775_001080-T1
GF00001795	CHIFNET13H1268_010638-T1	DBVPG3775_001079-T1
GF00001796	CHIFNET13H1268_010637-T1	DBVPG3775_001078-T1
GF00001797	CHIFNET13H1268_001037-T1	DBVPG3775_001077-T1
GF00001798	CHIFNET13H1268_001038-T1	DBVPG3775_001076-T1
GF00001799	CHIFNET13H1268_001039-T1	DBVPG3775_001075-T1
GF00001800	CHIFNET13H1268_010633-T1	DBVPG3775_001074-T1
GF00001801	CHIFNET13H1268_001042-T1	DBVPG3775_001072-T1
GF00001802	CHIFNET13H1268_010631-T1	DBVPG3775_001071-T1
GF00001803	CHIFNET13H1268_010630-T1	DBVPG3775_001070-T1
GF00001804	CHIFNET13H1268_010629-T1	DBVPG3775_001069-T1
GF00001805	CHIFNET13H1268_001046-T1	DBVPG3775_001068-T1
GF00001806	CHIFNET13H1268_001047-T1	DBVPG3775_001067-T1
GF00001807	CHIFNET13H1268_001050-T1	DBVPG3775_001064-T1
GF00001808	CHIFNET13H1268_010622-T1	DBVPG3775_001062-T1
GF00001809	CHIFNET13H1268_001053-T1	DBVPG3775_001061-T1
GF00001810	CHIFNET13H1268_001054-T1	DBVPG3775_001060-T1
GF00001811	CHIFNET13H1268_008759-T1	DBVPG3775_001057-T1
GF00001812	CHIFNET13H1268_001058-T1	DBVPG3775_001056-T1
GF00001813	CHIFNET13H1268_001060-T1	DBVPG3775_001054-T1
GF00001814	CHIFNET13H1268_001062-T1	DBVPG3775_001052-T1
GF00001815	CHIFNET13H1268_001063-T1	DBVPG3775_001051-T1
GF00001816	CHIFNET13H1268_001069-T1	DBVPG3775_001047-T1
GF00001817	CHIFNET13H1268_001070-T1	DBVPG3775_001046-T1
GF00001818	CHIFNET13H1268_001072-T1	DBVPG3775_001044-T1
GF00001819	CHIFNET13H1268_001073-T1	DBVPG3775_001043-T1
GF00001820	CHIFNET13H1268_008743-T1	DBVPG3775_001042-T1
GF00001821	CHIFNET13H1268_001076-T1	DBVPG3775_001039-T1
GF00001822	CHIFNET13H1268_001077-T1	DBVPG3775_001038-T1
GF00001823	CHIFNET13H1268_008739-T1	DBVPG3775_001037-T1
GF00001824	CHIFNET13H1268_008738-T1	DBVPG3775_001036-T1
GF00001825	CHIFNET13H1268_001080-T1	DBVPG3775_002541-T1
GF00001826	CHIFNET13H1268_011885-T1	DBVPG3775_002542-T1
GF00001827	CHIFNET13H1268_011883-T1	DBVPG3775_002544-T1
GF00001828	CHIFNET13H1268_001084-T1	DBVPG3775_002545-T1
GF00001829	CHIFNET13H1268_001085-T1	DBVPG3775_002546-T1
GF00001830	CHIFNET13H1268_001091-T1	DBVPG3775_002551-T1
GF00001831	CHIFNET13H1268_001092-T1	DBVPG3775_002552-T1
GF00001832	CHIFNET13H1268_011873-T1	DBVPG3775_002554-T1
GF00001833	CHIFNET13H1268_001096-T1	DBVPG3775_002555-T1
GF00001834	CHIFNET13H1268_001097-T1	DBVPG3775_002556-T1
GF00001835	CHIFNET13H1268_001100-T1	DBVPG3775_002559-T1
GF00001836	CHIFNET13H1268_001101-T1	DBVPG3775_002560-T1
GF00001837	CHIFNET13H1268_001102-T1	DBVPG3775_002561-T1
GF00001838	CHIFNET13H1268_001103-T1	DBVPG3775_002562-T1
GF00001839	CHIFNET13H1268_011864-T1	DBVPG3775_002563-T1
GF00001840	CHIFNET13H1268_001106-T1	DBVPG3775_002565-T1
GF00001841	CHIFNET13H1268_001108-T1	DBVPG3775_002567-T1
GF00001842	CHIFNET13H1268_001109-T1	DBVPG3775_002568-T1
GF00001843	CHIFNET13H1268_009133-T1	DBVPG3775_001829-T1
GF00001844	CHIFNET13H1268_013661-T1	DBVPG3775_002570-T1
GF00001845	CHIFNET13H1268_013662-T1	DBVPG3775_002571-T1
GF00001846	CHIFNET13H1268_001113-T1	DBVPG3775_002572-T1
GF00001847	CHIFNET13H1268_001115-T1	DBVPG3775_002574-T1
GF00001848	CHIFNET13H1268_001117-T1	DBVPG3775_002576-T1
GF00001849	CHIFNET13H1268_013669-T1	DBVPG3775_002578-T1
GF00001850	CHIFNET13H1268_001122-T1	DBVPG3775_002581-T1
GF00001851	CHIFNET13H1268_013376-T1	DBVPG3775_002582-T1
GF00001852	CHIFNET13H1268_001124-T1	DBVPG3775_002583-T1
GF00001853	CHIFNET13H1268_001125-T1	DBVPG3775_002584-T1
GF00001854	CHIFNET13H1268_013381-T1	DBVPG3775_002588-T1
GF00001855	CHIFNET13H1268_013382-T1	DBVPG3775_002589-T1
GF00001856	CHIFNET13H1268_001131-T1	DBVPG3775_002592-T1
GF00001857	CHIFNET13H1268_001132-T1	DBVPG3775_002593-T1
GF00001858	CHIFNET13H1268_013385-T1	DBVPG3775_002594-T1
GF00001859	CHIFNET13H1268_014685-T1	DBVPG3775_002598-T1
GF00001860	CHIFNET13H1268_010510-T1	DBVPG3775_002074-T1
GF00001861	CHIFNET13H1268_001138-T1	DBVPG3775_002599-T1
GF00001862	CHIFNET13H1268_001143-T1	DBVPG3775_002602-T1
GF00001863	CHIFNET13H1268_001144-T1	DBVPG3775_002603-T1
GF00001864	CHIFNET13H1268_001145-T1	DBVPG3775_002604-T1
GF00001865	CHIFNET13H1268_011482-T1	DBVPG3775_002607-T1
GF00001866	CHIFNET13H1268_011486-T1	DBVPG3775_002611-T1
GF00001867	CHIFNET13H1268_001153-T1	DBVPG3775_002612-T1
GF00001868	CHIFNET13H1268_011488-T1	DBVPG3775_002613-T1
GF00001869	CHIFNET13H1268_001155-T1	DBVPG3775_002614-T1
GF00001870	CHIFNET13H1268_001156-T1	DBVPG3775_002615-T1
GF00001871	CHIFNET13H1268_011494-T1	DBVPG3775_002619-T1
GF00001872	CHIFNET13H1268_001161-T1	DBVPG3775_002620-T1
GF00001873	CHIFNET13H1268_001164-T1	DBVPG3775_002624-T1
GF00001874	CHIFNET13H1268_011501-T1	DBVPG3775_002627-T1
GF00001875	CHIFNET13H1268_001168-T1	DBVPG3775_002628-T1
GF00001876	CHIFNET13H1268_011503-T1	DBVPG3775_002629-T1
GF00001877	CHIFNET13H1268_001173-T1	DBVPG3775_002632-T1
GF00001878	CHIFNET13H1268_001175-T1	DBVPG3775_002634-T1
GF00001879	CHIFNET13H1268_001176-T1	DBVPG3775_002635-T1
GF00001880	CHIFNET13H1268_001177-T1	DBVPG3775_002636-T1
GF00001881	CHIFNET13H1268_001179-T1	DBVPG3775_002638-T1
GF00001882	CHIFNET13H1268_001180-T1	DBVPG3775_002639-T1
GF00001883	CHIFNET13H1268_001181-T1	DBVPG3775_002640-T1
GF00001884	CHIFNET13H1268_001182-T1	DBVPG3775_002641-T1
GF00001885	CHIFNET13H1268_010576-T1	DBVPG3775_002645-T1
GF00001886	CHIFNET13H1268_010575-T1	DBVPG3775_002646-T1
GF00001887	CHIFNET13H1268_010574-T1	DBVPG3775_002647-T1
GF00001888	CHIFNET13H1268_001188-T1	DBVPG3775_002648-T1
GF00001889	CHIFNET13H1268_001189-T1	DBVPG3775_002649-T1
GF00001890	CHIFNET13H1268_001191-T1	DBVPG3775_002651-T1
GF00001891	CHIFNET13H1268_010567-T1	DBVPG3775_002653-T1
GF00001892	CHIFNET13H1268_001194-T1	DBVPG3775_002654-T1
GF00001893	CHIFNET13H1268_010564-T1	DBVPG3775_002656-T1
GF00001894	CHIFNET13H1268_010563-T1	DBVPG3775_002657-T1
GF00001895	CHIFNET13H1268_001198-T1	DBVPG3775_002658-T1
GF00001896	CHIFNET13H1268_001199-T1	DBVPG3775_002659-T1
GF00001897	CHIFNET13H1268_001200-T1	DBVPG3775_002660-T1
GF00001898	CHIFNET13H1268_010593-T1	DBVPG3775_007025-T1
GF00001899	CHIFNET13H1268_010559-T1	DBVPG3775_002661-T1
GF00001900	CHIFNET13H1268_001202-T1	DBVPG3775_002662-T1
GF00001901	CHIFNET13H1268_010552-T1	DBVPG3775_002669-T1
GF00001902	CHIFNET13H1268_001210-T1	DBVPG3775_002670-T1
GF00001903	CHIFNET13H1268_001211-T1	DBVPG3775_002671-T1
GF00001904	CHIFNET13H1268_001213-T1	DBVPG3775_002673-T1
GF00001905	CHIFNET13H1268_001214-T1	DBVPG3775_002674-T1
GF00001906	CHIFNET13H1268_001215-T1	DBVPG3775_002675-T1
GF00001907	CHIFNET13H1268_001216-T1	DBVPG3775_002676-T1
GF00001908	CHIFNET13H1268_010543-T1	DBVPG3775_002678-T1
GF00001909	CHIFNET13H1268_001219-T1	DBVPG3775_002679-T1
GF00001910	CHIFNET13H1268_001220-T1	DBVPG3775_002680-T1
GF00001911	CHIFNET13H1268_011435-T1	DBVPG3775_002681-T1
GF00001912	CHIFNET13H1268_001222-T1	DBVPG3775_002682-T1
GF00001913	CHIFNET13H1268_001223-T1	DBVPG3775_002683-T1
GF00001914	CHIFNET13H1268_011432-T1	DBVPG3775_002684-T1
GF00001915	CHIFNET13H1268_001225-T1	DBVPG3775_002685-T1
GF00001916	CHIFNET13H1268_001226-T1	DBVPG3775_002686-T1
GF00001917	CHIFNET13H1268_001227-T1	DBVPG3775_002687-T1
GF00001918	CHIFNET13H1268_001228-T1	DBVPG3775_002688-T1
GF00001919	CHIFNET13H1268_001229-T1	DBVPG3775_002689-T1
GF00001920	CHIFNET13H1268_001232-T1	DBVPG3775_002691-T1
GF00001921	CHIFNET13H1268_001233-T1	DBVPG3775_002692-T1
GF00001922	CHIFNET13H1268_011423-T1	DBVPG3775_002693-T1
GF00001923	CHIFNET13H1268_001236-T1	DBVPG3775_002695-T1
GF00001924	CHIFNET13H1268_001237-T1	DBVPG3775_002696-T1
GF00001925	CHIFNET13H1268_001239-T1	DBVPG3775_002698-T1
GF00001926	CHIFNET13H1268_001240-T1	DBVPG3775_002699-T1
GF00001927	CHIFNET13H1268_001241-T1	DBVPG3775_002700-T1
GF00001928	CHIFNET13H1268_011416-T1	DBVPG3775_002701-T1
GF00001929	CHIFNET13H1268_001243-T1	DBVPG3775_002702-T1
GF00001930	CHIFNET13H1268_011414-T1	DBVPG3775_002703-T1
GF00001931	CHIFNET13H1268_001245-T1	DBVPG3775_002704-T1
GF00001932	CHIFNET13H1268_011412-T1	DBVPG3775_002705-T1
GF00001933	CHIFNET13H1268_001552-T1	DBVPG3775_007461-T1
GF00001934	CHIFNET13H1268_011410-T1	DBVPG3775_002707-T1
GF00001935	CHIFNET13H1268_001249-T1	DBVPG3775_002708-T1
GF00001936	CHIFNET13H1268_011408-T1	DBVPG3775_002709-T1
GF00001937	CHIFNET13H1268_001251-T1	DBVPG3775_006118-T1
GF00001938	CHIFNET13H1268_014529-T1	DBVPG3775_006117-T1
GF00001939	CHIFNET13H1268_001255-T1	DBVPG3775_006113-T1
GF00001940	CHIFNET13H1268_001256-T1	DBVPG3775_006112-T1
GF00001941	CHIFNET13H1268_001261-T1	DBVPG3775_006104-T1
GF00001942	CHIFNET13H1268_013990-T1	DBVPG3775_006100-T1
GF00001943	CHIFNET13H1268_013991-T1	DBVPG3775_006099-T1
GF00001944	CHIFNET13H1268_013993-T1	DBVPG3775_006097-T1
GF00001945	CHIFNET13H1268_001267-T1	DBVPG3775_006096-T1
GF00001946	CHIFNET13H1268_001268-T1	DBVPG3775_006095-T1
GF00001947	CHIFNET13H1268_013996-T1	DBVPG3775_006094-T1
GF00001948	CHIFNET13H1268_001270-T1	DBVPG3775_006093-T1
GF00001949	CHIFNET13H1268_013998-T1	DBVPG3775_006092-T1
GF00001950	CHIFNET13H1268_001272-T1	DBVPG3775_006091-T1
GF00001951	CHIFNET13H1268_014663-T1	DBVPG3775_006090-T1
GF00001952	CHIFNET13H1268_001275-T1	DBVPG3775_006088-T1
GF00001953	CHIFNET13H1268_001276-T1	DBVPG3775_006087-T1
GF00001954	CHIFNET13H1268_001281-T1	DBVPG3775_006905-T1
GF00001955	CHIFNET13H1268_001282-T1	DBVPG3775_006906-T1
GF00001956	CHIFNET13H1268_001283-T1	DBVPG3775_006907-T1
GF00001957	CHIFNET13H1268_001284-T1	DBVPG3775_006908-T1
GF00001958	CHIFNET13H1268_001285-T1	DBVPG3775_006909-T1
GF00001959	CHIFNET13H1268_001733-T1	DBVPG3775_006912-T1
GF00001960	CHIFNET13H1268_001290-T1	DBVPG3775_006914-T1
GF00001961	CHIFNET13H1268_001736-T1	DBVPG3775_006915-T1
GF00001962	CHIFNET13H1268_001737-T1	DBVPG3775_006916-T1
GF00001963	CHIFNET13H1268_001738-T1	DBVPG3775_006917-T1
GF00001964	CHIFNET13H1268_001739-T1	DBVPG3775_006918-T1
GF00001965	CHIFNET13H1268_001740-T1	DBVPG3775_006919-T1
GF00001966	CHIFNET13H1268_001741-T1	DBVPG3775_006920-T1
GF00001967	CHIFNET13H1268_001742-T1	DBVPG3775_006921-T1
GF00001968	CHIFNET13H1268_001299-T1	DBVPG3775_006923-T1
GF00001969	CHIFNET13H1268_001302-T1	DBVPG3775_006926-T1
GF00001970	CHIFNET13H1268_001303-T1	DBVPG3775_006927-T1
GF00001971	CHIFNET13H1268_001305-T1	DBVPG3775_006930-T1
GF00001972	CHIFNET13H1268_001308-T1	DBVPG3775_006025-T1
GF00001973	CHIFNET13H1268_001755-T1	DBVPG3775_006026-T1
GF00001974	CHIFNET13H1268_001313-T1	DBVPG3775_006029-T1
GF00001975	CHIFNET13H1268_011011-T1	DBVPG3775_005332-T1
GF00001976	CHIFNET13H1268_001761-T1	DBVPG3775_006032-T1
GF00001977	CHIFNET13H1268_001317-T1	DBVPG3775_006033-T1
GF00001978	CHIFNET13H1268_001318-T1	DBVPG3775_006034-T1
GF00001979	CHIFNET13H1268_001764-T1	DBVPG3775_006035-T1
GF00001980	CHIFNET13H1268_001765-T1	DBVPG3775_006036-T1
GF00001981	CHIFNET13H1268_001322-T1	DBVPG3775_006061-T1
GF00001982	CHIFNET13H1268_001789-T1	DBVPG3775_006060-T1
GF00001983	CHIFNET13H1268_001324-T1	DBVPG3775_006059-T1
GF00001984	CHIFNET13H1268_001325-T1	DBVPG3775_006058-T1
GF00001985	CHIFNET13H1268_001326-T1	DBVPG3775_006057-T1
GF00001986	CHIFNET13H1268_001785-T1	DBVPG3775_006056-T1
GF00001987	CHIFNET13H1268_001328-T1	DBVPG3775_006055-T1
GF00001988	CHIFNET13H1268_001329-T1	DBVPG3775_006054-T1
GF00001989	CHIFNET13H1268_001782-T1	DBVPG3775_006053-T1
GF00001990	CHIFNET13H1268_001781-T1	DBVPG3775_006052-T1
GF00001991	CHIFNET13H1268_001780-T1	DBVPG3775_006051-T1
GF00001992	CHIFNET13H1268_001333-T1	DBVPG3775_006050-T1
GF00001993	CHIFNET13H1268_001334-T1	DBVPG3775_006049-T1
GF00001994	CHIFNET13H1268_001335-T1	DBVPG3775_006048-T1
GF00001995	CHIFNET13H1268_001774-T1	DBVPG3775_006045-T1
GF00001996	CHIFNET13H1268_001339-T1	DBVPG3775_006044-T1
GF00001997	CHIFNET13H1268_001766-T1	DBVPG3775_006037-T1
GF00001998	CHIFNET13H1268_001344-T1	DBVPG3775_006040-T1
GF00001999	CHIFNET13H1268_001345-T1	DBVPG3775_006041-T1
GF00002000	CHIFNET13H1268_009679-T1	DBVPG3775_005021-T1
GF00002001	CHIFNET13H1268_001772-T1	DBVPG3775_006043-T1
GF00002002	CHIFNET13H1268_001793-T1	DBVPG3775_006064-T1
GF00002003	CHIFNET13H1268_001349-T1	DBVPG3775_006065-T1
GF00002004	CHIFNET13H1268_001795-T1	DBVPG3775_006066-T1
GF00002005	CHIFNET13H1268_001351-T1	DBVPG3775_006067-T1
GF00002006	CHIFNET13H1268_001797-T1	DBVPG3775_006068-T1
GF00002007	CHIFNET13H1268_001353-T1	DBVPG3775_006069-T1
GF00002008	CHIFNET13H1268_001354-T1	DBVPG3775_006070-T1
GF00002009	CHIFNET13H1268_001800-T1	DBVPG3775_006071-T1
GF00002010	CHIFNET13H1268_001356-T1	DBVPG3775_006072-T1
GF00002011	CHIFNET13H1268_001802-T1	DBVPG3775_006073-T1
GF00002012	CHIFNET13H1268_001358-T1	DBVPG3775_006074-T1
GF00002013	CHIFNET13H1268_001359-T1	DBVPG3775_006075-T1
GF00002014	CHIFNET13H1268_001361-T1	DBVPG3775_006077-T1
GF00002015	CHIFNET13H1268_001362-T1	DBVPG3775_006078-T1
GF00002016	CHIFNET13H1268_001363-T1	DBVPG3775_006081-T1
GF00002017	CHIFNET13H1268_001364-T1	DBVPG3775_006401-T1
GF00002018	CHIFNET13H1268_001813-T1	DBVPG3775_006398-T1
GF00002019	CHIFNET13H1268_001369-T1	DBVPG3775_006396-T1
GF00002020	CHIFNET13H1268_001370-T1	DBVPG3775_006395-T1
GF00002021	CHIFNET13H1268_001371-T1	DBVPG3775_006394-T1
GF00002022	CHIFNET13H1268_001372-T1	DBVPG3775_006393-T1
GF00002023	CHIFNET13H1268_001819-T1	DBVPG3775_006392-T1
GF00002024	CHIFNET13H1268_001374-T1	DBVPG3775_006391-T1
GF00002025	CHIFNET13H1268_001375-T1	DBVPG3775_006390-T1
GF00002026	CHIFNET13H1268_001376-T1	DBVPG3775_006389-T1
GF00002027	CHIFNET13H1268_001378-T1	DBVPG3775_006387-T1
GF00002028	CHIFNET13H1268_001379-T1	DBVPG3775_006386-T1
GF00002029	CHIFNET13H1268_001380-T1	DBVPG3775_006385-T1
GF00002030	CHIFNET13H1268_001828-T1	DBVPG3775_006384-T1
GF00002031	CHIFNET13H1268_001829-T1	DBVPG3775_006383-T1
GF00002032	CHIFNET13H1268_001830-T1	DBVPG3775_006382-T1
GF00002033	CHIFNET13H1268_001385-T1	DBVPG3775_006380-T1
GF00002034	CHIFNET13H1268_001834-T1	DBVPG3775_006379-T1
GF00002035	CHIFNET13H1268_001387-T1	DBVPG3775_006378-T1
GF00002036	CHIFNET13H1268_001839-T1	DBVPG3775_006373-T1
GF00002037	CHIFNET13H1268_001392-T1	DBVPG3775_006372-T1
GF00002038	CHIFNET13H1268_001395-T1	DBVPG3775_006369-T1
GF00002039	CHIFNET13H1268_001396-T1	DBVPG3775_006368-T1
GF00002040	CHIFNET13H1268_001397-T1	DBVPG3775_006367-T1
GF00002041	CHIFNET13H1268_001398-T1	DBVPG3775_006366-T1
GF00002042	CHIFNET13H1268_001847-T1	DBVPG3775_006365-T1
GF00002043	CHIFNET13H1268_001400-T1	DBVPG3775_006364-T1
GF00002044	CHIFNET13H1268_001401-T1	DBVPG3775_003264-T1
GF00002045	CHIFNET13H1268_001402-T1	DBVPG3775_003265-T1
GF00002046	CHIFNET13H1268_010212-T1	DBVPG3775_003266-T1
GF00002047	CHIFNET13H1268_010215-T1	DBVPG3775_003270-T1
GF00002048	CHIFNET13H1268_010216-T1	DBVPG3775_003271-T1
GF00002049	CHIFNET13H1268_001409-T1	DBVPG3775_003272-T1
GF00002050	CHIFNET13H1268_001414-T1	DBVPG3775_003279-T1
GF00002051	CHIFNET13H1268_001416-T1	DBVPG3775_003281-T1
GF00002052	CHIFNET13H1268_001420-T1	DBVPG3775_003283-T1
GF00002053	CHIFNET13H1268_005308-T1	DBVPG3775_003284-T1
GF00002054	CHIFNET13H1268_001426-T1	DBVPG3775_003287-T1
GF00002055	CHIFNET13H1268_001427-T1	DBVPG3775_003288-T1
