	Rhodotorula_mucilaginosa_TFCN_17-333P-6.cds.fa
GF00000390	TFCN17333P6_003488-T1, TFCN17333P6_003487-T1, TFCN17333P6_008159-T1, TFCN17333P6_008160-T1
GF00000391	TFCN17333P6_011231-T1, TFCN17333P6_014515-T1, TFCN17333P6_006090-T1, TFCN17333P6_003335-T1
GF00000392	TFCN17333P6_003987-T1, TFCN17333P6_001782-T1, TFCN17333P6_003981-T1, TFCN17333P6_001787-T1
GF00000393	TFCN17333P6_014820-T1, TFCN17333P6_001056-T1, TFCN17333P6_012928-T1, TFCN17333P6_005009-T1
GF00000394	TFCN17333P6_000796-T1, TFCN17333P6_005663-T1, TFCN17333P6_005679-T1, TFCN17333P6_005678-T1
GF00000395	TFCN17333P6_002022-T1, TFCN17333P6_005470-T1, TFCN17333P6_001373-T1, TFCN17333P6_013064-T1
GF00000396	TFCN17333P6_006264-T1, TFCN17333P6_003418-T1, TFCN17333P6_006191-T1, TFCN17333P6_014471-T1
GF00000397	TFCN17333P6_007892-T1, TFCN17333P6_007672-T1, TFCN17333P6_006681-T1, TFCN17333P6_001149-T1
GF00000398	TFCN17333P6_006859-T1, TFCN17333P6_004184-T1, TFCN17333P6_006857-T1, TFCN17333P6_004178-T1
GF00000399	TFCN17333P6_000933-T1, TFCN17333P6_005030-T1, TFCN17333P6_000934-T1, TFCN17333P6_005031-T1
GF00000400	TFCN17333P6_001625-T1, TFCN17333P6_002235-T1, TFCN17333P6_012657-T1, TFCN17333P6_013532-T1
GF00000401	TFCN17333P6_001705-T1, TFCN17333P6_003897-T1, TFCN17333P6_000962-T1, TFCN17333P6_007147-T1
GF00000402	TFCN17333P6_000248-T1, TFCN17333P6_010463-T1, TFCN17333P6_005952-T1, TFCN17333P6_000389-T1
GF00000403	TFCN17333P6_002650-T1, TFCN17333P6_002653-T1, TFCN17333P6_003576-T1, TFCN17333P6_003579-T1
GF00000404	TFCN17333P6_001979-T1, TFCN17333P6_002374-T1, TFCN17333P6_014316-T1, TFCN17333P6_014333-T1
GF00000405	TFCN17333P6_003993-T1, TFCN17333P6_001794-T1, TFCN17333P6_003992-T1, TFCN17333P6_001793-T1
GF00000406	TFCN17333P6_008816-T1, TFCN17333P6_002355-T1, TFCN17333P6_001606-T1, TFCN17333P6_012013-T1
GF00000407	TFCN17333P6_006855-T1, TFCN17333P6_004181-T1, TFCN17333P6_006856-T1, TFCN17333P6_004182-T1
GF00000408	TFCN17333P6_012462-T1, TFCN17333P6_005210-T1, TFCN17333P6_014257-T1, TFCN17333P6_014213-T1
GF00000409	TFCN17333P6_001985-T1, TFCN17333P6_005423-T1, TFCN17333P6_014324-T1, TFCN17333P6_014325-T1
GF00000410	TFCN17333P6_005944-T1, TFCN17333P6_000382-T1, TFCN17333P6_010921-T1, TFCN17333P6_003789-T1
GF00000411	TFCN17333P6_004568-T1, TFCN17333P6_007011-T1, TFCN17333P6_004567-T1, TFCN17333P6_007010-T1
GF00000412	TFCN17333P6_003942-T1, TFCN17333P6_001745-T1, TFCN17333P6_001744-T1, TFCN17333P6_003941-T1
GF00000413	TFCN17333P6_007456-T1, TFCN17333P6_000736-T1, TFCN17333P6_005723-T1, TFCN17333P6_011389-T1
GF00000414	TFCN17333P6_008237-T1, TFCN17333P6_011536-T1, TFCN17333P6_014866-T1, TFCN17333P6_010051-T1
GF00000415	TFCN17333P6_011831-T1, TFCN17333P6_008413-T1, TFCN17333P6_012285-T1, TFCN17333P6_006482-T1
GF00000416	TFCN17333P6_009105-T1, TFCN17333P6_007419-T1, TFCN17333P6_013860-T1, TFCN17333P6_012820-T1
GF00000417	TFCN17333P6_014600-T1, TFCN17333P6_013003-T1, TFCN17333P6_013004-T1, TFCN17333P6_014601-T1
GF00000418	TFCN17333P6_013141-T1, TFCN17333P6_014870-T1, TFCN17333P6_006506-T1, TFCN17333P6_013309-T1
GF00000419	TFCN17333P6_001828-T1, TFCN17333P6_010791-T1, TFCN17333P6_010784-T1, TFCN17333P6_001821-T1
GF00000420	TFCN17333P6_000843-T1, TFCN17333P6_008664-T1, TFCN17333P6_000716-T1, TFCN17333P6_014062-T1
GF00000421	TFCN17333P6_013325-T1, TFCN17333P6_006337-T1, TFCN17333P6_002134-T1, TFCN17333P6_002095-T1
GF00000422	TFCN17333P6_009222-T1, TFCN17333P6_008252-T1, TFCN17333P6_008251-T1, TFCN17333P6_009223-T1
GF00000423	TFCN17333P6_002454-T1, TFCN17333P6_003222-T1, TFCN17333P6_003223-T1
GF00000424	TFCN17333P6_003775-T1, TFCN17333P6_010936-T1, TFCN17333P6_003774-T1
GF00000425	TFCN17333P6_000501-T1, TFCN17333P6_004761-T1, TFCN17333P6_004762-T1
GF00000426	TFCN17333P6_004513-T1, TFCN17333P6_010230-T1, TFCN17333P6_004755-T1
GF00000427	TFCN17333P6_011909-T1, TFCN17333P6_007103-T1, TFCN17333P6_011910-T1
GF00000428	TFCN17333P6_012761-T1, TFCN17333P6_006456-T1, TFCN17333P6_012762-T1
GF00000429	TFCN17333P6_002633-T1, TFCN17333P6_010975-T1, TFCN17333P6_003596-T1
GF00000430	TFCN17333P6_007872-T1, TFCN17333P6_007695-T1, TFCN17333P6_007696-T1
GF00000431	TFCN17333P6_009618-T1, TFCN17333P6_003728-T1, TFCN17333P6_009617-T1
GF00000432	TFCN17333P6_002321-T1, TFCN17333P6_008774-T1, TFCN17333P6_013181-T1
GF00000433	TFCN17333P6_011415-T1, TFCN17333P6_002822-T1, TFCN17333P6_002904-T1
GF00000434	TFCN17333P6_008557-T1, TFCN17333P6_006607-T1, TFCN17333P6_008558-T1
GF00000435	TFCN17333P6_010042-T1, TFCN17333P6_011657-T1, TFCN17333P6_008281-T1
GF00000436	TFCN17333P6_011177-T1, TFCN17333P6_007754-T1, TFCN17333P6_011178-T1
GF00000437	TFCN17333P6_011123-T1, TFCN17333P6_011024-T1, TFCN17333P6_011025-T1
GF00000438	TFCN17333P6_004833-T1, TFCN17333P6_011685-T1, TFCN17333P6_014890-T1
GF00000439	TFCN17333P6_000287-T1, TFCN17333P6_014304-T1, TFCN17333P6_000288-T1
GF00000440	TFCN17333P6_003818-T1, TFCN17333P6_009356-T1, TFCN17333P6_014671-T1
GF00000441	TFCN17333P6_013949-T1, TFCN17333P6_004916-T1, TFCN17333P6_013948-T1
GF00000442	TFCN17333P6_011131-T1, TFCN17333P6_011020-T1, TFCN17333P6_011019-T1
GF00000443	TFCN17333P6_012924-T1, TFCN17333P6_010690-T1, TFCN17333P6_012925-T1
GF00000444	TFCN17333P6_001830-T1, TFCN17333P6_010794-T1, TFCN17333P6_010793-T1
GF00000445	TFCN17333P6_011051-T1, TFCN17333P6_012487-T1, TFCN17333P6_012486-T1
GF00000446	TFCN17333P6_008970-T1, TFCN17333P6_014810-T1, TFCN17333P6_014460-T1
GF00000447	TFCN17333P6_007774-T1, TFCN17333P6_011158-T1, TFCN17333P6_014590-T1
GF00000448	TFCN17333P6_006769-T1, TFCN17333P6_001429-T1, TFCN17333P6_001430-T1
GF00000449	TFCN17333P6_014378-T1, TFCN17333P6_007372-T1, TFCN17333P6_007371-T1
GF00000450	TFCN17333P6_005926-T1, TFCN17333P6_004372-T1, TFCN17333P6_012365-T1
GF00000451	TFCN17333P6_011124-T1, TFCN17333P6_011261-T1, TFCN17333P6_003336-T1
GF00000452	TFCN17333P6_014421-T1, TFCN17333P6_008274-T1, TFCN17333P6_008275-T1
GF00000453	TFCN17333P6_009848-T1, TFCN17333P6_000091-T1, TFCN17333P6_000090-T1
GF00000454	TFCN17333P6_001380-T1, TFCN17333P6_013304-T1, TFCN17333P6_013307-T1
GF00000455	TFCN17333P6_003719-T1, TFCN17333P6_009605-T1, TFCN17333P6_009604-T1
GF00000456	TFCN17333P6_006758-T1, TFCN17333P6_001445-T1, TFCN17333P6_006759-T1
GF00000457	TFCN17333P6_006375-T1, TFCN17333P6_002174-T1, TFCN17333P6_006376-T1
GF00000458	TFCN17333P6_014393-T1, TFCN17333P6_001876-T1, TFCN17333P6_001875-T1
GF00000459	TFCN17333P6_001037-T1, TFCN17333P6_012947-T1, TFCN17333P6_007219-T1
GF00000460	TFCN17333P6_012821-T1, TFCN17333P6_011006-T1, TFCN17333P6_013859-T1
GF00000461	TFCN17333P6_000385-T1, TFCN17333P6_005948-T1, TFCN17333P6_005947-T1
GF00000462	TFCN17333P6_007939-T1, TFCN17333P6_013804-T1, TFCN17333P6_013803-T1
GF00000463	TFCN17333P6_000536-T1, TFCN17333P6_005576-T1, TFCN17333P6_005575-T1
GF00000464	TFCN17333P6_002849-T1, TFCN17333P6_010720-T1, TFCN17333P6_002875-T1
GF00000465	TFCN17333P6_014576-T1, TFCN17333P6_014573-T1, TFCN17333P6_011370-T1
GF00000466	TFCN17333P6_005584-T1, TFCN17333P6_000544-T1, TFCN17333P6_000545-T1
GF00000467	TFCN17333P6_005381-T1, TFCN17333P6_004086-T1, TFCN17333P6_004087-T1
GF00000468	TFCN17333P6_002851-T1, TFCN17333P6_010718-T1, TFCN17333P6_002872-T1
GF00000469	TFCN17333P6_006220-T1, TFCN17333P6_006292-T1, TFCN17333P6_013594-T1
GF00000470	TFCN17333P6_003101-T1, TFCN17333P6_005256-T1, TFCN17333P6_009026-T1
GF00000471	TFCN17333P6_002294-T1, TFCN17333P6_011479-T1, TFCN17333P6_002293-T1
GF00000472	TFCN17333P6_013698-T1, TFCN17333P6_008458-T1, TFCN17333P6_008457-T1
GF00000473	TFCN17333P6_007017-T1, TFCN17333P6_004573-T1, TFCN17333P6_010250-T1
GF00000474	TFCN17333P6_011936-T1, TFCN17333P6_007127-T1, TFCN17333P6_011935-T1
GF00000475	TFCN17333P6_011296-T1, TFCN17333P6_008051-T1, TFCN17333P6_011295-T1
GF00000476	TFCN17333P6_012749-T1, TFCN17333P6_000346-T1, TFCN17333P6_000345-T1
GF00000477	TFCN17333P6_002858-T1, TFCN17333P6_010711-T1, TFCN17333P6_002865-T1
GF00000478	TFCN17333P6_005044-T1, TFCN17333P6_011764-T1, TFCN17333P6_014017-T1
GF00000479	TFCN17333P6_000115-T1, TFCN17333P6_009541-T1, TFCN17333P6_009540-T1
GF00000480	TFCN17333P6_003134-T1, TFCN17333P6_009061-T1, TFCN17333P6_005289-T1
GF00000481	TFCN17333P6_001337-T1, TFCN17333P6_012218-T1, TFCN17333P6_001336-T1
GF00000482	TFCN17333P6_006828-T1, TFCN17333P6_006829-T1, TFCN17333P6_004207-T1
GF00000483	TFCN17333P6_004451-T1, TFCN17333P6_006890-T1, TFCN17333P6_008823-T1
GF00000484	TFCN17333P6_007040-T1, TFCN17333P6_010269-T1, TFCN17333P6_010268-T1
GF00000485	TFCN17333P6_000509-T1, TFCN17333P6_004767-T1, TFCN17333P6_000510-T1
GF00000486	TFCN17333P6_005166-T1, TFCN17333P6_011589-T1, TFCN17333P6_011588-T1
GF00000487	TFCN17333P6_013871-T1, TFCN17333P6_012810-T1, TFCN17333P6_013872-T1
GF00000488	TFCN17333P6_001230-T1, TFCN17333P6_002781-T1, TFCN17333P6_001229-T1
GF00000489	TFCN17333P6_009571-T1, TFCN17333P6_000143-T1, TFCN17333P6_009572-T1
GF00000490	TFCN17333P6_003606-T1, TFCN17333P6_006056-T1, TFCN17333P6_002616-T1
GF00000491	TFCN17333P6_002902-T1, TFCN17333P6_002824-T1, TFCN17333P6_011413-T1
GF00000492	TFCN17333P6_001739-T1, TFCN17333P6_003935-T1, TFCN17333P6_003936-T1
GF00000493	TFCN17333P6_014315-T1, TFCN17333P6_000297-T1, TFCN17333P6_013633-T1
GF00000494	TFCN17333P6_009248-T1, TFCN17333P6_002373-T1, TFCN17333P6_008801-T1
GF00000495	TFCN17333P6_012346-T1, TFCN17333P6_007086-T1, TFCN17333P6_007087-T1
GF00000496	TFCN17333P6_002067-T1, TFCN17333P6_005510-T1, TFCN17333P6_005509-T1
GF00000497	TFCN17333P6_001790-T1, TFCN17333P6_003990-T1, TFCN17333P6_001791-T1
GF00000498	TFCN17333P6_011484-T1, TFCN17333P6_002300-T1, TFCN17333P6_002299-T1
GF00000499	TFCN17333P6_002919-T1, TFCN17333P6_002808-T1, TFCN17333P6_011430-T1
GF00000500	TFCN17333P6_009700-T1, TFCN17333P6_008266-T1, TFCN17333P6_009699-T1
GF00000501	TFCN17333P6_011468-T1, TFCN17333P6_002282-T1, TFCN17333P6_003620-T1
GF00000502	TFCN17333P6_000957-T1, TFCN17333P6_007142-T1, TFCN17333P6_014620-T1
GF00000503	TFCN17333P6_003376-T1, TFCN17333P6_013787-T1, TFCN17333P6_014446-T1
GF00000504	TFCN17333P6_003762-T1, TFCN17333P6_010951-T1, TFCN17333P6_010950-T1
GF00000505	TFCN17333P6_001165-T1, TFCN17333P6_006665-T1, TFCN17333P6_010967-T1
GF00000506	TFCN17333P6_001700-T1, TFCN17333P6_003892-T1, TFCN17333P6_001699-T1
GF00000507	TFCN17333P6_010497-T1, TFCN17333P6_010213-T1, TFCN17333P6_010212-T1
GF00000508	TFCN17333P6_013153-T1, TFCN17333P6_006517-T1, TFCN17333P6_010597-T1
GF00000509	TFCN17333P6_008170-T1, TFCN17333P6_003477-T1, TFCN17333P6_003476-T1
GF00000510	TFCN17333P6_004879-T1, TFCN17333P6_012208-T1, TFCN17333P6_012153-T1
GF00000511	TFCN17333P6_008589-T1, TFCN17333P6_009186-T1, TFCN17333P6_009183-T1
GF00000512	TFCN17333P6_010892-T1, TFCN17333P6_000191-T1, TFCN17333P6_000190-T1
GF00000513	TFCN17333P6_000360-T1, TFCN17333P6_012733-T1, TFCN17333P6_012734-T1
GF00000514	TFCN17333P6_011174-T1, TFCN17333P6_007758-T1, TFCN17333P6_007757-T1
GF00000515	TFCN17333P6_014508-T1, TFCN17333P6_003344-T1, TFCN17333P6_012270-T1
GF00000516	TFCN17333P6_013576-T1, TFCN17333P6_006309-T1, TFCN17333P6_014805-T1
GF00000517	TFCN17333P6_000916-T1, TFCN17333P6_005010-T1, TFCN17333P6_009752-T1
GF00000518	TFCN17333P6_010662-T1, TFCN17333P6_004309-T1, TFCN17333P6_004308-T1
GF00000519	TFCN17333P6_002914-T1, TFCN17333P6_002813-T1, TFCN17333P6_011426-T1
GF00000520	TFCN17333P6_001400-T1, TFCN17333P6_007674-T1, TFCN17333P6_006797-T1
GF00000521	TFCN17333P6_000768-T1, TFCN17333P6_005689-T1, TFCN17333P6_005690-T1
GF00000522	TFCN17333P6_006993-T1, TFCN17333P6_007501-T1, TFCN17333P6_010053-T1
GF00000523	TFCN17333P6_002886-T1, TFCN17333P6_002840-T1, TFCN17333P6_010728-T1
GF00000524	TFCN17333P6_000279-T1, TFCN17333P6_010428-T1, TFCN17333P6_010429-T1
GF00000525	TFCN17333P6_011966-T1, TFCN17333P6_008307-T1, TFCN17333P6_008308-T1
GF00000526	TFCN17333P6_002831-T1, TFCN17333P6_002895-T1, TFCN17333P6_011407-T1
GF00000527	TFCN17333P6_000898-T1, TFCN17333P6_009770-T1, TFCN17333P6_011138-T1
GF00000528	TFCN17333P6_013606-T1, TFCN17333P6_009490-T1, TFCN17333P6_013605-T1
GF00000529	TFCN17333P6_008682-T1, TFCN17333P6_000733-T1, TFCN17333P6_014877-T1
GF00000530	TFCN17333P6_011412-T1, TFCN17333P6_002900-T1, TFCN17333P6_002826-T1
GF00000531	TFCN17333P6_014200-T1, TFCN17333P6_002975-T1, TFCN17333P6_010972-T1
GF00000532	TFCN17333P6_001218-T1, TFCN17333P6_006615-T1, TFCN17333P6_002794-T1
GF00000533	TFCN17333P6_000945-T1, TFCN17333P6_005041-T1, TFCN17333P6_005042-T1
GF00000534	TFCN17333P6_009027-T1, TFCN17333P6_003102-T1, TFCN17333P6_005257-T1
GF00000535	TFCN17333P6_000225-T1, TFCN17333P6_013234-T1, TFCN17333P6_000226-T1
GF00000536	TFCN17333P6_010195-T1, TFCN17333P6_008080-T1, TFCN17333P6_010194-T1
GF00000537	TFCN17333P6_010037-T1, TFCN17333P6_011652-T1, TFCN17333P6_012706-T1
GF00000538	TFCN17333P6_002801-T1, TFCN17333P6_002926-T1, TFCN17333P6_011436-T1
GF00000539	TFCN17333P6_014566-T1, TFCN17333P6_008729-T1, TFCN17333P6_003016-T1
GF00000540	TFCN17333P6_011980-T1, TFCN17333P6_008291-T1, TFCN17333P6_011979-T1
GF00000541	TFCN17333P6_001433-T1, TFCN17333P6_006765-T1, TFCN17333P6_006766-T1
GF00000542	TFCN17333P6_011698-T1, TFCN17333P6_006535-T1, TFCN17333P6_004820-T1
GF00000543	TFCN17333P6_008359-T1, TFCN17333P6_001904-T1, TFCN17333P6_001891-T1
GF00000544	TFCN17333P6_002774-T1, TFCN17333P6_001234-T1, TFCN17333P6_002775-T1
GF00000545	TFCN17333P6_005290-T1, TFCN17333P6_009062-T1, TFCN17333P6_003135-T1
GF00000546	TFCN17333P6_007911-T1, TFCN17333P6_007511-T1, TFCN17333P6_007512-T1
GF00000547	TFCN17333P6_010338-T1, TFCN17333P6_000599-T1, TFCN17333P6_010337-T1
GF00000548	TFCN17333P6_013270-T1, TFCN17333P6_009007-T1, TFCN17333P6_011368-T1
GF00000549	TFCN17333P6_007118-T1, TFCN17333P6_011926-T1, TFCN17333P6_007119-T1
GF00000550	TFCN17333P6_004122-T1, TFCN17333P6_005417-T1, TFCN17333P6_004123-T1
GF00000551	TFCN17333P6_012890-T1, TFCN17333P6_003315-T1, TFCN17333P6_003316-T1
GF00000552	TFCN17333P6_001355-T1, TFCN17333P6_013080-T1, TFCN17333P6_012236-T1
GF00000553	TFCN17333P6_009619-T1, TFCN17333P6_003729-T1, TFCN17333P6_009620-T1
GF00000554	TFCN17333P6_011432-T1, TFCN17333P6_002805-T1, TFCN17333P6_002921-T1
GF00000555	TFCN17333P6_003871-T1, TFCN17333P6_012465-T1, TFCN17333P6_005207-T1
GF00000556	TFCN17333P6_003194-T1, TFCN17333P6_002424-T1, TFCN17333P6_002427-T1
GF00000557	TFCN17333P6_005506-T1, TFCN17333P6_014361-T1, TFCN17333P6_011325-T1
GF00000558	TFCN17333P6_012815-T1, TFCN17333P6_013865-T1, TFCN17333P6_013866-T1
GF00000559	TFCN17333P6_006973-T1, TFCN17333P6_004538-T1, TFCN17333P6_006972-T1
GF00000560	TFCN17333P6_013184-T1, TFCN17333P6_001540-T1, TFCN17333P6_012637-T1
GF00000561	TFCN17333P6_011242-T1, TFCN17333P6_014698-T1, TFCN17333P6_014699-T1
GF00000562	TFCN17333P6_012980-T1, TFCN17333P6_003557-T1, TFCN17333P6_012981-T1
GF00000563	TFCN17333P6_002897-T1, TFCN17333P6_011409-T1, TFCN17333P6_002829-T1
GF00000564	TFCN17333P6_013988-T1, TFCN17333P6_006572-T1, TFCN17333P6_006573-T1
GF00000565	TFCN17333P6_013116-T1, TFCN17333P6_008994-T1, TFCN17333P6_008993-T1
GF00000566	TFCN17333P6_000990-T1, TFCN17333P6_007173-T1, TFCN17333P6_007172-T1
GF00000567	TFCN17333P6_013366-T1, TFCN17333P6_001486-T1, TFCN17333P6_013989-T1
GF00000568	TFCN17333P6_000988-T1, TFCN17333P6_007171-T1, TFCN17333P6_000989-T1
GF00000569	TFCN17333P6_004889-T1, TFCN17333P6_004862-T1, TFCN17333P6_004861-T1
GF00000570	TFCN17333P6_003826-T1, TFCN17333P6_009334-T1, TFCN17333P6_009333-T1
GF00000571	TFCN17333P6_001442-T1, TFCN17333P6_006754-T1, TFCN17333P6_006755-T1
GF00000572	TFCN17333P6_000172-T1, TFCN17333P6_010908-T1, TFCN17333P6_000171-T1
GF00000573	TFCN17333P6_014562-T1, TFCN17333P6_003012-T1, TFCN17333P6_008733-T1
GF00000574	TFCN17333P6_013561-T1, TFCN17333P6_012323-T1, TFCN17333P6_012324-T1
GF00000575	TFCN17333P6_002973-T1, TFCN17333P6_014203-T1, TFCN17333P6_014204-T1
GF00000576	TFCN17333P6_007694-T1, TFCN17333P6_007873-T1, TFCN17333P6_007693-T1
GF00000577	TFCN17333P6_000622-T1, TFCN17333P6_010311-T1, TFCN17333P6_014888-T1
GF00000578	TFCN17333P6_011402-T1, TFCN17333P6_002834-T1, TFCN17333P6_002892-T1
GF00000579	TFCN17333P6_002795-T1, TFCN17333P6_002931-T1, TFCN17333P6_011441-T1
GF00000580	TFCN17333P6_014447-T1, TFCN17333P6_013206-T1, TFCN17333P6_014885-T1
GF00000581	TFCN17333P6_014399-T1, TFCN17333P6_006058-T1, TFCN17333P6_014400-T1
GF00000582	TFCN17333P6_014355-T1, TFCN17333P6_012667-T1, TFCN17333P6_011361-T1
GF00000583	TFCN17333P6_013744-T1, TFCN17333P6_005072-T1, TFCN17333P6_014886-T1
GF00000584	TFCN17333P6_004095-T1, TFCN17333P6_005390-T1, TFCN17333P6_005389-T1
GF00000585	TFCN17333P6_011237-T1, TFCN17333P6_014864-T1, TFCN17333P6_014693-T1
GF00000586	TFCN17333P6_013347-T1, TFCN17333P6_012436-T1, TFCN17333P6_012435-T1
GF00000587	TFCN17333P6_003373-T1, TFCN17333P6_012239-T1, TFCN17333P6_012238-T1
GF00000588	TFCN17333P6_000611-T1, TFCN17333P6_010322-T1, TFCN17333P6_011000-T1
GF00000589	TFCN17333P6_005807-T1, TFCN17333P6_001508-T1, TFCN17333P6_001509-T1
GF00000590	TFCN17333P6_006070-T1, TFCN17333P6_013686-T1, TFCN17333P6_006071-T1
GF00000591	TFCN17333P6_005303-T1, TFCN17333P6_011823-T1, TFCN17333P6_005304-T1
GF00000592	TFCN17333P6_009235-T1, TFCN17333P6_011712-T1, TFCN17333P6_011711-T1
GF00000593	TFCN17333P6_009255-T1, TFCN17333P6_011729-T1, TFCN17333P6_011732-T1
GF00000594	TFCN17333P6_002810-T1, TFCN17333P6_002917-T1, TFCN17333P6_011429-T1
GF00000595	TFCN17333P6_006439-T1, TFCN17333P6_012865-T1, TFCN17333P6_012866-T1
GF00000596	TFCN17333P6_001726-T1, TFCN17333P6_003917-T1, TFCN17333P6_001725-T1
GF00000597	TFCN17333P6_000894-T1, TFCN17333P6_000893-T1, TFCN17333P6_009774-T1
GF00000598	TFCN17333P6_007513-T1, TFCN17333P6_007912-T1, TFCN17333P6_007514-T1
GF00000599	TFCN17333P6_003380-T1, TFCN17333P6_013791-T1, TFCN17333P6_008432-T1
GF00000600	TFCN17333P6_000922-T1, TFCN17333P6_005018-T1, TFCN17333P6_005017-T1
GF00000601	TFCN17333P6_010518-T1, TFCN17333P6_007359-T1, TFCN17333P6_007362-T1
GF00000602	TFCN17333P6_010425-T1, TFCN17333P6_001439-T1, TFCN17333P6_006763-T1
GF00000603	TFCN17333P6_007438-T1, TFCN17333P6_009087-T1, TFCN17333P6_007437-T1
GF00000604	TFCN17333P6_010665-T1, TFCN17333P6_008043-T1, TFCN17333P6_011304-T1
GF00000605	TFCN17333P6_007796-T1, TFCN17333P6_001386-T1, TFCN17333P6_013298-T1
GF00000606	TFCN17333P6_000208-T1, TFCN17333P6_010877-T1, TFCN17333P6_010878-T1
GF00000607	TFCN17333P6_009515-T1, TFCN17333P6_010614-T1, TFCN17333P6_010615-T1
GF00000608	TFCN17333P6_010054-T1, TFCN17333P6_012502-T1, TFCN17333P6_012527-T1
GF00000609	TFCN17333P6_000023-T1, TFCN17333P6_013659-T1, TFCN17333P6_013658-T1
GF00000610	TFCN17333P6_014327-T1, TFCN17333P6_001983-T1, TFCN17333P6_014322-T1
GF00000611	TFCN17333P6_002518-T1, TFCN17333P6_006605-T1, TFCN17333P6_008555-T1
GF00000612	TFCN17333P6_005291-T1, TFCN17333P6_003136-T1, TFCN17333P6_009065-T1
GF00000613	TFCN17333P6_008311-T1, TFCN17333P6_011963-T1, TFCN17333P6_011962-T1
GF00000614	TFCN17333P6_005816-T1, TFCN17333P6_001519-T1, TFCN17333P6_001520-T1
GF00000615	TFCN17333P6_004946-T1, TFCN17333P6_001111-T1, TFCN17333P6_001110-T1
GF00000616	TFCN17333P6_003745-T1, TFCN17333P6_012739-T1, TFCN17333P6_009636-T1
GF00000617	TFCN17333P6_011519-T1, TFCN17333P6_000654-T1, TFCN17333P6_011520-T1
GF00000618	TFCN17333P6_001152-T1, TFCN17333P6_006678-T1, TFCN17333P6_006677-T1
GF00000619	TFCN17333P6_013468-T1, TFCN17333P6_014500-T1, TFCN17333P6_014499-T1
GF00000620	TFCN17333P6_011709-T1, TFCN17333P6_009233-T1, TFCN17333P6_007866-T1
GF00000621	TFCN17333P6_005013-T1, TFCN17333P6_000918-T1, TFCN17333P6_005012-T1
GF00000622	TFCN17333P6_014757-T1, TFCN17333P6_006470-T1, TFCN17333P6_012779-T1
GF00000623	TFCN17333P6_011056-T1, TFCN17333P6_012481-T1, TFCN17333P6_012482-T1
GF00000624	TFCN17333P6_001011-T1, TFCN17333P6_007193-T1, TFCN17333P6_007194-T1
GF00000625	TFCN17333P6_004544-T1, TFCN17333P6_006979-T1, TFCN17333P6_006980-T1
GF00000626	TFCN17333P6_008600-T1, TFCN17333P6_009171-T1, TFCN17333P6_009172-T1
GF00000627	TFCN17333P6_001484-T1, TFCN17333P6_013363-T1, TFCN17333P6_013364-T1
GF00000628	TFCN17333P6_006626-T1, TFCN17333P6_001203-T1, TFCN17333P6_006625-T1
GF00000629	TFCN17333P6_003013-T1, TFCN17333P6_014563-T1, TFCN17333P6_008732-T1
GF00000630	TFCN17333P6_005380-T1, TFCN17333P6_004084-T1, TFCN17333P6_004085-T1
GF00000631	TFCN17333P6_005266-T1, TFCN17333P6_003111-T1, TFCN17333P6_009037-T1
GF00000632	TFCN17333P6_009442-T1, TFCN17333P6_007997-T1, TFCN17333P6_007998-T1
GF00000633	TFCN17333P6_010754-T1, TFCN17333P6_005122-T1, TFCN17333P6_006028-T1
GF00000634	TFCN17333P6_009055-T1, TFCN17333P6_003128-T1, TFCN17333P6_005283-T1
GF00000635	TFCN17333P6_006124-T1, TFCN17333P6_011197-T1, TFCN17333P6_011196-T1
GF00000636	TFCN17333P6_011981-T1, TFCN17333P6_008289-T1, TFCN17333P6_008290-T1
GF00000637	TFCN17333P6_001933-T1, TFCN17333P6_008374-T1, TFCN17333P6_008375-T1
GF00000638	TFCN17333P6_004352-T1, TFCN17333P6_008923-T1, TFCN17333P6_004353-T1
GF00000639	TFCN17333P6_009047-T1, TFCN17333P6_003120-T1, TFCN17333P6_005275-T1
GF00000640	TFCN17333P6_000812-T1, TFCN17333P6_005648-T1, TFCN17333P6_000814-T1
GF00000641	TFCN17333P6_013706-T1, TFCN17333P6_004153-T1, TFCN17333P6_006889-T1
GF00000642	TFCN17333P6_013217-T1, TFCN17333P6_000245-T1, TFCN17333P6_013216-T1
GF00000643	TFCN17333P6_010722-T1, TFCN17333P6_002847-T1, TFCN17333P6_002878-T1
GF00000644	TFCN17333P6_005701-T1, TFCN17333P6_000756-T1, TFCN17333P6_000757-T1
GF00000645	TFCN17333P6_013688-T1, TFCN17333P6_006068-T1, TFCN17333P6_014410-T1
GF00000646	TFCN17333P6_006952-T1, TFCN17333P6_005532-T1, TFCN17333P6_005533-T1
GF00000647	TFCN17333P6_005676-T1, TFCN17333P6_000793-T1, TFCN17333P6_000792-T1
GF00000648	TFCN17333P6_001888-T1, TFCN17333P6_014529-T1, TFCN17333P6_001889-T1
GF00000649	TFCN17333P6_013795-T1, TFCN17333P6_003383-T1, TFCN17333P6_013794-T1
GF00000650	TFCN17333P6_009039-T1, TFCN17333P6_003113-T1, TFCN17333P6_005268-T1
GF00000651	TFCN17333P6_012421-T1, TFCN17333P6_008940-T1, TFCN17333P6_012422-T1
GF00000652	TFCN17333P6_013802-T1, TFCN17333P6_007938-T1, TFCN17333P6_014286-T1
GF00000653	TFCN17333P6_013971-T1, TFCN17333P6_006589-T1, TFCN17333P6_013970-T1
