	Rhodotorula_mucilaginosa_CHIFNET_14NJ214.cds.fa
GF00000363	CHIFNET14NJ214_002058-T1, CHIFNET14NJ214_003609-T1, CHIFNET14NJ214_012040-T1, CHIFNET14NJ214_003147-T1
GF00000364	CHIFNET14NJ214_015474-T1, CHIFNET14NJ214_008624-T1, CHIFNET14NJ214_007194-T1, CHIFNET14NJ214_014230-T1
GF00000365	CHIFNET14NJ214_000899-T1, CHIFNET14NJ214_004115-T1, CHIFNET14NJ214_014046-T1, CHIFNET14NJ214_013785-T1
GF00000366	CHIFNET14NJ214_005962-T1, CHIFNET14NJ214_008673-T1, CHIFNET14NJ214_015546-T1, CHIFNET14NJ214_015210-T1
GF00000367	CHIFNET14NJ214_012383-T1, CHIFNET14NJ214_002755-T1, CHIFNET14NJ214_002754-T1, CHIFNET14NJ214_012384-T1
GF00000368	CHIFNET14NJ214_007575-T1, CHIFNET14NJ214_001858-T1, CHIFNET14NJ214_005500-T1, CHIFNET14NJ214_015274-T1
GF00000369	CHIFNET14NJ214_001465-T1, CHIFNET14NJ214_000375-T1, CHIFNET14NJ214_015626-T1, CHIFNET14NJ214_015197-T1
GF00000370	CHIFNET14NJ214_012757-T1, CHIFNET14NJ214_000449-T1, CHIFNET14NJ214_000452-T1, CHIFNET14NJ214_012760-T1
GF00000371	CHIFNET14NJ214_007923-T1, CHIFNET14NJ214_015439-T1, CHIFNET14NJ214_013808-T1, CHIFNET14NJ214_006648-T1
GF00000372	CHIFNET14NJ214_006817-T1, CHIFNET14NJ214_010771-T1, CHIFNET14NJ214_004960-T1, CHIFNET14NJ214_006819-T1
GF00000373	CHIFNET14NJ214_014241-T1, CHIFNET14NJ214_007230-T1, CHIFNET14NJ214_001263-T1, CHIFNET14NJ214_001724-T1
GF00000374	CHIFNET14NJ214_000923-T1, CHIFNET14NJ214_013409-T1, CHIFNET14NJ214_008372-T1, CHIFNET14NJ214_008744-T1
GF00000375	CHIFNET14NJ214_009826-T1, CHIFNET14NJ214_006468-T1, CHIFNET14NJ214_006465-T1, CHIFNET14NJ214_013867-T1
GF00000376	CHIFNET14NJ214_004941-T1, CHIFNET14NJ214_004944-T1, CHIFNET14NJ214_007357-T1, CHIFNET14NJ214_007359-T1
GF00000377	CHIFNET14NJ214_012115-T1, CHIFNET14NJ214_006592-T1, CHIFNET14NJ214_001038-T1, CHIFNET14NJ214_003334-T1
GF00000378	CHIFNET14NJ214_011063-T1, CHIFNET14NJ214_011072-T1, CHIFNET14NJ214_011107-T1, CHIFNET14NJ214_004515-T1
GF00000379	CHIFNET14NJ214_010923-T1, CHIFNET14NJ214_002816-T1, CHIFNET14NJ214_002817-T1, CHIFNET14NJ214_010922-T1
GF00000380	CHIFNET14NJ214_002030-T1, CHIFNET14NJ214_002031-T1, CHIFNET14NJ214_004231-T1, CHIFNET14NJ214_004232-T1
GF00000381	CHIFNET14NJ214_009268-T1, CHIFNET14NJ214_007246-T1, CHIFNET14NJ214_011394-T1, CHIFNET14NJ214_008407-T1
GF00000382	CHIFNET14NJ214_003402-T1, CHIFNET14NJ214_010721-T1, CHIFNET14NJ214_007758-T1, CHIFNET14NJ214_011985-T1
GF00000383	CHIFNET14NJ214_000694-T1, CHIFNET14NJ214_008427-T1, CHIFNET14NJ214_000693-T1, CHIFNET14NJ214_008428-T1
GF00000384	CHIFNET14NJ214_014954-T1, CHIFNET14NJ214_014988-T1, CHIFNET14NJ214_014067-T1, CHIFNET14NJ214_014946-T1
GF00000385	CHIFNET14NJ214_013464-T1, CHIFNET14NJ214_012795-T1, CHIFNET14NJ214_000119-T1, CHIFNET14NJ214_005271-T1
GF00000386	CHIFNET14NJ214_007880-T1, CHIFNET14NJ214_003082-T1, CHIFNET14NJ214_003081-T1, CHIFNET14NJ214_007881-T1
GF00000387	CHIFNET14NJ214_003442-T1, CHIFNET14NJ214_010571-T1, CHIFNET14NJ214_001619-T1, CHIFNET14NJ214_005606-T1
GF00000388	CHIFNET14NJ214_004073-T1, CHIFNET14NJ214_003387-T1, CHIFNET14NJ214_014469-T1, CHIFNET14NJ214_005490-T1
GF00000389	CHIFNET14NJ214_014752-T1, CHIFNET14NJ214_015237-T1, CHIFNET14NJ214_010594-T1, CHIFNET14NJ214_010593-T1
GF00000390	CHIFNET14NJ214_002420-T1, CHIFNET14NJ214_015517-T1, CHIFNET14NJ214_011196-T1, CHIFNET14NJ214_014215-T1
GF00000391	CHIFNET14NJ214_005367-T1, CHIFNET14NJ214_005368-T1, CHIFNET14NJ214_011962-T1, CHIFNET14NJ214_011961-T1
GF00000392	CHIFNET14NJ214_008286-T1, CHIFNET14NJ214_004315-T1, CHIFNET14NJ214_003281-T1, CHIFNET14NJ214_004050-T1
GF00000393	CHIFNET14NJ214_009806-T1, CHIFNET14NJ214_008112-T1, CHIFNET14NJ214_011263-T1, CHIFNET14NJ214_012730-T1
GF00000394	CHIFNET14NJ214_007454-T1, CHIFNET14NJ214_011194-T1, CHIFNET14NJ214_001419-T1, CHIFNET14NJ214_011823-T1
GF00000395	CHIFNET14NJ214_013682-T1, CHIFNET14NJ214_011025-T1, CHIFNET14NJ214_015062-T1, CHIFNET14NJ214_015038-T1
GF00000396	CHIFNET14NJ214_005277-T1, CHIFNET14NJ214_004373-T1, CHIFNET14NJ214_005278-T1, CHIFNET14NJ214_004372-T1
GF00000397	CHIFNET14NJ214_012355-T1, CHIFNET14NJ214_006649-T1, CHIFNET14NJ214_013809-T1, CHIFNET14NJ214_012495-T1
GF00000398	CHIFNET14NJ214_001276-T1, CHIFNET14NJ214_008064-T1, CHIFNET14NJ214_002317-T1, CHIFNET14NJ214_006479-T1
GF00000399	CHIFNET14NJ214_006918-T1, CHIFNET14NJ214_015429-T1, CHIFNET14NJ214_015523-T1, CHIFNET14NJ214_015428-T1
GF00000400	CHIFNET14NJ214_015421-T1, CHIFNET14NJ214_015047-T1, CHIFNET14NJ214_014854-T1, CHIFNET14NJ214_014857-T1
GF00000401	CHIFNET14NJ214_013265-T1, CHIFNET14NJ214_010466-T1, CHIFNET14NJ214_003236-T1, CHIFNET14NJ214_000550-T1
GF00000402	CHIFNET14NJ214_009006-T1, CHIFNET14NJ214_009952-T1, CHIFNET14NJ214_009310-T1, CHIFNET14NJ214_009953-T1
GF00000403	CHIFNET14NJ214_014385-T1, CHIFNET14NJ214_012070-T1, CHIFNET14NJ214_011901-T1, CHIFNET14NJ214_011978-T1
GF00000404	CHIFNET14NJ214_002237-T1, CHIFNET14NJ214_005421-T1, CHIFNET14NJ214_002247-T1, CHIFNET14NJ214_012576-T1
GF00000405	CHIFNET14NJ214_007526-T1, CHIFNET14NJ214_014931-T1, CHIFNET14NJ214_014930-T1, CHIFNET14NJ214_012773-T1
GF00000406	CHIFNET14NJ214_014639-T1, CHIFNET14NJ214_010752-T1, CHIFNET14NJ214_009287-T1, CHIFNET14NJ214_006687-T1
GF00000407	CHIFNET14NJ214_013232-T1, CHIFNET14NJ214_013233-T1, CHIFNET14NJ214_008863-T1, CHIFNET14NJ214_008864-T1
GF00000408	CHIFNET14NJ214_011477-T1, CHIFNET14NJ214_010055-T1, CHIFNET14NJ214_013504-T1, CHIFNET14NJ214_010054-T1
GF00000409	CHIFNET14NJ214_000739-T1, CHIFNET14NJ214_008515-T1, CHIFNET14NJ214_010788-T1, CHIFNET14NJ214_013252-T1
GF00000410	CHIFNET14NJ214_004118-T1, CHIFNET14NJ214_000902-T1, CHIFNET14NJ214_004864-T1, CHIFNET14NJ214_000214-T1
GF00000411	CHIFNET14NJ214_003831-T1, CHIFNET14NJ214_003830-T1, CHIFNET14NJ214_001384-T1, CHIFNET14NJ214_001383-T1
GF00000412	CHIFNET14NJ214_001320-T1, CHIFNET14NJ214_014323-T1, CHIFNET14NJ214_012648-T1, CHIFNET14NJ214_005633-T1
GF00000413	CHIFNET14NJ214_008393-T1, CHIFNET14NJ214_014332-T1, CHIFNET14NJ214_006538-T1, CHIFNET14NJ214_001749-T1
GF00000414	CHIFNET14NJ214_015419-T1, CHIFNET14NJ214_015394-T1, CHIFNET14NJ214_004237-T1, CHIFNET14NJ214_002024-T1
GF00000415	CHIFNET14NJ214_007382-T1, CHIFNET14NJ214_013446-T1, CHIFNET14NJ214_007383-T1, CHIFNET14NJ214_013445-T1
GF00000416	CHIFNET14NJ214_003000-T1, CHIFNET14NJ214_007891-T1, CHIFNET14NJ214_003002-T1, CHIFNET14NJ214_007890-T1
GF00000417	CHIFNET14NJ214_014470-T1, CHIFNET14NJ214_002101-T1, CHIFNET14NJ214_006393-T1, CHIFNET14NJ214_013201-T1
GF00000418	CHIFNET14NJ214_014285-T1, CHIFNET14NJ214_013242-T1, CHIFNET14NJ214_013439-T1, CHIFNET14NJ214_014646-T1
GF00000419	CHIFNET14NJ214_003366-T1, CHIFNET14NJ214_001006-T1, CHIFNET14NJ214_015515-T1, CHIFNET14NJ214_003367-T1
GF00000420	CHIFNET14NJ214_000731-T1, CHIFNET14NJ214_008506-T1, CHIFNET14NJ214_007443-T1, CHIFNET14NJ214_013044-T1
GF00000421	CHIFNET14NJ214_004543-T1, CHIFNET14NJ214_001894-T1, CHIFNET14NJ214_001893-T1, CHIFNET14NJ214_004542-T1
GF00000422	CHIFNET14NJ214_004285-T1, CHIFNET14NJ214_000833-T1, CHIFNET14NJ214_006343-T1, CHIFNET14NJ214_008668-T1
GF00000423	CHIFNET14NJ214_008669-T1, CHIFNET14NJ214_006342-T1, CHIFNET14NJ214_010264-T1, CHIFNET14NJ214_006609-T1
GF00000424	CHIFNET14NJ214_013368-T1, CHIFNET14NJ214_010075-T1, CHIFNET14NJ214_011345-T1, CHIFNET14NJ214_013336-T1
GF00000425	CHIFNET14NJ214_007864-T1, CHIFNET14NJ214_015554-T1, CHIFNET14NJ214_015498-T1, CHIFNET14NJ214_015561-T1
GF00000426	CHIFNET14NJ214_009533-T1, CHIFNET14NJ214_014528-T1, CHIFNET14NJ214_013451-T1, CHIFNET14NJ214_013450-T1
GF00000427	CHIFNET14NJ214_008548-T1, CHIFNET14NJ214_008681-T1, CHIFNET14NJ214_010257-T1, CHIFNET14NJ214_006616-T1
GF00000428	CHIFNET14NJ214_014040-T1, CHIFNET14NJ214_014035-T1, CHIFNET14NJ214_014036-T1, CHIFNET14NJ214_014039-T1
GF00000429	CHIFNET14NJ214_003135-T1, CHIFNET14NJ214_003134-T1, CHIFNET14NJ214_015487-T1, CHIFNET14NJ214_015378-T1
GF00000430	CHIFNET14NJ214_014449-T1, CHIFNET14NJ214_014308-T1, CHIFNET14NJ214_001293-T1, CHIFNET14NJ214_007943-T1
GF00000431	CHIFNET14NJ214_005898-T1, CHIFNET14NJ214_012407-T1, CHIFNET14NJ214_012408-T1, CHIFNET14NJ214_005897-T1
GF00000432	CHIFNET14NJ214_006880-T1, CHIFNET14NJ214_009858-T1, CHIFNET14NJ214_002874-T1, CHIFNET14NJ214_000098-T1
GF00000433	CHIFNET14NJ214_005790-T1, CHIFNET14NJ214_004722-T1, CHIFNET14NJ214_006371-T1, CHIFNET14NJ214_013276-T1
GF00000434	CHIFNET14NJ214_003157-T1, CHIFNET14NJ214_012049-T1, CHIFNET14NJ214_015620-T1, CHIFNET14NJ214_001590-T1
GF00000435	CHIFNET14NJ214_009710-T1, CHIFNET14NJ214_000674-T1, CHIFNET14NJ214_000676-T1, CHIFNET14NJ214_009712-T1
GF00000436	CHIFNET14NJ214_002808-T1, CHIFNET14NJ214_012436-T1, CHIFNET14NJ214_011982-T1, CHIFNET14NJ214_011898-T1
GF00000437	CHIFNET14NJ214_005953-T1, CHIFNET14NJ214_003517-T1, CHIFNET14NJ214_001350-T1, CHIFNET14NJ214_006952-T1
GF00000438	CHIFNET14NJ214_000058-T1, CHIFNET14NJ214_006404-T1, CHIFNET14NJ214_000104-T1, CHIFNET14NJ214_002880-T1
GF00000439	CHIFNET14NJ214_013153-T1, CHIFNET14NJ214_011203-T1, CHIFNET14NJ214_006757-T1, CHIFNET14NJ214_015574-T1
GF00000440	CHIFNET14NJ214_009000-T1, CHIFNET14NJ214_011283-T1, CHIFNET14NJ214_009864-T1, CHIFNET14NJ214_006886-T1
GF00000441	CHIFNET14NJ214_001166-T1, CHIFNET14NJ214_001201-T1, CHIFNET14NJ214_001980-T1, CHIFNET14NJ214_000011-T1
GF00000442	CHIFNET14NJ214_011731-T1, CHIFNET14NJ214_001511-T1, CHIFNET14NJ214_001806-T1, CHIFNET14NJ214_011164-T1
GF00000443	CHIFNET14NJ214_011429-T1, CHIFNET14NJ214_012961-T1, CHIFNET14NJ214_013379-T1, CHIFNET14NJ214_013377-T1
GF00000444	CHIFNET14NJ214_007121-T1, CHIFNET14NJ214_015592-T1, CHIFNET14NJ214_009199-T1, CHIFNET14NJ214_015022-T1
GF00000445	CHIFNET14NJ214_014487-T1, CHIFNET14NJ214_013212-T1, CHIFNET14NJ214_010056-T1, CHIFNET14NJ214_011478-T1
GF00000446	CHIFNET14NJ214_014914-T1, CHIFNET14NJ214_014889-T1, CHIFNET14NJ214_014888-T1, CHIFNET14NJ214_009035-T1
GF00000447	CHIFNET14NJ214_004415-T1, CHIFNET14NJ214_011041-T1, CHIFNET14NJ214_004414-T1, CHIFNET14NJ214_011040-T1
GF00000448	CHIFNET14NJ214_006063-T1, CHIFNET14NJ214_007202-T1, CHIFNET14NJ214_011755-T1, CHIFNET14NJ214_008233-T1
GF00000449	CHIFNET14NJ214_005291-T1, CHIFNET14NJ214_004358-T1, CHIFNET14NJ214_012029-T1, CHIFNET14NJ214_002182-T1
GF00000450	CHIFNET14NJ214_000749-T1, CHIFNET14NJ214_012155-T1, CHIFNET14NJ214_000769-T1, CHIFNET14NJ214_000770-T1
GF00000451	CHIFNET14NJ214_002981-T1, CHIFNET14NJ214_008308-T1, CHIFNET14NJ214_012636-T1, CHIFNET14NJ214_001342-T1
GF00000452	CHIFNET14NJ214_003430-T1, CHIFNET14NJ214_011639-T1, CHIFNET14NJ214_013549-T1, CHIFNET14NJ214_014099-T1
GF00000453	CHIFNET14NJ214_012086-T1, CHIFNET14NJ214_005349-T1, CHIFNET14NJ214_013213-T1, CHIFNET14NJ214_014486-T1
GF00000454	CHIFNET14NJ214_006795-T1, CHIFNET14NJ214_010832-T1, CHIFNET14NJ214_003434-T1, CHIFNET14NJ214_010579-T1
GF00000455	CHIFNET14NJ214_013101-T1, CHIFNET14NJ214_001605-T1, CHIFNET14NJ214_013102-T1, CHIFNET14NJ214_001606-T1
GF00000456	CHIFNET14NJ214_007877-T1, CHIFNET14NJ214_003085-T1, CHIFNET14NJ214_007875-T1, CHIFNET14NJ214_003087-T1
GF00000457	CHIFNET14NJ214_002669-T1, CHIFNET14NJ214_013532-T1, CHIFNET14NJ214_014579-T1, CHIFNET14NJ214_013533-T1
GF00000458	CHIFNET14NJ214_007661-T1, CHIFNET14NJ214_002084-T1, CHIFNET14NJ214_006565-T1, CHIFNET14NJ214_010143-T1
GF00000459	CHIFNET14NJ214_003046-T1, CHIFNET14NJ214_012475-T1, CHIFNET14NJ214_005580-T1, CHIFNET14NJ214_005581-T1
GF00000460	CHIFNET14NJ214_010674-T1, CHIFNET14NJ214_012025-T1, CHIFNET14NJ214_004439-T1, CHIFNET14NJ214_011797-T1
GF00000461	CHIFNET14NJ214_003726-T1, CHIFNET14NJ214_005878-T1, CHIFNET14NJ214_003727-T1, CHIFNET14NJ214_005879-T1
GF00000462	CHIFNET14NJ214_007111-T1, CHIFNET14NJ214_015220-T1, CHIFNET14NJ214_000705-T1, CHIFNET14NJ214_015684-T1
GF00000463	CHIFNET14NJ214_012461-T1, CHIFNET14NJ214_013436-T1, CHIFNET14NJ214_002364-T1, CHIFNET14NJ214_015354-T1
GF00000464	CHIFNET14NJ214_001810-T1, CHIFNET14NJ214_010815-T1, CHIFNET14NJ214_011163-T1, CHIFNET14NJ214_001807-T1
GF00000465	CHIFNET14NJ214_001412-T1, CHIFNET14NJ214_001411-T1, CHIFNET14NJ214_011745-T1, CHIFNET14NJ214_011744-T1
GF00000466	CHIFNET14NJ214_004591-T1, CHIFNET14NJ214_015691-T1, CHIFNET14NJ214_014583-T1, CHIFNET14NJ214_009334-T1
GF00000467	CHIFNET14NJ214_004039-T1, CHIFNET14NJ214_008277-T1, CHIFNET14NJ214_003271-T1, CHIFNET14NJ214_004307-T1
GF00000468	CHIFNET14NJ214_002343-T1, CHIFNET14NJ214_012359-T1, CHIFNET14NJ214_010177-T1, CHIFNET14NJ214_009173-T1
GF00000469	CHIFNET14NJ214_006411-T1, CHIFNET14NJ214_000050-T1, CHIFNET14NJ214_006412-T1, CHIFNET14NJ214_000049-T1
GF00000470	CHIFNET14NJ214_005559-T1, CHIFNET14NJ214_011631-T1, CHIFNET14NJ214_013357-T1, CHIFNET14NJ214_013358-T1
GF00000471	CHIFNET14NJ214_001245-T1, CHIFNET14NJ214_013660-T1, CHIFNET14NJ214_006027-T1, CHIFNET14NJ214_008259-T1
GF00000472	CHIFNET14NJ214_014806-T1, CHIFNET14NJ214_014557-T1, CHIFNET14NJ214_011834-T1, CHIFNET14NJ214_005306-T1
GF00000473	CHIFNET14NJ214_000793-T1, CHIFNET14NJ214_012071-T1, CHIFNET14NJ214_014384-T1, CHIFNET14NJ214_008926-T1
GF00000474	CHIFNET14NJ214_002937-T1, CHIFNET14NJ214_002948-T1, CHIFNET14NJ214_009333-T1, CHIFNET14NJ214_009321-T1
GF00000475	CHIFNET14NJ214_012494-T1, CHIFNET14NJ214_009742-T1, CHIFNET14NJ214_009403-T1, CHIFNET14NJ214_009402-T1
GF00000476	CHIFNET14NJ214_000223-T1, CHIFNET14NJ214_006987-T1, CHIFNET14NJ214_010040-T1, CHIFNET14NJ214_004873-T1
GF00000477	CHIFNET14NJ214_012145-T1, CHIFNET14NJ214_011917-T1, CHIFNET14NJ214_014852-T1, CHIFNET14NJ214_006231-T1
GF00000478	CHIFNET14NJ214_015562-T1, CHIFNET14NJ214_015559-T1, CHIFNET14NJ214_014674-T1, CHIFNET14NJ214_007847-T1
GF00000479	CHIFNET14NJ214_015488-T1, CHIFNET14NJ214_005062-T1, CHIFNET14NJ214_015268-T1, CHIFNET14NJ214_008174-T1
GF00000480	CHIFNET14NJ214_014173-T1, CHIFNET14NJ214_011645-T1, CHIFNET14NJ214_014172-T1, CHIFNET14NJ214_011644-T1
GF00000481	CHIFNET14NJ214_004351-T1, CHIFNET14NJ214_013562-T1, CHIFNET14NJ214_005225-T1, CHIFNET14NJ214_012778-T1
GF00000482	CHIFNET14NJ214_007695-T1, CHIFNET14NJ214_007696-T1, CHIFNET14NJ214_002282-T1, CHIFNET14NJ214_002281-T1
GF00000483	CHIFNET14NJ214_007648-T1, CHIFNET14NJ214_004509-T1, CHIFNET14NJ214_007641-T1, CHIFNET14NJ214_012883-T1
GF00000484	CHIFNET14NJ214_001556-T1, CHIFNET14NJ214_008965-T1, CHIFNET14NJ214_008964-T1, CHIFNET14NJ214_001557-T1
GF00000485	CHIFNET14NJ214_013600-T1, CHIFNET14NJ214_001683-T1, CHIFNET14NJ214_007139-T1, CHIFNET14NJ214_008207-T1
GF00000486	CHIFNET14NJ214_008703-T1, CHIFNET14NJ214_000263-T1, CHIFNET14NJ214_000470-T1, CHIFNET14NJ214_013478-T1
GF00000487	CHIFNET14NJ214_009360-T1, CHIFNET14NJ214_003193-T1, CHIFNET14NJ214_012800-T1, CHIFNET14NJ214_015531-T1
GF00000488	CHIFNET14NJ214_010448-T1, CHIFNET14NJ214_015278-T1, CHIFNET14NJ214_015661-T1, CHIFNET14NJ214_015669-T1
GF00000489	CHIFNET14NJ214_007444-T1, CHIFNET14NJ214_008505-T1, CHIFNET14NJ214_013045-T1, CHIFNET14NJ214_000730-T1
GF00000490	CHIFNET14NJ214_007623-T1, CHIFNET14NJ214_007538-T1, CHIFNET14NJ214_007624-T1, CHIFNET14NJ214_007539-T1
GF00000491	CHIFNET14NJ214_005600-T1, CHIFNET14NJ214_014254-T1, CHIFNET14NJ214_014324-T1
GF00000492	CHIFNET14NJ214_005177-T1, CHIFNET14NJ214_002972-T1, CHIFNET14NJ214_008298-T1
GF00000493	CHIFNET14NJ214_000157-T1, CHIFNET14NJ214_008636-T1, CHIFNET14NJ214_008637-T1
GF00000494	CHIFNET14NJ214_014096-T1, CHIFNET14NJ214_012750-T1, CHIFNET14NJ214_013673-T1
GF00000495	CHIFNET14NJ214_002727-T1, CHIFNET14NJ214_006604-T1, CHIFNET14NJ214_006267-T1
GF00000496	CHIFNET14NJ214_006803-T1, CHIFNET14NJ214_010758-T1, CHIFNET14NJ214_015016-T1
GF00000497	CHIFNET14NJ214_001621-T1, CHIFNET14NJ214_005603-T1, CHIFNET14NJ214_005604-T1
GF00000498	CHIFNET14NJ214_007053-T1, CHIFNET14NJ214_010153-T1, CHIFNET14NJ214_009239-T1
GF00000499	CHIFNET14NJ214_009341-T1, CHIFNET14NJ214_006977-T1, CHIFNET14NJ214_004584-T1
GF00000500	CHIFNET14NJ214_010441-T1, CHIFNET14NJ214_014145-T1, CHIFNET14NJ214_014708-T1
GF00000501	CHIFNET14NJ214_000048-T1, CHIFNET14NJ214_014916-T1, CHIFNET14NJ214_006414-T1
GF00000502	CHIFNET14NJ214_000349-T1, CHIFNET14NJ214_003579-T1, CHIFNET14NJ214_003578-T1
GF00000503	CHIFNET14NJ214_014349-T1, CHIFNET14NJ214_014457-T1, CHIFNET14NJ214_013277-T1
GF00000504	CHIFNET14NJ214_007591-T1, CHIFNET14NJ214_008573-T1, CHIFNET14NJ214_010665-T1
GF00000505	CHIFNET14NJ214_009081-T1, CHIFNET14NJ214_014316-T1, CHIFNET14NJ214_007926-T1
GF00000506	CHIFNET14NJ214_009299-T1, CHIFNET14NJ214_006675-T1, CHIFNET14NJ214_011892-T1
GF00000507	CHIFNET14NJ214_010734-T1, CHIFNET14NJ214_013344-T1, CHIFNET14NJ214_015395-T1
GF00000508	CHIFNET14NJ214_012751-T1, CHIFNET14NJ214_006554-T1, CHIFNET14NJ214_013782-T1
GF00000509	CHIFNET14NJ214_005937-T1, CHIFNET14NJ214_010007-T1, CHIFNET14NJ214_014883-T1
GF00000510	CHIFNET14NJ214_013944-T1, CHIFNET14NJ214_011616-T1, CHIFNET14NJ214_011617-T1
GF00000511	CHIFNET14NJ214_010938-T1, CHIFNET14NJ214_014553-T1, CHIFNET14NJ214_005102-T1
GF00000512	CHIFNET14NJ214_002926-T1, CHIFNET14NJ214_007521-T1, CHIFNET14NJ214_013229-T1
GF00000513	CHIFNET14NJ214_004522-T1, CHIFNET14NJ214_009568-T1, CHIFNET14NJ214_012950-T1
GF00000514	CHIFNET14NJ214_014964-T1, CHIFNET14NJ214_008111-T1, CHIFNET14NJ214_008110-T1
GF00000515	CHIFNET14NJ214_001857-T1, CHIFNET14NJ214_005103-T1, CHIFNET14NJ214_005104-T1
GF00000516	CHIFNET14NJ214_007379-T1, CHIFNET14NJ214_013449-T1, CHIFNET14NJ214_007065-T1
GF00000517	CHIFNET14NJ214_007849-T1, CHIFNET14NJ214_004009-T1, CHIFNET14NJ214_009792-T1
GF00000518	CHIFNET14NJ214_013626-T1, CHIFNET14NJ214_015444-T1, CHIFNET14NJ214_007692-T1
GF00000519	CHIFNET14NJ214_001545-T1, CHIFNET14NJ214_012386-T1, CHIFNET14NJ214_013616-T1
GF00000520	CHIFNET14NJ214_002524-T1, CHIFNET14NJ214_008353-T1, CHIFNET14NJ214_015246-T1
GF00000521	CHIFNET14NJ214_013372-T1, CHIFNET14NJ214_015519-T1, CHIFNET14NJ214_015098-T1
GF00000522	CHIFNET14NJ214_002764-T1, CHIFNET14NJ214_014746-T1, CHIFNET14NJ214_015553-T1
GF00000523	CHIFNET14NJ214_007927-T1, CHIFNET14NJ214_001308-T1, CHIFNET14NJ214_014733-T1
GF00000524	CHIFNET14NJ214_010502-T1, CHIFNET14NJ214_008832-T1, CHIFNET14NJ214_008831-T1
GF00000525	CHIFNET14NJ214_004847-T1, CHIFNET14NJ214_005341-T1, CHIFNET14NJ214_005342-T1
GF00000526	CHIFNET14NJ214_001183-T1, CHIFNET14NJ214_014072-T1, CHIFNET14NJ214_014291-T1
GF00000527	CHIFNET14NJ214_006397-T1, CHIFNET14NJ214_000065-T1, CHIFNET14NJ214_006396-T1
GF00000528	CHIFNET14NJ214_010445-T1, CHIFNET14NJ214_014909-T1, CHIFNET14NJ214_014141-T1
GF00000529	CHIFNET14NJ214_004924-T1, CHIFNET14NJ214_009432-T1, CHIFNET14NJ214_004690-T1
GF00000530	CHIFNET14NJ214_011643-T1, CHIFNET14NJ214_013553-T1, CHIFNET14NJ214_015464-T1
GF00000531	CHIFNET14NJ214_001148-T1, CHIFNET14NJ214_012513-T1, CHIFNET14NJ214_006122-T1
GF00000532	CHIFNET14NJ214_001669-T1, CHIFNET14NJ214_010780-T1, CHIFNET14NJ214_010781-T1
GF00000533	CHIFNET14NJ214_004096-T1, CHIFNET14NJ214_000881-T1, CHIFNET14NJ214_000880-T1
GF00000534	CHIFNET14NJ214_014440-T1, CHIFNET14NJ214_015473-T1, CHIFNET14NJ214_008406-T1
GF00000535	CHIFNET14NJ214_011904-T1, CHIFNET14NJ214_000240-T1, CHIFNET14NJ214_003894-T1
GF00000536	CHIFNET14NJ214_004527-T1, CHIFNET14NJ214_012945-T1, CHIFNET14NJ214_007805-T1
GF00000537	CHIFNET14NJ214_013548-T1, CHIFNET14NJ214_011638-T1, CHIFNET14NJ214_013947-T1
GF00000538	CHIFNET14NJ214_001313-T1, CHIFNET14NJ214_015064-T1, CHIFNET14NJ214_005626-T1
GF00000539	CHIFNET14NJ214_012201-T1, CHIFNET14NJ214_004611-T1, CHIFNET14NJ214_005792-T1
GF00000540	CHIFNET14NJ214_002615-T1, CHIFNET14NJ214_013770-T1, CHIFNET14NJ214_014582-T1
GF00000541	CHIFNET14NJ214_008601-T1, CHIFNET14NJ214_008822-T1, CHIFNET14NJ214_008821-T1
GF00000542	CHIFNET14NJ214_003284-T1, CHIFNET14NJ214_004052-T1, CHIFNET14NJ214_003283-T1
GF00000543	CHIFNET14NJ214_014126-T1, CHIFNET14NJ214_001963-T1, CHIFNET14NJ214_011016-T1
GF00000544	CHIFNET14NJ214_006028-T1, CHIFNET14NJ214_013571-T1, CHIFNET14NJ214_008258-T1
GF00000545	CHIFNET14NJ214_009204-T1, CHIFNET14NJ214_005961-T1, CHIFNET14NJ214_012973-T1
GF00000546	CHIFNET14NJ214_003127-T1, CHIFNET14NJ214_004183-T1, CHIFNET14NJ214_014537-T1
GF00000547	CHIFNET14NJ214_003703-T1, CHIFNET14NJ214_003933-T1, CHIFNET14NJ214_003704-T1
GF00000548	CHIFNET14NJ214_009555-T1, CHIFNET14NJ214_009686-T1, CHIFNET14NJ214_013300-T1
GF00000549	CHIFNET14NJ214_004605-T1, CHIFNET14NJ214_001913-T1, CHIFNET14NJ214_001915-T1
GF00000550	CHIFNET14NJ214_004842-T1, CHIFNET14NJ214_005347-T1, CHIFNET14NJ214_015299-T1
GF00000551	CHIFNET14NJ214_008916-T1, CHIFNET14NJ214_000804-T1, CHIFNET14NJ214_000803-T1
GF00000552	CHIFNET14NJ214_008186-T1, CHIFNET14NJ214_005049-T1, CHIFNET14NJ214_005050-T1
GF00000553	CHIFNET14NJ214_011450-T1, CHIFNET14NJ214_012833-T1, CHIFNET14NJ214_012834-T1
GF00000554	CHIFNET14NJ214_001240-T1, CHIFNET14NJ214_009283-T1, CHIFNET14NJ214_015244-T1
GF00000555	CHIFNET14NJ214_011176-T1, CHIFNET14NJ214_012299-T1, CHIFNET14NJ214_012300-T1
GF00000556	CHIFNET14NJ214_000851-T1, CHIFNET14NJ214_004280-T1, CHIFNET14NJ214_000839-T1
