	Rhodotorula_mucilaginosa_DBVPG_3444.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa	Sum	PhylogenyCoverage	CopyType
GF00001483	2	1	3	1.0	multi-copy
GF00001484	2	1	3	1.0	multi-copy
GF00001485	2	1	3	1.0	multi-copy
GF00001486	2	1	3	1.0	multi-copy
GF00001487	2	1	3	1.0	multi-copy
GF00001488	2	1	3	1.0	multi-copy
GF00001489	2	1	3	1.0	multi-copy
GF00001490	2	1	3	1.0	multi-copy
GF00001491	2	1	3	1.0	multi-copy
GF00001492	2	1	3	1.0	multi-copy
GF00001493	2	1	3	1.0	multi-copy
GF00001494	2	1	3	1.0	multi-copy
GF00001495	2	1	3	1.0	multi-copy
GF00001496	2	1	3	1.0	multi-copy
GF00001497	2	1	3	1.0	multi-copy
GF00001498	2	1	3	1.0	multi-copy
GF00001499	2	1	3	1.0	multi-copy
GF00001500	2	1	3	1.0	multi-copy
GF00001501	2	1	3	1.0	multi-copy
GF00001502	2	1	3	1.0	multi-copy
GF00001503	2	1	3	1.0	multi-copy
GF00001504	2	1	3	1.0	multi-copy
GF00001505	2	1	3	1.0	multi-copy
GF00001506	2	1	3	1.0	multi-copy
GF00001507	2	1	3	1.0	multi-copy
GF00001508	2	1	3	1.0	multi-copy
GF00001509	2	1	3	1.0	multi-copy
GF00001510	2	1	3	1.0	multi-copy
GF00001511	2	1	3	1.0	multi-copy
GF00001512	2	1	3	1.0	multi-copy
GF00001513	2	1	3	1.0	multi-copy
GF00001514	2	1	3	1.0	multi-copy
GF00001515	2	1	3	1.0	multi-copy
GF00001516	2	1	3	1.0	multi-copy
GF00001517	2	1	3	1.0	multi-copy
GF00001518	2	1	3	1.0	multi-copy
GF00001519	2	1	3	1.0	multi-copy
GF00001520	2	1	3	1.0	multi-copy
GF00001521	2	1	3	1.0	multi-copy
GF00001522	2	1	3	1.0	multi-copy
GF00001523	2	1	3	1.0	multi-copy
GF00001524	2	1	3	1.0	multi-copy
GF00001525	2	1	3	1.0	multi-copy
GF00001526	2	1	3	1.0	multi-copy
GF00001527	2	1	3	1.0	multi-copy
GF00001528	2	1	3	1.0	multi-copy
GF00001529	2	1	3	1.0	multi-copy
GF00001530	2	1	3	1.0	multi-copy
GF00001531	2	1	3	1.0	multi-copy
GF00001532	2	1	3	1.0	multi-copy
GF00001533	2	1	3	1.0	multi-copy
GF00001534	2	1	3	1.0	multi-copy
GF00001535	2	1	3	1.0	multi-copy
GF00001536	2	1	3	1.0	multi-copy
GF00001537	2	1	3	1.0	multi-copy
GF00001538	2	1	3	1.0	multi-copy
GF00001539	2	1	3	1.0	multi-copy
GF00001540	2	1	3	1.0	multi-copy
GF00001541	2	1	3	1.0	multi-copy
GF00001542	2	1	3	1.0	multi-copy
GF00001543	2	1	3	1.0	multi-copy
GF00001544	2	1	3	1.0	multi-copy
GF00001545	2	1	3	1.0	multi-copy
GF00001546	2	1	3	1.0	multi-copy
GF00001547	2	1	3	1.0	multi-copy
GF00001548	2	1	3	1.0	multi-copy
GF00001549	2	1	3	1.0	multi-copy
GF00001550	2	1	3	1.0	multi-copy
GF00001551	2	1	3	1.0	multi-copy
GF00001552	2	1	3	1.0	multi-copy
GF00001553	2	1	3	1.0	multi-copy
GF00001554	2	1	3	1.0	multi-copy
GF00001555	2	1	3	1.0	multi-copy
GF00001556	2	1	3	1.0	multi-copy
GF00001557	2	1	3	1.0	multi-copy
GF00001558	2	1	3	1.0	multi-copy
GF00001559	2	1	3	1.0	multi-copy
GF00001560	2	1	3	1.0	multi-copy
GF00001561	2	1	3	1.0	multi-copy
GF00001562	2	1	3	1.0	multi-copy
GF00001563	2	1	3	1.0	multi-copy
GF00001564	2	1	3	1.0	multi-copy
GF00001565	2	1	3	1.0	multi-copy
GF00001566	2	1	3	1.0	multi-copy
GF00001567	2	1	3	1.0	multi-copy
GF00001568	2	1	3	1.0	multi-copy
GF00001569	2	1	3	1.0	multi-copy
GF00001570	2	1	3	1.0	multi-copy
GF00001571	2	1	3	1.0	multi-copy
GF00001572	2	1	3	1.0	multi-copy
GF00001573	2	1	3	1.0	multi-copy
GF00001574	2	1	3	1.0	multi-copy
GF00001575	2	1	3	1.0	multi-copy
GF00001576	2	1	3	1.0	multi-copy
GF00001577	2	1	3	1.0	multi-copy
GF00001578	2	1	3	1.0	multi-copy
GF00001579	2	1	3	1.0	multi-copy
GF00001580	2	1	3	1.0	multi-copy
GF00001581	2	1	3	1.0	multi-copy
GF00001582	2	1	3	1.0	multi-copy
GF00001583	2	1	3	1.0	multi-copy
GF00001584	2	1	3	1.0	multi-copy
GF00001585	2	1	3	1.0	multi-copy
GF00001586	2	1	3	1.0	multi-copy
GF00001587	2	1	3	1.0	multi-copy
GF00001588	2	1	3	1.0	multi-copy
GF00001589	2	1	3	1.0	multi-copy
GF00001590	2	1	3	1.0	multi-copy
GF00001591	2	1	3	1.0	multi-copy
GF00001592	2	1	3	1.0	multi-copy
GF00001593	2	1	3	1.0	multi-copy
GF00001594	2	1	3	1.0	multi-copy
GF00001595	2	1	3	1.0	multi-copy
GF00001596	2	1	3	1.0	multi-copy
GF00001597	2	1	3	1.0	multi-copy
GF00001598	2	1	3	1.0	multi-copy
GF00001599	2	1	3	1.0	multi-copy
GF00001600	2	1	3	1.0	multi-copy
GF00001601	2	1	3	1.0	multi-copy
GF00001602	2	1	3	1.0	multi-copy
GF00001603	2	1	3	1.0	multi-copy
GF00001604	2	1	3	1.0	multi-copy
GF00001605	2	1	3	1.0	multi-copy
GF00001606	2	1	3	1.0	multi-copy
GF00001607	2	1	3	1.0	multi-copy
GF00001608	2	1	3	1.0	multi-copy
GF00001609	2	1	3	1.0	multi-copy
GF00001610	2	1	3	1.0	multi-copy
GF00001611	2	1	3	1.0	multi-copy
GF00001612	2	1	3	1.0	multi-copy
GF00001613	2	1	3	1.0	multi-copy
GF00001614	2	1	3	1.0	multi-copy
GF00001615	2	1	3	1.0	multi-copy
GF00001616	2	1	3	1.0	multi-copy
GF00001617	2	1	3	1.0	multi-copy
GF00001618	2	1	3	1.0	multi-copy
GF00001619	2	1	3	1.0	multi-copy
GF00001620	2	1	3	1.0	multi-copy
GF00001621	2	1	3	1.0	multi-copy
GF00001622	2	1	3	1.0	multi-copy
GF00001623	2	1	3	1.0	multi-copy
GF00001624	2	1	3	1.0	multi-copy
GF00001625	2	1	3	1.0	multi-copy
GF00001626	2	1	3	1.0	multi-copy
GF00001627	2	1	3	1.0	multi-copy
GF00001628	2	1	3	1.0	multi-copy
GF00001629	2	1	3	1.0	multi-copy
GF00001630	2	1	3	1.0	multi-copy
GF00001631	2	1	3	1.0	multi-copy
GF00001632	2	1	3	1.0	multi-copy
GF00001633	2	1	3	1.0	multi-copy
GF00001634	2	1	3	1.0	multi-copy
GF00001635	2	1	3	1.0	multi-copy
GF00001636	2	1	3	1.0	multi-copy
GF00001637	2	1	3	1.0	multi-copy
GF00001638	2	1	3	1.0	multi-copy
GF00001639	2	1	3	1.0	multi-copy
GF00001640	2	1	3	1.0	multi-copy
GF00001641	2	1	3	1.0	multi-copy
GF00001642	2	1	3	1.0	multi-copy
GF00001643	2	1	3	1.0	multi-copy
GF00001644	2	1	3	1.0	multi-copy
GF00001645	2	1	3	1.0	multi-copy
GF00001646	2	1	3	1.0	multi-copy
GF00001647	2	1	3	1.0	multi-copy
GF00001648	2	1	3	1.0	multi-copy
GF00001649	2	1	3	1.0	multi-copy
GF00001650	2	1	3	1.0	multi-copy
GF00001651	2	1	3	1.0	multi-copy
GF00001652	2	1	3	1.0	multi-copy
GF00001653	2	1	3	1.0	multi-copy
GF00001654	2	1	3	1.0	multi-copy
GF00001655	2	1	3	1.0	multi-copy
GF00001656	2	1	3	1.0	multi-copy
GF00001657	2	1	3	1.0	multi-copy
GF00001658	2	1	3	1.0	multi-copy
GF00001659	2	1	3	1.0	multi-copy
GF00001660	2	1	3	1.0	multi-copy
GF00001661	2	1	3	1.0	multi-copy
GF00001662	2	1	3	1.0	multi-copy
GF00001663	2	1	3	1.0	multi-copy
GF00001664	2	1	3	1.0	multi-copy
GF00001665	2	1	3	1.0	multi-copy
GF00001666	2	1	3	1.0	multi-copy
GF00001667	2	1	3	1.0	multi-copy
GF00001668	2	1	3	1.0	multi-copy
GF00001669	2	1	3	1.0	multi-copy
GF00001670	2	1	3	1.0	multi-copy
GF00001671	2	1	3	1.0	multi-copy
GF00001672	2	1	3	1.0	multi-copy
GF00001673	2	1	3	1.0	multi-copy
GF00001674	2	1	3	1.0	multi-copy
GF00001675	2	1	3	1.0	multi-copy
GF00001676	2	1	3	1.0	multi-copy
GF00001677	2	1	3	1.0	multi-copy
GF00001678	2	1	3	1.0	multi-copy
GF00001679	2	1	3	1.0	multi-copy
GF00001680	2	1	3	1.0	multi-copy
GF00001681	2	1	3	1.0	multi-copy
GF00001682	2	1	3	1.0	multi-copy
GF00001683	2	1	3	1.0	multi-copy
GF00001684	2	1	3	1.0	multi-copy
GF00001685	2	1	3	1.0	multi-copy
GF00001686	2	1	3	1.0	multi-copy
GF00001687	2	1	3	1.0	multi-copy
GF00001688	2	1	3	1.0	multi-copy
GF00001689	2	1	3	1.0	multi-copy
GF00001690	2	1	3	1.0	multi-copy
GF00001691	2	1	3	1.0	multi-copy
GF00001692	2	1	3	1.0	multi-copy
GF00001693	2	1	3	1.0	multi-copy
GF00001694	2	1	3	1.0	multi-copy
GF00001695	2	1	3	1.0	multi-copy
GF00001696	2	1	3	1.0	multi-copy
GF00001697	2	1	3	1.0	multi-copy
GF00001698	2	1	3	1.0	multi-copy
GF00001699	2	1	3	1.0	multi-copy
GF00001700	2	1	3	1.0	multi-copy
GF00001701	2	1	3	1.0	multi-copy
GF00001702	2	1	3	1.0	multi-copy
GF00001703	2	1	3	1.0	multi-copy
GF00001704	2	1	3	1.0	multi-copy
GF00001705	2	1	3	1.0	multi-copy
GF00001706	2	1	3	1.0	multi-copy
GF00001707	2	1	3	1.0	multi-copy
GF00001708	2	1	3	1.0	multi-copy
GF00001709	2	1	3	1.0	multi-copy
GF00001710	2	1	3	1.0	multi-copy
GF00001711	2	1	3	1.0	multi-copy
GF00001712	2	1	3	1.0	multi-copy
GF00001713	2	1	3	1.0	multi-copy
GF00001714	2	1	3	1.0	multi-copy
GF00001715	2	1	3	1.0	multi-copy
GF00001716	2	1	3	1.0	multi-copy
GF00001717	2	1	3	1.0	multi-copy
GF00001718	2	1	3	1.0	multi-copy
GF00001719	2	1	3	1.0	multi-copy
GF00001720	2	1	3	1.0	multi-copy
GF00001721	2	1	3	1.0	multi-copy
GF00001722	2	1	3	1.0	multi-copy
GF00001723	2	1	3	1.0	multi-copy
GF00001724	2	1	3	1.0	multi-copy
GF00001725	2	1	3	1.0	multi-copy
GF00001726	2	1	3	1.0	multi-copy
GF00001727	2	1	3	1.0	multi-copy
GF00001728	2	1	3	1.0	multi-copy
GF00001729	2	1	3	1.0	multi-copy
GF00001730	2	1	3	1.0	multi-copy
GF00001731	2	1	3	1.0	multi-copy
GF00001732	2	1	3	1.0	multi-copy
GF00001733	2	1	3	1.0	multi-copy
GF00001734	2	1	3	1.0	multi-copy
GF00001735	2	1	3	1.0	multi-copy
GF00001736	2	1	3	1.0	multi-copy
GF00001737	2	1	3	1.0	multi-copy
GF00001738	2	1	3	1.0	multi-copy
GF00001739	2	1	3	1.0	multi-copy
GF00001740	2	1	3	1.0	multi-copy
GF00001741	2	1	3	1.0	multi-copy
GF00001742	2	1	3	1.0	multi-copy
GF00001743	2	1	3	1.0	multi-copy
GF00001744	2	1	3	1.0	multi-copy
GF00001745	2	1	3	1.0	multi-copy
GF00001746	2	1	3	1.0	multi-copy
GF00001747	2	1	3	1.0	multi-copy
GF00001748	2	1	3	1.0	multi-copy
GF00001749	2	1	3	1.0	multi-copy
GF00001750	2	1	3	1.0	multi-copy
GF00001751	2	1	3	1.0	multi-copy
GF00001752	2	1	3	1.0	multi-copy
GF00001753	2	1	3	1.0	multi-copy
GF00001754	2	1	3	1.0	multi-copy
GF00001755	2	1	3	1.0	multi-copy
GF00001756	2	1	3	1.0	multi-copy
GF00001757	2	1	3	1.0	multi-copy
GF00001758	2	1	3	1.0	multi-copy
GF00001759	2	1	3	1.0	multi-copy
GF00001760	2	1	3	1.0	multi-copy
GF00001761	2	1	3	1.0	multi-copy
GF00001762	2	1	3	1.0	multi-copy
GF00001763	2	1	3	1.0	multi-copy
GF00001764	2	1	3	1.0	multi-copy
GF00001765	2	1	3	1.0	multi-copy
GF00001766	2	1	3	1.0	multi-copy
GF00001767	2	1	3	1.0	multi-copy
GF00001768	2	1	3	1.0	multi-copy
GF00001769	2	1	3	1.0	multi-copy
GF00001770	2	1	3	1.0	multi-copy
GF00001771	2	1	3	1.0	multi-copy
GF00001772	2	1	3	1.0	multi-copy
GF00001773	2	1	3	1.0	multi-copy
GF00001774	2	1	3	1.0	multi-copy
GF00001775	2	1	3	1.0	multi-copy
GF00001776	2	1	3	1.0	multi-copy
GF00001777	2	1	3	1.0	multi-copy
GF00001778	2	1	3	1.0	multi-copy
GF00001779	2	1	3	1.0	multi-copy
GF00001780	2	1	3	1.0	multi-copy
GF00001781	2	1	3	1.0	multi-copy
GF00001782	2	1	3	1.0	multi-copy
GF00001783	2	1	3	1.0	multi-copy
GF00001784	2	1	3	1.0	multi-copy
GF00001785	2	1	3	1.0	multi-copy
GF00001786	2	1	3	1.0	multi-copy
GF00001787	2	1	3	1.0	multi-copy
GF00001788	2	1	3	1.0	multi-copy
GF00001789	2	1	3	1.0	multi-copy
GF00001790	2	1	3	1.0	multi-copy
GF00001791	2	1	3	1.0	multi-copy
GF00001792	2	1	3	1.0	multi-copy
GF00001793	2	1	3	1.0	multi-copy
GF00001794	2	1	3	1.0	multi-copy
GF00001795	2	1	3	1.0	multi-copy
GF00001796	2	1	3	1.0	multi-copy
GF00001797	2	1	3	1.0	multi-copy
GF00001798	2	1	3	1.0	multi-copy
GF00001799	2	1	3	1.0	multi-copy
GF00001800	2	1	3	1.0	multi-copy
GF00001801	2	1	3	1.0	multi-copy
GF00001802	2	1	3	1.0	multi-copy
GF00001803	2	1	3	1.0	multi-copy
GF00001804	2	1	3	1.0	multi-copy
GF00001805	2	1	3	1.0	multi-copy
GF00001806	2	1	3	1.0	multi-copy
GF00001807	2	1	3	1.0	multi-copy
GF00001808	2	1	3	1.0	multi-copy
GF00001809	2	1	3	1.0	multi-copy
GF00001810	2	1	3	1.0	multi-copy
GF00001811	2	1	3	1.0	multi-copy
GF00001812	2	1	3	1.0	multi-copy
GF00001813	2	1	3	1.0	multi-copy
GF00001814	2	1	3	1.0	multi-copy
GF00001815	2	1	3	1.0	multi-copy
GF00001816	2	1	3	1.0	multi-copy
GF00001817	2	1	3	1.0	multi-copy
GF00001818	2	1	3	1.0	multi-copy
GF00001819	2	1	3	1.0	multi-copy
GF00001820	2	1	3	1.0	multi-copy
GF00001821	2	1	3	1.0	multi-copy
GF00001822	2	1	3	1.0	multi-copy
GF00001823	2	1	3	1.0	multi-copy
GF00001824	2	1	3	1.0	multi-copy
GF00001825	2	1	3	1.0	multi-copy
GF00001826	2	1	3	1.0	multi-copy
GF00001827	2	1	3	1.0	multi-copy
GF00001828	2	1	3	1.0	multi-copy
GF00001829	2	1	3	1.0	multi-copy
GF00001830	2	1	3	1.0	multi-copy
GF00001831	2	1	3	1.0	multi-copy
GF00001832	2	1	3	1.0	multi-copy
GF00001833	2	1	3	1.0	multi-copy
GF00001834	2	1	3	1.0	multi-copy
GF00001835	2	1	3	1.0	multi-copy
GF00001836	2	1	3	1.0	multi-copy
GF00001837	2	1	3	1.0	multi-copy
GF00001838	2	1	3	1.0	multi-copy
GF00001839	2	1	3	1.0	multi-copy
GF00001840	2	1	3	1.0	multi-copy
GF00001841	2	1	3	1.0	multi-copy
GF00001842	2	1	3	1.0	multi-copy
GF00001843	2	1	3	1.0	multi-copy
GF00001844	2	1	3	1.0	multi-copy
GF00001845	2	1	3	1.0	multi-copy
GF00001846	2	1	3	1.0	multi-copy
GF00001847	2	1	3	1.0	multi-copy
GF00001848	2	1	3	1.0	multi-copy
GF00001849	2	1	3	1.0	multi-copy
GF00001850	2	1	3	1.0	multi-copy
GF00001851	2	1	3	1.0	multi-copy
GF00001852	2	1	3	1.0	multi-copy
GF00001853	2	1	3	1.0	multi-copy
GF00001854	2	1	3	1.0	multi-copy
GF00001855	2	1	3	1.0	multi-copy
GF00001856	2	1	3	1.0	multi-copy
GF00001857	2	1	3	1.0	multi-copy
GF00001858	2	1	3	1.0	multi-copy
GF00001859	2	1	3	1.0	multi-copy
GF00001860	2	1	3	1.0	multi-copy
GF00001861	2	1	3	1.0	multi-copy
GF00001862	2	1	3	1.0	multi-copy
GF00001863	2	1	3	1.0	multi-copy
GF00001864	2	1	3	1.0	multi-copy
GF00001865	2	1	3	1.0	multi-copy
GF00001866	2	1	3	1.0	multi-copy
GF00001867	2	1	3	1.0	multi-copy
GF00001868	2	1	3	1.0	multi-copy
GF00001869	2	1	3	1.0	multi-copy
GF00001870	2	1	3	1.0	multi-copy
GF00001871	2	1	3	1.0	multi-copy
GF00001872	2	1	3	1.0	multi-copy
GF00001873	2	1	3	1.0	multi-copy
GF00001874	2	1	3	1.0	multi-copy
GF00001875	2	1	3	1.0	multi-copy
GF00001876	2	1	3	1.0	multi-copy
GF00001877	2	1	3	1.0	multi-copy
GF00001878	2	1	3	1.0	multi-copy
GF00001879	2	1	3	1.0	multi-copy
GF00001880	2	1	3	1.0	multi-copy
GF00001881	2	1	3	1.0	multi-copy
GF00001882	2	1	3	1.0	multi-copy
GF00001883	2	1	3	1.0	multi-copy
GF00001884	2	1	3	1.0	multi-copy
GF00001885	2	1	3	1.0	multi-copy
GF00001886	2	1	3	1.0	multi-copy
GF00001887	2	1	3	1.0	multi-copy
GF00001888	2	1	3	1.0	multi-copy
GF00001889	2	1	3	1.0	multi-copy
GF00001890	2	1	3	1.0	multi-copy
GF00001891	2	1	3	1.0	multi-copy
GF00001892	2	1	3	1.0	multi-copy
GF00001893	2	1	3	1.0	multi-copy
GF00001894	2	1	3	1.0	multi-copy
GF00001895	2	1	3	1.0	multi-copy
GF00001896	2	1	3	1.0	multi-copy
GF00001897	2	1	3	1.0	multi-copy
GF00001898	2	1	3	1.0	multi-copy
GF00001899	2	1	3	1.0	multi-copy
GF00001900	2	1	3	1.0	multi-copy
GF00001901	2	1	3	1.0	multi-copy
GF00001902	2	1	3	1.0	multi-copy
GF00001903	2	1	3	1.0	multi-copy
GF00001904	2	1	3	1.0	multi-copy
GF00001905	2	1	3	1.0	multi-copy
GF00001906	2	1	3	1.0	multi-copy
GF00001907	2	1	3	1.0	multi-copy
GF00001908	2	1	3	1.0	multi-copy
GF00001909	2	1	3	1.0	multi-copy
GF00001910	2	1	3	1.0	multi-copy
GF00001911	2	1	3	1.0	multi-copy
GF00001912	2	1	3	1.0	multi-copy
GF00001913	2	1	3	1.0	multi-copy
GF00001914	2	1	3	1.0	multi-copy
GF00001915	2	1	3	1.0	multi-copy
GF00001916	2	1	3	1.0	multi-copy
GF00001917	2	1	3	1.0	multi-copy
GF00001918	2	1	3	1.0	multi-copy
GF00001919	2	1	3	1.0	multi-copy
GF00001920	2	1	3	1.0	multi-copy
GF00001921	2	1	3	1.0	multi-copy
GF00001922	2	1	3	1.0	multi-copy
GF00001923	2	1	3	1.0	multi-copy
GF00001924	2	1	3	1.0	multi-copy
GF00001925	2	1	3	1.0	multi-copy
GF00001926	2	1	3	1.0	multi-copy
GF00001927	2	1	3	1.0	multi-copy
GF00001928	2	1	3	1.0	multi-copy
GF00001929	2	1	3	1.0	multi-copy
GF00001930	2	1	3	1.0	multi-copy
GF00001931	2	1	3	1.0	multi-copy
GF00001932	2	1	3	1.0	multi-copy
GF00001933	2	1	3	1.0	multi-copy
GF00001934	2	1	3	1.0	multi-copy
GF00001935	2	1	3	1.0	multi-copy
GF00001936	2	1	3	1.0	multi-copy
GF00001937	2	1	3	1.0	multi-copy
GF00001938	2	1	3	1.0	multi-copy
GF00001939	2	1	3	1.0	multi-copy
GF00001940	2	1	3	1.0	multi-copy
GF00001941	2	1	3	1.0	multi-copy
GF00001942	2	1	3	1.0	multi-copy
GF00001943	2	1	3	1.0	multi-copy
GF00001944	2	1	3	1.0	multi-copy
GF00001945	2	1	3	1.0	multi-copy
GF00001946	2	1	3	1.0	multi-copy
GF00001947	2	1	3	1.0	multi-copy
GF00001948	2	1	3	1.0	multi-copy
GF00001949	2	1	3	1.0	multi-copy
GF00001950	2	1	3	1.0	multi-copy
GF00001951	2	1	3	1.0	multi-copy
GF00001952	2	1	3	1.0	multi-copy
GF00001953	2	1	3	1.0	multi-copy
GF00001954	2	1	3	1.0	multi-copy
GF00001955	2	1	3	1.0	multi-copy
GF00001956	2	1	3	1.0	multi-copy
GF00001957	2	1	3	1.0	multi-copy
GF00001958	2	1	3	1.0	multi-copy
GF00001959	2	1	3	1.0	multi-copy
GF00001960	2	1	3	1.0	multi-copy
GF00001961	2	1	3	1.0	multi-copy
GF00001962	2	1	3	1.0	multi-copy
GF00001963	2	1	3	1.0	multi-copy
GF00001964	2	1	3	1.0	multi-copy
GF00001965	2	1	3	1.0	multi-copy
GF00001966	2	1	3	1.0	multi-copy
GF00001967	2	1	3	1.0	multi-copy
GF00001968	2	1	3	1.0	multi-copy
GF00001969	2	1	3	1.0	multi-copy
GF00001970	2	1	3	1.0	multi-copy
GF00001971	2	1	3	1.0	multi-copy
GF00001972	2	1	3	1.0	multi-copy
GF00001973	2	1	3	1.0	multi-copy
GF00001974	2	1	3	1.0	multi-copy
GF00001975	2	1	3	1.0	multi-copy
GF00001976	2	1	3	1.0	multi-copy
GF00001977	2	1	3	1.0	multi-copy
GF00001978	2	1	3	1.0	multi-copy
GF00001979	2	1	3	1.0	multi-copy
GF00001980	2	1	3	1.0	multi-copy
GF00001981	2	1	3	1.0	multi-copy
GF00001982	2	1	3	1.0	multi-copy
GF00001983	2	1	3	1.0	multi-copy
GF00001984	2	1	3	1.0	multi-copy
GF00001985	2	1	3	1.0	multi-copy
GF00001986	2	1	3	1.0	multi-copy
GF00001987	2	1	3	1.0	multi-copy
GF00001988	2	1	3	1.0	multi-copy
GF00001989	2	1	3	1.0	multi-copy
GF00001990	2	1	3	1.0	multi-copy
GF00001991	2	1	3	1.0	multi-copy
GF00001992	2	1	3	1.0	multi-copy
GF00001993	2	1	3	1.0	multi-copy
GF00001994	2	1	3	1.0	multi-copy
GF00001995	2	1	3	1.0	multi-copy
GF00001996	2	1	3	1.0	multi-copy
GF00001997	2	1	3	1.0	multi-copy
GF00001998	2	1	3	1.0	multi-copy
GF00001999	2	1	3	1.0	multi-copy
GF00002000	2	1	3	1.0	multi-copy
GF00002001	2	1	3	1.0	multi-copy
GF00002002	2	1	3	1.0	multi-copy
GF00002003	2	1	3	1.0	multi-copy
GF00002004	2	1	3	1.0	multi-copy
GF00002005	2	1	3	1.0	multi-copy
GF00002006	2	1	3	1.0	multi-copy
GF00002007	2	1	3	1.0	multi-copy
GF00002008	2	1	3	1.0	multi-copy
GF00002009	2	1	3	1.0	multi-copy
GF00002010	2	1	3	1.0	multi-copy
GF00002011	2	1	3	1.0	multi-copy
GF00002012	2	1	3	1.0	multi-copy
GF00002013	2	1	3	1.0	multi-copy
GF00002014	2	1	3	1.0	multi-copy
GF00002015	2	1	3	1.0	multi-copy
GF00002016	2	1	3	1.0	multi-copy
GF00002017	2	1	3	1.0	multi-copy
GF00002018	2	1	3	1.0	multi-copy
GF00002019	2	1	3	1.0	multi-copy
GF00002020	2	1	3	1.0	multi-copy
GF00002021	2	1	3	1.0	multi-copy
GF00002022	2	1	3	1.0	multi-copy
GF00002023	2	1	3	1.0	multi-copy
GF00002024	2	1	3	1.0	multi-copy
GF00002025	2	1	3	1.0	multi-copy
GF00002026	2	1	3	1.0	multi-copy
GF00002027	2	1	3	1.0	multi-copy
GF00002028	2	1	3	1.0	multi-copy
GF00002029	2	1	3	1.0	multi-copy
GF00002030	2	1	3	1.0	multi-copy
GF00002031	2	1	3	1.0	multi-copy
GF00002032	2	1	3	1.0	multi-copy
GF00002033	2	1	3	1.0	multi-copy
GF00002034	2	1	3	1.0	multi-copy
GF00002035	2	1	3	1.0	multi-copy
GF00002036	2	1	3	1.0	multi-copy
GF00002037	2	1	3	1.0	multi-copy
GF00002038	2	1	3	1.0	multi-copy
GF00002039	2	1	3	1.0	multi-copy
GF00002040	2	1	3	1.0	multi-copy
GF00002041	2	1	3	1.0	multi-copy
GF00002042	2	1	3	1.0	multi-copy
GF00002043	2	1	3	1.0	multi-copy
GF00002044	2	1	3	1.0	multi-copy
GF00002045	2	1	3	1.0	multi-copy
GF00002046	2	1	3	1.0	multi-copy
GF00002047	2	1	3	1.0	multi-copy
GF00002048	2	1	3	1.0	multi-copy
GF00002049	2	1	3	1.0	multi-copy
GF00002050	2	1	3	1.0	multi-copy
GF00002051	2	1	3	1.0	multi-copy
GF00002052	2	1	3	1.0	multi-copy
GF00002053	2	1	3	1.0	multi-copy
GF00002054	2	1	3	1.0	multi-copy
GF00002055	2	1	3	1.0	multi-copy
GF00002056	2	1	3	1.0	multi-copy
GF00002057	2	1	3	1.0	multi-copy
GF00002058	2	1	3	1.0	multi-copy
GF00002059	2	1	3	1.0	multi-copy
GF00002060	2	1	3	1.0	multi-copy
GF00002061	2	1	3	1.0	multi-copy
GF00002062	2	1	3	1.0	multi-copy
GF00002063	2	1	3	1.0	multi-copy
GF00002064	2	1	3	1.0	multi-copy
GF00002065	2	1	3	1.0	multi-copy
GF00002066	2	1	3	1.0	multi-copy
GF00002067	2	1	3	1.0	multi-copy
GF00002068	2	1	3	1.0	multi-copy
GF00002069	2	1	3	1.0	multi-copy
GF00002070	2	1	3	1.0	multi-copy
GF00002071	2	1	3	1.0	multi-copy
GF00002072	2	1	3	1.0	multi-copy
GF00002073	2	1	3	1.0	multi-copy
GF00002074	2	1	3	1.0	multi-copy
GF00002075	2	1	3	1.0	multi-copy
GF00002076	2	1	3	1.0	multi-copy
GF00002077	2	1	3	1.0	multi-copy
GF00002078	2	1	3	1.0	multi-copy
GF00002079	2	1	3	1.0	multi-copy
GF00002080	2	1	3	1.0	multi-copy
GF00002081	2	1	3	1.0	multi-copy
GF00002082	2	1	3	1.0	multi-copy
GF00002083	2	1	3	1.0	multi-copy
GF00002084	2	1	3	1.0	multi-copy
GF00002085	2	1	3	1.0	multi-copy
GF00002086	2	1	3	1.0	multi-copy
GF00002087	2	1	3	1.0	multi-copy
GF00002088	2	1	3	1.0	multi-copy
GF00002089	2	1	3	1.0	multi-copy
GF00002090	2	1	3	1.0	multi-copy
GF00002091	2	1	3	1.0	multi-copy
GF00002092	2	1	3	1.0	multi-copy
GF00002093	2	1	3	1.0	multi-copy
GF00002094	2	1	3	1.0	multi-copy
GF00002095	2	1	3	1.0	multi-copy
GF00002096	2	1	3	1.0	multi-copy
GF00002097	2	1	3	1.0	multi-copy
GF00002098	2	1	3	1.0	multi-copy
GF00002099	2	1	3	1.0	multi-copy
GF00002100	2	1	3	1.0	multi-copy
GF00002101	2	1	3	1.0	multi-copy
GF00002102	2	1	3	1.0	multi-copy
GF00002103	2	1	3	1.0	multi-copy
GF00002104	2	1	3	1.0	multi-copy
GF00002105	2	1	3	1.0	multi-copy
GF00002106	2	1	3	1.0	multi-copy
GF00002107	2	1	3	1.0	multi-copy
GF00002108	2	1	3	1.0	multi-copy
GF00002109	2	1	3	1.0	multi-copy
GF00002110	2	1	3	1.0	multi-copy
GF00002111	2	1	3	1.0	multi-copy
GF00002112	2	1	3	1.0	multi-copy
GF00002113	2	1	3	1.0	multi-copy
GF00002114	2	1	3	1.0	multi-copy
