	Rhodotorula_mucilaginosa_TFCN_152A-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00001280	TFCN152A1_000137-T1	DBVPG3775_004014-T1
GF00001281	TFCN152A1_008854-T1	DBVPG3775_004015-T1
GF00001282	TFCN152A1_000140-T1	DBVPG3775_004017-T1
GF00001283	TFCN152A1_000141-T1	DBVPG3775_004018-T1
GF00001284	TFCN152A1_010895-T1	DBVPG3775_004022-T1
GF00001285	TFCN152A1_000144-T1	DBVPG3775_004023-T1
GF00001286	TFCN152A1_000145-T1	DBVPG3775_004024-T1
GF00001287	TFCN152A1_010899-T1	DBVPG3775_004026-T1
GF00001288	TFCN152A1_000148-T1	DBVPG3775_004027-T1
GF00001289	TFCN152A1_000149-T1	DBVPG3775_004028-T1
GF00001290	TFCN152A1_000151-T1	DBVPG3775_004030-T1
GF00001291	TFCN152A1_000153-T1	DBVPG3775_004032-T1
GF00001292	TFCN152A1_010906-T1	DBVPG3775_004033-T1
GF00001293	TFCN152A1_002258-T1	DBVPG3775_002919-T1
GF00001294	TFCN152A1_010911-T1	DBVPG3775_004038-T1
GF00001295	TFCN152A1_010915-T1	DBVPG3775_004043-T1
GF00001296	TFCN152A1_010916-T1	DBVPG3775_004044-T1
GF00001297	TFCN152A1_010917-T1	DBVPG3775_004045-T1
GF00001298	TFCN152A1_000165-T1	DBVPG3775_004046-T1
GF00001299	TFCN152A1_007149-T1	DBVPG3775_004047-T1
GF00001300	TFCN152A1_000167-T1	DBVPG3775_004048-T1
GF00001301	TFCN152A1_007147-T1	DBVPG3775_004049-T1
GF00001302	TFCN152A1_000169-T1	DBVPG3775_004050-T1
GF00001303	TFCN152A1_001077-T1	DBVPG3775_005817-T1
GF00001304	TFCN152A1_007144-T1	DBVPG3775_004052-T1
GF00001305	TFCN152A1_000172-T1	DBVPG3775_004054-T1
GF00001306	TFCN152A1_000173-T1	DBVPG3775_004056-T1
GF00001307	TFCN152A1_007138-T1	DBVPG3775_004058-T1
GF00001308	TFCN152A1_000176-T1	DBVPG3775_004059-T1
GF00001309	TFCN152A1_007135-T1	DBVPG3775_004061-T1
GF00001310	TFCN152A1_000179-T1	DBVPG3775_004062-T1
GF00001311	TFCN152A1_007133-T1	DBVPG3775_004063-T1
GF00001312	TFCN152A1_007130-T1	DBVPG3775_004068-T1
GF00001313	TFCN152A1_007129-T1	DBVPG3775_004069-T1
GF00001314	TFCN152A1_007128-T1	DBVPG3775_004070-T1
GF00001315	TFCN152A1_000186-T1	DBVPG3775_004071-T1
GF00001316	TFCN152A1_007124-T1	DBVPG3775_004075-T1
GF00001317	TFCN152A1_007123-T1	DBVPG3775_004076-T1
GF00001318	TFCN152A1_000190-T1	DBVPG3775_004077-T1
GF00001319	TFCN152A1_007121-T1	DBVPG3775_004078-T1
GF00001320	TFCN152A1_007120-T1	DBVPG3775_004079-T1
GF00001321	TFCN152A1_000194-T1	DBVPG3775_004081-T1
GF00001322	TFCN152A1_007117-T1	DBVPG3775_004082-T1
GF00001323	TFCN152A1_000196-T1	DBVPG3775_004083-T1
GF00001324	TFCN152A1_000197-T1	DBVPG3775_004084-T1
GF00001325	TFCN152A1_000916-T1	DBVPG3775_004137-T1
GF00001326	TFCN152A1_007111-T1	DBVPG3775_004088-T1
GF00001327	TFCN152A1_000202-T1	DBVPG3775_004091-T1
GF00001328	TFCN152A1_000203-T1	DBVPG3775_004092-T1
GF00001329	TFCN152A1_007107-T1	DBVPG3775_004093-T1
GF00001330	TFCN152A1_000205-T1	DBVPG3775_004094-T1
GF00001331	TFCN152A1_007105-T1	DBVPG3775_004095-T1
GF00001332	TFCN152A1_000207-T1	DBVPG3775_004096-T1
GF00001333	TFCN152A1_000209-T1	DBVPG3775_004098-T1
GF00001334	TFCN152A1_000212-T1	DBVPG3775_004101-T1
GF00001335	TFCN152A1_000213-T1	DBVPG3775_004102-T1
GF00001336	TFCN152A1_007097-T1	DBVPG3775_004104-T1
GF00001337	TFCN152A1_000216-T1	DBVPG3775_004105-T1
GF00001338	TFCN152A1_000217-T1	DBVPG3775_004106-T1
GF00001339	TFCN152A1_004116-T1	DBVPG3775_004162-T1
GF00001340	TFCN152A1_007093-T1	DBVPG3775_004109-T1
GF00001341	TFCN152A1_000223-T1	DBVPG3775_004110-T1
GF00001342	TFCN152A1_000224-T1	DBVPG3775_004111-T1
GF00001343	TFCN152A1_006907-T1	DBVPG3775_004349-T1
GF00001344	TFCN152A1_000230-T1	DBVPG3775_004345-T1
GF00001345	TFCN152A1_006910-T1	DBVPG3775_004344-T1
GF00001346	TFCN152A1_000232-T1	DBVPG3775_004343-T1
GF00001347	TFCN152A1_006913-T1	DBVPG3775_004341-T1
GF00001348	TFCN152A1_000237-T1	DBVPG3775_004337-T1
GF00001349	TFCN152A1_006920-T1	DBVPG3775_004334-T1
GF00001350	TFCN152A1_000242-T1	DBVPG3775_004330-T1
GF00001351	TFCN152A1_003986-T1	DBVPG3775_006175-T1
GF00001352	TFCN152A1_006926-T1	DBVPG3775_004328-T1
GF00001353	TFCN152A1_000248-T1	DBVPG3775_004322-T1
GF00001354	TFCN152A1_000249-T1	DBVPG3775_004321-T1
GF00001355	TFCN152A1_006935-T1	DBVPG3775_004317-T1
GF00001356	TFCN152A1_006936-T1	DBVPG3775_004316-T1
GF00001357	TFCN152A1_000255-T1	DBVPG3775_004315-T1
GF00001358	TFCN152A1_000256-T1	DBVPG3775_004314-T1
GF00001359	TFCN152A1_006939-T1	DBVPG3775_004313-T1
GF00001360	TFCN152A1_006940-T1	DBVPG3775_004312-T1
GF00001361	TFCN152A1_006948-T1	DBVPG3775_004304-T1
GF00001362	TFCN152A1_006949-T1	DBVPG3775_004303-T1
GF00001363	TFCN152A1_000265-T1	DBVPG3775_004302-T1
GF00001364	TFCN152A1_006951-T1	DBVPG3775_004301-T1
GF00001365	TFCN152A1_000269-T1	DBVPG3775_004297-T1
GF00001366	TFCN152A1_006955-T1	DBVPG3775_004296-T1
GF00001367	TFCN152A1_000271-T1	DBVPG3775_004295-T1
GF00001368	TFCN152A1_000276-T1	DBVPG3775_004292-T1
GF00001369	TFCN152A1_000277-T1	DBVPG3775_004291-T1
GF00001370	TFCN152A1_000278-T1	DBVPG3775_004290-T1
GF00001371	TFCN152A1_010200-T1	DBVPG3775_004286-T1
GF00001372	TFCN152A1_000284-T1	DBVPG3775_004284-T1
GF00001373	TFCN152A1_010203-T1	DBVPG3775_004283-T1
GF00001374	TFCN152A1_010204-T1	DBVPG3775_004282-T1
GF00001375	TFCN152A1_000287-T1	DBVPG3775_004281-T1
GF00001376	TFCN152A1_010206-T1	DBVPG3775_004280-T1
GF00001377	TFCN152A1_010208-T1	DBVPG3775_004278-T1
GF00001378	TFCN152A1_010131-T1	DBVPG3775_006341-T1
GF00001379	TFCN152A1_010210-T1	DBVPG3775_004276-T1
GF00001380	TFCN152A1_010212-T1	DBVPG3775_004274-T1
GF00001381	TFCN152A1_000296-T1	DBVPG3775_004271-T1
GF00001382	TFCN152A1_000297-T1	DBVPG3775_004270-T1
GF00001383	TFCN152A1_006999-T1	DBVPG3775_001078-T1
GF00001384	TFCN152A1_000300-T1	DBVPG3775_001079-T1
GF00001385	TFCN152A1_003607-T1	DBVPG3775_000384-T1
GF00001386	TFCN152A1_000308-T1	DBVPG3775_001091-T1
GF00001387	TFCN152A1_000310-T1	DBVPG3775_001093-T1
GF00001388	TFCN152A1_009471-T1	DBVPG3775_003308-T1
GF00001389	TFCN152A1_003554-T1	DBVPG3775_000866-T1
GF00001390	TFCN152A1_002624-T1	DBVPG3775_005243-T1
GF00001391	TFCN152A1_000312-T1	DBVPG3775_001095-T1
GF00001392	TFCN152A1_006980-T1	DBVPG3775_001098-T1
GF00001393	TFCN152A1_006979-T1	DBVPG3775_001099-T1
GF00001394	TFCN152A1_006978-T1	DBVPG3775_001100-T1
GF00001395	TFCN152A1_000318-T1	DBVPG3775_001102-T1
GF00001396	TFCN152A1_000319-T1	DBVPG3775_001103-T1
GF00001397	TFCN152A1_003685-T1	DBVPG3775_005039-T1
GF00001398	TFCN152A1_006970-T1	DBVPG3775_001108-T1
GF00001399	TFCN152A1_006969-T1	DBVPG3775_001109-T1
GF00001400	TFCN152A1_006968-T1	DBVPG3775_001110-T1
GF00001401	TFCN152A1_000325-T1	DBVPG3775_001111-T1
GF00001402	TFCN152A1_000328-T1	DBVPG3775_001114-T1
GF00001403	TFCN152A1_000329-T1	DBVPG3775_001115-T1
GF00001404	TFCN152A1_000850-T1	DBVPG3775_001120-T1
GF00001405	TFCN152A1_000849-T1	DBVPG3775_001121-T1
GF00001406	TFCN152A1_000846-T1	DBVPG3775_001124-T1
GF00001407	TFCN152A1_000338-T1	DBVPG3775_001125-T1
GF00001408	TFCN152A1_000839-T1	DBVPG3775_001132-T1
GF00001409	TFCN152A1_000343-T1	DBVPG3775_001133-T1
GF00001410	TFCN152A1_000346-T1	DBVPG3775_001137-T1
GF00001411	TFCN152A1_000347-T1	DBVPG3775_001138-T1
GF00001412	TFCN152A1_000348-T1	DBVPG3775_001139-T1
GF00001413	TFCN152A1_000830-T1	DBVPG3775_001142-T1
GF00001414	TFCN152A1_000351-T1	DBVPG3775_001143-T1
GF00001415	TFCN152A1_000828-T1	DBVPG3775_001144-T1
GF00001416	TFCN152A1_000827-T1	DBVPG3775_001145-T1
GF00001417	TFCN152A1_000354-T1	DBVPG3775_001146-T1
GF00001418	TFCN152A1_000355-T1	DBVPG3775_001147-T1
GF00001419	TFCN152A1_000357-T1	DBVPG3775_001149-T1
GF00001420	TFCN152A1_000822-T1	DBVPG3775_001151-T1
GF00001421	TFCN152A1_000359-T1	DBVPG3775_001152-T1
GF00001422	TFCN152A1_000360-T1	DBVPG3775_001153-T1
GF00001423	TFCN152A1_000818-T1	DBVPG3775_001156-T1
GF00001424	TFCN152A1_000817-T1	DBVPG3775_001157-T1
GF00001425	TFCN152A1_000816-T1	DBVPG3775_001158-T1
GF00001426	TFCN152A1_000366-T1	DBVPG3775_001159-T1
GF00001427	TFCN152A1_000814-T1	DBVPG3775_001160-T1
GF00001428	TFCN152A1_000813-T1	DBVPG3775_001162-T1
GF00001429	TFCN152A1_000812-T1	DBVPG3775_001163-T1
GF00001430	TFCN152A1_000811-T1	DBVPG3775_001164-T1
GF00001431	TFCN152A1_000810-T1	DBVPG3775_001165-T1
GF00001432	TFCN152A1_000809-T1	DBVPG3775_001166-T1
GF00001433	TFCN152A1_000807-T1	DBVPG3775_001168-T1
GF00001434	TFCN152A1_000377-T1	DBVPG3775_001171-T1
GF00001435	TFCN152A1_000802-T1	DBVPG3775_001174-T1
GF00001436	TFCN152A1_000801-T1	DBVPG3775_001175-T1
GF00001437	TFCN152A1_000382-T1	DBVPG3775_001176-T1
GF00001438	TFCN152A1_000798-T1	DBVPG3775_001178-T1
GF00001439	TFCN152A1_000384-T1	DBVPG3775_001179-T1
GF00001440	TFCN152A1_000796-T1	DBVPG3775_001180-T1
GF00001441	TFCN152A1_000386-T1	DBVPG3775_001181-T1
GF00001442	TFCN152A1_000387-T1	DBVPG3775_001182-T1
GF00001443	TFCN152A1_000388-T1	DBVPG3775_001183-T1
GF00001444	TFCN152A1_000389-T1	DBVPG3775_001184-T1
GF00001445	TFCN152A1_000390-T1	DBVPG3775_001185-T1
GF00001446	TFCN152A1_000391-T1	DBVPG3775_001186-T1
GF00001447	TFCN152A1_000789-T1	DBVPG3775_001187-T1
GF00001448	TFCN152A1_000787-T1	DBVPG3775_001190-T1
GF00001449	TFCN152A1_000785-T1	DBVPG3775_001193-T1
GF00001450	TFCN152A1_000396-T1	DBVPG3775_001194-T1
GF00001451	TFCN152A1_000783-T1	DBVPG3775_001195-T1
GF00001452	TFCN152A1_000398-T1	DBVPG3775_001196-T1
GF00001453	TFCN152A1_000781-T1	DBVPG3775_001197-T1
GF00001454	TFCN152A1_000400-T1	DBVPG3775_001198-T1
GF00001455	TFCN152A1_000779-T1	DBVPG3775_001199-T1
GF00001456	TFCN152A1_000778-T1	DBVPG3775_001200-T1
GF00001457	TFCN152A1_000776-T1	DBVPG3775_001202-T1
GF00001458	TFCN152A1_000406-T1	DBVPG3775_001204-T1
GF00001459	TFCN152A1_000407-T1	DBVPG3775_001205-T1
GF00001460	TFCN152A1_000408-T1	DBVPG3775_001206-T1
GF00001461	TFCN152A1_000409-T1	DBVPG3775_001207-T1
GF00001462	TFCN152A1_000412-T1	DBVPG3775_001212-T1
GF00001463	TFCN152A1_000415-T1	DBVPG3775_001217-T1
GF00001464	TFCN152A1_000760-T1	DBVPG3775_001218-T1
GF00001465	TFCN152A1_000759-T1	DBVPG3775_001219-T1
GF00001466	TFCN152A1_000418-T1	DBVPG3775_001220-T1
GF00001467	TFCN152A1_000757-T1	DBVPG3775_001221-T1
GF00001468	TFCN152A1_000420-T1	DBVPG3775_001222-T1
GF00001469	TFCN152A1_000755-T1	DBVPG3775_001223-T1
GF00001470	TFCN152A1_000422-T1	DBVPG3775_001224-T1
GF00001471	TFCN152A1_000423-T1	DBVPG3775_001225-T1
GF00001472	TFCN152A1_000752-T1	DBVPG3775_001226-T1
GF00001473	TFCN152A1_000751-T1	DBVPG3775_001227-T1
GF00001474	TFCN152A1_000426-T1	DBVPG3775_001228-T1
GF00001475	TFCN152A1_000427-T1	DBVPG3775_001229-T1
GF00001476	TFCN152A1_000745-T1	DBVPG3775_001233-T1
GF00001477	TFCN152A1_000744-T1	DBVPG3775_001234-T1
GF00001478	TFCN152A1_000740-T1	DBVPG3775_001238-T1
GF00001479	TFCN152A1_000739-T1	DBVPG3775_001239-T1
GF00001480	TFCN152A1_000738-T1	DBVPG3775_001240-T1
GF00001481	TFCN152A1_000437-T1	DBVPG3775_001242-T1
GF00001482	TFCN152A1_000440-T1	DBVPG3775_001246-T1
GF00001483	TFCN152A1_000441-T1	DBVPG3775_001247-T1
GF00001484	TFCN152A1_000443-T1	DBVPG3775_001250-T1
GF00001485	TFCN152A1_007276-T1	DBVPG3775_005433-T1
GF00001486	TFCN152A1_000729-T1	DBVPG3775_001252-T1
GF00001487	TFCN152A1_000445-T1	DBVPG3775_001253-T1
GF00001488	TFCN152A1_000446-T1	DBVPG3775_001254-T1
GF00001489	TFCN152A1_000725-T1	DBVPG3775_001256-T1
GF00001490	TFCN152A1_000449-T1	DBVPG3775_001257-T1
GF00001491	TFCN152A1_000723-T1	DBVPG3775_001258-T1
GF00001492	TFCN152A1_000722-T1	DBVPG3775_001259-T1
GF00001493	TFCN152A1_000718-T1	DBVPG3775_001265-T1
GF00001494	TFCN152A1_000716-T1	DBVPG3775_001267-T1
GF00001495	TFCN152A1_000715-T1	DBVPG3775_001268-T1
GF00001496	TFCN152A1_000714-T1	DBVPG3775_001269-T1
GF00001497	TFCN152A1_000713-T1	DBVPG3775_001271-T1
GF00001498	TFCN152A1_000461-T1	DBVPG3775_001272-T1
GF00001499	TFCN152A1_000462-T1	DBVPG3775_001273-T1
GF00001500	TFCN152A1_000463-T1	DBVPG3775_001274-T1
GF00001501	TFCN152A1_000708-T1	DBVPG3775_001276-T1
GF00001502	TFCN152A1_000707-T1	DBVPG3775_001277-T1
GF00001503	TFCN152A1_005629-T1	DBVPG3775_002169-T1
GF00001504	TFCN152A1_000706-T1	DBVPG3775_001278-T1
GF00001505	TFCN152A1_000468-T1	DBVPG3775_001281-T1
GF00001506	TFCN152A1_000703-T1	DBVPG3775_001282-T1
GF00001507	TFCN152A1_000701-T1	DBVPG3775_001284-T1
GF00001508	TFCN152A1_000473-T1	DBVPG3775_001289-T1
GF00001509	TFCN152A1_000475-T1	DBVPG3775_001294-T1
GF00001510	TFCN152A1_000693-T1	DBVPG3775_001295-T1
GF00001511	TFCN152A1_000689-T1	DBVPG3775_001299-T1
GF00001512	TFCN152A1_000688-T1	DBVPG3775_001300-T1
GF00001513	TFCN152A1_000686-T1	DBVPG3775_001302-T1
GF00001514	TFCN152A1_000483-T1	DBVPG3775_001303-T1
GF00001515	TFCN152A1_003761-T1	DBVPG3775_004952-T1
GF00001516	TFCN152A1_003760-T1	DBVPG3775_004953-T1
GF00001517	TFCN152A1_003758-T1	DBVPG3775_004955-T1
GF00001518	TFCN152A1_003756-T1	DBVPG3775_004957-T1
GF00001519	TFCN152A1_000492-T1	DBVPG3775_004967-T1
GF00001520	TFCN152A1_003747-T1	DBVPG3775_004973-T1
GF00001521	TFCN152A1_000497-T1	DBVPG3775_004974-T1
GF00001522	TFCN152A1_000500-T1	DBVPG3775_004976-T1
GF00001523	TFCN152A1_008366-T1	DBVPG3775_001388-T1
GF00001524	TFCN152A1_000503-T1	DBVPG3775_004980-T1
GF00001525	TFCN152A1_000506-T1	DBVPG3775_004983-T1
GF00001526	TFCN152A1_003737-T1	DBVPG3775_004984-T1
GF00001527	TFCN152A1_000508-T1	DBVPG3775_004985-T1
GF00001528	TFCN152A1_003734-T1	DBVPG3775_004988-T1
GF00001529	TFCN152A1_006656-T1	DBVPG3775_006598-T1
GF00001530	TFCN152A1_000511-T1	DBVPG3775_004990-T1
GF00001531	TFCN152A1_003711-T1	DBVPG3775_005012-T1
GF00001532	TFCN152A1_003712-T1	DBVPG3775_005011-T1
GF00001533	TFCN152A1_003713-T1	DBVPG3775_005010-T1
GF00001534	TFCN152A1_000519-T1	DBVPG3775_005009-T1
GF00001535	TFCN152A1_003715-T1	DBVPG3775_005008-T1
GF00001536	TFCN152A1_000521-T1	DBVPG3775_005007-T1
GF00001537	TFCN152A1_003718-T1	DBVPG3775_005005-T1
GF00001538	TFCN152A1_003719-T1	DBVPG3775_005004-T1
GF00001539	TFCN152A1_003720-T1	DBVPG3775_005003-T1
GF00001540	TFCN152A1_000527-T1	DBVPG3775_004999-T1
GF00001541	TFCN152A1_000529-T1	DBVPG3775_004997-T1
GF00001542	TFCN152A1_003726-T1	DBVPG3775_004996-T1
GF00001543	TFCN152A1_000531-T1	DBVPG3775_004995-T1
GF00001544	TFCN152A1_000532-T1	DBVPG3775_004994-T1
GF00001545	TFCN152A1_000533-T1	DBVPG3775_004993-T1
GF00001546	TFCN152A1_000534-T1	DBVPG3775_004992-T1
GF00001547	TFCN152A1_003731-T1	DBVPG3775_004991-T1
GF00001548	TFCN152A1_000536-T1	DBVPG3775_005017-T1
GF00001549	TFCN152A1_003704-T1	DBVPG3775_005018-T1
GF00001550	TFCN152A1_000538-T1	DBVPG3775_005019-T1
GF00001551	TFCN152A1_003702-T1	DBVPG3775_005021-T1
GF00001552	TFCN152A1_002148-T1	DBVPG3775_005219-T1
GF00001553	TFCN152A1_000543-T1	DBVPG3775_005024-T1
GF00001554	TFCN152A1_000544-T1	DBVPG3775_005025-T1
GF00001555	TFCN152A1_000546-T1	DBVPG3775_005027-T1
GF00001556	TFCN152A1_003694-T1	DBVPG3775_005030-T1
GF00001557	TFCN152A1_003693-T1	DBVPG3775_005031-T1
GF00001558	TFCN152A1_000550-T1	DBVPG3775_005032-T1
GF00001559	TFCN152A1_000551-T1	DBVPG3775_005033-T1
GF00001560	TFCN152A1_003304-T1	DBVPG3775_000962-T1
GF00001561	TFCN152A1_000553-T1	DBVPG3775_005035-T1
GF00001562	TFCN152A1_000554-T1	DBVPG3775_005036-T1
GF00001563	TFCN152A1_003687-T1	DBVPG3775_005037-T1
GF00001564	TFCN152A1_003684-T1	DBVPG3775_005040-T1
GF00001565	TFCN152A1_000560-T1	DBVPG3775_005042-T1
GF00001566	TFCN152A1_000563-T1	DBVPG3775_003687-T1
GF00001567	TFCN152A1_010432-T1	DBVPG3775_003689-T1
GF00001568	TFCN152A1_000566-T1	DBVPG3775_003692-T1
GF00001569	TFCN152A1_000567-T1	DBVPG3775_003693-T1
GF00001570	TFCN152A1_000568-T1	DBVPG3775_003694-T1
GF00001571	TFCN152A1_010438-T1	DBVPG3775_003695-T1
GF00001572	TFCN152A1_000572-T1	DBVPG3775_003700-T1
GF00001573	TFCN152A1_000573-T1	DBVPG3775_003701-T1
GF00001574	TFCN152A1_010445-T1	DBVPG3775_003705-T1
GF00001575	TFCN152A1_000581-T1	DBVPG3775_003710-T1
GF00001576	TFCN152A1_010452-T1	DBVPG3775_003712-T1
GF00001577	TFCN152A1_010453-T1	DBVPG3775_003713-T1
GF00001578	TFCN152A1_000585-T1	DBVPG3775_003714-T1
GF00001579	TFCN152A1_000586-T1	DBVPG3775_003715-T1
GF00001580	TFCN152A1_000587-T1	DBVPG3775_003716-T1
GF00001581	TFCN152A1_010459-T1	DBVPG3775_003719-T1
GF00001582	TFCN152A1_010460-T1	DBVPG3775_003720-T1
GF00001583	TFCN152A1_000591-T1	DBVPG3775_003721-T1
GF00001584	TFCN152A1_004678-T1	DBVPG3775_003722-T1
GF00001585	TFCN152A1_004679-T1	DBVPG3775_003723-T1
GF00001586	TFCN152A1_004683-T1	DBVPG3775_003727-T1
GF00001587	TFCN152A1_000597-T1	DBVPG3775_003728-T1
GF00001588	TFCN152A1_000599-T1	DBVPG3775_003731-T1
GF00001589	TFCN152A1_000601-T1	DBVPG3775_003733-T1
GF00001590	TFCN152A1_000602-T1	DBVPG3775_003734-T1
GF00001591	TFCN152A1_004691-T1	DBVPG3775_003735-T1
GF00001592	TFCN152A1_004692-T1	DBVPG3775_003736-T1
GF00001593	TFCN152A1_004693-T1	DBVPG3775_003737-T1
GF00001594	TFCN152A1_004696-T1	DBVPG3775_003740-T1
GF00001595	TFCN152A1_012554-T1	DBVPG3775_006794-T1
GF00001596	TFCN152A1_004701-T1	DBVPG3775_003745-T1
GF00001597	TFCN152A1_004704-T1	DBVPG3775_003748-T1
GF00001598	TFCN152A1_000616-T1	DBVPG3775_003749-T1
GF00001599	TFCN152A1_000617-T1	DBVPG3775_003750-T1
GF00001600	TFCN152A1_000618-T1	DBVPG3775_003751-T1
GF00001601	TFCN152A1_000619-T1	DBVPG3775_003752-T1
GF00001602	TFCN152A1_000623-T1	DBVPG3775_003756-T1
GF00001603	TFCN152A1_000624-T1	DBVPG3775_003757-T1
GF00001604	TFCN152A1_000625-T1	DBVPG3775_003758-T1
GF00001605	TFCN152A1_004714-T1	DBVPG3775_003760-T1
GF00001606	TFCN152A1_004715-T1	DBVPG3775_003761-T1
GF00001607	TFCN152A1_004717-T1	DBVPG3775_003763-T1
GF00001608	TFCN152A1_004718-T1	DBVPG3775_003764-T1
GF00001609	TFCN152A1_004719-T1	DBVPG3775_003765-T1
GF00001610	TFCN152A1_004723-T1	DBVPG3775_003769-T1
GF00001611	TFCN152A1_004725-T1	DBVPG3775_003771-T1
GF00001612	TFCN152A1_004726-T1	DBVPG3775_003772-T1
GF00001613	TFCN152A1_004728-T1	DBVPG3775_003774-T1
GF00001614	TFCN152A1_000641-T1	DBVPG3775_003777-T1
GF00001615	TFCN152A1_004732-T1	DBVPG3775_003778-T1
GF00001616	TFCN152A1_009859-T1	DBVPG3775_002321-T1
GF00001617	TFCN152A1_004738-T1	DBVPG3775_003786-T1
GF00001618	TFCN152A1_000648-T1	DBVPG3775_003787-T1
GF00001619	TFCN152A1_004740-T1	DBVPG3775_003788-T1
GF00001620	TFCN152A1_003582-T1	DBVPG3775_000411-T1
GF00001621	TFCN152A1_004745-T1	DBVPG3775_003793-T1
GF00001622	TFCN152A1_000656-T1	DBVPG3775_003796-T1
GF00001623	TFCN152A1_000657-T1	DBVPG3775_003797-T1
GF00001624	TFCN152A1_004750-T1	DBVPG3775_003798-T1
GF00001625	TFCN152A1_000659-T1	DBVPG3775_003799-T1
GF00001626	TFCN152A1_000662-T1	DBVPG3775_003804-T1
GF00001627	TFCN152A1_011425-T1	DBVPG3775_001335-T1
GF00001628	TFCN152A1_000665-T1	DBVPG3775_001332-T1
GF00001629	TFCN152A1_011421-T1	DBVPG3775_001331-T1
GF00001630	TFCN152A1_000667-T1	DBVPG3775_001330-T1
GF00001631	TFCN152A1_000669-T1	DBVPG3775_001327-T1
GF00001632	TFCN152A1_000670-T1	DBVPG3775_001326-T1
GF00001633	TFCN152A1_000671-T1	DBVPG3775_001325-T1
GF00001634	TFCN152A1_011415-T1	DBVPG3775_001324-T1
GF00001635	TFCN152A1_000673-T1	DBVPG3775_001323-T1
GF00001636	TFCN152A1_000676-T1	DBVPG3775_001318-T1
GF00001637	TFCN152A1_000677-T1	DBVPG3775_001317-T1
GF00001638	TFCN152A1_011409-T1	DBVPG3775_001316-T1
GF00001639	TFCN152A1_011405-T1	DBVPG3775_001309-T1
GF00001640	TFCN152A1_011404-T1	DBVPG3775_001308-T1
GF00001641	TFCN152A1_012220-T1	DBVPG3775_002542-T1
GF00001642	TFCN152A1_000855-T1	DBVPG3775_007091-T1
GF00001643	TFCN152A1_000856-T1	DBVPG3775_007090-T1
GF00001644	TFCN152A1_000858-T1	DBVPG3775_007088-T1
GF00001645	TFCN152A1_000859-T1	DBVPG3775_007087-T1
GF00001646	TFCN152A1_006699-T1	DBVPG3775_007085-T1
GF00001647	TFCN152A1_000862-T1	DBVPG3775_007084-T1
GF00001648	TFCN152A1_006702-T1	DBVPG3775_007082-T1
GF00001649	TFCN152A1_000865-T1	DBVPG3775_007081-T1
GF00001650	TFCN152A1_000866-T1	DBVPG3775_007080-T1
GF00001651	TFCN152A1_000869-T1	DBVPG3775_007077-T1
GF00001652	TFCN152A1_011527-T1	DBVPG3775_007076-T1
GF00001653	TFCN152A1_000871-T1	DBVPG3775_007075-T1
GF00001654	TFCN152A1_000873-T1	DBVPG3775_007073-T1
GF00001655	TFCN152A1_011523-T1	DBVPG3775_007072-T1
GF00001656	TFCN152A1_000875-T1	DBVPG3775_007071-T1
GF00001657	TFCN152A1_000876-T1	DBVPG3775_007070-T1
GF00001658	TFCN152A1_000877-T1	DBVPG3775_007069-T1
GF00001659	TFCN152A1_000879-T1	DBVPG3775_007067-T1
GF00001660	TFCN152A1_000880-T1	DBVPG3775_007066-T1
GF00001661	TFCN152A1_000884-T1	DBVPG3775_007062-T1
GF00001662	TFCN152A1_011513-T1	DBVPG3775_007061-T1
GF00001663	TFCN152A1_000886-T1	DBVPG3775_007060-T1
GF00001664	TFCN152A1_000888-T1	DBVPG3775_007058-T1
GF00001665	TFCN152A1_000889-T1	DBVPG3775_007057-T1
GF00001666	TFCN152A1_000891-T1	DBVPG3775_007055-T1
GF00001667	TFCN152A1_011506-T1	DBVPG3775_007054-T1
GF00001668	TFCN152A1_000893-T1	DBVPG3775_007053-T1
GF00001669	TFCN152A1_000894-T1	DBVPG3775_007052-T1
GF00001670	TFCN152A1_011503-T1	DBVPG3775_007051-T1
GF00001671	TFCN152A1_008702-T1	DBVPG3775_004115-T1
GF00001672	TFCN152A1_000903-T1	DBVPG3775_004121-T1
GF00001673	TFCN152A1_000905-T1	DBVPG3775_004123-T1
GF00001674	TFCN152A1_008695-T1	DBVPG3775_004124-T1
GF00001675	TFCN152A1_008694-T1	DBVPG3775_004125-T1
GF00001676	TFCN152A1_005483-T1	DBVPG3775_002306-T1
GF00001677	TFCN152A1_000908-T1	DBVPG3775_004126-T1
GF00001678	TFCN152A1_008689-T1	DBVPG3775_004129-T1
GF00001679	TFCN152A1_008688-T1	DBVPG3775_004130-T1
GF00001680	TFCN152A1_008687-T1	DBVPG3775_004131-T1
GF00001681	TFCN152A1_002277-T1	DBVPG3775_002899-T1
GF00001682	TFCN152A1_000920-T1	DBVPG3775_004142-T1
GF00001683	TFCN152A1_008677-T1	DBVPG3775_004143-T1
GF00001684	TFCN152A1_000923-T1	DBVPG3775_004146-T1
GF00001685	TFCN152A1_000924-T1	DBVPG3775_004147-T1
GF00001686	TFCN152A1_004128-T1	DBVPG3775_004151-T1
GF00001687	TFCN152A1_000929-T1	DBVPG3775_004152-T1
GF00001688	TFCN152A1_000935-T1	DBVPG3775_004158-T1
