	Rhodotorula_mucilaginosa_TFCN_404D-1.cds.fa	Rhodotorula_mucilaginosa_DBVPG_3775.cds.fa
GF00001440	TFCN404D1_000362-T1	DBVPG3775_003010-T1
GF00001441	TFCN404D1_000363-T1	DBVPG3775_003009-T1
GF00001442	TFCN404D1_000703-T1	DBVPG3775_003006-T1
GF00001443	TFCN404D1_010950-T1	DBVPG3775_006121-T1
GF00001444	TFCN404D1_000369-T1	DBVPG3775_003004-T1
GF00001445	TFCN404D1_000371-T1	DBVPG3775_003001-T1
GF00001446	TFCN404D1_005324-T1	DBVPG3775_006562-T1
GF00001447	TFCN404D1_000376-T1	DBVPG3775_002996-T1
GF00001448	TFCN404D1_000379-T1	DBVPG3775_002993-T1
GF00001449	TFCN404D1_000687-T1	DBVPG3775_002990-T1
GF00001450	TFCN404D1_000686-T1	DBVPG3775_002989-T1
GF00001451	TFCN404D1_000681-T1	DBVPG3775_002984-T1
GF00001452	TFCN404D1_000680-T1	DBVPG3775_002983-T1
GF00001453	TFCN404D1_000389-T1	DBVPG3775_002982-T1
GF00001454	TFCN404D1_000678-T1	DBVPG3775_002981-T1
GF00001455	TFCN404D1_000391-T1	DBVPG3775_002980-T1
GF00001456	TFCN404D1_000905-T1	DBVPG3775_001171-T1
GF00001457	TFCN404D1_014506-T1	DBVPG3775_007459-T1
GF00001458	TFCN404D1_000672-T1	DBVPG3775_002976-T1
GF00001459	TFCN404D1_000670-T1	DBVPG3775_002974-T1
GF00001460	TFCN404D1_000669-T1	DBVPG3775_002973-T1
GF00001461	TFCN404D1_000668-T1	DBVPG3775_002972-T1
GF00001462	TFCN404D1_000667-T1	DBVPG3775_002971-T1
GF00001463	TFCN404D1_000402-T1	DBVPG3775_002970-T1
GF00001464	TFCN404D1_000403-T1	DBVPG3775_002969-T1
GF00001465	TFCN404D1_000404-T1	DBVPG3775_002967-T1
GF00001466	TFCN404D1_000662-T1	DBVPG3775_002966-T1
GF00001467	TFCN404D1_000407-T1	DBVPG3775_002964-T1
GF00001468	TFCN404D1_000658-T1	DBVPG3775_002962-T1
GF00001469	TFCN404D1_000412-T1	DBVPG3775_002960-T1
GF00001470	TFCN404D1_000655-T1	DBVPG3775_002959-T1
GF00001471	TFCN404D1_000654-T1	DBVPG3775_002958-T1
GF00001472	TFCN404D1_000415-T1	DBVPG3775_002957-T1
GF00001473	TFCN404D1_000652-T1	DBVPG3775_002956-T1
GF00001474	TFCN404D1_000417-T1	DBVPG3775_002955-T1
GF00001475	TFCN404D1_000418-T1	DBVPG3775_002954-T1
GF00001476	TFCN404D1_000649-T1	DBVPG3775_002953-T1
GF00001477	TFCN404D1_000648-T1	DBVPG3775_002952-T1
GF00001478	TFCN404D1_001709-T1	DBVPG3775_004772-T1
GF00001479	TFCN404D1_000423-T1	DBVPG3775_002094-T1
GF00001480	TFCN404D1_000424-T1	DBVPG3775_002093-T1
GF00001481	TFCN404D1_000425-T1	DBVPG3775_002092-T1
GF00001482	TFCN404D1_007603-T1	DBVPG3775_002091-T1
GF00001483	TFCN404D1_007605-T1	DBVPG3775_002089-T1
GF00001484	TFCN404D1_000429-T1	DBVPG3775_002088-T1
GF00001485	TFCN404D1_000430-T1	DBVPG3775_002087-T1
GF00001486	TFCN404D1_007608-T1	DBVPG3775_002086-T1
GF00001487	TFCN404D1_007609-T1	DBVPG3775_002085-T1
GF00001488	TFCN404D1_007610-T1	DBVPG3775_002084-T1
GF00001489	TFCN404D1_007612-T1	DBVPG3775_002082-T1
GF00001490	TFCN404D1_000436-T1	DBVPG3775_002081-T1
GF00001491	TFCN404D1_000437-T1	DBVPG3775_002080-T1
GF00001492	TFCN404D1_000438-T1	DBVPG3775_002079-T1
GF00001493	TFCN404D1_007618-T1	DBVPG3775_002076-T1
GF00001494	TFCN404D1_007619-T1	DBVPG3775_002075-T1
GF00001495	TFCN404D1_000442-T1	DBVPG3775_002072-T1
GF00001496	TFCN404D1_007625-T1	DBVPG3775_002069-T1
GF00001497	TFCN404D1_000445-T1	DBVPG3775_002068-T1
GF00001498	TFCN404D1_000447-T1	DBVPG3775_002066-T1
GF00001499	TFCN404D1_012800-T1	DBVPG3775_002062-T1
GF00001500	TFCN404D1_000452-T1	DBVPG3775_002059-T1
GF00001501	TFCN404D1_012804-T1	DBVPG3775_002058-T1
GF00001502	TFCN404D1_012805-T1	DBVPG3775_002057-T1
GF00001503	TFCN404D1_000456-T1	DBVPG3775_002055-T1
GF00001504	TFCN404D1_006006-T1	DBVPG3775_007202-T1
GF00001505	TFCN404D1_010733-T1	DBVPG3775_002053-T1
GF00001506	TFCN404D1_000459-T1	DBVPG3775_002052-T1
GF00001507	TFCN404D1_000460-T1	DBVPG3775_002051-T1
GF00001508	TFCN404D1_010736-T1	DBVPG3775_002050-T1
GF00001509	TFCN404D1_000463-T1	DBVPG3775_002048-T1
GF00001510	TFCN404D1_000470-T1	DBVPG3775_002041-T1
GF00001511	TFCN404D1_010746-T1	DBVPG3775_002040-T1
GF00001512	TFCN404D1_002824-T1	DBVPG3775_007421-T1
GF00001513	TFCN404D1_000477-T1	DBVPG3775_002034-T1
GF00001514	TFCN404D1_000478-T1	DBVPG3775_002033-T1
GF00001515	TFCN404D1_014105-T1	DBVPG3775_000423-T1
GF00001516	TFCN404D1_008510-T1	DBVPG3775_005001-T1
GF00001517	TFCN404D1_000544-T1	DBVPG3775_005287-T1
GF00001518	TFCN404D1_000545-T1	DBVPG3775_005288-T1
GF00001519	TFCN404D1_000547-T1	DBVPG3775_005290-T1
GF00001520	TFCN404D1_006508-T1	DBVPG3775_005291-T1
GF00001521	TFCN404D1_000549-T1	DBVPG3775_005292-T1
GF00001522	TFCN404D1_000553-T1	DBVPG3775_005297-T1
GF00001523	TFCN404D1_000554-T1	DBVPG3775_005298-T1
GF00001524	TFCN404D1_000555-T1	DBVPG3775_005299-T1
GF00001525	TFCN404D1_006501-T1	DBVPG3775_005301-T1
GF00001526	TFCN404D1_000557-T1	DBVPG3775_005302-T1
GF00001527	TFCN404D1_000559-T1	DBVPG3775_005304-T1
GF00001528	TFCN404D1_000560-T1	DBVPG3775_005305-T1
GF00001529	TFCN404D1_000563-T1	DBVPG3775_005308-T1
GF00001530	TFCN404D1_000564-T1	DBVPG3775_005309-T1
GF00001531	TFCN404D1_000566-T1	DBVPG3775_005311-T1
GF00001532	TFCN404D1_000567-T1	DBVPG3775_005312-T1
GF00001533	TFCN404D1_006485-T1	DBVPG3775_005316-T1
GF00001534	TFCN404D1_000576-T1	DBVPG3775_005319-T1
GF00001535	TFCN404D1_000577-T1	DBVPG3775_005320-T1
GF00001536	TFCN404D1_006479-T1	DBVPG3775_005322-T1
GF00001537	TFCN404D1_013520-T1	DBVPG3775_005325-T1
GF00001538	TFCN404D1_000583-T1	DBVPG3775_005326-T1
GF00001539	TFCN404D1_000586-T1	DBVPG3775_005329-T1
GF00001540	TFCN404D1_000587-T1	DBVPG3775_005330-T1
GF00001541	TFCN404D1_000589-T1	DBVPG3775_005332-T1
GF00001542	TFCN404D1_003807-T1	DBVPG3775_006029-T1
GF00001543	TFCN404D1_000592-T1	DBVPG3775_005337-T1
GF00001544	TFCN404D1_000593-T1	DBVPG3775_005338-T1
GF00001545	TFCN404D1_012169-T1	DBVPG3775_005339-T1
GF00001546	TFCN404D1_000595-T1	DBVPG3775_005340-T1
GF00001547	TFCN404D1_012166-T1	DBVPG3775_005342-T1
GF00001548	TFCN404D1_012165-T1	DBVPG3775_005343-T1
GF00001549	TFCN404D1_000599-T1	DBVPG3775_005344-T1
GF00001550	TFCN404D1_000600-T1	DBVPG3775_005345-T1
GF00001551	TFCN404D1_012161-T1	DBVPG3775_005347-T1
GF00001552	TFCN404D1_012160-T1	DBVPG3775_005348-T1
GF00001553	TFCN404D1_000604-T1	DBVPG3775_005349-T1
GF00001554	TFCN404D1_012158-T1	DBVPG3775_005350-T1
GF00001555	TFCN404D1_012156-T1	DBVPG3775_005352-T1
GF00001556	TFCN404D1_000608-T1	DBVPG3775_005353-T1
GF00001557	TFCN404D1_008983-T1	DBVPG3775_002813-T1
GF00001558	TFCN404D1_010705-T1	DBVPG3775_002918-T1
GF00001559	TFCN404D1_000612-T1	DBVPG3775_002919-T1
GF00001560	TFCN404D1_005175-T1	DBVPG3775_005655-T1
GF00001561	TFCN404D1_000613-T1	DBVPG3775_002920-T1
GF00001562	TFCN404D1_010702-T1	DBVPG3775_002921-T1
GF00001563	TFCN404D1_000620-T1	DBVPG3775_002926-T1
GF00001564	TFCN404D1_000621-T1	DBVPG3775_002927-T1
GF00001565	TFCN404D1_000623-T1	DBVPG3775_002929-T1
GF00001566	TFCN404D1_000624-T1	DBVPG3775_002930-T1
GF00001567	TFCN404D1_013658-T1	DBVPG3775_002931-T1
GF00001568	TFCN404D1_013659-T1	DBVPG3775_002933-T1
GF00001569	TFCN404D1_010248-T1	DBVPG3775_002938-T1
GF00001570	TFCN404D1_010247-T1	DBVPG3775_002939-T1
GF00001571	TFCN404D1_000635-T1	DBVPG3775_002940-T1
GF00001572	TFCN404D1_010240-T1	DBVPG3775_002945-T1
GF00001573	TFCN404D1_000645-T1	DBVPG3775_002949-T1
GF00001574	TFCN404D1_000646-T1	DBVPG3775_002950-T1
GF00001575	TFCN404D1_012315-T1	DBVPG3775_000871-T1
GF00001576	TFCN404D1_000708-T1	DBVPG3775_000870-T1
GF00001577	TFCN404D1_000710-T1	DBVPG3775_000853-T1
GF00001578	TFCN404D1_000711-T1	DBVPG3775_000852-T1
GF00001579	TFCN404D1_000712-T1	DBVPG3775_000851-T1
GF00001580	TFCN404D1_000713-T1	DBVPG3775_000850-T1
GF00001581	TFCN404D1_000715-T1	DBVPG3775_000848-T1
GF00001582	TFCN404D1_006024-T1	DBVPG3775_000847-T1
GF00001583	TFCN404D1_000717-T1	DBVPG3775_000846-T1
GF00001584	TFCN404D1_000718-T1	DBVPG3775_000845-T1
GF00001585	TFCN404D1_000719-T1	DBVPG3775_000844-T1
GF00001586	TFCN404D1_000720-T1	DBVPG3775_000843-T1
GF00001587	TFCN404D1_000722-T1	DBVPG3775_000841-T1
GF00001588	TFCN404D1_000723-T1	DBVPG3775_000840-T1
GF00001589	TFCN404D1_000724-T1	DBVPG3775_000839-T1
GF00001590	TFCN404D1_000726-T1	DBVPG3775_000837-T1
GF00001591	TFCN404D1_000729-T1	DBVPG3775_000834-T1
GF00001592	TFCN404D1_000730-T1	DBVPG3775_000833-T1
GF00001593	TFCN404D1_001302-T1	DBVPG3775_007511-T1
GF00001594	TFCN404D1_006040-T1	DBVPG3775_000830-T1
GF00001595	TFCN404D1_000734-T1	DBVPG3775_000829-T1
GF00001596	TFCN404D1_000735-T1	DBVPG3775_000828-T1
GF00001597	TFCN404D1_000739-T1	DBVPG3775_000825-T1
GF00001598	TFCN404D1_000740-T1	DBVPG3775_000824-T1
GF00001599	TFCN404D1_004146-T1	DBVPG3775_000823-T1
GF00001600	TFCN404D1_000742-T1	DBVPG3775_000822-T1
GF00001601	TFCN404D1_000743-T1	DBVPG3775_000821-T1
GF00001602	TFCN404D1_000747-T1	DBVPG3775_000817-T1
GF00001603	TFCN404D1_004139-T1	DBVPG3775_000815-T1
GF00001604	TFCN404D1_000750-T1	DBVPG3775_000813-T1
GF00001605	TFCN404D1_000751-T1	DBVPG3775_000812-T1
GF00001606	TFCN404D1_004133-T1	DBVPG3775_000810-T1
GF00001607	TFCN404D1_000756-T1	DBVPG3775_000806-T1
GF00001608	TFCN404D1_000758-T1	DBVPG3775_000804-T1
GF00001609	TFCN404D1_000760-T1	DBVPG3775_000802-T1
GF00001610	TFCN404D1_000762-T1	DBVPG3775_000800-T1
GF00001611	TFCN404D1_000763-T1	DBVPG3775_000799-T1
GF00001612	TFCN404D1_000764-T1	DBVPG3775_000798-T1
GF00001613	TFCN404D1_004119-T1	DBVPG3775_000797-T1
GF00001614	TFCN404D1_000766-T1	DBVPG3775_000796-T1
GF00001615	TFCN404D1_004117-T1	DBVPG3775_000795-T1
GF00001616	TFCN404D1_000768-T1	DBVPG3775_000794-T1
GF00001617	TFCN404D1_009281-T1	DBVPG3775_003371-T1
GF00001618	TFCN404D1_000771-T1	DBVPG3775_000791-T1
GF00001619	TFCN404D1_000774-T1	DBVPG3775_000788-T1
GF00001620	TFCN404D1_000775-T1	DBVPG3775_000787-T1
GF00001621	TFCN404D1_000777-T1	DBVPG3775_000785-T1
GF00001622	TFCN404D1_004104-T1	DBVPG3775_000784-T1
GF00001623	TFCN404D1_000779-T1	DBVPG3775_000783-T1
GF00001624	TFCN404D1_013593-T1	DBVPG3775_000779-T1
GF00001625	TFCN404D1_001812-T1	DBVPG3775_003489-T1
GF00001626	TFCN404D1_003417-T1	DBVPG3775_004468-T1
GF00001627	TFCN404D1_003415-T1	DBVPG3775_004465-T1
GF00001628	TFCN404D1_000790-T1	DBVPG3775_004464-T1
GF00001629	TFCN404D1_003413-T1	DBVPG3775_004463-T1
GF00001630	TFCN404D1_000793-T1	DBVPG3775_004461-T1
GF00001631	TFCN404D1_000794-T1	DBVPG3775_004460-T1
GF00001632	TFCN404D1_003408-T1	DBVPG3775_004458-T1
GF00001633	TFCN404D1_000797-T1	DBVPG3775_004457-T1
GF00001634	TFCN404D1_000798-T1	DBVPG3775_004456-T1
GF00001635	TFCN404D1_003394-T1	DBVPG3775_004451-T1
GF00001636	TFCN404D1_003397-T1	DBVPG3775_004448-T1
GF00001637	TFCN404D1_000807-T1	DBVPG3775_004447-T1
GF00001638	TFCN404D1_003399-T1	DBVPG3775_004446-T1
GF00001639	TFCN404D1_000809-T1	DBVPG3775_004445-T1
GF00001640	TFCN404D1_000811-T1	DBVPG3775_004443-T1
GF00001641	TFCN404D1_000812-T1	DBVPG3775_004442-T1
GF00001642	TFCN404D1_000815-T1	DBVPG3775_004439-T1
GF00001643	TFCN404D1_000816-T1	DBVPG3775_004438-T1
GF00001644	TFCN404D1_003391-T1	DBVPG3775_004437-T1
GF00001645	TFCN404D1_000820-T1	DBVPG3775_004434-T1
GF00001646	TFCN404D1_003388-T1	DBVPG3775_004433-T1
GF00001647	TFCN404D1_000822-T1	DBVPG3775_004432-T1
GF00001648	TFCN404D1_003386-T1	DBVPG3775_004431-T1
GF00001649	TFCN404D1_000827-T1	DBVPG3775_004428-T1
GF00001650	TFCN404D1_008839-T1	DBVPG3775_004426-T1
GF00001651	TFCN404D1_000834-T1	DBVPG3775_004420-T1
GF00001652	TFCN404D1_000835-T1	DBVPG3775_004419-T1
GF00001653	TFCN404D1_000836-T1	DBVPG3775_004418-T1
GF00001654	TFCN404D1_000837-T1	DBVPG3775_004417-T1
GF00001655	TFCN404D1_008849-T1	DBVPG3775_004415-T1
GF00001656	TFCN404D1_008850-T1	DBVPG3775_004414-T1
GF00001657	TFCN404D1_000841-T1	DBVPG3775_004413-T1
GF00001658	TFCN404D1_000842-T1	DBVPG3775_004412-T1
GF00001659	TFCN404D1_000843-T1	DBVPG3775_004411-T1
GF00001660	TFCN404D1_008854-T1	DBVPG3775_004410-T1
GF00001661	TFCN404D1_000846-T1	DBVPG3775_004408-T1
GF00001662	TFCN404D1_000847-T1	DBVPG3775_004407-T1
GF00001663	TFCN404D1_000848-T1	DBVPG3775_004406-T1
GF00001664	TFCN404D1_008859-T1	DBVPG3775_004405-T1
GF00001665	TFCN404D1_008860-T1	DBVPG3775_004404-T1
GF00001666	TFCN404D1_000853-T1	DBVPG3775_004401-T1
GF00001667	TFCN404D1_000854-T1	DBVPG3775_004400-T1
GF00001668	TFCN404D1_000855-T1	DBVPG3775_004399-T1
GF00001669	TFCN404D1_000856-T1	DBVPG3775_004398-T1
GF00001670	TFCN404D1_000858-T1	DBVPG3775_004396-T1
GF00001671	TFCN404D1_000859-T1	DBVPG3775_004395-T1
GF00001672	TFCN404D1_005600-T1	DBVPG3775_004394-T1
GF00001673	TFCN404D1_000861-T1	DBVPG3775_004393-T1
GF00001674	TFCN404D1_005604-T1	DBVPG3775_004390-T1
GF00001675	TFCN404D1_000869-T1	DBVPG3775_004386-T1
GF00001676	TFCN404D1_005609-T1	DBVPG3775_004385-T1
GF00001677	TFCN404D1_000872-T1	DBVPG3775_004383-T1
GF00001678	TFCN404D1_000875-T1	DBVPG3775_004380-T1
GF00001679	TFCN404D1_005616-T1	DBVPG3775_004379-T1
GF00001680	TFCN404D1_000877-T1	DBVPG3775_004378-T1
GF00001681	TFCN404D1_000882-T1	DBVPG3775_004372-T1
GF00001682	TFCN404D1_000883-T1	DBVPG3775_004371-T1
GF00001683	TFCN404D1_002737-T1	DBVPG3775_001190-T1
GF00001684	TFCN404D1_002736-T1	DBVPG3775_001188-T1
GF00001685	TFCN404D1_000889-T1	DBVPG3775_001187-T1
GF00001686	TFCN404D1_002734-T1	DBVPG3775_001186-T1
GF00001687	TFCN404D1_002733-T1	DBVPG3775_001185-T1
GF00001688	TFCN404D1_002732-T1	DBVPG3775_001184-T1
GF00001689	TFCN404D1_000893-T1	DBVPG3775_001183-T1
GF00001690	TFCN404D1_000894-T1	DBVPG3775_001182-T1
GF00001691	TFCN404D1_000895-T1	DBVPG3775_001181-T1
GF00001692	TFCN404D1_000896-T1	DBVPG3775_001180-T1
GF00001693	TFCN404D1_002727-T1	DBVPG3775_001179-T1
GF00001694	TFCN404D1_000898-T1	DBVPG3775_001178-T1
GF00001695	TFCN404D1_002723-T1	DBVPG3775_001175-T1
GF00001696	TFCN404D1_000902-T1	DBVPG3775_001174-T1
GF00001697	TFCN404D1_002718-T1	DBVPG3775_001170-T1
GF00001698	TFCN404D1_000908-T1	DBVPG3775_001168-T1
GF00001699	TFCN404D1_002714-T1	DBVPG3775_001166-T1
GF00001700	TFCN404D1_000911-T1	DBVPG3775_001165-T1
GF00001701	TFCN404D1_000912-T1	DBVPG3775_001164-T1
GF00001702	TFCN404D1_000913-T1	DBVPG3775_001163-T1
GF00001703	TFCN404D1_000914-T1	DBVPG3775_001162-T1
GF00001704	TFCN404D1_000916-T1	DBVPG3775_001160-T1
GF00001705	TFCN404D1_000917-T1	DBVPG3775_001159-T1
GF00001706	TFCN404D1_000918-T1	DBVPG3775_001158-T1
GF00001707	TFCN404D1_000919-T1	DBVPG3775_001157-T1
GF00001708	TFCN404D1_000920-T1	DBVPG3775_001156-T1
GF00001709	TFCN404D1_000921-T1	DBVPG3775_001155-T1
GF00001710	TFCN404D1_000922-T1	DBVPG3775_001154-T1
GF00001711	TFCN404D1_000923-T1	DBVPG3775_001153-T1
GF00001712	TFCN404D1_000924-T1	DBVPG3775_001152-T1
GF00001713	TFCN404D1_000925-T1	DBVPG3775_001151-T1
GF00001714	TFCN404D1_002699-T1	DBVPG3775_001149-T1
GF00001715	TFCN404D1_000928-T1	DBVPG3775_001147-T1
GF00001716	TFCN404D1_002696-T1	DBVPG3775_001146-T1
GF00001717	TFCN404D1_000930-T1	DBVPG3775_001145-T1
GF00001718	TFCN404D1_000931-T1	DBVPG3775_001144-T1
GF00001719	TFCN404D1_000932-T1	DBVPG3775_001143-T1
GF00001720	TFCN404D1_002692-T1	DBVPG3775_001142-T1
GF00001721	TFCN404D1_000936-T1	DBVPG3775_001139-T1
GF00001722	TFCN404D1_002689-T1	DBVPG3775_001138-T1
GF00001723	TFCN404D1_002688-T1	DBVPG3775_001137-T1
GF00001724	TFCN404D1_000941-T1	DBVPG3775_001135-T1
GF00001725	TFCN404D1_000942-T1	DBVPG3775_001134-T1
GF00001726	TFCN404D1_013326-T1	DBVPG3775_001133-T1
GF00001727	TFCN404D1_000944-T1	DBVPG3775_001132-T1
GF00001728	TFCN404D1_000945-T1	DBVPG3775_001131-T1
GF00001729	TFCN404D1_000947-T1	DBVPG3775_001129-T1
GF00001730	TFCN404D1_000951-T1	DBVPG3775_001125-T1
GF00001731	TFCN404D1_000952-T1	DBVPG3775_001124-T1
GF00001732	TFCN404D1_000955-T1	DBVPG3775_001121-T1
GF00001733	TFCN404D1_000956-T1	DBVPG3775_001120-T1
GF00001734	TFCN404D1_010933-T1	DBVPG3775_001118-T1
GF00001735	TFCN404D1_000961-T1	DBVPG3775_001115-T1
GF00001736	TFCN404D1_000966-T1	DBVPG3775_000144-T1
GF00001737	TFCN404D1_014719-T1	DBVPG3775_000145-T1
GF00001738	TFCN404D1_014720-T1	DBVPG3775_000146-T1
GF00001739	TFCN404D1_000969-T1	DBVPG3775_000147-T1
GF00001740	TFCN404D1_000971-T1	DBVPG3775_000151-T1
GF00001741	TFCN404D1_000972-T1	DBVPG3775_000152-T1
GF00001742	TFCN404D1_000974-T1	DBVPG3775_000154-T1
GF00001743	TFCN404D1_000977-T1	DBVPG3775_000156-T1
GF00001744	TFCN404D1_007319-T1	DBVPG3775_000157-T1
GF00001745	TFCN404D1_000979-T1	DBVPG3775_000158-T1
GF00001746	TFCN404D1_000980-T1	DBVPG3775_000159-T1
GF00001747	TFCN404D1_000981-T1	DBVPG3775_000160-T1
GF00001748	TFCN404D1_000982-T1	DBVPG3775_000161-T1
GF00001749	TFCN404D1_000983-T1	DBVPG3775_000162-T1
GF00001750	TFCN404D1_000984-T1	DBVPG3775_000163-T1
GF00001751	TFCN404D1_000985-T1	DBVPG3775_000164-T1
GF00001752	TFCN404D1_000986-T1	DBVPG3775_000165-T1
GF00001753	TFCN404D1_000990-T1	DBVPG3775_000169-T1
GF00001754	TFCN404D1_000992-T1	DBVPG3775_000171-T1
GF00001755	TFCN404D1_000993-T1	DBVPG3775_000172-T1
GF00001756	TFCN404D1_007335-T1	DBVPG3775_000175-T1
GF00001757	TFCN404D1_000997-T1	DBVPG3775_000176-T1
GF00001758	TFCN404D1_000998-T1	DBVPG3775_000177-T1
GF00001759	TFCN404D1_000999-T1	DBVPG3775_000178-T1
GF00001760	TFCN404D1_001001-T1	DBVPG3775_000180-T1
GF00001761	TFCN404D1_001002-T1	DBVPG3775_000181-T1
GF00001762	TFCN404D1_001003-T1	DBVPG3775_000182-T1
GF00001763	TFCN404D1_007343-T1	DBVPG3775_000183-T1
GF00001764	TFCN404D1_001005-T1	DBVPG3775_000184-T1
GF00001765	TFCN404D1_014687-T1	DBVPG3775_000185-T1
GF00001766	TFCN404D1_001008-T1	DBVPG3775_000187-T1
GF00001767	TFCN404D1_010573-T1	DBVPG3775_000188-T1
GF00001768	TFCN404D1_001010-T1	DBVPG3775_000189-T1
GF00001769	TFCN404D1_001014-T1	DBVPG3775_000197-T1
GF00001770	TFCN404D1_010563-T1	DBVPG3775_000198-T1
GF00001771	TFCN404D1_010562-T1	DBVPG3775_000199-T1
GF00001772	TFCN404D1_010561-T1	DBVPG3775_000200-T1
GF00001773	TFCN404D1_001018-T1	DBVPG3775_000201-T1
GF00001774	TFCN404D1_010558-T1	DBVPG3775_000203-T1
GF00001775	TFCN404D1_010557-T1	DBVPG3775_000204-T1
GF00001776	TFCN404D1_001022-T1	DBVPG3775_000205-T1
GF00001777	TFCN404D1_001023-T1	DBVPG3775_000206-T1
GF00001778	TFCN404D1_001028-T1	DBVPG3775_000210-T1
GF00001779	TFCN404D1_010151-T1	DBVPG3775_000212-T1
GF00001780	TFCN404D1_010152-T1	DBVPG3775_000213-T1
GF00001781	TFCN404D1_010153-T1	DBVPG3775_000214-T1
GF00001782	TFCN404D1_010156-T1	DBVPG3775_000217-T1
GF00001783	TFCN404D1_010157-T1	DBVPG3775_000218-T1
GF00001784	TFCN404D1_010160-T1	DBVPG3775_000221-T1
GF00001785	TFCN404D1_010161-T1	DBVPG3775_000222-T1
GF00001786	TFCN404D1_001041-T1	DBVPG3775_000223-T1
GF00001787	TFCN404D1_001042-T1	DBVPG3775_000224-T1
GF00001788	TFCN404D1_010164-T1	DBVPG3775_000225-T1
GF00001789	TFCN404D1_001044-T1	DBVPG3775_000226-T1
GF00001790	TFCN404D1_001047-T1	DBVPG3775_000229-T1
GF00001791	TFCN404D1_001065-T1	DBVPG3775_001925-T1
GF00001792	TFCN404D1_001067-T1	DBVPG3775_001924-T1
GF00001793	TFCN404D1_011887-T1	DBVPG3775_001923-T1
GF00001794	TFCN404D1_001069-T1	DBVPG3775_001922-T1
GF00001795	TFCN404D1_001070-T1	DBVPG3775_001921-T1
GF00001796	TFCN404D1_011884-T1	DBVPG3775_001920-T1
GF00001797	TFCN404D1_001072-T1	DBVPG3775_001919-T1
GF00001798	TFCN404D1_001074-T1	DBVPG3775_001917-T1
GF00001799	TFCN404D1_001075-T1	DBVPG3775_001916-T1
GF00001800	TFCN404D1_001076-T1	DBVPG3775_001915-T1
GF00001801	TFCN404D1_011878-T1	DBVPG3775_001914-T1
GF00001802	TFCN404D1_001078-T1	DBVPG3775_001913-T1
GF00001803	TFCN404D1_001079-T1	DBVPG3775_001912-T1
GF00001804	TFCN404D1_011875-T1	DBVPG3775_001911-T1
GF00001805	TFCN404D1_001081-T1	DBVPG3775_001910-T1
GF00001806	TFCN404D1_001082-T1	DBVPG3775_001909-T1
GF00001807	TFCN404D1_001083-T1	DBVPG3775_001908-T1
GF00001808	TFCN404D1_001085-T1	DBVPG3775_001906-T1
GF00001809	TFCN404D1_001090-T1	DBVPG3775_001901-T1
GF00001810	TFCN404D1_009664-T1	DBVPG3775_001900-T1
GF00001811	TFCN404D1_009663-T1	DBVPG3775_001899-T1
GF00001812	TFCN404D1_001093-T1	DBVPG3775_001898-T1
GF00001813	TFCN404D1_001094-T1	DBVPG3775_001897-T1
GF00001814	TFCN404D1_001097-T1	DBVPG3775_001894-T1
GF00001815	TFCN404D1_001099-T1	DBVPG3775_001892-T1
GF00001816	TFCN404D1_001100-T1	DBVPG3775_001891-T1
GF00001817	TFCN404D1_001101-T1	DBVPG3775_001890-T1
GF00001818	TFCN404D1_001102-T1	DBVPG3775_001889-T1
GF00001819	TFCN404D1_009651-T1	DBVPG3775_006742-T1
GF00001820	TFCN404D1_001104-T1	DBVPG3775_006741-T1
GF00001821	TFCN404D1_001105-T1	DBVPG3775_006740-T1
GF00001822	TFCN404D1_007657-T1	DBVPG3775_006734-T1
GF00001823	TFCN404D1_001110-T1	DBVPG3775_006733-T1
GF00001824	TFCN404D1_001111-T1	DBVPG3775_006732-T1
GF00001825	TFCN404D1_007660-T1	DBVPG3775_006731-T1
GF00001826	TFCN404D1_001113-T1	DBVPG3775_006730-T1
GF00001827	TFCN404D1_007662-T1	DBVPG3775_006729-T1
GF00001828	TFCN404D1_001115-T1	DBVPG3775_006728-T1
GF00001829	TFCN404D1_007664-T1	DBVPG3775_006727-T1
GF00001830	TFCN404D1_001119-T1	DBVPG3775_006723-T1
GF00001831	TFCN404D1_001120-T1	DBVPG3775_006722-T1
GF00001832	TFCN404D1_001121-T1	DBVPG3775_006721-T1
GF00001833	TFCN404D1_007670-T1	DBVPG3775_006720-T1
GF00001834	TFCN404D1_007671-T1	DBVPG3775_006719-T1
GF00001835	TFCN404D1_001124-T1	DBVPG3775_006718-T1
GF00001836	TFCN404D1_007673-T1	DBVPG3775_006717-T1
GF00001837	TFCN404D1_001126-T1	DBVPG3775_006716-T1
GF00001838	TFCN404D1_007675-T1	DBVPG3775_006715-T1
GF00001839	TFCN404D1_007676-T1	DBVPG3775_006714-T1
GF00001840	TFCN404D1_001129-T1	DBVPG3775_006713-T1
GF00001841	TFCN404D1_001130-T1	DBVPG3775_006712-T1
GF00001842	TFCN404D1_001131-T1	DBVPG3775_006711-T1
GF00001843	TFCN404D1_001133-T1	DBVPG3775_000435-T1
GF00001844	TFCN404D1_005889-T1	DBVPG3775_000437-T1
GF00001845	TFCN404D1_001136-T1	DBVPG3775_000438-T1
GF00001846	TFCN404D1_004614-T1	DBVPG3775_000702-T1
GF00001847	TFCN404D1_001140-T1	DBVPG3775_000442-T1
GF00001848	TFCN404D1_005883-T1	DBVPG3775_000443-T1
